,Title,Date,Category
0,"[2019국감] ""암입원지원금 분쟁, 삼성생명이 최다""",2019.10.04,2
1,"김정은 하노이 行, 어디를 가도 '韓노이'",2019.02.11,2
2,"한화 신인 김재영, 시범경기서 5이닝 무실점 4K",2016.03.09,2
3,공정위 '소비자중심경영' 14개사에 인증서 수여,2015.06.19,2
4,"한화생명, 생보업계 최다 배타적사용권 획득",2014.09.18,2
5,"한화생명, 코로나19 환자 위해 연수원 객실 200개 다시 내놓는다",2020.08.28,3
6,사회적 거리두기 2단계 연장에…'구인 절벽' 보험사 안도(종합),2020.08.28,3
7,"""공채도 못 뽑아…"" 코로나 재확산에 보험업계 '구인 절벽'",2020.08.28,3
8,"""면허도 없는 70세 노인에 운전자보험 팔다니"" 고령자 불완전판매 기승(종합)",2020.08.25,3
9,무면허 70세 노인에 운전자보험 판매…고령자 불완전판매 기승,2020.08.25,3
10,"[보험 인싸되기]보험 상담하려다, 보이스피싱 걸린다",2020.08.23,3
11,'234조' 삼성생명 해외자산 늘리고…국내로 눈돌린 '100조' 한화생명(종합),2020.08.21,3
12,해외자산 늘린 삼성생명…국내로 눈돌린 한화생명,2020.08.21,3
13,"보험사 오너 2,3세…경영권 승계 준비 '잰걸음'(종합)",2020.08.19,3
14,[실전재테크]코로나로 인한 투자환경 변화와 금융자산 관리,2020.08.19,3
15,"보험사 오너 2,3세…경영권 승계 준비 '잰걸음'",2020.08.19,3
16,"대형 생·손보사, '코로나' 악재에도 장사 잘했다(종합)",2020.08.18,3
17,"대형 생·손보사, 코로나19에도 장사 잘했다",2020.08.18,3
18,"보험사, 2분기 깜짝 실적…""코로나로 손해율 개선""",2020.08.17,3
19,'95억 보험금' 아내사망 사건 보험금 지급 놓고 민사 소송간다,2020.08.13,3
20,"한화생명, 상반기 순익 1758억…전년비 88.2%↑",2020.08.13,3
21,"한화생명, 보이스피싱 신고센터 24시간 체제로 운영",2020.08.12,3
22,"한화생명, 빅데이터 활용해 연간 100억 보험료 유입 효과",2020.08.03,3
23,"한화생명 드림플러스, 레드닷 디자인 어워드 본상 수상",2020.07.30,3
24,금융사 종합검사 빠르면 내달 둘째주 시작된다(종합),2020.07.13,3
25,"헬스케어·빅데이터 키우는 글로벌 보험사…韓, 역차별 규제에 '한숨'(종합)",2020.07.10,3
26,헬스케어 키우는 보험사…겹겹이 규제에 '한숨',2020.07.10,3
27,"[2020 골드에이지]""직장인의 유일한 노후대비책은 3층연금""",2020.07.09,3
28,"한화생명, 청년비상금 사업으로 시설 퇴소 청년 자립 지원",2020.07.09,3
29,"한화생명, 보험 심사에 스마트폰 비대면 자필서명 도입",2020.07.07,3
30,대체투자 늘리는 보험사…경고등 켜졌다,2020.07.04,3
31,업계 판도 흔드는 GA에 눈독들이는 생보사(종합),2020.07.03,3
32,"한화생명, 2020년 하반기 전략회의 개최…""새로운 판 준비해야""",2020.07.03,3
33,"""보험 판매왕 'GA' 직접 만들거나 사들이거나""…생보사의 新 생존전략",2020.07.03,3
34,"신한생명, 건강나이 적용 특약 '배타적사용권 기각'에 이의신청(종합)",2020.07.02,3
35,[보험 인싸되기]'국민보험' 실손…어느 보험사로 가입해야 이득일까요?,2020.06.28,3
36,"한화생명, 전국 7개 소비자보호센터 개설…고객 대면 응대 확대",2020.06.22,3
37,"한화생명, 한부모 가정·소상공인 지원하는 맘스케어마켓 열어",2020.06.17,3
38,"한화생명, 사업본부 60% 디지털·신사업 영역으로 개편",2020.06.15,3
39,60조 몰린 보험사 퇴직연금…수익률은 '1%',2020.06.13,3
40,[부고]문효일 한화생명 오픈이노베이션추진실장 모친상,2020.06.11,3
41,코로나 퍼지자 '방카슈랑스' 집중한 보험사…1분기 1조2700억,2020.06.04,3
42,[보험사 생존절벽-中]알짜 자산 매각…회식·출장도 없앴다,2020.06.02,3
43,"1분기 공적자금 361억 회수…총 116조 8000억, 회수율 69.3%",2020.06.01,3
44,"[아경 히트상품]한화생명, 주계약 보장질환 18개로 확대",2020.05.26,3
45,"한화생명, 연도대상 대신 랜선 보험콘서트 개최",2020.05.26,3
46,"보험설계사 1분기 영업 실적 줄지 않아…""코로나 영향 없어""(종합)",2020.05.18,3
47,보험사 1분기 비대면 판매채널 '코로나 반사익' 없었다,2020.05.18,3
48,"한화생명, '라이프플러스 어른이보험' 출시…30세까지 가입 가능",2020.05.18,3
49,한화생명·현대해상 '저금리·코로나19' 악재 속 선방…삼성화재 순익↓(종합),2020.05.14,3
50,"한화생명, 1분기 당기순익 839억…전년비 261%↑",2020.05.14,3
51,"'언택트·비대면'에 사활건 보험업계…""성장이 목마르다""",2020.05.09,3
52,"한화손보 임직원, 코로나 극복 헌혈 캠페인 동참",2020.05.07,3
53,"KDB생명 소비자민원 폭주…""공격 경영에 부작용 돌출""(종합)",2020.05.06,3
54,KDB생명 '민원왕' 못벗나…소비자 불만 폭주,2020.05.06,3
55,"한화생명, 라이프파크 코로나 생활치료센터 운영 종료",2020.05.05,3
56,"늘어나는 의료비…가정의 달, 어린이·孝보험 선물 어때요(종합)",2020.05.04,3
57,"늘어나는 의료비, 어린이·孝보험으로 걱정 '뚝'",2020.05.04,3
58,"보험사 해외투자 한도 50% 완화…""업계, 숨통 트였다""",2020.04.30,3
59,'비대면'…코로나 사태 후 새로운 보험 문화로 떠올랐다,2020.04.30,3
60,"3대 생명보험사, 설계사 줄었는데 계약건수는 늘었다",2020.04.28,3
61,"""코로나 사태 이후 가입 쉽고 저렴한 온라인 보험 주목""",2020.04.28,3
62,"[아시아톱브랜드]한화생명, 암·치매 등 18개 질환 보장",2020.04.27,3
63,"저금리 보험사, 해외투자 한도 턱끝까지 찼다",2020.04.27,3
64,2년도 못 채우고 보험 깨더라…계약유지율 관리 '경고'(종합),2020.04.24,3
65,2년도 못 채우고 깨는 보험 늘었다…건전성 '빨간불',2020.04.24,3
66,'눈물의 보험 해지' 세 달 동안 7조원 깼다(종합),2020.04.22,3
67,'눈물의 보험 해지'…올 들어 3개월 만에 7조원 깼다,2020.04.22,3
68,"한화생명, 백혈병·소아암 환아에게 마스크 기부",2020.04.20,3
69,금융당국 압박에도 보험약관대출 금리 또 인상(종합),2020.04.16,3
70,'불황형 대출' 보험 약관대출 금리 또 인상,2020.04.16,3
71,"BC카드, 케이뱅크 구원투수로…KT 대신 지분 34% 취득 결정",2020.04.15,3
72,한화손보 이어 한화생명 임원도 급여 자진 반납,2020.04.14,3
73,"한화생명, '사회적 거리두기' 비대면으로 사회공헌활동 실시",2020.04.09,3
74,"생명보험 해외투자 112兆…""코로나發 환율변동에 좌초 우려""(종합)",2020.04.02,3
75,해외투자 112兆인데…환헤지 리스크 커지는 생보사,2020.04.02,3
76,생보사 중위권 경쟁 치열…신한·동양↑ 오렌지↓(종합),2020.04.01,3
77,"3중고 보험사, 주가 곤두박질",2020.04.01,3
78,2019 생보사 자산순위…신한·동양↑ 오렌지↓,2020.04.01,3
79,공적자금 회수율 69%…지난해 6000억 회수,2020.04.01,3
80,"한화생명, 18개 질병·장해까지 보장하는 GI보험 출시",2020.04.01,3
81,내일부터 종신보험료 최대 10%↑…'릴레이' 예정이율 인하,2020.03.31,3
82,"코로나19에 보험가입도 온라인으로…""연 6370원에 유방암 보장""",2020.03.28,3
83,금감원 'CEO 중징계 권한' 논란…우리·하나 CEO 중징계 무효화?,2020.03.28,3
84,"""내렸을 때가 기회다"" 보험사 임직원, 자사주 매입 열풍",2020.03.28,3
85,"한화생명, 코로나 피해 고객 특별지원 확대…""소상공인 포함""",2020.03.27,3
86,생명보험 6월 보험료 인상 예고…절판 앞두고 눈치싸움(종합),2020.03.25,3
87,"보험료 인상 6월로 연기, 더 오를까",2020.03.25,3
88,"손태승 우리금융 회장, 연임 성공…이변없이 '3년 더'",2020.03.25,3
89,손태승 우리금융 회장 연임 오늘 주총서 확정,2020.03.25,3
90,IFRS17 2023년으로…희소식에도 웃지 못하는 보험사(종합),2020.03.18,3
91,IFRS17 1년 또 연기…희소식에도 웃지 못하는 보험사,2020.03.18,3
92,'0% 제로금리' 쇼크…보험사 수익·건전성도 흔들(종합),2020.03.17,3
93,'0% 제로금리' 쇼크…보험사 줄파산 위기,2020.03.17,3
94,"재택·3교대·유급휴가…금융권 ""콜센터, 코로나19 감염 막아라""",2020.03.15,3
95,초저금리 여파…생보사 매도가능증권 400조 '역대 최대'(종합),2020.03.13,3
96,코로나19에도 보험사 주총 연기 없다(종합),2020.03.13,3
97,보험사 주총 시즌 개막…코로나19에도 연기 없다,2020.03.13,3
98,초저금리에 생보사 매도가능증권 역대 최대 '400조',2020.03.13,3
99,집단감염 온상된 콜센터…재택도 어렵고 마스크도 못 쓴다(종합),2020.03.10,3
100,에이스손보 콜센터 코로나19 집단감염…보험업계 비상대응 '분주',2020.03.10,3
101,손해 산정하고…계리하고…보험전문가 스카우트 경쟁(종합),2020.03.09,3
102,손해사정사·계리사…전문인력 확보에 팔걷은 보험사,2020.03.09,3
103,"한화생명, 코로나19에 설계사 온라인 특별교육 실시",2020.03.09,3
104,보험의 위기…주가가 말해준다,2020.03.07,3
105,'설계사 1만명' 보험법인대리점 4곳으로 늘어…보험사 '추월',2020.03.06,3
106,보험사 '해외투자 30% 룰' 국회서 발목 잡히나(종합),2020.03.05,3
107,"해외투자 룰 완화 무산…보험사 ""기대 컸는데 허탈""",2020.03.05,3
108,4월 보험료 오르기 전에 '절판마케팅' 주의보(종합),2020.02.25,3
109,보험료 오르기 전에 '절판마케팅' 주의보,2020.02.25,3
110,금융그룹 위험도 15등급으로 세분…우수 등급에 인센티브(종합),2020.02.24,3
111,"은성수 금융위원장 ""금융그룹 내부통제 규율 도입할 것""",2020.02.24,3
112,4월부터 생명보험료도 오른다‥보험료 5~10% 인상,2020.02.20,3
113,'6년 만에 적자' 한화손보…해결사로 '재무통' 택했다(종합),2020.02.18,3
114,"적자 한화손보, '재무통 구원투수' 선택",2020.02.18,3
115,'코로나19 확산' 보험사들 '신남방정책' 타격올까 전전긍긍,2020.02.13,3
116,"한화금융 계열사 브랜드 '라이프플러스', iF 디자인 어워드 본상 수상",2020.02.12,3
117,한화생명 지난해 순익 571억…전년비 87.1%↓,2020.02.07,3
118,"한화생명, 65개 보육원에 심장소리 들리는 허그토이 인형 기부",2020.02.07,3
119,"""코로나 때문에"" 쏟아지는 고객 약속 취소에 보험설계사들 울상(종합)",2020.02.06,3
120,"""설계사 못 만나겠어요"" 신종 코로나에 보험 영업도 움츠러들었다",2020.02.06,3
121,"한화금융계열사, 디지털시대 맞춰 새 성과관리체계 도입",2020.02.06,3
122,韓 간병보험 가입 2.5% 그쳐…日보험사는 요양사업도 진출(종합),2020.02.04,3
123,노인 10명 중 3명 '요양서비스 사각지대',2020.02.04,3
124,"한화생명, 3대 신평사 보험금지급능력 최고등급 획득",2020.02.04,3
125,"한화생명, 고객과 함께 청년들에게 보험기부",2020.01.30,3
126,삼성·현대차 등 6개 대기업 금융그룹 리스크 방지안 나온다(종합),2020.01.29,3
127,"한화생명, 레몬브릿지와 건강검진 결과 제출 간소화",2020.01.22,3
128,"금소연 ""보험금 청구하자 계약 임의로 해지…나쁜 관행""",2020.01.20,3
129,"여승주 한화생명 대표 ""글로벌 수준 준법경영 실천""",2020.01.20,3
130,"한화생명, 보험금 지급 심사에 AI 도입",2020.01.15,3
131,"한화생명 노사화합 선포 ""상생협력 문화 정착""",2020.01.13,3
132,새해에도 '간편가입 보험' 열기 이어진다,2020.01.04,3
133,"한화생명, 유병자·고령자도 간편 가입 건강보험 선봬",2020.01.02,3
134,"""올해 생명보험사 화두는 재무건전성""…교보생명 두각(종합)",2019.12.31,3
135,"교보생명, 재무건전성 '톱' 찍었다…선제대응 통했다",2019.12.31,3
136,"여승주 한화생명 사장 ""기존 틀 깨고 변화주도하자""",2019.12.27,3
137,"은성수, 보험사 CEO 만나 ""실손보험 구조개편 범정부적으로 추진""",2019.12.19,3
138,"[아경 히트상품]한화생명, 보험가입 힘든 유병자 전용 종신보험",2019.12.19,3
139,"소통 넓히는 보험사, 새 작전명은 '밀레니얼'",2019.12.17,3
140,"한화생명, 효도여행저축보험 출시",2019.12.17,3
141,소액암 보장 늘린 암보험에 '4050 여성' 눈길,2019.12.15,3
142,소비자중심경영 명예의 전당...교보생명·한화생명 뽑혔다,2019.12.13,3
143,"풀무원식품, 12년 연속 '소비자중심경영' 인증…'명예의 전당' 올라",2019.12.13,3
144,보험사 CEO '깜짝 발탁'은 없었다,2019.12.12,3
145,"해외에서 보는 우리금융 ""DLF 사태, 큰 관심 안 두더라""",2019.12.09,3
146,지방은행 '디지털 체질' 바꾸기 한창,2019.12.06,3
147,"JB금융, 신설 조직 CDO에 박종춘 상무 선임",2019.12.05,3
148,"'장수 CEO' 차남규 한화생명 부회장, 경영서 물러나",2019.12.02,3
