,Title,Date,Category
0,한화에어로스 지난해 세계 무기판매 46위…韓방산업체 '껑충',2019.12.09,2
1,"김정은 하노이 行, 어디를 가도 '韓노이'",2019.02.11,2
2,한화지상방산-한화디펜스 통합… 세계 방산시장 20위권 목표,2019.01.03,2
3,"방진회, 국방개혁 연계한 심포지엄 개최",2018.12.21,2
4,"[양낙규의 Defence Club]한화, 카이 지분 매각 의미는",2018.07.14,2
5,"성윤모 장관, 선박·항공기 엔진기업 잇달아 찾는다",2019.06.05,3
6,"[단독]아시아나, '오너리스크' 방지 대안 '국민기업화'",2019.05.13,3
7,"""청년일자리 특급파트너로"" 김동만 산업인력공단 이사장의 도전",2018.08.28,3
8,"산업인력公-한화에어로스페이스, 우수 기술·기능인력 육성 협약 체결",2018.08.20,3
9,"㈜한화, 한화정밀기계 '협동로봇사업' 양수",2020.08.13,4
10,"한화에어로스페이스, 2Q 영업이익 702억원…전년比 10.9%↓",2020.08.11,4
11,"""우주발사체 족쇄 풀렸다"".. 한화·KAI 등 반색",2020.07.29,4
12,"한화에어로스페이스, 준법문화 위한 '컴플라이언스 위크' 개최",2020.06.30,4
13,"한화에어로스페이스, 협력사 상생펀드 100억원 추가…'코로나 극복 차원'",2020.06.23,4
14,"한화에어로스페이스, 교섭 3년 만에 임단협 마무리",2020.05.11,4
15,"KAI, LIG넥스원 등 협력사와 수출경쟁력 확보 위한 협약 체결",2020.02.21,4
16,"한화정밀기계, 북미 최대 SMT 전시회서 고속 칩마운터 장비 전시",2020.02.06,4
17,"한화에어로스페이스, 준법·투명 경영 강화…실천자 데이 행사 진행",2020.01.28,4
18,[인사] 한화에어로스페이스·테크윈·디펜스·파워시스템,2019.11.28,4
19,"한화에어로스페이스, 美 GE와 3500억원 규모 항공기 엔진부품 공급계약 체결",2019.11.18,4
20,"비상하는 한화에어로, 항공엔진 협력사 英 롤스로이스 공장 가보니",2019.11.11,4
21,"한화에어로, 3분기 영업익 571억…방산·엔진 사업 견인",2019.11.11,4
22,"한화에어로, 英 롤스로이스와 10억달러 규모 항공기 엔진부품 공급계약",2019.11.06,4
23,동반성장 주간 개막…주은기 삼성電 부사장 은탑훈장,2019.11.06,4
24,"한화 방산계열사, 전차·전투기 한자리…'아덱스 2019' 참가",2019.10.14,4
25,"한화, 창립 67주년 맞아 대규모 사회공헌활동… '함께 멀리' 동반성장 가치 구현",2019.10.10,4
26,"한화에어로스페이스, 항공분야 다크호스 될까",2019.10.06,4
27,"한화에어로스페이스, 美 항공엔진 부품 업체 '이닥' 인수 완료",2019.10.01,4
28,"함께하는 명절, 대기업 협력사 조기대금지급…상생 빛났다",2019.09.13,4
29,"한화에어로, 그룹 미운오리에서 백조될까?",2019.08.17,4
30,"한화에어로스페이스, 2분기 영업익 471% 증가…'흑자전환'",2019.08.12,4
31,"한화파워시스템, 성남시 소외계층에 공기청정기 150대 기부",2019.08.08,4
32,동반성장위원회 첫번째 '혁신성장 투어' 경상남도와 개최,2019.07.15,4
33,"한화에어로스페이스, 제4회 '컴플라이언스 위크' 진행",2019.06.27,4
34,[脫코리아] 한국 첨단기술 기업 빨아들이는 베트남,2019.06.19,4
35,"한화에어로스페이스, 세계 3대 파리 에어쇼 참가",2019.06.18,4
36,[기업이 뛴다]'통큰 투자' 글로벌 항공엔진 전문기업 날갯짓,2019.06.14,4
37,"한화에어로스페이스, 美 항공엔진 부품업체 3500억원에 인수",2019.06.10,4
38,"한화에어로스페이스, 서울대 우주항공공학과생 사업장 견학 실시",2019.05.27,4
39,"[르포]한화에어로스페이스, 첨단제조로봇 80여대가 24시간 풀가동",2019.05.21,4
40,[르포]40년 만에 첫 공개된 '한화에어로스페이스' 창원사업장 가보니,2019.05.20,4
41,"한국-프랑스, 포괄적 우주협력 저변 확대",2019.05.17,4
42,"한화에어로스페이스, 협력사와 공정거래 협약식…""상생 실천""",2019.05.14,4
43,"신현우 한화에어로스페이스 대표 ""혁신적 기술경쟁력 갖춰야""",2019.05.13,4
44,"한화에어로스페이스, 1Q 영업적자 축소…""아시아나 인수계획 없다""",2019.05.08,4
45,"한화그룹 항공·방산 계열, 실탄 쌓는다",2019.05.01,4
46,"한화, 아시아나항공 인수 후보군 부상…기존 사업과 시너지 '강점'",2019.04.30,4
47,"금호산업, '아시아나 매각 논의' 긴급 이사회…항공산업 재편기 오나",2019.04.15,4
48,"한화, 강원 산불 피해 복구위해 5억원 기탁·600명 임직원봉사단 파견",2019.04.10,4
49,김승연 한화그룹 회장 '복귀' 대신 '친정체제 구축' 택했다,2019.03.17,4
50,한화 '금춘수·여승주 투톱'…김승연 회장 친정체제 구축,2019.03.14,4
51,"한화에어로스페이스, 2018년 4분기 영업익 572억원…23.5%↑",2019.02.20,4
52,"'집유' 터널 나온 김승연, 베트남 항공·금융 승부건다",2019.02.19,4
53,"김승연 한화 회장, 대표이사 복귀 언제쯤?",2019.02.12,4
54,"한화, 설 명절 앞두고 협력사 대금 900억원 현금 조기지급",2019.01.29,4
55,"김동관·동원 한화그룹 3세들, 다보스서 '무한기업' 성장동력 찾는다",2019.01.24,4
56,"한화에어로스페이스, 17억달러 규모 항공기 엔진부품 공급계약",2019.01.23,4
57,"한화, '매출 100조 시대' 금융 포트폴리오 확대한다",2019.01.04,4
58,한국에 빠진 베트남…박항서 열풍 전 삼성전자 있었다,2018.12.16,4
59,[인사]한화에어로스페이스 外,2018.12.10,4
60,父 함께 첫 해외 출장…경영 보폭 넓히는 한화家 3세 김동원,2018.12.07,4
61,"김승연 한화 회장, 베트남 최대 기업 빈 그룹 회장과 면담",2018.12.07,4
62,"김승연 한화 회장, 한화에어로스페이스 베트남 공장 준공식 참석",2018.12.06,4
