,Title,Date,Category
0,중국산 냉동다슬기살서 납 기준치 초과 검출,2016.09.30,2
1,급식업체와 수산물 메뉴 개발…어식백세 캠페인,2014.09.28,2
2,"현대백화점그룹, 천연 화장품 원료 1위 SK바이오랜드 인수",2020.08.18,3
3,"현대백화점, 중소 식음료 매장 700여 곳 수수료 낮춘다",2020.03.18,3
4,"현대그린푸드, 스마트푸드센터 가동…급식 넘어 B2C 진출",2020.03.04,3
5,"현대백화점그룹, 모든 상장 계열사에 전자투표제 도입",2020.02.25,3
6,현대百·신세계 아픈 손가락…'실적 늪' 가구 자회사들에 고민,2020.02.12,3
7,"현대그린푸드, 지난해 영업익 901억…전년比 34.4% ↓",2020.02.11,3
8,"[단독]신세계푸드, 1일1만 급식 수주…피코크 위탁판매권 획득 '실적부침 극복'",2020.01.16,3
9,초고령화 사회 코앞…식품기업 '케어푸드' 사업 본격 시동 건다,2020.01.07,3
10,"현대그린푸드, 이천 호텔서 뷔페 레스토랑 운영",2019.12.29,3
11,"현대百그룹, 총 64명 임원인사 단행…젊은 인재 대거 발탁",2019.11.29,3
12,"현대백화점 판교점, 29일 '이탈리 나이트' 진행",2019.11.24,3
13,홈파티 수요 잡으러 나선 유통업계…와인으로 공략(종합),2019.11.15,3
14,"'100% 착즙주스' 조앤더주스, 서울 강남 럭셔리 호텔 입점",2019.09.08,3
15,"현대그린푸드, 현대百 판교점서 '이탈리 나이트' 진행",2019.08.23,3
16,현대百그룹 계열사 지배구조헌장 공표…주주친화 행보에 앞장선다(종합),2019.08.14,3
17,"정지선 회장, 경영 투명성 제고에 속도…계열사 지배구조헌장 공표",2019.08.14,3
18,"공장 건설 적극 나서는 식품업계…""생산력 높여 경쟁력 강화""",2019.08.07,3
19,"현대그린푸드, 라마다 대전 호텔 레스토랑 운영 … “프리미엄 컨세션 사업 순항”",2019.06.30,3
20,민어회·돌미역…보양에는 '자연산 먹거리'가 최고(종합),2019.06.27,3
21,"현대그린푸드, 푸드코트서 '자연산 햇 돌미역국' 출시",2019.06.27,3
22,"현대그린푸드, 中企표 '프리미엄' 계란 홍콩에 수출",2019.06.16,3
23,"현대그린푸드 ""항산화 물질 풍부 '폴리페놀 채소' 맛 보러오세요""",2019.06.11,3
24,"현대그린푸드, 그로서란트 '이탈리' 인기 급증…매출 전년比 63.5% '↑'",2019.05.19,3
25,"[포토]현대그린푸드, ""대구 명물 '반고개 무침회' 백화점에서 즐겨보세요""",2019.05.19,3
26,"놀이공원으로 변신한 현대百…""이른 무더위 피해 실내에서 즐겨요""",2019.05.19,3
27,"현대H몰, '간편 장보기용 꿀조합 세트' 6종 출시",2019.05.19,3
28,"현대그린푸드, 덴마크 착즙주스 브랜드 ‘조앤더주스’ 10호점 오픈",2019.05.19,3
29,"현대그린푸드, 혈당 잡는 '혈당강하쌀' 출시…""프리미엄 식재료 강화""",2019.03.25,3
30,"[포토]현대그린푸드, ""봄나물 올린 회덮밥으로 향긋한 봄향기 느껴보세요""",2019.03.10,3
31,"[포토]현대그린푸드, '봄 느낌 물씬' 폭신폭신한 수플레 팬케이크 맛보세요",2019.02.21,3
32,"[포토]현대그린푸드 ""이번 설엔 독특한 트러플·파스타 선물하세요""",2019.01.23,3
33,"[포토]""연화식, 입에서 살살 녹네~"" 현대百, 설 선물세트 출시",2019.01.22,3
34,"현대홈쇼핑 ""설 선물세트 5000개 준비했습니다""",2019.01.14,3
35,"현대홈쇼핑, '북극곰은 아이스팩을 좋아해' 캠페인 확대",2019.01.06,3
36,크리스마스 연휴 '집순이·집돌이'를 잡아라…대세는 홈파티(종합),2018.12.11,3
37,"현대그린푸드, 이탈리안 스타일 '크리스마스 홈파티' 상품 출시",2018.12.11,3
38,환경부 '일회용컵' 이어 '캡슐커피' 규제 나설까…유럽선 규제 강화(종합),2018.10.31,3
39,"""2020년 매출 1조원 넘기겠다""…현대百면세점 내일 오픈",2018.10.31,3
40,"일회용품 규제 강화 캡슐커피까지 번지나…환경부 ""심각성 판단되면 검토""",2018.10.31,3
41,고령식·환자식 등 특수식 사업 진출 활발…롯데도 '만지작',2018.10.23,3
42,[포토]독일 황실용 커피 '달마이어'캡슐 커피로 즐겨보세요,2018.10.07,3
43,"[포토]현대백화점, ""'코세페' 기간 가정간편식 '원테이블' 할인 판매""",2018.10.03,3
44,"[포토] ""현대백화점에서 '송로버섯' 만나보세요""",2018.10.03,3
45,"현대그린푸드, 온라인 유기농·친환경 식품 매출 50% '급증'",2018.10.03,3
46,"""이제는 식자재 유통""…현대·CJ 등 제조라인 설비투자 봇물(종합)",2018.09.19,3
47,"""현대 이어 CJ""…식품업체 ""식자재 제조라인 설비투자 봇물""",2018.09.19,3
48,"현대그린푸드, 부드러운 한우 갈비찜 등 '연화식' 추석선물세트 8종 출시",2018.09.13,3
49,"현대그린푸드, 국내 최초 HMR 연화식 판매…내년까지 100종 확대",2018.08.22,3
50,남북 이산가족 상봉행사 케이터링 메뉴는 '연화식 갈비찜',2018.08.15,3
51,"'미니언즈 우유', 누가 만들었는지 아시나요",2018.07.29,3
52,한화發 신호탄…일감몰아주기 해소 재계로 번지나,2018.06.01,3
53,평창동계올림픽 선수촌에 식재료 '국내산'으로 공급,2018.01.31,3
54,"현대백화점그룹, 11일간 '쇼핑 페스티벌' 개최…최대 70% 할인",2017.11.21,3
55,"[포토]현대그린푸드, 국립 강릉원주大와 평창 동계올림픽 서포터즈 지원 MOU 체결",2017.10.31,3
56,"현대그린푸드, 건강전문식 사업 본격 진출…“국내 최초 연화식(蓮花食) 개발”",2017.10.19,3
57,[정책 사각지대 논란①]역차별의 덫…토종기업 발 묶인 사이 외국계 '날개',2017.10.17,3
58,"현장노동청, 제1호 국민 제안·진정 13일 만에 해결",2017.09.24,3
59,"정지선 현대百 회장의 뚝심 ""혁신도 중요하지만 직원이 먼저""(종합)",2017.08.29,3
60,"현대百, 유통업계 최초 '2시간 휴가제' 도입",2017.08.29,3
61,"현대百, 비정규직 2300여명 정규직 전환…""사회적 책임 이행""",2017.08.16,3
62,"현대백화점그룹, 12개 계열사 멤버십 통합…'H포인트' 선봬",2017.08.09,3
63,"현대그린푸드, 최현석·오세득 셰프 등과 ‘푸드 콘텐츠 강화’ MOU 체결",2017.06.01,3
64,"[포토]현대百, '반값' 한우 스테이크를 즐겨보세요",2017.05.01,3
65,"현대百그룹, 사회적기업 육성사업 '패셔니스타' 모집",2017.04.20,3
66,"[포토]현대百, 한돈자조금과 돼지고기 소비 촉진 행사 진행",2017.04.19,3
67,"현대그린푸드, 쿠웨이트서 150억 규모 단체급식 계약 체결",2017.04.10,3
68,30대 그룹 관료 출신 사외이사 비중 절반 가까이 달해,2017.03.22,3
69,정지선의 '패션왕국' 편집숍에 꽂히다…영패션 '언더라이즈' 준비,2017.02.23,3
70,"현대백화점그룹, 협력사에 물품대금 4100억 조기 지급",2017.01.12,3
71,[인사]현대백화점그룹,2016.12.09,3
72,"현대그린푸드, 유네스코한국위원회에 후원금 6000만원 전달",2016.12.09,3
73,[솔로이코노미 시대의 식탁]유통 대기업 간편식 대전,2016.12.06,3
74,[인사]현대백화점그룹,2016.11.28,3
75,"현대그린푸드, 농림축산식품부와 해외 식자재 수출 협력 업무협약 체결",2016.11.17,3
76,브렉시트에 국내 유통株 웃는다?,2016.06.28,3
77,"[포토]현대百, '매그놀리아' 무역센터점에 오픈",2015.12.15,3
78,"현대百그룹, 사장단 인사 없는 조용한 인사…'변화'보다 '안정'",2015.12.10,3
79,[인사]현대백화점그룹,2015.12.09,3
80,2015 희비 엇갈린 유통株…'고공성장' 편의점 웃고 '내우외환' 홈쇼핑 울',2015.11.23,3
81,"현대그린푸드, 단체급식업계 최초 ‘2015 국제 비즈니스대상’ 금상 수상",2015.11.18,3
82,"현대그린푸드, 3Q 영업익 232억…전년比 20.8% ↑",2015.11.06,3
83,"현대그린푸드, ‘아프리카 희망의 급식소’ 설립",2015.09.21,3
84,"현대百, ‘광복 70주년 축하’ 대규모 프로모션 진행",2015.08.05,3
85,쿡방 열풍에 덩달아 웃는 유통街…식품관·간편식에 몰린다,2015.07.21,3
86,"현대그린푸드, 서울국제음식영화제 공식 협찬",2015.07.09,3
87,"오흥용 현대그린푸드 사장, ‘식품 안전의 날’ 대통령상 수상",2015.05.14,3
