,Title,Date,Category
0,[양낙규의 Defense video]전방 지뢰 없앨 전차는,2020.08.08,2
1,[양낙규의 Defense Club]쏟아진 방산 수주계약… 속 사정은,2020.07.01,2
2,"현대로템, 투명수주심의위 신설…""투명성 강화""",2020.04.20,2
3,"KT, 법무부 출신 컴플라이언스위원장 곧 선임…前검사장, 법무실장行",2020.04.02,2
4,[양낙규의 Defence video]현대로템이 선보인 국내 첫 자주도하장비,2020.01.27,2
5,[양낙규의 Defence Club]첫 자주도하장비 수주 놓고 2파전,2020.01.27,2
6,[양낙규의 Defence Club]궁지몰린 방산기업… 탈출구 없이 허덕,2020.01.16,2
7,"국방부, 방위산업 육성 7278억원 투입",2020.01.08,2
8,칼바람·93세 나이도 한국 배우기 걸림돌 안돼,2019.11.26,2
9,"자주국방의 첫 단추…ADD, 국방 '연구개발' 활성화 방안 논의",2019.10.24,2
10,"정지권 의원 ""서울교통공사 지하철 신기술 적용, 30년간 약 1299억원 비용절감""",2019.09.02,2
11,"文 ""형제이자 친구인 모디 총리""…모디 ""형제이자 친구인 문 대통령""",2019.02.22,2
12,"산업부, '2018 로봇인의 밤' 개최…김영수 현대로템 본부장 산업포장",2018.12.19,2
13,"로봇산업진흥원, '제3회 테크데이 2018' 개최",2018.12.07,2
14,"방사청, K2전차 2차 양산 수정계약",2018.11.22,2
15,"하태경 ""민노총 9곳·한노총 3곳, 사업장 단협에 '고용세습' 조항 유지""",2018.10.24,2
16,[양낙규의 Defence Club]AI전투 국내 군사기술로 가능할까,2018.09.30,2
17,"문 대통령, 이집트 대통령과 뉴욕에서 정상회담…""이집트 진출 삼성, LG에 관심을""",2018.09.27,2
18,[양낙규의 Defence Club]DMZ 지뢰제거 장비 개발 속도,2018.07.05,2
19,[2017국감] K2 전차 국산변속기 놓고 공방…S&T중공업 대표 출석,2017.10.13,2
20,왕십리~상계역간 동북선 경전철 사업 속도 낸다,2017.07.24,2
21,방산물품 원가 부정행위땐 이익금의 2배 벌금,2017.06.21,2
22,軍장성들에게 던지는 반문,2017.04.17,2
23,방산수출액 5년전으로 후퇴,2017.02.09,2
24,세계 100대 방산기업중 국내기업 6개 포함,2016.12.01,2
25,"현대로템, 차륜형장갑차 개발… '전투용 적합' 판정",2016.06.07,2
26,"K2전차 추가 생산 검토… 현대로템, S&T중공업 탄력받나",2016.05.12,2
27,현대로템 인도 수출 전동객차 무관세 적용,2016.03.17,2
28,세계는 지금 무인로봇개발 전쟁중… 개발현황은,2016.01.20,2
29,"무역보험公, 현대로템 전동차 수출에 6400만유로 지원",2015.12.17,2
30,저가입찰방식에 국내 방산기업 ‘만성적자’,2015.12.16,2
31,두산DST 매각설… 지상무기분야 방산기업 재편되나,2015.11.10,2
32,[보름달만 둥둥…시름 깊은 방위산업]③ 방산수출 안되는데 손만 내미는 軍,2015.09.28,2
33,상반기 방산수출액 ‘지난해 절반수준’,2015.07.07,2
34,올해부터 첨단 차륜형 장갑차 배치된다,2015.07.04,2
35,불량부품 사용한 방산기업 ‘과징금 폭탄’ 위기,2014.12.10,2
36,감사원 방위사업청 대상 감사계획 통보,2014.12.05,2
37,현대로템 K2전차에 사용됐던 성적위조 부품… 규제완화,2014.12.04,2
38,<오늘 국감 일정>,2014.10.17,2
39,<10월17일 국감 일정>,2014.10.16,2
40,"朴대통령 ""코트디부아르와 실질협력 심화 기대""",2014.10.07,2
41,한·코트디부아르 정상회담…21억弗 철도사업 논의,2014.10.07,2
42,화력시범 나선 현대로템의 K2전차… '심장'이 문제,2014.09.27,2
43,육군·육군협회 '속빈 방산전시회'고집… 방산기업만 골병,2014.09.24,2
