,Title,Date,Category
0,"현대위아, 1억달러 함포 수출",2020.08.26,2
1,레이저·GPS 기술 접목한 신형 '81㎜ 박격포Ⅱ' 개발 성공,2019.08.29,2
2,제조업 생산성 향상은 기계산업으로부터…'2018 기계의 날' 개최,2018.11.14,2
3,[양낙규의 Defence Club]AI전투 국내 군사기술로 가능할까,2018.09.30,2
4,[양낙규의 Defence Club]차세대 자주포 K-9는,2018.04.03,2
5,[양낙규의 Defence Club]가압류 딱지위기놓인 해군의 함포,2017.10.19,2
6,세계 100대 방산기업중 국내기업 6개 포함,2016.12.01,2
7,[양낙규기자의 Defence]최전방 무인경계 구축… 설치된 무기는,2016.08.17,2
8,다시 후퇴하는 방위산업,2015.12.15,2
9,[2015 세계방산시장]세계 무기수출 1~3위 기업 매출액은,2015.11.19,2
10,[2015 세계방산시장]전세계 국방비지출 0.4% 줄었다… 美 6.5% 축소,2015.11.19,2
11,"산업부, 모범 전략물자 관리기업과 상생협약",2015.10.20,2
12,[양낙규기자의 Defence Movie]위력 강해진 최강 K-9 자주포,2015.09.26,2
13,박정희 전 대통령이 ‘ADD’ 창설한 이유는 ‘미국에 배신감’,2015.08.05,2
14,"[포토]윤상직 ""34조원 투자프로젝트 차질없이 추진 노력하겠다""",2015.02.11,2
15,"(주)한화, 개량형 81㎜ 박격포 개발에 나선다.",2014.12.11,2
16,"이 총리 ""소재부품산업 육성재원, 특별회계 등으로 확보""",2019.08.14,3
17,"이 총리 ""소재·부품·장비산업 육성에 예산 지속 지원""",2019.08.14,3
18,제조업 생산성 향상은 기계산업으로부터…'2018 기계의 날' 개최,2018.11.14,3
19,"현대위아, 공작기계 서비스 경진대회 개최",2017.10.30,3
20,"현대위아, 국내 최대 방산 전시회서 첨단 무기 전시",2017.10.17,3
21,"현대위아, 中에 300평 규모 공작기계 전시장 오픈",2017.10.16,3
22,"'1위 건축사무소' 희림, 하도급 대금 미지급으로 3.7억 과징금",2017.07.25,3
23,영세사업자 손목 비틀어 하도급대금 깎은 현대위아…공정위 과징금 철퇴,2017.06.25,3
24,"HMC투자증권, 이용배 대표이사 신규 선임",2017.03.17,3
25,'역대 최대' 금형전시회 개최…20개국 450개사 참여,2017.03.07,3
26,"닥쳐온 4차산업혁명…2명 중 1명 ""내 일자리 줄어들 것""",2017.02.22,3
27,"정부, 4차 산업혁명 전략 짠다…""우선 추진과제 선정할 것""",2017.02.22,3
28,[SK그룹 인사]안정보단 변화 기조 뚜렷…시선은 삼성·현대차로,2016.12.21,3
29,"현대위아, 국내 최초 친환경 4륜구동 시스템 개발",2016.11.08,3
30,"현대모비스, 글로벌 車부품업체 매출 4위",2016.09.14,3
31,"현대위아, 美 'IMTS 2016'서 첨단 공작기계 신제품 출시",2016.09.12,3
32,"현대위아, 금형 공작기계 로드쇼 개최",2016.08.18,3
33,"현대위아, 안전사고 '제로' 나선다",2016.08.10,3
34,"현대위아-지멘스, 기술인재 양성 나선다",2016.07.13,3
35,"현대위아 임직원, 전국 복지기관에 차량 10대 기증",2016.06.15,3
36,"[단독] 정의선 부회장, 중국 출국...실적 개선 나선다",2016.04.28,3
37,"현대차그룹, '멕시코 시대' 문 열었다",2016.04.22,3
38,"현대위아, 공작기계 전시회서 신제품 대거 공개",2016.04.07,3
39,멕시코 점검 나선 현대차 계열 두 사장,2016.04.04,3
40,"현대위아, 국내 최초 등속조인트 1억개 생산 돌파",2016.03.21,3
41,조인성·최지우 '성실납세' 대통령표창 수상…제50회 납세자의날 행사 열려,2016.03.03,3
42,[특징주]현대차 등 자동차株 줄줄이 하락,2016.01.11,3
43,"대신證, 자동차산업 투자의견 '중립'으로 하향조정",2016.01.11,3
44,"현대위아 노사, 사랑의 김장 담그기",2015.11.23,3
45,"국내 인공관절 1인자, 세계 무릎 통증 잡는다",2015.11.18,3
46,"현대위아, 협력사와 상생 아이디어 품평회 개최",2015.11.11,3
47,반환점 돈 3Q 실적발표…'몸값' 올린 기업들 많다,2015.10.29,3
48,"현대로템, 차륜형장갑차 등 첨단무기 ADEX서 공개…""전차 전문 생산기업""",2015.10.19,3
49,"현대차그룹, 중국사업담당 임원 두달만에 교체(종합)",2015.10.16,3
50,"현대기아차, 멀어진 中 시장 목표… '4분기 총력'",2015.10.06,3
51,"현대모비스, 글로벌 부품업체 4위로 껑충",2015.09.30,3
52,"현대차그룹,  쇄신 인사로 중국시장 대응",2015.08.18,3
53,"현대위아, 지멘스와 손잡고 '기술인력' 양성",2015.07.07,3
54,"현대위아, 급여 1% 나눔운동 전개",2015.06.19,3
55,"현대모비스, 글로벌 부품업 2년 연속 6위",2015.06.17,3
56,"현대위아, 1분기 영업익 1302억..전년比 2%↓",2015.04.24,3
57,"현대위아, 부변속기 누적생산 500만대 돌파",2015.04.06,3
58,"""현대위아, 중장기 매수 기회""",2015.02.23,3
