,Title,Date,Category
0,해외여행자보험 질병·사망 지급액 '급증'…118%↑,2019.10.01,2
1,"'대한독립 만세' 100주년…정부, 광화문광장서 3·1절 기념식 개최",2019.02.28,2
2,"이석현 ""해외여행 보험금 지급액 3년간 꾸준히 증가…지난해 161억원""",2018.09.24,2
3,"해외여행 보험금 지급액, 지난해 ‘161억원’…해외 사건·사고 늘어",2018.09.24,2
4,월300원에 지진 피해 1230만원 보상…풍수해보험 가입 '러시',2017.02.01,2
5,"지진 피해, 풍수해보험으로 보상 받는다",2016.09.23,2
6,군 복무 중 사망땐 보험금 1억원 지급,2016.03.21,2
7,상하수도료 등 공공요금 릴레이 인상,2016.02.14,2
8,"갑작스런 폭설 피해, '풍수해보험'이 효자 노릇했다",2016.02.10,2
9,"중앙부처 김 과장, 휴직하고 삼성으로 출근하는 까닭",2015.11.18,2
10,수제화 메카 성수동에 1만㎡ '특화산업 클러스터' 조성,2015.10.22,2
11,"공정위, 휴대전화 보험상품 실태조사 착수",2015.10.11,2
12,"[2014국감]정무위, KB사태 관련 임영록·이건호 증인 채택",2014.10.08,2
13,"이종걸 ""국내 손보사, 자회사에 손해사정업무 일감 몰아줘""",2014.09.28,2
14,"현대해상, AI 보험사기 예측시스템 개발",2020.08.28,3
15,사회적 거리두기 2단계 연장에…'구인 절벽' 보험사 안도(종합),2020.08.28,3
16,"""공채도 못 뽑아…"" 코로나 재확산에 보험업계 '구인 절벽'",2020.08.28,3
17,"대형 생·손보사, '코로나' 악재에도 장사 잘했다(종합)",2020.08.18,3
18,"대형 생·손보사, 코로나19에도 장사 잘했다",2020.08.18,3
19,"현대해상 ""운전자 불쾌지수 올라가면 교통사고 28% 증가""",2020.08.18,3
20,"보험사, 2분기 깜짝 실적…""코로나로 손해율 개선""",2020.08.17,3
21,상반기 금융권 연봉 1위는…정태영 현대카드 부회장 26억원,2020.08.17,3
22,"현대해상, 건강한심혈케어보험 배타적사용권 획득",2020.08.14,3
23,"현대해상, 상반기 순익 1837억…전년비 12.1% 늘어",2020.08.13,3
24,전국 기록적 폭우에 '풍수해보험' 등 피해 접수 잇따라,2020.08.04,3
25,서류위조·허위청구…보험 설계사 보험사기 '왜 못잡나',2020.07.29,3
26,기록적 폭우에 차량침수 160억 손해…車보험 손해율 '악재'(종합),2020.07.28,3
27,"[빅테크, 빅체인지]보험·대출·증권·데이터…거칠것 없는 'N 테크핀'",2020.07.28,3
28,기록적 폭우에 차량침수 160억 손해…車보험 손해율 '악재',2020.07.28,3
29,"현대해상, 인공지능 음성봇으로 보험계약대출 시행",2020.07.27,3
30,네이버에서 車보험 견적낸다고?…셈법 복잡해진 손보사들,2020.07.21,3
31,더 쉽고 간편하게…보험사 비대면 '보험금 청구전쟁',2020.07.20,3
32,"현대해상, 심뇌혈관질환 예방부터 장애까지 '건강한심혈케어보험'",2020.07.20,3
33,"삼성생명, 배타적사용권 신청…'S간편 종합보장보험' 인정받을까(종합)",2020.07.17,3
34,"삼성생명, S간편 종합보험 '배타적사용권' 신청…이번엔 획득할까",2020.07.17,3
