,Title,Date,Category
0,"수협, 간편식 시장 닻 올렸다…수출시장 다변화·新시장 개척",2020.02.18,2
1,"수협, 현대홈쇼핑과 손잡고 베트남 시장 공략",2020.01.18,2
2,"권칠승 ""형식적 행사된 중소기업 무료 홈쇼핑 출연…효율적인 운영 필요""",2018.10.23,2
3,"산업부, 수교 60주년 맞아 태국서 '한국우수상품전' 개최",2018.10.03,2
4,"김정훈 ""공정위 소비자중심경영 인증기업 24%는 행정조치 처분기업""",2018.09.25,2
5,'변신의 귀재' 홈쇼핑…보험·패션·백수오 다음은?,2017.03.26,2
6,[中 사드 몽니]'롯데 불똥 튈라' 他 유통업체들 전전긍긍,2017.03.13,2
7,블프 앞두고 中직구족 노린 한국제품 할인전…최대 80% 세일,2015.11.24,2
8,中 온라인쇼핑할인 '싱싱코리아' 2차 26~28일 개최,2015.11.10,2
9,"""TV홈쇼핑 소비자 피해 급증…45%가 홈앤쇼핑서""",2015.09.04,2
10,中 역직구족 겨냥 '싱싱코리아' 19~21일 개최,2015.08.03,2
11,지역특화상품 120개 글로벌 명품으로 육성,2015.05.28,2
12,온라인쇼핑몰 리콜제품 유통 실시간 차단한다,2015.04.12,2
13,'불공정 종합세트' 6개 홈쇼핑에 과징금 144억원,2015.03.29,2
14,"백화점·TV홈쇼핑, 1000원 팔아 수수료 300원 챙긴다",2014.12.25,2
15,에이치비테크 등 상생협력 파트너 우수기업 선정,2014.12.18,2
16,"TS트릴리온, 신제품 ‘골드플러스TS샴푸’ 폭발적인 반응과 함께 인기 입증!",2020.08.24,3
17,"현대백화점그룹, 천연 화장품 원료 1위 SK바이오랜드 인수",2020.08.18,3
18,긴 장마에 외출자제…희비 엇갈린 유통가,2020.08.08,3
19,"장마에 웃는 홈쇼핑, 3분기 '쨍쨍'",2020.08.07,3
20,"유통·식품업계, 친환경 정책 '强 드라이브'",2020.06.08,3
21,여름 휴가요? 해외여행 대신 제주도 가는 2030세대,2020.06.07,3
22,5성급 호텔 목표比 3배 판 홈쇼핑…'여행 보복심리' 터졌다,2020.06.06,3
23,"""반반씩 나눠 배송해 드립니다""…현대홈쇼핑, '반반배송' 서비스 도입",2020.06.01,3
24,"하늘길 막힌 홈쇼핑…""국내에서 호캉스 하세요""",2020.05.18,3
25,"유통업계 '친환경 캠페인' 계속된다…""환경 적신호에 응답""",2020.05.16,3
26,이태원發 감염에 유통가 '반등' 물거품되나,2020.05.12,3
27,"하희라 ‘히라앰플’, 현대홈쇼핑 4월 27일 론칭… “역대 최다 구성에 이벤트도 마련”",2020.04.24,3
28,코로나 '비대면 반사이익'…홈쇼핑 보험에는 없었다,2020.04.23,3
29,"SK매직, '트리플케어 식기세척기' 현대홈쇼핑 론칭",2020.04.10,3
30,"플라스틱 줄이고, 에너지 절약하고…유통업계, 친환경 정책 가속화",2020.04.04,3
31,"중소기업 지원 놓고, 정부-홈쇼핑 '동상이몽'",2020.04.02,3
32,"'20兆 시장' 홈쇼핑, VIP 문턱 낮춘다",2020.03.27,3
33,봄도 잊게 만든 코로나…TV보다 재밌어진 홈쇼핑,2020.03.21,3
34,"현대백화점그룹, 여성·아동 사회공헌활동 국제적 인정받아",2020.03.10,3
35,"""2030 잡아라"" 불금 새벽 1시 떡볶이 판매하는 현대홈쇼핑",2020.02.27,3
36,"현대백화점그룹, 모든 상장 계열사에 전자투표제 도입",2020.02.25,3
37,"현대홈쇼핑, 봄·여름 의류 신상품 3주 앞당겨 론칭",2020.02.14,3
38,현대百·신세계 아픈 손가락…'실적 늪' 가구 자회사들에 고민,2020.02.12,3
39,"현대홈쇼핑, 친환경 배송 박스 ‘핑거박스’ 선보여",2020.02.10,3
40,"현대백화점, 온라인몰 할인 행사…300개 브랜드 참여",2020.02.09,3
