,Title,Date,Category
0,"'빨리 빨리'가 부른 ESS 화재…정부, 뒤늦은 안전대책 강화",2019.06.11,2
1,'수소충전소 SPC' 공식 출범…가스公·현대車 등 13개 회사 공동 설립,2019.03.10,2
2,"효성, 5975억 규모 유상증자 결정",2018.10.26,2
3,"에너지공단, KT 등 15개사와 대·중소기업 동반성장 업무협약",2020.06.26,3
4,점점 막혀가는 재건축… 점점 속도 내는 리모델링,2020.03.02,3
5,국내 주택브랜드 지각 변동… 도시 정비사업  총아(寵兒)로 떠오른 ‘효성 해링턴 플레이스’,2019.10.23,3
6,"효성중공업, 해링턴 플레이스 감삼 1순위 경쟁률 15.73대 1",2019.08.29,3
7,"'빨리 빨리'가 부른 ESS 화재…정부, 뒤늦은 안전대책 강화",2019.06.11,3
8,'수소충전소 SPC' 공식 출범…가스公·현대車 등 13개 회사 공동 설립,2019.03.10,3
9,"재개발·재건축, 비규제지역 분양 물량 '눈길'",2019.02.23,3
10,대기업 계열사 3개월간 26개 감소,2018.08.02,3
11,사드 갈등 후 2년 만에 만난 한-중 경제인,2018.06.26,3
12,"민관, 2022년까지 수소차에 2조6000억원 투자…일자리 3800개 창출",2018.06.25,3
13,"효성 조현준, 자회사간 협력으로 스마트그리드 시장 진출",2016.03.03,3
14,"효성 조현준, 신재생 에너지 시장 개척",2016.02.04,3
15,협력사와 공동 발전하는 효성 조현준,2016.02.01,3
16,"신성이엔지, 효성중공업과 태양광 모듈 판매 계약",2020.08.31,4
17,"효성, 대한적십자사에 재난구호성금 3억원 전달",2020.08.13,4
18,"효성중공업, 계열사에 355억 규모 채무보증 결정",2020.08.07,4
19,정의선 현대차 수석부회장 '수소모빌리티+쇼' 참석…수소 경제 직접 챙긴다,2020.06.30,4
20,"수소모빌리티+쇼, 전 세계 108개 수소 관련 기관·기업 모인다",2020.06.26,4
21,"국내 첫 '수소모빌리티+쇼' D-11, 코로나 딛고 어떻게 열리나",2020.06.20,4
22,"전경련중소기업협력센터 ""中企 협력사 경영애로 해소 지원""",2020.06.09,4
23,"조현준 효성 회장, 모빌리티 사업에 올라탔다",2020.04.29,4
24,'1조 클럽' 복귀한 효성,2020.02.06,4
25,효성 작년 영업익 2447억‥전년비 58% 증가,2020.01.31,4
26,"효성, 지주사 전환 후 첫 '지속가능경영보고서' 발간",2020.01.31,4
27,"효성중공업, 美에 초고압변압기 첫 생산기지 확보",2019.12.16,4
28,"효성중공업-한전, 차세대 전력시장 공략",2019.12.02,4
29,"창립 53돌 맞은 효성…조현준 회장 ""100년 효성 만들어나가자""",2019.11.03,4
30,"조현준 효성 회장 ""숲을 보는 자세로 100년 효성 이뤄야""",2019.11.01,4
31,"대우조선, 조선업계 최초 축발전기모터시스템 국산화",2019.10.24,4
32,"효성그룹, 세무조사 추징금 1522억원 부과 받아",2019.09.10,4
33,"'빨리 빨리'가 부른 ESS 화재…정부, 뒤늦은 안전대책 강화",2019.06.11,4
34,"효성중공업, 투자자 소통 강화",2019.06.05,4
35,"효성중공업, 협력사와 '상생 나무' 심으며 상호협력 강화",2019.05.17,4
36,"조현준 회장, 원팀 '효성' 강조…""개인이 팀워크 이길 수 없다""",2019.05.12,4
37,"효성중공업, 창원지역 초등학생 대상 공학캠프 진행",2019.04.29,4
38,"효성, 강원산불 피해 복구 위해 성금 1억원 전달",2019.04.12,4
39,'수소충전소 SPC' 공식 출범…가스公·현대車 등 13개 회사 공동 설립,2019.03.10,4
40,"수소충전소 SPC 하이넷, 공식 출범…""2022년까지 충전소 100기 구축""",2019.03.10,4
41,"효성, '효성아, 일류 오너라' SNS 이벤트 개최",2019.02.27,4
42,"조현준 효성 회장, ""버려야 얻는다"" 역설의 경영",2019.01.17,4
43,'올해의 자랑스러운 효성인상'에 오동우 효성중공업 부장,2018.12.27,4
44,"효성, 사회복지공동모금회에 성금 10억원 기탁",2018.12.20,4
45,[프로필] 송원표 효성중공업 부사장,2018.12.17,4
46,"효성, '2019년 정기임원 인사' 단행…부사장 2인 포함 26명 승진",2018.12.17,4
47,현대차 앞에서 끌고 정부 뒤에서 미는 '수소경제',2018.12.12,4
48,"효성, 기능성섬유 '에어로쿨' 17년 연속 세계일류상품 선정",2018.12.11,4
49,"효성, 지역주민 1500세대에 '사랑의 김장김치' 전달",2018.11.28,4
50,"현대차 '신형 수소전기버스', 서울시 시범 투입…내년 전국 6개 도시 달린다",2018.11.21,4
51,"진흥기업, 신주 43만5065주 유상증자 결정",2018.11.07,4
52,"효성重, 세계 최대 규모 '스태콤' 설치",2018.10.26,4
53,"조현준 효성 회장, 해외투자자와 스킨십 늘린다…해외 IR 성황리에 마쳐",2018.10.05,4
54,"[함께가는기업]효성, 협력사와 함께 경쟁력 다진다",2018.09.21,4
55,"효성중공업, 포스코건설과 '스마트 변전소 기술 개발' MOU",2018.09.14,4
56,효성중공업 ESS 폭발적 성장 '상반기 매출 전년比 10배 증가',2018.09.11,4
57,"조현준 효성 회장, 국내외 금융투자자들과 소통 행보",2018.09.03,4
58,"[동반성장이 경쟁력] 효성, 박람회 공동부스 꾸려 판로개척 지원",2018.08.29,4
59,"효성 분할 후 첫 기업설명회…CEO들, 투자자와 직접 만나",2018.08.16,4
60,'지주사 전환' 효성 13일 코스피 재상장…주가 재평가 기대,2018.07.12,4
61,지주사 체제 닻 올린 '뉴효성'…율사 출신 사외이사 대거 영입,2018.06.04,4
62,효성 지주회사 체제 출범…사내·외 이사 31명 선임,2018.06.03,4
63,"효성, 임시주총서 지주사 전환 승인",2018.04.27,4
64,"조현준 효성 회장, 지주사 전환 앞두고 잇단 자사주 매입",2018.04.26,4
65,"현대차, 수소충전소 구축 위한 SPC 설립 참여",2018.04.25,4
66,"[사랑받는 기업] 효성, 지배구조 개선 투명성 극대화",2018.03.29,4
67,"효성, 지주사 분할 재상장 예비심사 통과",2018.03.12,4
68,"효성, 지주사 전환…섬유, 중공업 등 4개사 분할",2018.01.03,4
69,"효성ITX, 화웨이와 국내 IT 시장 공략",2017.07.11,4
70,[文정부 탈핵시대 선포]원전·화력은 울고 신재생은 웃고…희비 엇갈리는 업계,2017.06.19,4
71,"옴니시스템, 국내 최대규모 태양광용 신재생 ESS 우선협상 대상자 선정",2017.06.14,4
72,"효성중공업, 풍력에너지 테마 상승세에 7.11% ↑",2020.08.31,5
73,[e공시 눈에 띄네] 코스피-7일,2020.08.10,5
74,[e공시 눈에 띄네]코스피-30일,2020.07.31,5
75,"효성중공업 ""에브리쇼 주식 1272억원에 추가취득""",2020.07.30,5
76,"효성중공업, 수소차 테마 상승세에 8.29% ↑",2020.07.13,5
77,"효성중공업, 풍력에너지 테마 상승세에 3.37% ↑",2020.07.09,5
78,"[클릭 e종목]""효성중공업, 2분기 실적 개선 기대감...목표가 59%↑""",2020.06.24,5
79,"SK디스커버리우, 커뮤니티 활발... 주가 27.98%.",2020.06.15,5
80,"대웅, 커뮤니티 활발... 주가 -0.17%.",2020.06.15,5
81,"대원제약, 주가 1만 8650원 (1.91%)… 게시판 '북적'",2020.06.15,5
82,"효성중공업, 수소차 테마 상승세에 11.66% ↑",2020.06.11,5
83,[e공시 눈에 띄네] 코스피-8일,2020.05.11,5
84,"효성중공업, 1분기 영업손실 560억..적자전환",2020.04.29,5
85,"국민연금, 1분기 게임·반도체 꽂혔네",2020.04.10,5
