,Title,Date,Category
0,‘반기문에 23만 달러 제공 의혹’ 박연차 회장?…‘박연차 게이트’의 장본인,2016.12.26,2
1,가스안전대상 개최…은탑산업훈장에 유승배 서울도시가스 대표,2016.05.27,3
2,"휴켐스, 서극교 사외이사 재선임",2015.03.20,3
3,"휴켐스, 지난해 영업익 117억..전년比 12%↓",2015.02.04,3
4,"""내년 韓 성장률 3.6%, 원달러환율 1050원 전망""",2014.11.05,3
5,주요그룹 '오너家' 임원 중 20~40대는 150명…최연소 26세,2020.04.20,4
6,맨손으로 신발산업 일군 '자수성가' 기업인…파란만장 故 박연차 회장,2020.01.31,4
7,"휴켐스, UN으로부터 100만t 규모 탄소배출권 인증 획득",2019.07.02,4
8,휴켐스 '3억弗 수출 탑' 달성…동탑산업훈장 수상,2018.12.07,4
9,"'노사 상생' 휴켐스, 12년 연속 무분규 임금 협상 타결",2018.06.27,4
10,"휴켐스, 1분기 영업이익 105억원…39.7%↓",2016.05.11,4
11,"박연차 회장, 베트남에 기술전문大 설립…인재 양성 지원",2016.01.10,4
12,"휴켐스, 1兆 투자 말레이시아 화학단지 조성…""국내 유일 암모니아 제조""",2015.07.29,4
13,"휴켐스, 말레이시아서 천연가스 1200만톤 확보",2014.12.01,4
14,"휴켐스, 체코 애그로퍼트와 MOU 체결 ""세계 진출 가속도""",2014.09.11,4
15,"세종공업, 온실가스(탄소배출권) 테마 상승세에 13.51% ↑",2020.08.13,5
16,"세종공업, 온실가스(탄소배출권) 테마 상승세에 20.06% ↑",2020.07.15,5
17,"세종공업, 온실가스(탄소배출권) 테마 상승세에 21.83% ↑",2020.07.14,5
18,"KC코트렐, 온실가스(탄소배출권) 테마 상승세에 9.94% ↑",2020.07.07,5
19,"휴켐스, 온실가스(탄소배출권) 테마 상승세에 2.88% ↑",2020.06.09,5
20,"KC코트렐, 온실가스(탄소배출권) 테마 상승세에 8.48% ↑",2020.06.01,5
21,"KC코트렐, 온실가스(탄소배출권) 테마 상승세에 27.75% ↑",2020.05.29,5
22,"휴켐스, 1Q 영업익 311억…전년比 8%↑",2020.05.11,5
23,"[클릭 e종목]""휴켐스, 코로나 이슈에도 1분기 어닝서프라이즈 전망""",2020.03.12,5
24,"""크레딧, 여전업·제지업·단기건설채 선호""",2019.11.17,5
25,[e공시 눈에 띄네]코스피-6일,2019.11.07,5
26,"휴켐스, 3분기 영업익 360억…전년비 9.2% ↓",2019.11.06,5
27,"휴켐스, 1500억원 규모 질산공장 신설 투자",2019.10.14,5
28,[e공시 눈에 띄네]코스피-3일,2019.09.04,5
29,"휴켐스, 2Q 연결 잠정 영업익 274억원…전년比 42.5%↓",2019.08.07,5
30,[e공시 눈에 띄네]코스피-9일,2019.05.10,5
