Date,Open,High,Low,Close,Volume,Category,count,pos,neg
2014-01-02,277500,281000,276000,279500,101630,2,,,
2014-01-02,277500,281000,276000,279500,101630,3,,,
2014-01-02,277500,281000,276000,279500,101630,4,,,
2014-01-02,277500,281000,276000,279500,101630,5,,,
2014-01-02,277500,281000,276000,279500,101630,6,,,
2014-01-02,277500,281000,276000,279500,101630,7,,,
2014-01-02,277500,281000,276000,279500,101630,8,,,
2014-01-02,277500,281000,276000,279500,101630,9,,,
2014-01-02,277500,281000,276000,279500,101630,10,,,
2014-01-02,277500,281000,276000,279500,101630,11,,,
2014-01-03,278000,280000,274500,278500,78910,2,,,
2014-01-03,278000,280000,274500,278500,78910,3,,,
2014-01-03,278000,280000,274500,278500,78910,4,,,
2014-01-03,278000,280000,274500,278500,78910,5,,,
2014-01-03,278000,280000,274500,278500,78910,6,,,
2014-01-03,278000,280000,274500,278500,78910,7,,,
2014-01-03,278000,280000,274500,278500,78910,8,,,
2014-01-03,278000,280000,274500,278500,78910,9,,,
2014-01-03,278000,280000,274500,278500,78910,10,,,
2014-01-03,278000,280000,274500,278500,78910,11,,,
2014-01-06,277000,278000,272500,277000,42426,2,,,
2014-01-06,277000,278000,272500,277000,42426,3,,,
2014-01-06,277000,278000,272500,277000,42426,4,,,
2014-01-06,277000,278000,272500,277000,42426,5,,,
2014-01-06,277000,278000,272500,277000,42426,6,,,
2014-01-06,277000,278000,272500,277000,42426,7,,,
2014-01-06,277000,278000,272500,277000,42426,8,,,
2014-01-06,277000,278000,272500,277000,42426,9,,,
2014-01-06,277000,278000,272500,277000,42426,10,,,
2014-01-06,277000,278000,272500,277000,42426,11,,,
2014-01-07,274000,277000,273000,275500,49898,2,1.0,1.0,0.0
2014-01-07,274000,277000,273000,275500,49898,3,1.0,1.0,0.0
2014-01-07,274000,277000,273000,275500,49898,4,1.0,1.0,0.0
2014-01-07,274000,277000,273000,275500,49898,5,1.0,1.0,0.0
2014-01-07,274000,277000,273000,275500,49898,6,1.0,1.0,0.0
2014-01-07,274000,277000,273000,275500,49898,7,1.0,1.0,0.0
2014-01-07,274000,277000,273000,275500,49898,8,1.0,1.0,0.0
2014-01-07,274000,277000,273000,275500,49898,9,1.0,1.0,0.0
2014-01-07,274000,277000,273000,275500,49898,10,1.0,1.0,0.0
2014-01-07,274000,277000,273000,275500,49898,11,1.0,1.0,0.0
2014-01-08,274500,276500,272000,274500,42155,2,1.0,1.0,0.0
2014-01-08,274500,276500,272000,274500,42155,3,1.0,1.0,0.0
2014-01-08,274500,276500,272000,274500,42155,4,1.0,1.0,0.0
2014-01-08,274500,276500,272000,274500,42155,5,1.0,1.0,0.0
2014-01-08,274500,276500,272000,274500,42155,6,1.0,1.0,0.0
2014-01-08,274500,276500,272000,274500,42155,7,1.0,1.0,0.0
2014-01-08,274500,276500,272000,274500,42155,8,1.0,1.0,0.0
2014-01-08,274500,276500,272000,274500,42155,9,1.0,1.0,0.0
2014-01-08,274500,276500,272000,274500,42155,10,1.0,1.0,0.0
2014-01-08,274500,276500,272000,274500,42155,11,1.0,1.0,0.0
2014-01-09,275500,280000,272500,273000,75049,2,2.0,2.0,0.0
2014-01-09,275500,280000,272500,273000,75049,3,2.0,2.0,0.0
2014-01-09,275500,280000,272500,273000,75049,4,2.0,2.0,0.0
2014-01-09,275500,280000,272500,273000,75049,5,2.0,2.0,0.0
2014-01-09,275500,280000,272500,273000,75049,6,2.0,2.0,0.0
2014-01-09,275500,280000,272500,273000,75049,7,2.0,2.0,0.0
2014-01-09,275500,280000,272500,273000,75049,8,2.0,2.0,0.0
2014-01-09,275500,280000,272500,273000,75049,9,2.0,2.0,0.0
2014-01-09,275500,280000,272500,273000,75049,10,2.0,2.0,0.0
2014-01-09,275500,280000,272500,273000,75049,11,2.0,2.0,0.0
2014-01-10,273000,274500,268000,270000,52240,2,4.0,0.0,1.0
2014-01-10,273000,274500,268000,270000,52240,3,4.0,0.0,1.0
2014-01-10,273000,274500,268000,270000,52240,4,4.0,0.0,1.0
2014-01-10,273000,274500,268000,270000,52240,5,4.0,0.0,1.0
2014-01-10,273000,274500,268000,270000,52240,6,4.0,0.0,1.0
2014-01-10,273000,274500,268000,270000,52240,7,4.0,0.0,1.0
2014-01-10,273000,274500,268000,270000,52240,8,4.0,0.0,1.0
2014-01-10,273000,274500,268000,270000,52240,9,4.0,0.0,1.0
2014-01-10,273000,274500,268000,270000,52240,10,4.0,0.0,1.0
2014-01-10,273000,274500,268000,270000,52240,11,4.0,0.0,1.0
2014-01-13,270500,271000,265000,267000,70143,2,1.0,0.0,0.0
2014-01-13,270500,271000,265000,267000,70143,3,1.0,0.0,0.0
2014-01-13,270500,271000,265000,267000,70143,4,1.0,0.0,0.0
2014-01-13,270500,271000,265000,267000,70143,5,1.0,0.0,0.0
2014-01-13,270500,271000,265000,267000,70143,6,1.0,0.0,0.0
2014-01-13,270500,271000,265000,267000,70143,7,1.0,0.0,0.0
2014-01-13,270500,271000,265000,267000,70143,8,1.0,0.0,0.0
2014-01-13,270500,271000,265000,267000,70143,9,1.0,0.0,0.0
2014-01-13,270500,271000,265000,267000,70143,10,1.0,0.0,0.0
2014-01-13,270500,271000,265000,267000,70143,11,1.0,0.0,0.0
2014-01-14,266500,270000,266000,268000,43990,2,,,
2014-01-14,266500,270000,266000,268000,43990,3,,,
2014-01-14,266500,270000,266000,268000,43990,4,,,
2014-01-14,266500,270000,266000,268000,43990,5,,,
2014-01-14,266500,270000,266000,268000,43990,6,,,
2014-01-14,266500,270000,266000,268000,43990,7,,,
2014-01-14,266500,270000,266000,268000,43990,8,,,
2014-01-14,266500,270000,266000,268000,43990,9,,,
2014-01-14,266500,270000,266000,268000,43990,10,,,
2014-01-14,266500,270000,266000,268000,43990,11,,,
2014-01-15,268500,270000,263500,265500,49881,2,1.0,1.0,0.0
2014-01-15,268500,270000,263500,265500,49881,3,1.0,1.0,0.0
2014-01-15,268500,270000,263500,265500,49881,4,1.0,1.0,0.0
2014-01-15,268500,270000,263500,265500,49881,5,1.0,1.0,0.0
2014-01-15,268500,270000,263500,265500,49881,6,1.0,1.0,0.0
2014-01-15,268500,270000,263500,265500,49881,7,1.0,1.0,0.0
2014-01-15,268500,270000,263500,265500,49881,8,1.0,1.0,0.0
2014-01-15,268500,270000,263500,265500,49881,9,1.0,1.0,0.0
2014-01-15,268500,270000,263500,265500,49881,10,1.0,1.0,0.0
2014-01-15,268500,270000,263500,265500,49881,11,1.0,1.0,0.0
2014-01-16,265500,271000,264500,267000,57204,2,,,
2014-01-16,265500,271000,264500,267000,57204,3,,,
2014-01-16,265500,271000,264500,267000,57204,4,,,
2014-01-16,265500,271000,264500,267000,57204,5,,,
2014-01-16,265500,271000,264500,267000,57204,6,,,
2014-01-16,265500,271000,264500,267000,57204,7,,,
2014-01-16,265500,271000,264500,267000,57204,8,,,
2014-01-16,265500,271000,264500,267000,57204,9,,,
2014-01-16,265500,271000,264500,267000,57204,10,,,
2014-01-16,265500,271000,264500,267000,57204,11,,,
2014-01-17,267000,269500,265000,266500,55377,2,,,
2014-01-17,267000,269500,265000,266500,55377,3,,,
2014-01-17,267000,269500,265000,266500,55377,4,,,
2014-01-17,267000,269500,265000,266500,55377,5,,,
2014-01-17,267000,269500,265000,266500,55377,6,,,
2014-01-17,267000,269500,265000,266500,55377,7,,,
2014-01-17,267000,269500,265000,266500,55377,8,,,
2014-01-17,267000,269500,265000,266500,55377,9,,,
2014-01-17,267000,269500,265000,266500,55377,10,,,
2014-01-17,267000,269500,265000,266500,55377,11,,,
2014-01-20,266500,271000,264500,269000,53286,2,,,
2014-01-20,266500,271000,264500,269000,53286,3,,,
2014-01-20,266500,271000,264500,269000,53286,4,,,
2014-01-20,266500,271000,264500,269000,53286,5,,,
2014-01-20,266500,271000,264500,269000,53286,6,,,
2014-01-20,266500,271000,264500,269000,53286,7,,,
2014-01-20,266500,271000,264500,269000,53286,8,,,
2014-01-20,266500,271000,264500,269000,53286,9,,,
2014-01-20,266500,271000,264500,269000,53286,10,,,
2014-01-20,266500,271000,264500,269000,53286,11,,,
2014-01-21,269000,269500,265000,265500,48243,2,,,
2014-01-21,269000,269500,265000,265500,48243,3,,,
2014-01-21,269000,269500,265000,265500,48243,4,,,
2014-01-21,269000,269500,265000,265500,48243,5,,,
2014-01-21,269000,269500,265000,265500,48243,6,,,
2014-01-21,269000,269500,265000,265500,48243,7,,,
2014-01-21,269000,269500,265000,265500,48243,8,,,
2014-01-21,269000,269500,265000,265500,48243,9,,,
2014-01-21,269000,269500,265000,265500,48243,10,,,
2014-01-21,269000,269500,265000,265500,48243,11,,,
2014-01-22,265000,268000,261000,267000,50141,2,1.0,1.0,0.0
2014-01-22,265000,268000,261000,267000,50141,3,1.0,1.0,0.0
2014-01-22,265000,268000,261000,267000,50141,4,1.0,1.0,0.0
2014-01-22,265000,268000,261000,267000,50141,5,1.0,1.0,0.0
2014-01-22,265000,268000,261000,267000,50141,6,1.0,1.0,0.0
2014-01-22,265000,268000,261000,267000,50141,7,1.0,1.0,0.0
2014-01-22,265000,268000,261000,267000,50141,8,1.0,1.0,0.0
2014-01-22,265000,268000,261000,267000,50141,9,1.0,1.0,0.0
2014-01-22,265000,268000,261000,267000,50141,10,1.0,1.0,0.0
2014-01-22,265000,268000,261000,267000,50141,11,1.0,1.0,0.0
2014-01-23,267000,267000,261500,263500,36418,2,5.0,5.0,0.0
2014-01-23,267000,267000,261500,263500,36418,3,5.0,5.0,0.0
2014-01-23,267000,267000,261500,263500,36418,4,5.0,5.0,0.0
2014-01-23,267000,267000,261500,263500,36418,5,5.0,5.0,0.0
2014-01-23,267000,267000,261500,263500,36418,6,5.0,5.0,0.0
2014-01-23,267000,267000,261500,263500,36418,7,5.0,5.0,0.0
2014-01-23,267000,267000,261500,263500,36418,8,5.0,5.0,0.0
2014-01-23,267000,267000,261500,263500,36418,9,5.0,5.0,0.0
2014-01-23,267000,267000,261500,263500,36418,10,5.0,5.0,0.0
2014-01-23,267000,267000,261500,263500,36418,11,5.0,5.0,0.0
2014-01-24,263000,267000,262000,264500,26507,2,1.0,0.0,0.0
2014-01-24,263000,267000,262000,264500,26507,3,1.0,0.0,0.0
2014-01-24,263000,267000,262000,264500,26507,4,1.0,0.0,0.0
2014-01-24,263000,267000,262000,264500,26507,5,1.0,0.0,0.0
2014-01-24,263000,267000,262000,264500,26507,6,1.0,0.0,0.0
2014-01-24,263000,267000,262000,264500,26507,7,1.0,0.0,0.0
2014-01-24,263000,267000,262000,264500,26507,8,1.0,0.0,0.0
2014-01-24,263000,267000,262000,264500,26507,9,1.0,0.0,0.0
2014-01-24,263000,267000,262000,264500,26507,10,1.0,0.0,0.0
2014-01-24,263000,267000,262000,264500,26507,11,1.0,0.0,0.0
2014-01-27,260500,261000,254500,260000,63705,2,,,
2014-01-27,260500,261000,254500,260000,63705,3,,,
2014-01-27,260500,261000,254500,260000,63705,4,,,
2014-01-27,260500,261000,254500,260000,63705,5,,,
2014-01-27,260500,261000,254500,260000,63705,6,,,
2014-01-27,260500,261000,254500,260000,63705,7,,,
2014-01-27,260500,261000,254500,260000,63705,8,,,
2014-01-27,260500,261000,254500,260000,63705,9,,,
2014-01-27,260500,261000,254500,260000,63705,10,,,
2014-01-27,260500,261000,254500,260000,63705,11,,,
