date,open,high,low,close,volume,roe,per,pbr,Date,Category,count,pos,neg
2014-01-02,277500,281000,276000,279500,101630,8.6,22.2,1.1,2014-01-02,2,,,
2014-01-02,277500,281000,276000,279500,101630,8.6,22.2,1.1,2014-01-02,3,,,
2014-01-02,277500,281000,276000,279500,101630,8.6,22.2,1.1,2014-01-02,4,,,
2014-01-02,277500,281000,276000,279500,101630,8.6,22.2,1.1,2014-01-02,5,,,
2014-01-02,277500,281000,276000,279500,101630,8.6,22.2,1.1,2014-01-02,6,,,
2014-01-02,277500,281000,276000,279500,101630,8.6,22.2,1.1,2014-01-02,7,,,
2014-01-02,277500,281000,276000,279500,101630,8.6,22.2,1.1,2014-01-02,8,,,
2014-01-02,277500,281000,276000,279500,101630,8.6,22.2,1.1,2014-01-02,9,,,
2014-01-02,277500,281000,276000,279500,101630,8.6,22.2,1.1,2014-01-02,10,,,
2014-01-02,277500,281000,276000,279500,101630,8.6,22.2,1.1,2014-01-02,11,,,
2014-01-03,278000,280000,274500,278500,78910,8.6,22.2,1.1,2014-01-03,2,,,
2014-01-03,278000,280000,274500,278500,78910,8.6,22.2,1.1,2014-01-03,3,,,
2014-01-03,278000,280000,274500,278500,78910,8.6,22.2,1.1,2014-01-03,4,,,
2014-01-03,278000,280000,274500,278500,78910,8.6,22.2,1.1,2014-01-03,5,,,
2014-01-03,278000,280000,274500,278500,78910,8.6,22.2,1.1,2014-01-03,6,,,
2014-01-03,278000,280000,274500,278500,78910,8.6,22.2,1.1,2014-01-03,7,,,
2014-01-03,278000,280000,274500,278500,78910,8.6,22.2,1.1,2014-01-03,8,,,
2014-01-03,278000,280000,274500,278500,78910,8.6,22.2,1.1,2014-01-03,9,,,
2014-01-03,278000,280000,274500,278500,78910,8.6,22.2,1.1,2014-01-03,10,,,
2014-01-03,278000,280000,274500,278500,78910,8.6,22.2,1.1,2014-01-03,11,,,
2014-01-06,277000,278000,272500,277000,42426,8.6,22.2,1.1,2014-01-06,2,,,
2014-01-06,277000,278000,272500,277000,42426,8.6,22.2,1.1,2014-01-06,3,,,
2014-01-06,277000,278000,272500,277000,42426,8.6,22.2,1.1,2014-01-06,4,,,
2014-01-06,277000,278000,272500,277000,42426,8.6,22.2,1.1,2014-01-06,5,,,
2014-01-06,277000,278000,272500,277000,42426,8.6,22.2,1.1,2014-01-06,6,,,
2014-01-06,277000,278000,272500,277000,42426,8.6,22.2,1.1,2014-01-06,7,,,
2014-01-06,277000,278000,272500,277000,42426,8.6,22.2,1.1,2014-01-06,8,,,
2014-01-06,277000,278000,272500,277000,42426,8.6,22.2,1.1,2014-01-06,9,,,
2014-01-06,277000,278000,272500,277000,42426,8.6,22.2,1.1,2014-01-06,10,,,
2014-01-06,277000,278000,272500,277000,42426,8.6,22.2,1.1,2014-01-06,11,,,
