id,Title,label
0,"靑 오찬도 없이 간담회 진행…재계 ""외교로 풀 문제를…""",0
1,"김정훈 ""공정위 소비자중심경영 인증기업 24%는 행정조치 처분기업""",-1
2,"산업부 ""코리아 세일 페스타, 상생의 장터 연다""",1
3,"박원순, 선거 마지막 날까지 정순균 강남구청장 후보 지원",0
4,"장영철 강남구청장 후보, 선거운동 마지막 주말 총력유세",0
5,"박원순 후보""전임 강남구청장 사사건건 시장과 대결""",0
6,김성태 폭행 사건으로 돌아본 국회의원 수난사,-1
7,식당 '울상' 소매점 '무덤덤'…청탁금지법 개정에 엇갈린 유통가 표정,0
8,이번에도 기업인 56명 무더기 증언대…재벌총수 빠졌다,-1
9,"지자체 갈등 기업에 불똥…신세계, 부천시로부터 소송 당하나",-1
10,"상반기 중국인 관광객 41% '뚝'…유통업계 ""L자형 부진 우려""",-1
11,"[면세점 선정 특혜 파문]감사원, '3차 면세점대전' 추가 감사 검토",-1
12,콧대 높던 백화점의 변신…너도 나도 '1코노미' 마케팅,1
13,[면세점 선정 특혜 파문⑨]롯데免 직원 1300명 직장 뺏은 '검은 손',-1
14,"일자리委, 새정부 출범 후 12.2만명 일자리 혜택",1
15,[금요스토리]진흙탕 속 복합쇼핑몰…유통사 미래전략 '시계제로',1
16,대선 후보 8일 마지막 유세 일정 '접전지…서울로 집결',0
17,"유승민, 노년·청년층 공략…대한노인회 초청 토론회 참석",1
18,洪·劉…집중유세 대신 '스탠딩 토론' 준비 사활,1
19,"[中 사드 몽니]""사드 사태, 롯데 外 유통사들도 잠재적 피해업체""",-1
20,"김종인 ""'4대가문' 우리나라 재벌…정부가 배려 안 해도 생존""",0
21,"민주당 ""특검 수사중인데 면세점 발표, 배경이 의문스럽다""",-1
22,"[면세점 경쟁 3R]현대면세점, '럭셔리' 청사진…명품 유치 계약",1
23,10월 태풍에 최순실 쇼크…K페스타 백화점 한달 성적표는?,-1
24,"새누리당 ""丁의장부인, 쇼핑 의혹 제기""…수천만원 써야 지급되는 카드 보유",-1
25,"정세균 ""국회 파행 풀리지 않으면 의장외교 일정 취소하겠다""",-1
26,"코리아세일페스타, 한달간 쇼핑 축제 열린다",1
27,"[한류, 이번엔 수산물이다③]입소문 탄 어간장, 백화점 진출..매출 2000만원서 5억 기업으로",1
28,면세점 추가 허용 가닥…오락가락 정책 비난,-1
29,농업-기업 상생협력 사업모델 37건 발굴,1
30,LG·현대중·한진 등 장애인고용 저조 '불명예',-1
31,서울 백화점·마트 축산코너서 '목장갑' 사라진다,0
32,대기업집단 계열사 1686개..2개 증가,1
33,[진화하는 농촌]백화점이 품은 동백오일·약초비누…명품과 맞짱뜬다,1
34,대기업 계열사 1684개…한달새 23개 줄어,-1
35,지역특화상품 120개 글로벌 명품으로 육성,1
36,오경환 서울시의원 “상암동 롯데쇼핑몰 상생 모범 만들자”,1
37,"[4월 2주 수도권] 입주한지 오래된 단지, 대형 아파트도 전세물건 부족해",-1
38,"2015년 4월, 전국 45,384가구 일반 분양",0
39,[3월 4주 광역시] 부산 수영구 재건축 단지로 투자수요 많아,1
40,"朴대통령,리퍼트에 동병상련 위로…""한미동맹 영향없게할것""",1
41,대기업 계열사 1684개…한달 새 11개 줄어,-1
42,40대처럼 살고픈 60대…女심리 읽어낸 백화점,1
43,"현대그린푸드, 이천 호텔서 뷔페 레스토랑 운영",0
44,"시몬스 침대, 현대백화점 압구정본점 팝업 스토어 오픈",1
45,"파인드카푸어의 새로운 하우스 프린트, ‘FKR 모노그램’ 첫 공개",1
46,"현대百면세점, 시각장애인 위한 '사랑나눔 선물 박스' 전달",1
47,"신한카드, 현대백화점과 '신한  탑스 컬쳐 클래스' 오픈",1
48,"현대백화점, '2020년 설 선물세트' 본판매 진행",1
49,마켓 4.0시대 대응하는 유통 3社…컨설팅사 출신 CEO도 구원투수 등판(종합),1
50,10살 이상 어려진 유통가 수장들…롯데도 '쇄신' 물결 합류,1
51,"GS건설, 개포프레지던스자이 견본주택 27일 오픈…'예약제' 운영",0
