,Title,Label
0,"현대H몰, '설맞이 선물 대잔치' 특집전",-1.0
1,"CJ제일제당, 실속 설 선물세트 130종 출시",-1.0
2,"CJ, 경력단절 여성 재취업 프로젝트 'CJ리턴십' 2기 모집",-1.0
3,"CJ제일제당, 해외 수출용 '다시다 닭고기' 국내 출시",-1.0
4,[슈퍼스타P]스킨케어의 진정한 마무리…속부터 탄탄한 피부,-1.0
5,"'설 선물세트'의 상술…""낱개로 구매시 1만원 싸다""",-1.0
6,"CJ제일제당, '톡톡 주부평가단' 모집",-1.0
7,중구에 따뜻한 후원 릴레이 잇달아,-1.0
8,"카놀라유, 콩기름 제치고 '국민 식용유' 등극",-1.0
9,'맛있는 재미' 대박을 굽다…홈베이킹 시장↑,-1.0
10,"CJ그룹, 외국인 대상 'K-Culture' 행사 개최",1.0
11,"[소비자대상]CJ제일제당, 고객을 먼저 생각하는 식품안전 철학",-1.0
12,"[소비자대상]CJ푸드빌, 베이커리 문화 선도",-1.0
13,[소비자대상]안전과 가치의 기업…소비자는 눈이 밝다,-1.0
14,[소비자대상]소비자 러브콜 영화를 누리다,-1.0
15,"백설, '명품 천일염으로 명품 장 만들기' 쿠킹클래스 개최",-1.0
16,10대 직원 자살하자 유족-회사 엇갈린 주장,1.0
17,한국폴리텍대 바이오캠퍼스 ‘졸업 전에 90% 취업’,1.0
18,"화이자, 리리카 특허침해금지 가처분 다시 '승소'",-1.0
19,"CJ제일제당, 30억대 리베이트…""우리 약 써주세요"" 법인카드 건네",-1.0
20,"[소치]이광기·김호준, 스노보드 하프파이프 준결선행 좌절",1.0
21,직장인이 이직하고 싶은 대기업 1위 '삼성전자',-1.0
22,"마시는 식초, 인기 '뚝'…2년새 25%↓",1.0
23,"CJ제일제당, 소비자패널 'CJ the FANel' 모집",-1.0
24,"CJ제일제당, 가공식품 순항…'매수'",-1.0
25,"CJ제일제당, 당뇨 치료제 시장 본격 진출",-1.0
26,[굿모닝증시]레벨업,-1.0
27,"대기업 제약사, 여전히 R&D짠돌이",1.0
28,"SPC, CJ출신 권인태 부사장 영입…마케팅BU장 선임",1.0
29,"CJ제일제당, '알래스카 연어' 通했다",1.0
30,"CJ제일제당, 베트남 밀가루 시장 본격 공략",1.0
31,"CJ제일제당 ""퀴즈풀고 스페인 여행 떠나세요""",-1.0
32,"삼립식품, 윤석춘 대표이사 사장 승진",-1.0
33,"""음식료주, KT&G·CJ제일제당·오리온 주목""",-1.0
34,"한신공영, 베트남서 190억원 제분공장 공사 수주",-1.0
35,"오너家 경영 줄줄이 손뗀다 ""법적ㆍ도의적 책임""",-1.0
36,"이재현 CJ 회장, 계열사 등기이사 사퇴할 듯",-1.0
37,"CJ제일제당, 제약사업부문 사명 'CJ헬스케어'로",-1.0
38,"SKT, 융합인재 잇단 영입",-1.0
39,"CJ제일제당, '사료사업' 글로벌 성장동력으로 육성",-1.0
40,SK·CJ '無오너 홀로서기' 고심,1.0
41,목소리 내는 국민연금에 기업들 '긴장',1.0
42,"CJ, 2014 상반기 대졸 신입사원 600명 공채",1.0
43,"백설 다담, 싱글족을 위한 쿠킹클래스 진행",1.0
44,국민연금 반대 불구…만도 이사 재선임 통과(종합),1.0
45,"CJ제일제당, 당뇨치료제 보그메트 심포지엄 개최",-1.0
46,"간편食 시장, 홈쇼핑도 숟가락 들다",-1.0
47,"CJ제일제당, 마케팅리서치센터 'Trend전략팀'으로 개편",-1.0
48,"CJ제일제당, '건강을 생각한 고소한 참기름' 출시",-1.0
49,"CJ 채용, 18일 오후 6시 마감…지원 자격과 채용 분야는?",-1.0
50,"CJ제일제당 컨디션, 중국시장 본격 공략",1.0
51,CJ 채용 마감 임박…스피킹 점수 몇점 필요?,1.0
52,"刑확정 최태원·김승연 회장, 등기이사 공식 사임",-1.0
53,朴대통령 독일 경제사절단 105명 '역대 최대',-1.0
54,"CJ제일제당, 쇠고기다시다 등 조미료 평균 8.3% 인상",-1.0
55,[600개 기업 주총]재벌기업 오너 줄줄이 등기이사직 물러나(종합),1.0
56,"[600개 기업 주총]이재현 CJ회장, 계열사 3곳 등기이사직 물러나",1.0
57,"[600개 기업 주총]CJ제일제당, 제약사업 분할·신설회사 설립",1.0
58,"이재현 CJ그룹 회장, 계열사 등기이사직 줄줄이 물러나",1.0
59,"삼성전자, 6년연속 입사 선호 기업 1위",1.0
60,"경제사절단 개근 SK, 독일엔 안간다",-1.0
61,"CJ제일제당, '메티에' 론칭…커피부소재 시장 공략",-1.0
62,CSV 경영선언 CJ의 동반성장 성적은 A+,1.0
63,"CJ제일제당, 연어캔 2종 추가 출시…시장 공략 강화",-1.0
64,"CJ, ‘비바코’로 스타틴 시장 지위 강화",-1.0
65,[르포]바삭한 김 비결요?…국산 종자에 있죠,-1.0
66,"쁘띠첼, 스윗푸딩 '스프링 플라워 에디션' 출시",1.0
67,나 혼자서도 잘 산다<하나대투證>,1.0
68,"LG생과, 한국다이이찌산쿄와 고지혈증 치료제 공동판촉",1.0
69,"[CEO연봉공개]CJ제일제당, 손경식 회장 29억9000만원",1.0
70,"""CJ제일제당, 1분기 바이오사업 부진""",1.0
71,"윤성규 환경부, 대학생 만나 환경 일자리 강연",1.0
72,"[CEO연봉공개]담철곤 오리온 회장, 식음료 '연봉킹'",1.0
73,"CJ헬스케어 공식 출범 ""글로벌 제약기업 도약할 것""",1.0
74,[CEO연봉공개]뜯어 본 재계 고액연봉,1.0
75,"CJ그룹, 軍과 지속 후원 업무협약 체결",1.0
76,"CJ제일제당, 글로벌 1위 업체 감산 효과 기대…목표가↑",1.0
77,"CJ제일제당, 커피 부재료 브랜드 '메티에' 론칭",-1.0
78,"CJ, 자·손자회사에 대한 실적 개선 모멘텀 발생<하이투자證>",-1.0
79,"장 종료 후 ""이 공시 눈에 띄네""(코스피-1일)",-1.0
80,"CJ제일제당, '팻다운 아웃도어' 리뉴얼 출시",-1.0
81,줄어드는 쌀 소비에 소매 걷은 기업들,-1.0
82,"식음료 ""20억 이슬람 입맛 잡아라""",1.0
83,"CJ헬스케어, 美국방대학생들에 생산인프라 소개",1.0
84,"[포토]'화려한 색깔, 눈길끄네~'",1.0
85,[포토]화려한 색깔,1.0
86,소비자의 마음 알아채는 빅데이터의 힘,1.0
87,연어 색깔론?…동원·CJ 서로 비판,1.0
88,지난달 사모사채 발행 1년만에 최대,1.0
89,"""음식료업체 실적 전망 밝아…KT&G, CJ제일제당 주목""",1.0
90,"CJ제일제당, '백설 100% 자연발효 식초' 2종 출시",1.0
91,"롯데마트, 즉석밥 출시 CJ 햇반에 도전장",1.0
92,"""홍삼ㆍ비타민 가라""...대세는 '프로바이오틱스'",1.0
93,"CJ제일제당, 오븐에 구운 '더 건강한 어묵' 2종 출시",1.0
