,content,prob,Sentimental,Date
0,"Coupang employs third-largest number of workers after , Coupang has risen in the ranks to have the third highest employee numbers. / Courtesy of CoupangBy Kim Jae-heunCoupang is now the third-largest employer in Korea, after   and  Motor.According to data provided by the National Pension Service (NPS) and the firm evaluation webs  2020-11-18",0.9397923350334167,Positive,2020-11-18
1," ' stock gets bullish with strengthened wonForeign investors lead   stock's soaring move By Anna J. Park ' stock price has been on a strong upward trend this month, after foreign investors turned to net buying. As of Wednesday, the company's share price has increased by 12.8 percent this month alone, reachAnna J. Park  2020-11-18",0.8526591062545776,Positive,2020-11-18
4,"S-Oil on DJSI World list for 11 straight yearsBy Nam Hyun-wooS-Oil CEO Hussain Al-QahtaniS-Oil said Monday it was listed on this year's Dow Jones Sustainability World Indices (DJSI World), becoming the first Asian refiner to be recognized as a corporate leader in global sustainability for 11 straight years.The DJSI is operated by S&P Dow Jo  2020-11-16",0.965478241443634,Positive,2020-11-16
5," CNS could seek IPO on KOSPI Science Park in Magok, southwestern Seoul, where  CNS headquarters is located / Courtesy of  CNSBy Baek Byung-yeulWhile  Group is enjoying the soaring performance of its affiliates, eyes are on  CNS as to whether the system integration arm of the group will seek an initial public offering  2020-11-15",0.9400355219841003,Positive,2020-11-15
6," smartphones' domestic market share exceeds 70 percent for first timeThe  Galaxy S20, S20+ and S20 Ultra 5G smartphones are seen during  Galaxy Unpacked 2020 in San Francisco, Calif., U.S., Feb. 11, 2020. Reuters  Co., the world's biggest smartphone maker, saw its domestic market share exceed 70 percent for the first time in the third 2020-11-15",0.9537062048912048,Positive,2020-11-15
7,"Robotics expert to give lecture to French chamberBy Yi Whan-wooThe French Korean Chamber of Commerce and Industry (FKCCI) will invite a robotics expert, Nov. 18, to learn Korea's view of robots as drivers of economic growth and social transformation.The invitation of Kim Jin-oh, head of networking technologies for robotic applications at the Minis  2020-11-13",0.7996546030044556,Positive,2020-11-13
9,"Seoul stocks rebound on chip rally despite global virus resurgenceElectronic signboards at a Hana Bank dealing room in Seoul show the benchmark KOSPI closed at 2,493.87, Friday, up 18.25 points or 0.74 percent from the previous session's close. YonhapKorean stocks closed at a nearly two-year high Friday on advances in chipmakers, backed by massive foreign buying a2020-11-13",0.9677969217300415,Negative,2020-11-13
10,"BCG Korea names managing director partnersBy Kim Bo-eunLee Kang-wook, left, and Im Jang-gyunBoston Consulting Group (BCG) Korea has named Lee Kang-wook and Im Jang-gyun as managing directing partners.According to the global consulting firm's local office on Friday, it now has 16 managing director partners, five of whom are senior partners.L  2020-11-13",0.9263041019439697,Positive,2020-11-13
11," heir returns to business after father's death, convenes design strategy meeting  Vice Chairman Lee Jae-yong, second from left, speaks with executives at the company's research center in southern Seoul, Thursday. / Courtesy of     Vice Chairman Lee Jae-yong convened a design strategy meeting Thursday in his first business ac  2020-11-12",0.9290741086006165,Positive,2020-11-12
12," aids Biden's US supply chain recovery measures ' home appliance manufacturing plant in Newberry, South Carolina / Courtesy of  By Baek Byung-yeul  has expressed its willingness to support U.S. President-elect Joe Biden's measures to strengthen the U.S. manufacturing supply chain and bring mo  2020-11-12",0.8686014413833618,Positive,2020-11-12
13,s financial affiliates declare end to coal investments Life Insurance's headquarters in southern Seoul. 's financial units announced Thursday that they would phase out coal-related investments. / Korea Times fileBy Kim Bo-eun's financial affiliates have declared an end to new coal-related investments amid growing criticism from env  2020-11-12,0.8194797039031982,Negative,2020-11-12
14,"Korea's chaebol ushers in new chapter with young leadersFrom left,   Vice Chairman Lee Jae-yong,  Chairman Chey Tae-won,  Motors Chairman Chung Euisun and  Chairman Koo Kwang-mo talk during the 2019 New Year greeting ceremony held in Seoul. / Korea Times fileLeaders of top four conglomerates seek governance overhaul, strategi  2020-11-11",0.9703705906867981,Positive,2020-11-11
15,"Huawei to sell phone unit for $15 billion to Shenzhen gov't, Digital China, others: ReutersIn this file photo taken on Oct. 15, 2019, Huawei and 5G signs are on display during the 10th Global mobile broadband forum hosted by Chinese tech giant Huawei in Zurich. AFPHuawei plans to sell budget-brand smartphone unit Honor in a 100 billion yuan ($15.2 billion) deal to a consortium led by hand2020-11-11",0.800341010093689,Positive,2020-11-11
16,"30,000 deaths caused by  insurers' coal investments'Members of the Korea Federation for Environmental Movements protest 's insurance units' investments in coal-fired power plants, in front of the environmental group's headquarters in central Seoul, Tuesday. The group claimed 's two insurers were responsible for the early deaths of over   2020-11-10",0.7265987992286682,Negative,2020-11-10
18," microbial lab wins certificationSuh Young-jin, right, vice president of  ' Global CS Center, poses for a photo with Carsten Lienemann, CEO of Germany-based technical test service and certification organization TUV Rheinland Korea, after the former's laboratory was recognized as an international institute to verif  2020-11-09",0.7453129887580872,Negative,2020-11-09
19,", ,  on alert over stronger currencyA screen shows the foreign exchange rate between the U.S. dollar and Korean won in a dealing room at Hana Bank in Seoul, Nov. 5. AP-YonhapBy Kim Yoo-chulThe relief rally over Joe Biden's victory in the U.S. presidential election is expected to continue, benefiting battery, clean energy and eco-frien  2020-11-09",0.7157483100891113,Positive,2020-11-09
20," may launch flagship phone early to grab Huawei share: ReutersA man tries out a  Galaxy Z Fold2 smartphone at the 3rd China International Import Expo in Shanghai, China, on Nov. 6, 2020. AFP  Co Ltd may launch its flagship Galaxy S smartphones more than a month earlier than expected in a bid to grab market share from Huawei and fend of2020-11-09",0.7381131052970886,Negative,2020-11-09
21,"Assets for one generationBy Nam Sang-soChairman Lee Kun-hee of   passed away Oct. 25. My house is next to his residence and our engineering design office is in the neighborhood of Hannam-dong, Seoul, and I have had a few opportunities to work for  in designing factories in the Suwon  Estate. 2020-11-08",0.9710839986801147,Positive,2020-11-08
22,"Seoul stocks up for 5th day on easing U.S. election uncertaintiesA dealer at Hana Bank in Seoul watches news on the U.S president election on his monitor, Friday. / Korea Times photo by Hong In-keeSouth Korean stocks extended their winning streak to a fifth day Friday, helped by massive foreign buying amid eased uncertainties over U.S. election results. The Korea2020-11-06",0.9193618893623352,Positive,2020-11-06
23,"MSCI urges Korea to brace for climate risMSCI head of climate policy and strategy David Lunsford, left, and MSCI head of Korea client coverage Kim Tae-hee / Courtesy of MSCIBy Park Jae-hyukMSCI has advised market participants here to be better aware of the importance of climate ri management, saying it is crucial to align investment stra  2020-11-04",0.8708242177963257,Positive,2020-11-04
24,"AIA Korea launches upgraded healthcare platformBy Kim Bo-eunAIA Korea CEO Peter Chung / Courtesy of AIA KoreaAIA Korea introduced an upgraded version of AIA Vitality, its app-based healthcare platform, Wednesday.The pan-Asian life insurance company's local unit first introduced AIA Vitality in August 2018. The upgraded platform encourages custom  2020-11-04",0.9007103443145752,Positive,2020-11-04
25," woos Chinese phone makers, seeking to expand AP bizBy Baek Byung-yeul  is trying to woo Chinese smartphone makers Vivo, Oppo and Xiaomi with its mobile application processor, in a significant step to find a breakthrough in the Chinese market where the company has lost ground.The Korean tech giant recently announced on Weibo, a Chin  2020-11-03",0.902395486831665,Negative,2020-11-03
26,"Ex-President Lee Myung-bak jailed again following Supreme Court's ruling in corruption caseFormer South Korean President Lee Myung-bak leaves his home in Nonhyun area in Seoul's Gangnam District, Monday, and heads to the Seoul Central District Court. Korea Times photo by Shim Hyun-chulFormer President Lee Myung-bak was put behind bars again on Monday afternoon, following the Supreme Court2020-11-02",0.8652521371841431,Positive,2020-11-02
27,"Prolonged COVID-19 to boost ,  ' Galaxy S20 FE smartphones / Courtesy of  By Baek Byung-yeul, Kim Yoo-chul After several months of sales disruptions due to the COVID-19 pandemic,  and   are now seeing solid increases in the demand for appliances.Some analysts predicted Sund  2020-11-01",0.7443618178367615,Negative,2020-11-01
28,"[ANNIVERSARY SPECIAL] Live commerce is key to future successBy Kim Jae-heunThe digitization of retail here has been pushing more and more people to shop online. Previously, people were uncomfortable with internet shopping because they were not used to paying for the product first and receiving the order a week after. Sometimes, products never arrived. People  2020-11-01",0.8380306363105774,Positive,2020-11-01
29,"[ANNIVERSARY SPECIAL] Korea Exchange witnesses economy's ebbs and flowsThis file photo shows the opening of Korea Stock Exchange back in March 1956, located in the Myeongdong area of Seoul. / Courtesy of Korea Exchange (KRX)By Anna J. ParkThe nation's bourse operator Korea Exchange (KRX) has witnessed the Korean capital market's growth over the past six decades, assumiAnna J. Park  2020-11-01",0.9871998429298401,Positive,2020-11-01
30,"Seoul stocks sink over 2.5% on massive foreign sell-offsElectronic signboards at the trading room of Hana Bank in Seoul show the KOSPI closed at 2,267.15 Friday, down 59.52 points or 2.56 percent from the previous session's close. / YonhapSouth Korean shares plunged more than 2.5 percent Friday, as major tech giants suffered a slump from massive foreign 2020-10-30",0.9920451641082764,Negative,2020-10-30
31,"[ANNIVERSARY SPECIAL] Korea Times 70th Anniversary ceremony in photosThe Korea Times Chairman Seung Myung-ho, third from left, and guests applaud during a ceremony to mark the newspaper's 70th anniversary at the Lotte Hotel Seoul, Thursday. From left are U.S. Ambassador to Korea Harry Harris, National Assembly Speaker Park Byeong-seug, Seung, Prime Minister Chung Sye  2020-10-29",0.9518458843231201,Positive,2020-10-29
34," partners with UNDP to launch Generation17 projectPoster of  and UNDP's the Generation17 project. / Courtesy of  By Kim Hyun-binIn commemoration of the 75th anniversary of the United Nations,   has partnered with the U.N. Development Programme (UNDP) to launch the “Generation17” ― a set of 17 i  2020-10-29",0.9483597278594971,Positive,2020-10-29
35,"Farewell to  Chairman Lee Kun-hee  Vice Chairman Lee Jae-yong, center, visits his father  Chairman Lee Kun-hee's resting place in Suwon, where the group founder Lee Byung-chull is also buried. From left is  Foundation President Lee Seo-hyun, Hotel Shilla CEO Lee Boo-jin, Vice Chairman Lee and the lat  2020-10-28",0.9709410071372986,Positive,2020-10-28
