Date,label,economics,IT,finance,social,politics
2014-01-02,,0,0,0,0,1
2014-01-02,,1,0,0,0,0
2014-01-02,,0,1,0,0,0
2014-01-02,,0,0,1,0,0
2014-01-02,,0,0,0,1,0
2014-01-03,,0,0,0,0,1
2014-01-03,,1,0,0,0,0
2014-01-03,,0,1,0,0,0
2014-01-03,,0,0,1,0,0
2014-01-03,,0,0,0,1,0
2014-01-06,,0,0,0,0,1
2014-01-06,,1,0,0,0,0
2014-01-06,,0,1,0,0,0
2014-01-06,,0,0,1,0,0
2014-01-06,,0,0,0,1,0
2014-01-07,,0,0,0,0,1
2014-01-07,,1,0,0,0,0
2014-01-07,3.0,0,1,0,0,0
2014-01-07,,0,0,1,0,0
2014-01-07,,0,0,0,1,0
2014-01-08,,0,0,0,0,1
2014-01-08,,1,0,0,0,0
2014-01-08,3.0,0,1,0,0,0
2014-01-08,,0,0,1,0,0
2014-01-08,,0,0,0,1,0
2014-01-09,,0,0,0,0,1
2014-01-09,,1,0,0,0,0
2014-01-09,6.0,0,1,0,0,0
2014-01-09,,0,0,1,0,0
2014-01-09,,0,0,0,1,0
2014-01-10,,0,0,0,0,1
2014-01-10,,1,0,0,0,0
2014-01-10,5.0,0,1,0,0,0
2014-01-10,,0,0,1,0,0
2014-01-10,2.0,0,0,0,1,0
2014-01-13,,0,0,0,0,1
2014-01-13,,1,0,0,0,0
2014-01-13,2.0,0,1,0,0,0
2014-01-13,,0,0,1,0,0
2014-01-13,,0,0,0,1,0
2014-01-14,,0,0,0,0,1
2014-01-14,,1,0,0,0,0
2014-01-14,,0,1,0,0,0
2014-01-14,,0,0,1,0,0
2014-01-14,,0,0,0,1,0
2014-01-15,,0,0,0,0,1
2014-01-15,,1,0,0,0,0
2014-01-15,3.0,0,1,0,0,0
2014-01-15,,0,0,1,0,0
2014-01-15,,0,0,0,1,0
2014-01-16,,0,0,0,0,1
2014-01-16,,1,0,0,0,0
2014-01-16,,0,1,0,0,0
2014-01-16,,0,0,1,0,0
2014-01-16,,0,0,0,1,0
2014-01-17,,0,0,0,0,1
2014-01-17,,1,0,0,0,0
2014-01-17,,0,1,0,0,0
2014-01-17,,0,0,1,0,0
2014-01-17,,0,0,0,1,0
2014-01-20,,0,0,0,0,1
2014-01-20,,1,0,0,0,0
2014-01-20,,0,1,0,0,0
2014-01-20,,0,0,1,0,0
2014-01-20,,0,0,0,1,0
2014-01-21,,0,0,0,0,1
2014-01-21,,1,0,0,0,0
2014-01-21,,0,1,0,0,0
2014-01-21,,0,0,1,0,0
2014-01-21,,0,0,0,1,0
2014-01-22,,0,0,0,0,1
2014-01-22,,1,0,0,0,0
2014-01-22,3.0,0,1,0,0,0
2014-01-22,,0,0,1,0,0
