id,Title,label
0,국민안전로봇 2021년까지 개발…'로봇물고기' 전철 피할까?,0
1,'국정원 해킹 의혹' 상임위 앞두고 與野 전초전,0
2,인터넷티비(TV)결합상품 인터넷가입 비교사이트 통해 통신사별 장단점 비교해야 유리,0
3,SKT LG KT 인터넷가입 비교사이트 ‘펭귄통신’ 설치 당일 현금지원 이벤트,0
4,설 연휴 고향 가는 길 언제 출발해야 덜 막힐까,0
5,인터넷가입 KT·SK·LGU플러스 인터넷TV결합 설치 시 현금사은품 설치 당일지급 소비자 몰린다,0
6,"'운서 SK뷰 스카이시티' 견본주택, 개관 3일간 1만여명 방문",0
7,카카오·삼성화재 디지털 보험사 도전,0
8,"[2019여성리더스포럼]""지속가능한 일 위해 회복탄력성 갖춰라""",0
9,"하나+SKT+키움證, 제3인터넷銀 도전",1
10,SKT ‘0’브랜드 한정판 제품 ‘0굿즈’ 11번가에서 출시,1
11,삼성카드 갤럭시노트9 ‘T 삼성카드2 V2’로 구매시 장기할부 서비스,0
12,"""평창 올림픽 마케팅은 올림픽 끝난 이후에나…""",0
13,[특징주]SKT 하반기 실적 개선 기대…장 초반↑,1
14,다음달부터 모든 부동산거래 전자계약 가능해진다,0
15,에이치엘비 HUD 신제품 '아프로뷰 SO' 출시,0
16,이제 아이폰 수리할 때 37만5000원 선결제 안 해도 된다,0
17,매출 3억→18억 '껑충'…SK 대전창조경제센터 첫 졸업생 배출,0
18,[진화하는농촌]농장 온도·습도조절 스마트폰으로 간단하게,0
19,세븐일레븐 SK텔레콤과 '미래형 스마트 편의점' 구축 추진,1
20,[3월 4일]아시아경제 뉴스브리핑,0
21,이통사 폰 보조금 잇달아 하향조정…'대목' 앞두고 '숨고르기',0
22,SKT 세계 최초 3밴드 광고금지 결정 집행정지 신청,-1
23,'과다 리베이트' 공방 2라운드…SKT KT·LGU+ 불법영업 신고서 제출(종합),-1
24,간편결제VS신용카드결제 간편함이냐 보안이냐,0
25,이통사 중고폰선보상제 종료하나…방통위 내일 최후통첩,0
26,SK그룹 'ICT' 수장 모두 교체…젊은 피·글로벌 강화 '키워드',0
27,수장 바뀐 SKT SK플래닛 이익창출 시나리오는?,0
28,KB국민은행 증권대행업무 위탁회사 직원 워크숍,0
29,"미래부 ""출고가 인하=단통법 효과""",1
30,"[단통법 한달]'단통법 패닉 주범' 국회 ""기다려보자"" 뒷짐만",-1
31,"""단통법 알뜰폰 성장에 따른 요금인하 효과는 大 성공작""",1
32,요금인가제 신청만 하면 100% 승인…사실상 '담합',-1
33,"""아이폰6 출시, 이통사 매출높은 고객 이탈 막을 것""",1
34,SK C&C '클라우드 컨테이너'로 디지털 물류 혁신 나서,0
35,월 4000원대 무제한…KT 게임구독 서비스 정식 출시,0
36,"[컨콜]SK텔레콤 ""원스토어·ADT캡스 등 IPO 추진…준비되는 회사부터""",1
37,사상 첫 5G 품질평가 SK텔레콤 웃었다…속도 1위,1
38,"LGU+ ""은행 ATM처럼 '무인 휴대전화 개통' 점진적 확대할 것""(종합)",0
39,"오늘부터 SK텔레콤 2G 단계적 종료…이용자측 ""대법원 상고·위헌 소송""",-1
40,SK텔레콤 종이 서류 제출 없는 휴대폰 보험 시대 연다,1
41,"[데이터경제에 길을 묻다] 6년 소송에 결국 포기 ""블루오션 놓쳤다""",-1
42,"""5G·AI로 사회문제 해결"" SK텔레콤 '총 상금 천만원' 행복 인사이트 개최",0
43,"[사람人]""구 시대 공식 깨자"" 박정호 대표의 '혁신과 헌신'",0
44,SKT-MS 5G기반 엑스클라우드 게임 100종…7개월만에 3.5배,1
45,넷플릭스가 쏘아올린 머니게임…OTT 콘텐츠 올해만 46조원 ,0
46,서울시-SKT T맵 '남산1호터널'에 끊기지 않는 GPS 서비스 시작,1
47,유료방송 통신3강 재편…독주하는 IPTV 케이블과 격차 더 커져,0
48,"코로나 발목 잡힌 SK텔레콤 ""경영계획 재검토""(종합2보)",-1
49,SK텔레콤 점프 AR서 '전국 냥집사 이벤트',1
50,700만선 고착화된 알뜰폰…3만원대 요금에도 5G 효과 아직 미미,-1
51,SK텔레콤 디지털 헬스케어 회사 '인바이츠 헬스케어' 설립,1
52,"""유럽에서도 SKT 5G 인빌딩 기술쓴다"" 도이치텔레콤과 협력 결실",1
53,5G 첫해 출혈경쟁에도…SK텔레콤 17.7조 '최대' 매출(종합),1
54,"""해외서 무료 음성통화"" SKT 바로로밍 꿀팁",1
55,"[CES2020] ""첨단 삼성 보자""…순식간에 꽉 찬 전시관",0
56,[CES2020]네바다 사막은 지금‥최첨단 미래기술 경연장,0
57,"SKB, 다파장 유선가입자망 기술 개발 성공",0
58,영화 '레디플레이어 원'이 현실로…SKT VR 세상 열다,1
