Column1,Title,label
0,"코스피, 16일만에 돌아선 外人…보합권 내 혼조",-1
1,"코스피, 외인·기관 '사자'에 2200선 돌파",1
2,"코스피, 이틀 연속 오르며 1940선 마감… 코스닥 4거래일 만에 600선 회복",1
3,"코스피, 외인·기관 '팔자'에 하락마감…2550선은 방어",0
4,"美 의결권 자문사 글래스 루이스, 현대차그룹 지배구조 개편 반대의견",0
5,옵션만기일 맞은 코스피…보합권 내 혼조,-1
6,"부품株, 자동차株 질주 합승할까",0
7,현대차 앞에서 끌고 정부 뒤에서 미는 '수소경제',1
8,"[격랑의 재계] 재계 ""경영정상화 고삐 놓칠라…바짝 긴장""",-1
9,"코스피, 中 지표 호조에도 2020선 약세지속",-1
10,"정진행 현대차 사장 ""광주형 일자리, 광주시가 어떻게 할지 지켜봐야""",0
11,"현대모비스, 작년 당기순익 1.9조원…전년比 21% 증가",1
12,"삼성전자 우수 협력사들, 증시 주목받는 이유 있었네",1
13,"UBS ""삼성전자 등 배당잠재력 큰 종목 주목하라""",1
14,"10대 총수 배당잔치, 전체 배당금 전년比 30% 증가",1
15,"코스피, '무역전쟁 D-Day' 상승출발…한때 2260선 회복",1
16,"[아시아경제TV] 코스피·코스닥, 외국인 순매도에 동반 하락",-1
17,"코스피, 외국인·기관 순매수에 2030선 회복…코스닥은 하락",0
18,"코스피, 단기랠리 부담에 7일만에 약세…1980선 약보합",-1
19,"[특징주]현대차, 실적 발표후 급등세",1
20,"코스피, 삼성전자 연중 최저가 기록…2050선 후퇴",-1
21,[CEO연봉공개]최태원 SK회장 지난해 보수 301억원 '연봉킹',1
22,"코스피, 美 금리인상 우려에 하락반전",-1
23,"코스피, 기관 '팔자' 강화…2020선 후퇴",-1
24,"코스피, 기관 매수에 2230선 회복 마감… 코스닥도 750선 재진입",1
25,"코스피, 중국발 호재에 상승세…2030선 재돌파",1
26,"코스피, 외인·기관 매도에 하락 출발",-1
27,"코스피, 외인·기관 '팔자'..다시 1930선 밑으로",-1
