,Title,label
6490,"타임워너, 국내 PP 지분 100%로 확대",0
6505,한국서 자율주행차 토론회 열린다,0
6527,내일 'LG 워치' 조기출격…'65만원' 이유는?(종합),0
6559,26일 '체험존' 여는 '갤S6'…SKT 영업정지가 복병(종합),-1
6565,"AK몰, 4일간의 특가쇼핑찬스 ‘크레이지 4데이즈’",0
6567,"SK텔레콤, ""SKB 합병 추진설, 확정 사항 없다""",0
6579,"한샘, '베스트 코리아 브랜드 2015' 44위로 첫 진입",0
6607,"[포토]SK텔레콤, MWC서 '5G 라이프' 선보인다",1
6619,"""LGU+ 매장에서 캐시슬라이드 적립금 받으세요""",0
6622,이통시장 '설 특수' 없어졌다…번호이동 전년比 47%↓,-1
6758,"'3밴드 LTE-A' 논란…""삼성, SKT와 KT에 상반된 내용 공문 보내""",0
6785,"이통사, 유통점 줄도산에 리베이트 전격 상향…최대 17만원↑",0
6808,[SK플래닛 메신저 상장] SK그룹 ICT 글로벌 '한수' 의미는,0
6819,새해부터 보조금 경쟁…공짜폰에 미끼모델까지,0
6866,"SKT, 단통법으로 아낀 비용 'IoT'에 집중",1
6881,"하성민 SKT 대표·황창규 KT 회장, GSMA 이사회 선임…""역시 IT강국""",1
6907,"스미싱 줄었다…""각종 보안 강화 노력의 가시적 성과""",1
6908,"SK텔레콤, 스마트미러링 2.0 출시",1
6950,"SKT, 5G 네트워크 개발 '가상화' 기술로 본격 시동",1
6964,"""베가 팝업노트, 다 팔렸습니다""…'35만원 효과'에 반나절만에 '품절'",1
6994,"SK그룹, 창조경제 성공 속도 더 낸다",0
7022,'휴대폰 주말 개통' SKT 찬성 vs KT·LGU+ 반대,0
7035,"SK텔레콤, 웨어러블 전용 요금제 'T아웃도어' 첫 선",1
7038,"아이폰6 대란 원인 '이통사 장려금'…""유통점에 독사과""",0
7061,"[포토]SKT, 아이폰6 전격 출시…'누워서' 기다리세요",0
7063,"아이폰6 ""내가왔다""vs갤노트4 ""그래봤자"" 본격 경쟁 점화",0
7065,"SKT, 아이폰6 16G '78만9800원'…지원금 17만원 확정",0
7071,"SK텔레콤, 부산시·시스코와 스마트 시티 구축 위한 협약 체결",1
7092,내년 이통사 '폰가입자↑·ARPU↑·영업익↑…마케팅비용만↓,1
7102,단통법 4주차 소비심리↑…이통시장 살아날까,0
7176,"단통법 보름, 구형 단말만 보조금 올라…노트3 9만4000원↑",-1
7206,"최양희 미래부 장관 ""단통법, 결국 소비자 편익에 기여할 것""",-1
7233,"대기업, 동반성장도 '정권 눈치보기'?",0
7270,SK텔레콤 ‘LTE 아시아 어워즈 2014’ 수상,1
7292,"재계, 인천 特需 상륙작전",0
7390,SK바이오팜 몰린 개미들…5일만에 5800억 순매수,0
7399,"외국인, 2주 연속 '팔자'…코스닥은 매수세 지속",0
7403,"[주간증시 리뷰]2200선서 조정 빌미 찾던 코스피, 2차 팬데믹 우려로 '털썩'",0
7410,"SK텔레콤, 커뮤니티 활발... 주가 2.12%.",1
7484,SK텔레콤-삼성전자 AI 초 협력! 1000% 오를 준비 되셨나요?,1
7514,코스피 2100선 회복하며 마감…코스닥은 하락세,0
7530,코스피 상승 개장에 장중 2100선 회복…코스닥은 강세,0
7554,"SK텔레콤, 카카오 주식 3000억어치 취득… 지분율 2.5%",1
7572,"엔텔스, SK텔레콤에 5G 시스템 공급…""기술경쟁력 확보""",1
7578,"[클릭 e종목]“SK텔레콤, 비통신 사업 호조·5G 효과로 수익성 호전될 것”",1
7611,"코스피, 외인 순매수에 상승…코스닥은 610선 회복",0
7617,"우리넷, 양자암호 통신 표준 제정…차세대 통신시장 선점",0
7622,'R의 공포'에 코스피·코스닥 동반 하락…1% 빠진 증시,0
7632,"외국인, 2주 연속 '팔자'…삼성전자 팔고 셀트리온 사고",0
7637,코스피 6거래일 연속 하락…코스닥은 상승 마감,0
7743,"[특징주]텔레필드, 화웨이 이슈에 5G 필수 장비 기술력 부각 강세",0
7796,"[특징주]영인프런티어, 췌장암 진단키트 상용화 기대 강세",0
7843,"[특징주]우리로, 27조 양자암호통신 SKT와 전세계 기준 강세",1
7844,"'사자' 이어가는 외국인, 반도체에 러브콜 지속",0
7888,"코스피, 기관 매수에 상승 반전…코스닥 약보합",0
7932,"韓증시, 2100·700선 나란히 깨진 채 출발",0
7933,[배당주의 계절]빗발치는 증시 악재…배당주 우산 속으로,0
7951,"코스피, 2주 만에 2100 회복",0
7952,"코스피, 상승출발 후 보합권 공방…2090선 유지",0
