,Date,Open,High,Low,Close,Volume
0,2014-01-02,300500,303000,290500,292000,180305
1,2014-01-03,290000,292000,282500,286000,224960
2,2014-01-06,285500,287500,282500,284500,120776
3,2014-01-07,280000,284000,276500,277500,429091
4,2014-01-08,280000,280000,272000,275000,355834
5,2014-01-09,273500,274500,268000,268500,318316
6,2014-01-10,266500,273500,264500,267000,358740
7,2014-01-13,267500,270000,267000,270000,130012
8,2014-01-14,265500,269500,265000,267500,179676
9,2014-01-15,270500,271000,267500,269000,154660
10,2014-01-16,269500,271500,268000,270500,127326
11,2014-01-17,270500,273500,268000,270000,169756
12,2014-01-20,269000,271500,265000,269000,98787
13,2014-01-21,269000,275500,269000,273000,161557
14,2014-01-22,273000,276000,270000,276000,150834
15,2014-01-23,276000,277000,271500,272000,167963
16,2014-01-24,271000,271000,267000,268500,245940
17,2014-01-27,261000,262000,259000,262000,274790
18,2014-01-28,260000,264000,256000,260000,254571
19,2014-01-29,262000,263000,259000,260000,170631
20,2014-02-03,256000,259500,253000,254000,268619
21,2014-02-04,249000,250500,246000,249500,341480
22,2014-02-05,250000,254500,248500,250000,236721
23,2014-02-06,250500,253500,246500,248500,304377
24,2014-02-07,252000,253000,248500,249500,149940
25,2014-02-10,250500,254500,250500,252500,146625
26,2014-02-11,252000,257500,251000,254000,175995
27,2014-02-12,256000,259000,254000,257000,178416
28,2014-02-13,256000,257500,253000,254500,103141
29,2014-02-14,255000,259000,254000,256000,112896
30,2014-02-17,259000,259500,256500,256500,112365
31,2014-02-18,258000,258000,251500,254000,162536
32,2014-02-19,252000,254500,251500,253000,107308
33,2014-02-20,251500,252500,248000,249500,243701
34,2014-02-21,249000,251500,249000,251000,109327
35,2014-02-24,250000,251500,248000,249000,117235
36,2014-02-25,251500,257500,251000,257000,315925
37,2014-02-26,257000,261000,257000,259000,249860
38,2014-02-27,258500,260000,256000,257500,144203
39,2014-02-28,257500,258500,253500,254500,194922
40,2014-03-03,253500,254000,250000,252500,173453
41,2014-03-04,250500,251500,248500,250000,172347
42,2014-03-05,252500,254000,249000,249500,182008
43,2014-03-06,250500,252500,249500,251500,145928
44,2014-03-07,253000,254000,250000,251000,136373
45,2014-03-10,252500,253500,245000,246000,297159
46,2014-03-11,245000,245500,241500,244000,273928
47,2014-03-12,242500,245500,240000,241000,248579
48,2014-03-13,241500,242500,239000,241000,248077
49,2014-03-14,236500,240500,235500,239500,175918
50,2014-03-17,238500,242500,238000,241500,98037
51,2014-03-18,243500,246000,242500,244500,196104
52,2014-03-19,245000,246000,242500,243500,118483
53,2014-03-20,242000,242500,236500,238500,255637
54,2014-03-21,237500,241500,237000,239500,191786
55,2014-03-24,244000,249500,242000,248000,386819
56,2014-03-25,248500,256500,246500,254000,440930
57,2014-03-26,257000,258500,253000,254000,231536
58,2014-03-27,254000,255000,250000,253500,182131
59,2014-03-28,252500,253500,250000,252000,155685
60,2014-03-31,256000,257000,253500,254000,265413
61,2014-04-01,254000,263500,254000,263500,579438
62,2014-04-02,267000,268000,264500,264500,315965
63,2014-04-03,265000,268500,262000,262000,145261
64,2014-04-04,264000,265000,262000,262500,184432
65,2014-04-07,260000,270500,260000,269500,357244
66,2014-04-08,270000,274000,268000,272000,318481
67,2014-04-09,272000,272500,268500,271000,178244
68,2014-04-10,272500,272500,265000,270000,207506
69,2014-04-11,266000,270000,265000,267000,212958
70,2014-04-14,265500,266000,261000,261000,245058
71,2014-04-15,263000,264500,261000,261000,128038
72,2014-04-16,262000,264000,261000,261500,117935
73,2014-04-17,261500,265000,261500,262500,90175
74,2014-04-18,264000,269000,263000,268000,204614
75,2014-04-21,272000,276000,271000,274000,395963
76,2014-04-22,274500,275500,270000,274500,169427
77,2014-04-23,278000,278500,273000,275500,208473
78,2014-04-24,274500,275500,269000,270000,178518
79,2014-04-25,269000,275500,265000,267500,319961
80,2014-04-28,265500,269500,262000,263000,206959
81,2014-04-29,264000,264500,258000,262000,192755
82,2014-04-30,262500,265000,261500,263000,128777
83,2014-05-02,265000,266500,263500,264000,113739
84,2014-05-07,263000,265500,255000,257000,211885
85,2014-05-08,256500,258000,252500,256000,177645
86,2014-05-09,255500,255500,253500,255000,102221
87,2014-05-12,255500,256000,249500,251500,197042
88,2014-05-13,252500,257500,251500,257000,211036
89,2014-05-14,259000,260000,257000,258500,134691
90,2014-05-15,260000,260000,256500,259000,131220
91,2014-05-16,256500,262500,256500,261000,144151
92,2014-05-19,261500,262500,259000,261500,125346
93,2014-05-20,263500,265000,258500,261000,170803
94,2014-05-21,259000,262000,258500,261000,102162
95,2014-05-22,262500,269500,262500,267000,289334
96,2014-05-23,267000,268500,265000,267500,136525
97,2014-05-26,267000,268000,264000,265500,119607
98,2014-05-27,266000,268500,261500,264000,89907
99,2014-05-28,264000,264500,262500,263500,105271
100,2014-05-29,265000,265500,259500,261500,167172
101,2014-05-30,261500,263500,258000,260000,161617
102,2014-06-02,261000,267000,261000,265500,193647
103,2014-06-03,265000,268500,263000,267500,190001
104,2014-06-05,268500,268500,262500,264000,130721
105,2014-06-09,266500,273000,265500,271500,352918
106,2014-06-10,273000,277500,272500,273500,320993
107,2014-06-11,271000,277000,269500,275500,188767
108,2014-06-12,274000,275500,271500,275000,153468
109,2014-06-13,274500,278000,272500,276000,191208
110,2014-06-16,280500,289500,279500,287000,505276
111,2014-06-17,288500,290000,285500,287000,271650
112,2014-06-18,286500,289000,286000,287500,128759
113,2014-06-19,289500,292500,288500,290000,204201
114,2014-06-20,288000,289500,279000,281500,230684
115,2014-06-23,281500,290500,280000,286000,243814
116,2014-06-24,287000,291500,286500,288500,142236
117,2014-06-25,288500,292500,285000,290500,187006
118,2014-06-26,289500,292500,287500,292000,156262
119,2014-06-27,290000,297500,289000,293500,259388
120,2014-06-30,297000,298000,293500,296000,156573
121,2014-07-01,297000,297000,291500,294000,136884
122,2014-07-02,295000,300000,294000,295000,249862
123,2014-07-03,295000,295000,289000,289500,207205
124,2014-07-04,290500,294000,287000,290500,156393
125,2014-07-07,290500,292000,286000,291500,174185
126,2014-07-08,289500,292500,283000,283000,254917
127,2014-07-09,280500,285500,278500,284000,214876
128,2014-07-10,284000,290000,284000,287500,189574
129,2014-07-11,284000,285500,282000,284000,146603
130,2014-07-14,286500,287500,278000,278500,188591
131,2014-07-15,280000,293000,280000,287000,292729
132,2014-07-16,287000,295000,287000,293000,283669
133,2014-07-17,296000,299500,294500,297000,229630
134,2014-07-18,294000,299500,291000,297000,199346
135,2014-07-21,293000,293500,283000,284500,408031
136,2014-07-22,284000,288500,283500,286500,162392
137,2014-07-23,285500,294000,282500,288500,203847
138,2014-07-24,290000,290000,282000,286000,204927
139,2014-07-25,287000,287500,284000,284500,103136
140,2014-07-28,284500,288000,282000,286000,167216
141,2014-07-29,286500,294000,284000,291000,231613
142,2014-07-30,292000,295000,288000,289500,224451
143,2014-07-31,288500,293000,287000,291000,211312
144,2014-08-01,290000,293000,289000,290000,153376
145,2014-08-04,291000,294000,288000,290500,118400
146,2014-08-05,290500,291500,282000,284000,196820
147,2014-08-06,282000,286000,282000,282500,102351
148,2014-08-07,282500,285000,280500,282500,80331
149,2014-08-08,282500,284000,270500,274000,341786
150,2014-08-11,275000,276000,269000,271500,235196
151,2014-08-12,270500,274500,268000,271000,201267
152,2014-08-13,273000,273000,267000,272000,161851
153,2014-08-14,270500,273000,270000,272000,129436
154,2014-08-18,273500,274000,266500,267000,162712
155,2014-08-19,268500,274500,268500,272500,173316
156,2014-08-20,275000,279000,272000,277000,271094
157,2014-08-21,278000,279000,274000,276000,182776
158,2014-08-22,275000,278000,274000,275000,103387
159,2014-08-25,275000,277500,273500,275500,72858
160,2014-08-26,276000,277500,274500,275000,81426
161,2014-08-27,277500,278500,274500,275000,98527
162,2014-08-28,273000,276000,269500,274000,130755
163,2014-08-29,272000,274500,269500,269500,175238
164,2014-09-01,269500,273500,269000,270000,92519
165,2014-09-02,270000,271000,260500,262500,302470
166,2014-09-03,262000,263500,258500,261000,190767
167,2014-09-04,262500,263500,261000,262500,87937
168,2014-09-05,262500,264500,262000,262500,76829
169,2014-09-11,263000,264000,260000,262500,280214
170,2014-09-12,263000,269500,263000,266000,129568
171,2014-09-15,265000,269500,264000,267500,130917
172,2014-09-16,267500,268500,266000,266500,115635
173,2014-09-17,269000,276500,268500,274000,211712
174,2014-09-18,275500,277000,273000,275000,116049
175,2014-09-19,276000,277500,275500,277000,143294
176,2014-09-22,277000,278000,272000,275000,131663
177,2014-09-23,275000,275500,270000,273000,146718
178,2014-09-24,273000,273000,270500,272500,156023
179,2014-09-25,274500,276500,269500,272500,176237
180,2014-09-26,269000,270000,265000,268000,194594
181,2014-09-29,266500,267000,250500,255000,531771
182,2014-09-30,255000,258500,252000,255500,192838
183,2014-10-01,251500,258500,247500,249000,298996
184,2014-10-02,249000,249500,237500,241000,430852
185,2014-10-06,244000,246000,242000,242500,183388
186,2014-10-07,244000,247500,240000,242000,132458
187,2014-10-08,238000,240000,235000,237000,216687
188,2014-10-10,234000,234500,228000,230000,380655
189,2014-10-13,226000,228000,222000,226000,382633
190,2014-10-14,225000,230500,224000,226500,289540
191,2014-10-15,226500,227500,223500,224000,204538
192,2014-10-16,222000,225000,219000,223000,233415
193,2014-10-17,226000,226500,222500,224500,213520
194,2014-10-20,226500,228500,225500,226000,202698
195,2014-10-21,219000,219000,193000,194000,1952550
196,2014-10-22,197000,197500,185000,194000,959852
197,2014-10-23,194500,195500,181000,183500,1050706
198,2014-10-24,185000,189500,181500,183500,671489
199,2014-10-27,185000,192000,184500,190000,599877
200,2014-10-28,190000,192500,189000,191000,257996
201,2014-10-29,194000,204500,193000,201500,756910
202,2014-10-30,202500,207000,197000,199500,389301
203,2014-10-31,202500,203000,198500,200000,370594
204,2014-11-03,200500,200500,188000,190000,491064
