,Date,Open,High,Low,Close,Volume
0,2014-01-02,232000,232500,228000,228000,125260
1,2014-01-03,226500,228000,225000,226500,123479
2,2014-01-06,223500,228000,223500,228000,92521
3,2014-01-07,229000,229500,224000,229000,210585
4,2014-01-08,231500,231500,224500,228500,211513
5,2014-01-09,226500,229000,223500,225000,225708
6,2014-01-10,223500,225500,220000,222000,178172
7,2014-01-13,224500,226500,219000,226000,142866
8,2014-01-14,226000,228500,225000,227500,122598
9,2014-01-15,226500,231000,226000,228500,117584
10,2014-01-16,228000,228000,226000,226500,136370
11,2014-01-17,225000,227000,221000,223500,221933
12,2014-01-20,222000,223000,217500,218500,161995
13,2014-01-21,219500,222500,218000,221000,157241
14,2014-01-22,220500,221000,217500,219000,148465
15,2014-01-23,219500,219500,213000,215500,293642
16,2014-01-24,213000,215500,212500,212500,151940
17,2014-01-27,211500,212000,205000,205500,307320
18,2014-01-28,207500,215000,206500,213000,188735
19,2014-01-29,212500,216500,210000,216500,210964
20,2014-02-03,212500,215500,212500,214500,170913
21,2014-02-04,210500,211000,205000,207500,287466
22,2014-02-05,207000,209000,204500,204500,197497
23,2014-02-06,206500,208500,205000,205500,130265
24,2014-02-07,207500,208000,203500,206000,159668
25,2014-02-10,207500,207500,205500,206500,103694
26,2014-02-11,204500,207500,204000,206500,114576
27,2014-02-12,206500,208000,204500,206000,135337
28,2014-02-13,204500,205000,200000,200000,366509
29,2014-02-14,199500,201000,194000,198000,306414
30,2014-02-17,199000,199000,192000,196500,392260
31,2014-02-18,196500,200000,195500,199000,157953
32,2014-02-19,199500,204000,199000,201500,167109
33,2014-02-20,202000,210000,201500,208500,277190
34,2014-02-21,206500,210000,205500,209500,124307
35,2014-02-24,207000,213000,204500,210500,206435
36,2014-02-25,210500,217000,210000,215000,201028
37,2014-02-26,213000,216000,211000,214000,166090
38,2014-02-27,212000,216000,212000,213000,97107
39,2014-02-28,215000,218000,213500,216500,158341
40,2014-03-03,212500,215500,208000,214000,162796
41,2014-03-04,213500,216000,211500,213000,74440
42,2014-03-05,212500,216500,208000,211500,202399
43,2014-03-06,210000,214000,208500,211500,140621
44,2014-03-07,210500,217500,209500,210000,139239
45,2014-03-10,210500,212500,209000,210000,127360
46,2014-03-11,209000,210000,205000,207000,136811
47,2014-03-12,206000,206500,203500,203500,307733
48,2014-03-13,207500,211500,205000,207000,463865
49,2014-03-14,207000,215500,207000,212000,289600
50,2014-03-17,213500,217000,213000,214500,117562
51,2014-03-18,217500,218500,214000,216500,217495
52,2014-03-19,215500,217000,214500,215500,161081
53,2014-03-20,215500,216000,214000,214000,257292
54,2014-03-21,211500,212000,208000,209000,179726
55,2014-03-24,209500,215000,209500,213000,142743
56,2014-03-25,211000,214500,211000,212000,156750
57,2014-03-26,214000,216000,213000,214500,94531
58,2014-03-27,216000,219000,216000,219000,204296
59,2014-03-28,218000,218500,215000,215000,85166
60,2014-03-31,217000,217000,212000,215500,124711
61,2014-04-01,214000,219500,214000,217000,159470
62,2014-04-02,216500,217000,204500,207000,561620
63,2014-04-03,207000,207500,199000,202000,560179
64,2014-04-04,202500,205500,200500,204000,254514
65,2014-04-07,205000,206000,198000,198000,392586
66,2014-04-08,198500,205000,198500,202000,382853
67,2014-04-09,201000,205000,201000,204000,209407
68,2014-04-10,204000,206500,203000,206500,224691
69,2014-04-11,204000,205500,202500,205000,100558
70,2014-04-14,203500,207500,203500,206000,119839
71,2014-04-15,206500,207000,203500,207000,184749
72,2014-04-16,205500,206500,203500,204000,127039
73,2014-04-17,204500,206000,203000,205500,67492
74,2014-04-18,206000,209000,205500,208500,88837
75,2014-04-21,209000,209500,206500,208000,44682
76,2014-04-22,207000,208500,205500,207500,84533
77,2014-04-23,207000,207500,203000,204000,214263
78,2014-04-24,204000,207500,202500,205500,169347
79,2014-04-25,204500,206000,203500,204500,94966
80,2014-04-28,204000,204500,202500,203000,103918
81,2014-04-29,203500,207500,203500,206000,145541
82,2014-04-30,208500,214000,207500,213500,345185
83,2014-05-02,216500,220000,216000,219500,300007
84,2014-05-07,222500,222500,213500,216000,233855
85,2014-05-08,218000,221000,216000,220000,166318
86,2014-05-09,220000,220500,216500,220500,94282
87,2014-05-12,222000,225000,220000,223000,152380
88,2014-05-13,223500,224000,218000,219500,111862
89,2014-05-14,218500,224000,218500,221000,109856
90,2014-05-15,223000,224000,219000,220000,93975
91,2014-05-16,220000,224500,218500,223500,104700
92,2014-05-19,225000,226500,223000,224500,266071
93,2014-05-20,222000,230000,222000,228000,199182
94,2014-05-21,228000,229500,225000,228000,76475
95,2014-05-22,231000,231000,226000,227500,119613
96,2014-05-23,229000,229000,225500,228500,63721
97,2014-05-26,229500,230000,226500,229000,120805
98,2014-05-27,229500,229500,223500,227000,83457
