,Date,Open,High,Low,Close,Volume
0,2014-01-02,56200,56300,52300,52700,3333908
1,2014-01-03,53200,53400,52000,52700,1793537
2,2014-01-06,52900,53300,51300,52500,2504523
3,2014-01-07,52200,54200,52200,54000,2081098
4,2014-01-08,54100,54300,53300,53900,1353618
5,2014-01-09,53400,54100,52400,52400,1687262
6,2014-01-10,52100,52900,51500,51600,1445664
7,2014-01-13,51600,53300,51500,52500,1271734
8,2014-01-14,52500,53900,52100,52100,1543502
9,2014-01-15,52100,52800,51500,51800,1536443
10,2014-01-16,52000,52300,51300,51500,1312313
11,2014-01-17,51500,51800,50300,50300,2319906
12,2014-01-20,50400,51100,50100,50600,1511651
13,2014-01-21,51100,52100,50800,51400,2142320
14,2014-01-22,51100,53600,51000,53100,3054323
15,2014-01-23,53300,53900,52800,53300,1507814
16,2014-01-24,53100,53300,51200,52700,2081766
17,2014-01-27,51200,54000,51200,53500,2614226
18,2014-01-28,53500,55100,53400,54200,1862029
19,2014-01-29,54900,55400,53600,54000,1959321
20,2014-02-03,53000,54300,53000,53600,1297739
21,2014-02-04,53100,54800,53000,54000,2251914
22,2014-02-05,54600,54700,53900,53900,941610
23,2014-02-06,54100,54200,53400,53700,844843
24,2014-02-07,54200,54300,52700,54000,874313
25,2014-02-10,53700,54200,53100,53900,825073
26,2014-02-11,53600,53900,53100,53200,768548
27,2014-02-12,53600,53700,52100,52300,1242089
28,2014-02-13,52300,53100,52100,52100,667746
29,2014-02-14,52700,53500,52600,53300,738476
30,2014-02-17,53600,54000,52800,53200,598499
31,2014-02-18,53000,53400,52500,52800,607895
32,2014-02-19,52600,53200,52000,53200,1082381
33,2014-02-20,52700,53000,52200,52300,1054584
34,2014-02-21,52600,53500,52500,53500,1183689
35,2014-02-24,53600,53900,52700,52700,792375
36,2014-02-25,53300,53900,53000,53900,794047
37,2014-02-26,53900,54800,53600,54500,1352311
38,2014-02-27,54500,55900,54000,55700,1880457
39,2014-02-28,55800,56000,55000,55400,1183130
40,2014-03-03,55600,56900,54500,56000,1578890
41,2014-03-04,55600,56500,55200,55800,1111525
42,2014-03-05,56400,56900,56000,56700,1179068
43,2014-03-06,56400,56700,55300,55800,860907
44,2014-03-07,55800,55900,55100,55600,603294
45,2014-03-10,55100,55400,54500,54800,638071
46,2014-03-11,54800,55900,54700,55800,943842
47,2014-03-12,56700,57000,55600,55700,1189508
48,2014-03-13,55800,56300,54700,54800,1090218
49,2014-03-14,54100,55200,53800,54900,817661
50,2014-03-17,54600,56600,54600,56600,1295568
51,2014-03-18,57100,57300,56200,56900,1196508
52,2014-03-19,56900,57700,56700,57100,1122577
53,2014-03-20,57000,57400,56700,56900,995543
54,2014-03-21,57500,58400,57300,58400,1287823
55,2014-03-24,58800,58900,57800,58300,808353
56,2014-03-25,58100,58600,57400,57900,581031
57,2014-03-26,58600,59500,58100,59200,1360441
58,2014-03-27,59500,59700,58900,59700,981268
59,2014-03-28,58800,59800,58500,59500,1025430
60,2014-03-31,59800,60200,58900,59300,1187209
61,2014-04-01,59000,60000,58800,59700,1224315
62,2014-04-02,60500,61300,60500,60800,1969494
63,2014-04-03,61500,61600,60000,60600,1410086
64,2014-04-04,61000,61300,60500,60900,1319245
65,2014-04-07,60600,60800,59800,60700,763556
66,2014-04-08,60200,61000,60000,60700,657407
67,2014-04-09,60400,61200,58400,59200,2982273
68,2014-04-10,59700,59800,57600,58600,2661787
69,2014-04-11,58100,59500,57900,59400,1147313
70,2014-04-14,59000,60000,59000,60000,773818
71,2014-04-15,60200,60400,58900,59500,891144
72,2014-04-16,59600,59700,58900,59000,977266
73,2014-04-17,59400,59500,58200,59100,1117859
74,2014-04-18,59000,59300,58600,58900,614187
75,2014-04-21,58700,58900,57900,58400,721902
76,2014-04-22,58400,59100,58300,59100,655450
77,2014-04-23,59400,59500,58000,58200,916378
78,2014-04-24,58000,58300,57100,58000,932904
79,2014-04-25,58100,58600,57100,57300,964243
80,2014-04-28,57500,58100,57500,57600,605928
81,2014-04-29,58000,58400,57700,57700,460221
82,2014-04-30,58300,58300,56000,57300,1504951
83,2014-05-02,57300,57400,56200,56300,1040390
84,2014-05-07,56900,57200,56100,56100,1278381
85,2014-05-08,56500,57200,55600,56900,906883
86,2014-05-09,56700,57400,56700,57400,835328
87,2014-05-12,57200,57200,56200,56800,376366
88,2014-05-13,57300,57800,56800,57100,597818
89,2014-05-14,58000,59600,57500,59600,1808122
90,2014-05-15,59900,60000,59000,59100,822915
91,2014-05-16,59000,59400,58000,58000,939052
92,2014-05-19,58700,59000,58000,59000,1359885
93,2014-05-20,58800,59000,58000,58400,774913
94,2014-05-21,58600,59600,58000,59400,1060637
95,2014-05-22,60000,60400,59500,60100,914478
96,2014-05-23,60200,60400,59900,60400,790275
97,2014-05-26,60600,60700,60200,60500,717499
98,2014-05-27,60400,60500,58800,59100,571024
99,2014-05-28,58800,59700,58500,59400,621340
100,2014-05-29,59700,59800,58900,59400,678673
101,2014-05-30,59800,59800,58600,58800,1030263
102,2014-06-02,58900,59100,57800,58200,584103
103,2014-06-03,57700,57800,56200,57600,1375512
104,2014-06-05,58000,58000,56300,56600,1326718
105,2014-06-09,56400,57000,56000,56500,1170703
106,2014-06-10,56900,57300,56400,56900,927063
107,2014-06-11,57300,57300,56100,56700,805909
108,2014-06-12,56600,56700,56100,56500,909157
109,2014-06-13,56400,56600,56000,56400,514447
110,2014-06-16,56000,56200,55500,56200,860972
111,2014-06-17,56100,57600,56000,57400,941355
112,2014-06-18,57600,57700,56400,56800,611207
113,2014-06-19,57100,57300,55600,55900,1241326
114,2014-06-20,55900,56100,54200,54200,1452143
115,2014-06-23,54400,54800,54000,54000,1471278
116,2014-06-24,53600,54700,53600,54300,985421
117,2014-06-25,54400,54800,54300,54500,570881
118,2014-06-26,55900,56300,55200,55900,1155025
119,2014-06-27,56200,57200,55500,56700,1247507
120,2014-06-30,56700,56900,55700,56600,903046
121,2014-07-01,56600,56600,55300,55700,870937
122,2014-07-02,56000,56000,55000,55300,1215580
123,2014-07-03,55600,55600,54600,54900,1594551
124,2014-07-04,55100,55200,54200,54500,927377
125,2014-07-07,54300,55000,54100,55000,866429
126,2014-07-08,55300,55300,54100,54300,902070
127,2014-07-09,54300,54600,53600,54000,868550
128,2014-07-10,54000,54500,53900,54200,619754
129,2014-07-11,53900,54800,53800,54400,853061
130,2014-07-14,54500,54600,53500,53500,887924
131,2014-07-15,53600,55600,53400,55400,1314580
132,2014-07-16,55400,56400,55100,56000,1648220
133,2014-07-17,56500,56500,55700,55700,826403
134,2014-07-18,55600,56400,55400,56000,923032
135,2014-07-21,56400,56500,55300,55700,729922
136,2014-07-22,55800,56200,55200,55600,669526
137,2014-07-23,55700,55700,54800,55400,923189
138,2014-07-24,55500,56000,55100,55900,857345
139,2014-07-25,56500,57100,55800,56800,1873949
140,2014-07-28,56500,57400,56300,57100,779886
141,2014-07-29,57700,60500,57200,60500,3292442
142,2014-07-30,60400,61500,60200,61000,2179685
143,2014-07-31,61000,61400,60100,60900,1357694
144,2014-08-01,60000,61300,59600,61000,1161122
145,2014-08-04,61300,63000,61200,62300,1740860
146,2014-08-05,61500,62400,60600,61300,834752
147,2014-08-06,61200,61900,60900,61300,663198
148,2014-08-07,61500,62400,60900,61300,800983
149,2014-08-08,60800,61000,59600,60500,850828
150,2014-08-11,61500,61500,59500,59500,778920
151,2014-08-12,59900,61000,59800,60600,793733
152,2014-08-13,60800,61800,60200,61800,714535
153,2014-08-14,61100,62000,60800,60800,621036
154,2014-08-18,61500,61500,59900,59900,751381
155,2014-08-19,60000,61300,59900,60200,868771
156,2014-08-20,60200,60800,59800,60500,587611
157,2014-08-21,60000,60500,58500,59000,1200985
158,2014-08-22,58700,59300,58700,59300,509342
159,2014-08-25,59100,59500,58600,58900,493967
160,2014-08-26,59600,60100,59100,59200,634029
161,2014-08-27,59500,60200,59300,59800,706776
162,2014-08-28,60400,60500,59100,59600,640303
163,2014-08-29,59000,61200,59000,61200,1249887
164,2014-09-01,61400,61600,60300,60600,454521
165,2014-09-02,60200,60400,59300,60100,482427
166,2014-09-03,59500,60000,58400,58600,779507
167,2014-09-04,59000,59400,58100,58500,621566
168,2014-09-05,58100,59000,58100,58600,390047
169,2014-09-11,58600,58900,57500,58100,1192156
170,2014-09-12,58200,60100,58200,59600,779796
171,2014-09-15,60100,60100,59500,60100,436576
172,2014-09-16,60000,60100,58900,59000,491111
173,2014-09-17,59200,59200,58500,59000,422658
174,2014-09-18,58100,58800,53100,54400,6781572
175,2014-09-19,54000,55800,53700,54900,2862771
176,2014-09-22,55500,55800,54500,54700,871331
177,2014-09-23,54000,54400,53200,53300,1861523
178,2014-09-24,52200,53400,52000,53100,1664439
179,2014-09-25,53300,54100,53200,53400,1338228
180,2014-09-26,52500,53400,52400,53000,870052
181,2014-09-29,53100,53600,53000,53200,898627
182,2014-09-30,53300,54200,53200,53700,1305412
183,2014-10-01,53200,54900,53200,54500,1841783
184,2014-10-02,54500,55200,54000,54300,1875226
185,2014-10-06,53800,55900,53800,55600,1795423
186,2014-10-07,56300,56300,54900,56100,1326709
187,2014-10-08,55900,56100,55300,55900,1002745
188,2014-10-10,55900,56500,55000,56500,1348536
189,2014-10-13,55700,56700,55600,56400,798355
190,2014-10-14,56300,56300,55000,55300,886315
191,2014-10-15,55000,55500,54300,55000,745742
192,2014-10-16,54800,55000,53000,53300,1678704
193,2014-10-17,53000,54500,53000,53300,1164806
194,2014-10-20,54200,55200,53800,55000,662320
195,2014-10-21,54300,54900,53600,54000,747661
196,2014-10-22,54400,54500,51700,52800,1716491
197,2014-10-23,53400,55000,52500,54300,1093108
198,2014-10-24,54500,54800,53000,54400,1145594
199,2014-10-27,54500,54800,53700,54100,639065
200,2014-10-28,53700,54100,52700,52900,802698
201,2014-10-29,53000,53700,52800,53300,1105211
202,2014-10-30,53300,53400,52500,52800,522217
203,2014-10-31,53400,53400,52000,52100,1284967
204,2014-11-03,52000,52000,49050,49200,2403343
205,2014-11-04,49000,49150,48300,49100,1917729
206,2014-11-05,49100,50500,49000,49300,1236622
207,2014-11-06,49300,52700,49100,52700,1682824
208,2014-11-07,52600,54200,52300,53500,1226652
209,2014-11-10,53900,55300,53600,54500,1285337
210,2014-11-11,54400,56800,53700,55600,1738561
211,2014-11-12,55600,56200,55000,55000,917210
212,2014-11-13,54600,55800,54600,55100,459130
213,2014-11-14,54900,55400,54500,55200,560541
214,2014-11-17,55200,55900,54500,55800,655270
215,2014-11-18,55900,56000,55300,56000,557420
216,2014-11-19,56600,56800,54400,56400,1150276
217,2014-11-20,55700,56300,54800,56000,599652
218,2014-11-21,56000,56300,55300,56300,582746
219,2014-11-24,56300,56500,55900,55900,618331
220,2014-11-25,56200,56400,55300,55700,683980
221,2014-11-26,55700,55900,55000,55500,363417
222,2014-11-27,55100,56200,54800,55900,631174
223,2014-11-28,55500,56600,55500,55700,409607
224,2014-12-01,55100,56200,55100,55900,770538
225,2014-12-02,55900,56400,55000,55800,598379
226,2014-12-03,55400,56500,55300,55400,524714
227,2014-12-04,55800,57800,55400,57300,1192875
228,2014-12-05,57500,57900,57000,57700,752009
229,2014-12-08,57500,58300,56900,57300,512451
230,2014-12-09,57400,57800,56300,56700,498056
231,2014-12-10,56400,56900,55600,55700,502485
232,2014-12-11,54600,55700,54100,54100,1133367
233,2014-12-12,53700,56500,53700,55600,904533
234,2014-12-15,55600,56700,55100,55900,404906
235,2014-12-16,55300,56000,54700,55000,578468
236,2014-12-17,54600,55000,52400,52500,1682110
237,2014-12-18,53100,53300,51600,52600,1234336
238,2014-12-19,53400,53500,51900,52400,852687
239,2014-12-22,52200,52900,52000,52800,627869
240,2014-12-23,53000,53900,52800,53400,696563
241,2014-12-24,54100,54600,53400,53800,727336
242,2014-12-26,54000,54200,53800,54000,472313
243,2014-12-29,53300,53600,53000,53000,322808
244,2014-12-30,53800,53800,51700,52300,723916
245,2015-01-02,51600,52600,51600,52300,616867
246,2015-01-05,52200,52300,51600,52000,651421
247,2015-01-06,51500,51600,50900,51200,777311
248,2015-01-07,50500,52100,50500,51800,598333
249,2015-01-08,51800,52600,51800,52200,701430
250,2015-01-09,52700,54400,52500,53400,927979
251,2015-01-12,52900,53800,52700,53000,589295
252,2015-01-13,54500,54800,53600,54200,1145916
253,2015-01-14,54700,54900,53300,53600,857911
254,2015-01-15,53200,53400,52100,52500,1137595
255,2015-01-16,51900,52400,51100,52000,884515
256,2015-01-19,51500,51900,51100,51500,897406
257,2015-01-20,51300,52000,51300,51900,725531
258,2015-01-21,51500,51900,49850,50300,2187421
259,2015-01-22,50300,50700,49800,50200,1757493
260,2015-01-23,50400,50800,48900,49250,2748392
261,2015-01-26,48000,48500,46400,46450,4520696
