,Date,Open,High,Low,Close,Volume
0,2014-01-02,12200,12300,12000,12100,1151480
1,2014-01-03,12050,12100,11850,11900,1191536
2,2014-01-06,11900,12000,11850,11900,1084005
3,2014-01-07,11850,12050,11850,12000,1009105
4,2014-01-08,11950,12150,11950,12050,1037334
5,2014-01-09,12050,12200,12000,12100,1152829
6,2014-01-10,12050,12200,11900,11950,1632755
7,2014-01-13,11950,12300,11950,12200,1082390
8,2014-01-14,12100,12250,11950,12000,905485
9,2014-01-15,12050,12450,12000,12350,1875224
10,2014-01-16,12500,12750,12400,12700,2380615
11,2014-01-17,12600,12650,12400,12500,884029
12,2014-01-20,12400,12500,12300,12450,567392
13,2014-01-21,12500,12700,12400,12600,766280
14,2014-01-22,12700,12700,12100,12300,2638032
15,2014-01-23,12350,12450,12200,12250,869256
16,2014-01-24,12200,12450,12150,12350,1110939
17,2014-01-27,12100,12300,12100,12200,921073
18,2014-01-28,12250,12350,12100,12300,704378
19,2014-01-29,12350,12700,12350,12500,1038336
20,2014-02-03,12400,12550,12300,12350,443283
21,2014-02-04,12200,12300,12150,12150,1294662
22,2014-02-05,12250,12550,12100,12150,1004949
23,2014-02-06,12200,12400,12200,12200,439664
24,2014-02-07,12300,12300,12050,12100,620377
25,2014-02-10,12200,12450,12150,12200,1186430
26,2014-02-11,12250,12550,12200,12500,847455
27,2014-02-12,12500,12700,12450,12600,861366
28,2014-02-13,12600,12700,12400,12650,1418400
29,2014-02-14,12700,12800,12550,12650,784171
30,2014-02-17,12700,12950,12650,12850,1279248
31,2014-02-18,12900,13100,12800,13100,1113055
32,2014-02-19,13100,13400,12950,13400,1434115
33,2014-02-20,13250,13300,12950,13050,802385
34,2014-02-21,13050,13250,13000,13200,559908
35,2014-02-24,13200,13200,13000,13050,715495
36,2014-02-25,13100,13450,13100,13300,910471
37,2014-02-26,13150,13500,13150,13500,1025301
38,2014-02-27,13400,13500,13300,13450,1399034
39,2014-02-28,13550,13750,13500,13600,4786463
40,2014-03-03,13500,13550,12950,12950,2092353
41,2014-03-04,12950,13150,12900,13150,697840
42,2014-03-05,13300,13300,13000,13100,665123
43,2014-03-06,13100,13150,12900,13050,965574
44,2014-03-07,13000,13200,12750,12900,1180391
45,2014-03-10,12900,12950,12600,12650,660032
46,2014-03-11,12700,13050,12700,13000,701464
47,2014-03-12,12950,13000,12600,12750,940506
48,2014-03-13,12800,13050,12700,13050,637196
49,2014-03-14,12850,12900,12750,12800,701919
50,2014-03-17,12750,12850,12700,12800,561119
51,2014-03-18,12900,12950,12750,12750,725748
52,2014-03-19,12900,13500,12850,13500,1314763
53,2014-03-20,13350,13400,12950,12950,863501
54,2014-03-21,13050,13200,12900,12900,577876
55,2014-03-24,13000,13550,13000,13300,1294542
56,2014-03-25,13350,13800,13200,13350,1989864
57,2014-03-26,13450,13700,13400,13650,996793
58,2014-03-27,13550,13600,13300,13350,963911
59,2014-03-28,13450,13750,13350,13600,594004
60,2014-03-31,13600,13750,13450,13500,752835
61,2014-04-01,13250,13350,12950,13000,4308607
62,2014-04-02,13100,13200,12900,13000,1610842
63,2014-04-03,13150,13450,13100,13200,2274540
64,2014-04-04,13150,13300,13100,13200,753083
65,2014-04-07,13150,13200,12700,12800,2509781
66,2014-04-08,12800,12850,12650,12650,1620645
67,2014-04-09,12700,12800,12650,12700,2037219
68,2014-04-10,12750,12750,12550,12650,2509930
69,2014-04-11,12600,12600,12300,12350,2967645
70,2014-04-14,12450,12700,12400,12650,3705202
71,2014-04-15,12750,12850,12600,12650,1490418
72,2014-04-16,12700,12750,12550,12600,1017225
73,2014-04-17,12700,12800,12600,12700,1414112
74,2014-04-18,12750,12950,12700,12850,1620873
75,2014-04-21,12900,12950,12750,12850,936890
76,2014-04-22,12850,13000,12700,12800,1174678
77,2014-04-23,12900,12950,12700,12800,1808483
78,2014-04-24,12800,12850,12700,12800,1951458
79,2014-04-25,12800,12800,12550,12550,1048365
80,2014-04-28,12550,12600,12350,12400,1119843
81,2014-04-29,12450,12700,12400,12600,3322908
82,2014-04-30,12650,12700,12550,12700,1651747
83,2014-05-02,12700,12750,12600,12700,1153159
84,2014-05-07,12850,12850,12600,12700,1489906
85,2014-05-08,12750,12900,12650,12850,1580689
86,2014-05-09,12950,13450,12900,13450,2203093
87,2014-05-12,13450,13500,13200,13450,1116568
88,2014-05-13,13450,13600,13250,13600,1400609
89,2014-05-14,13600,13700,13500,13700,1332344
90,2014-05-15,13600,13800,13400,13500,1400758
