,Date,Open,High,Low,Close,Volume
0,2014-01-02,1348000,1355000,1302000,1309000,620500
1,2014-01-03,1300000,1311000,1287000,1296000,529932
2,2014-01-06,1303000,1320000,1296000,1307000,394716
3,2014-01-07,1300000,1318000,1295000,1304000,395264
4,2014-01-08,1300000,1304000,1287000,1291000,409493
5,2014-01-09,1307000,1307000,1275000,1275000,425019
6,2014-01-10,1275000,1286000,1272000,1272000,363783
7,2014-01-13,1283000,1297000,1273000,1295000,328987
8,2014-01-14,1297000,1330000,1290000,1313000,294333
9,2014-01-15,1330000,1331000,1298000,1299000,234949
10,2014-01-16,1300000,1310000,1293000,1301000,195049
11,2014-01-17,1301000,1315000,1292000,1292000,255485
12,2014-01-20,1305000,1319000,1296000,1316000,173656
13,2014-01-21,1315000,1327000,1311000,1324000,151246
14,2014-01-22,1314000,1328000,1312000,1328000,216530
15,2014-01-23,1316000,1322000,1299000,1299000,206739
16,2014-01-24,1300000,1318000,1291000,1307000,280035
17,2014-01-27,1293000,1304000,1285000,1292000,266926
18,2014-01-28,1273000,1293000,1273000,1283000,234027
19,2014-01-29,1280000,1288000,1277000,1280000,383637
20,2014-02-03,1286000,1288000,1271000,1272000,325184
21,2014-02-04,1263000,1263000,1249000,1249000,320660
22,2014-02-05,1245000,1255000,1234000,1237000,298533
23,2014-02-06,1245000,1267000,1240000,1259000,303949
24,2014-02-07,1275000,1279000,1263000,1275000,198872
25,2014-02-10,1271000,1281000,1262000,1277000,155993
26,2014-02-11,1281000,1315000,1272000,1311000,253680
27,2014-02-12,1331000,1331000,1305000,1307000,200548
28,2014-02-13,1300000,1320000,1290000,1298000,116769
29,2014-02-14,1296000,1308000,1292000,1301000,124415
30,2014-02-17,1292000,1306000,1280000,1285000,187733
31,2014-02-18,1285000,1299000,1282000,1295000,118213
32,2014-02-19,1300000,1300000,1280000,1290000,123595
33,2014-02-20,1290000,1296000,1281000,1286000,190866
34,2014-02-21,1333000,1333000,1300000,1330000,286924
35,2014-02-24,1334000,1345000,1321000,1328000,148501
36,2014-02-25,1332000,1340000,1326000,1334000,175706
37,2014-02-26,1337000,1343000,1325000,1342000,258361
38,2014-02-27,1335000,1342000,1330000,1341000,157827
39,2014-02-28,1337000,1349000,1332000,1349000,284647
40,2014-03-03,1336000,1340000,1321000,1325000,242083
41,2014-03-04,1320000,1329000,1315000,1315000,158003
42,2014-03-05,1335000,1341000,1330000,1330000,149830
43,2014-03-06,1329000,1329000,1310000,1326000,172335
44,2014-03-07,1339000,1339000,1329000,1339000,150973
45,2014-03-10,1320000,1330000,1317000,1320000,173152
46,2014-03-11,1320000,1327000,1309000,1322000,181596
47,2014-03-12,1320000,1320000,1293000,1294000,251585
48,2014-03-13,1294000,1313000,1290000,1290000,235004
49,2014-03-14,1270000,1285000,1270000,1275000,216736
50,2014-03-17,1275000,1276000,1258000,1266000,176400
51,2014-03-18,1270000,1283000,1266000,1278000,220912
52,2014-03-19,1280000,1285000,1268000,1269000,152771
53,2014-03-20,1270000,1272000,1262000,1262000,118788
54,2014-03-21,1269000,1273000,1262000,1273000,166426
55,2014-03-24,1260000,1274000,1259000,1273000,141478
56,2014-03-25,1269000,1270000,1241000,1247000,272500
57,2014-03-26,1269000,1290000,1248000,1285000,348894
58,2014-03-27,1290000,1333000,1285000,1333000,417557
59,2014-03-28,1320000,1338000,1320000,1335000,212974
60,2014-03-31,1345000,1345000,1322000,1343000,265197
61,2014-04-01,1345000,1345000,1331000,1339000,221620
62,2014-04-02,1350000,1357000,1343000,1357000,262001
63,2014-04-03,1351000,1395000,1351000,1390000,381976
64,2014-04-04,1377000,1397000,1377000,1380000,368007
65,2014-04-07,1397000,1397000,1374000,1397000,215235
66,2014-04-08,1387000,1399000,1375000,1394000,212164
67,2014-04-09,1394000,1395000,1364000,1371000,321232
68,2014-04-10,1369000,1380000,1360000,1380000,199984
69,2014-04-11,1362000,1368000,1359000,1365000,213187
70,2014-04-14,1365000,1386000,1365000,1370000,211720
71,2014-04-15,1386000,1387000,1369000,1370000,219396
72,2014-04-16,1370000,1392000,1363000,1380000,186171
73,2014-04-17,1376000,1380000,1366000,1370000,144833
74,2014-04-18,1370000,1379000,1370000,1378000,190367
75,2014-04-21,1379000,1386000,1375000,1380000,65985
76,2014-04-22,1374000,1384000,1371000,1375000,121686
77,2014-04-23,1394000,1395000,1382000,1389000,190015
78,2014-04-24,1409000,1409000,1399000,1407000,210924
79,2014-04-25,1420000,1428000,1398000,1399000,305396
80,2014-04-28,1404000,1406000,1382000,1388000,188629
81,2014-04-29,1389000,1395000,1351000,1360000,218184
82,2014-04-30,1380000,1381000,1326000,1343000,300946
83,2014-05-02,1354000,1359000,1344000,1346000,298867
84,2014-05-07,1350000,1356000,1340000,1344000,283794
85,2014-05-08,1355000,1355000,1344000,1350000,325638
86,2014-05-09,1356000,1358000,1326000,1335000,263141
87,2014-05-12,1336000,1395000,1332000,1388000,318896
88,2014-05-13,1388000,1425000,1388000,1400000,242148
89,2014-05-14,1409000,1415000,1401000,1415000,222075
90,2014-05-15,1414000,1419000,1403000,1410000,136134
91,2014-05-16,1400000,1437000,1399000,1428000,317130
92,2014-05-19,1428000,1450000,1408000,1448000,385621
93,2014-05-20,1445000,1454000,1435000,1451000,320146
94,2014-05-21,1435000,1450000,1435000,1441000,216850
95,2014-05-22,1441000,1448000,1426000,1426000,190800
96,2014-05-23,1405000,1428000,1405000,1428000,170233
97,2014-05-26,1420000,1432000,1415000,1422000,74712
98,2014-05-27,1417000,1423000,1403000,1407000,94968
99,2014-05-28,1419000,1435000,1409000,1433000,184019
100,2014-05-29,1450000,1465000,1440000,1460000,250430
101,2014-05-30,1470000,1482000,1443000,1443000,316621
102,2014-06-02,1443000,1458000,1439000,1455000,148789
103,2014-06-03,1484000,1495000,1465000,1470000,344685
104,2014-06-05,1466000,1480000,1450000,1457000,270141
105,2014-06-09,1470000,1473000,1402000,1409000,445392
106,2014-06-10,1421000,1438000,1405000,1436000,184282
