,Date,Open,High,Low,Close,Volume
0,2014-01-02,268000,273000,266500,270000,92523
1,2014-01-03,269000,272500,256500,258000,79640
2,2014-01-06,260500,262000,255000,258500,76791
3,2014-01-07,258000,268500,257000,268500,91734
4,2014-01-08,265500,272000,262000,267500,102796
5,2014-01-09,270000,272000,266500,269000,95466
6,2014-01-10,268000,271000,256000,256000,70178
7,2014-01-13,257000,261000,256000,258500,54818
8,2014-01-14,256500,262500,256000,261000,40130
9,2014-01-15,260500,263500,257500,261500,37052
10,2014-01-16,260000,266000,260000,265000,35977
11,2014-01-17,263500,267000,253000,253000,61293
12,2014-01-20,253500,257500,252000,252500,46724
13,2014-01-21,252500,256500,247000,252500,50562
14,2014-01-22,253500,256500,251000,253000,48305
15,2014-01-23,252500,253000,242000,245500,115790
16,2014-01-24,242500,250000,242000,244000,51761
17,2014-01-27,241500,250000,236500,247000,55653
18,2014-01-28,254000,259000,250000,259000,73144
19,2014-01-29,263000,263000,257500,260000,95079
20,2014-02-03,254500,260500,251000,258500,61404
21,2014-02-04,257500,261500,252000,253000,85726
22,2014-02-05,260000,261500,259500,261500,61325
23,2014-02-06,265000,272000,262000,264000,108564
24,2014-02-07,267000,268500,260500,262500,104960
25,2014-02-10,264500,270000,261500,265500,39017
26,2014-02-11,263000,267000,259500,262500,54737
27,2014-02-12,260500,264500,260000,264500,75245
28,2014-02-13,262500,264000,256000,258500,48454
29,2014-02-14,257500,262000,257000,260000,39910
30,2014-02-17,263000,263000,258000,260000,13590
31,2014-02-18,258500,260000,255500,257500,28954
32,2014-02-19,256000,259000,255500,258000,30553
33,2014-02-20,257000,259000,253000,254500,38894
34,2014-02-21,255000,258500,253500,254500,36633
35,2014-02-24,254000,257000,251000,252000,36016
36,2014-02-25,253000,255000,249500,250000,82361
37,2014-02-26,253000,262000,248500,260000,175281
38,2014-02-27,260000,265000,259000,264500,55401
39,2014-02-28,261500,262000,253500,254000,83274
40,2014-03-03,253000,258500,251000,254500,43547
41,2014-03-04,253000,258000,252500,257500,41314
42,2014-03-05,257500,258500,249500,251000,91209
43,2014-03-06,253000,254000,251000,253000,69686
44,2014-03-07,253500,254000,242500,245000,129525
45,2014-03-10,246500,250000,243000,250000,81196
46,2014-03-11,251000,254500,249500,254500,50146
47,2014-03-12,251500,254000,246500,247500,37233
48,2014-03-13,246000,247500,243000,243000,66872
49,2014-03-14,244000,245500,240000,242500,74659
50,2014-03-17,243500,254000,242500,248500,51154
51,2014-03-18,249000,252000,248000,250000,27978
52,2014-03-19,250500,250500,234000,234000,210953
53,2014-03-20,233500,237000,231500,235000,35029
54,2014-03-21,237000,239500,236000,238000,53737
55,2014-03-24,238500,240000,237000,239500,26436
56,2014-03-25,239000,242500,235500,242500,51169
57,2014-03-26,244000,247000,242500,245500,52056
58,2014-03-27,247000,253000,244000,249000,51714
59,2014-03-28,249000,252000,242500,250500,58741
60,2014-03-31,247500,250000,241500,244000,49330
61,2014-04-01,240500,246000,240000,240000,86481
62,2014-04-02,241000,249500,240000,248500,94845
63,2014-04-03,256000,256000,240000,240000,65799
64,2014-04-04,242500,245500,240500,243500,71861
65,2014-04-07,243500,246000,241500,246000,28552
66,2014-04-08,244000,247000,243000,244500,29101
67,2014-04-09,244500,251500,244500,251000,42405
68,2014-04-10,249500,251000,246500,248000,66903
69,2014-04-11,244500,247500,242500,244000,44145
70,2014-04-14,243000,249500,242000,248000,31447
71,2014-04-15,253000,258000,248500,256000,91455
72,2014-04-16,252000,254000,243500,245000,75050
73,2014-04-17,246500,249500,243500,248000,44082
74,2014-04-18,248000,253000,246000,252500,28909
75,2014-04-21,250000,252500,248500,250000,9559
