,Date,Open,High,Low,Close,Volume
0,2014-01-02,296500,297000,277500,279000,244998
1,2014-01-03,280500,282000,274000,276000,229897
2,2014-01-06,276000,282000,273000,279500,129770
3,2014-01-07,278000,284000,277500,277500,149264
4,2014-01-08,278500,279000,274000,276000,160529
5,2014-01-09,276000,280000,270000,270000,252877
6,2014-01-10,274000,278000,272000,273500,144806
7,2014-01-13,275000,283000,275000,279500,177715
8,2014-01-14,280500,285500,277000,280000,202304
9,2014-01-15,284500,285000,279500,280000,101282
10,2014-01-16,279500,283500,279000,281500,129061
11,2014-01-17,284500,287500,282500,283500,213956
12,2014-01-20,281500,289000,280500,287000,145866
13,2014-01-21,289500,295000,286000,292500,214166
14,2014-01-22,292500,295000,289000,292000,142503
15,2014-01-23,293500,294500,288500,292000,162415
16,2014-01-24,292000,292500,285000,292500,151633
17,2014-01-27,285000,305000,284500,294000,348829
18,2014-01-28,297500,309000,295000,304500,506403
19,2014-01-29,304000,313000,302500,310000,295050
20,2014-02-03,302000,304000,298000,301000,339987
21,2014-02-04,295500,301500,295500,295500,295488
22,2014-02-05,300000,309000,299000,307500,222159
23,2014-02-06,310000,311000,303000,306000,214826
24,2014-02-07,303000,310000,303000,309500,170925
25,2014-02-10,304500,314500,303500,313000,139557
26,2014-02-11,312000,319000,310000,312000,150238
27,2014-02-12,310000,315000,306000,310000,216539
28,2014-02-13,310000,315500,309500,313500,109420
29,2014-02-14,314000,318000,311000,317500,98281
30,2014-02-17,316000,317000,305500,306500,245086
31,2014-02-18,308000,308500,302000,306000,168053
32,2014-02-19,303000,305000,299500,305000,181363
33,2014-02-20,301000,308000,301000,307500,158953
34,2014-02-21,309000,312500,308500,312500,121383
35,2014-02-24,310000,312000,308000,311500,74417
36,2014-02-25,314000,314000,309500,313000,120182
37,2014-02-26,310500,313000,301500,311500,161805
38,2014-02-27,308500,311500,306500,308000,175227
39,2014-02-28,309500,313500,308500,313500,166105
40,2014-03-03,309500,313000,307000,312000,128067
41,2014-03-04,305000,308000,302500,303000,203119
42,2014-03-05,306500,307000,301000,302000,176813
43,2014-03-06,303500,305500,301500,304000,113246
44,2014-03-07,305000,305000,301500,303500,96695
45,2014-03-10,302000,304000,299000,301000,98645
46,2014-03-11,301500,304000,298000,303500,102047
47,2014-03-12,303500,305000,298000,299500,129551
48,2014-03-13,301500,301500,295500,295500,133774
49,2014-03-14,294000,298500,291500,296000,147983
50,2014-03-17,294500,303500,294500,301000,105594
51,2014-03-18,301500,303500,299000,302000,79798
52,2014-03-19,300000,306000,300000,304000,89616
53,2014-03-20,301500,304000,299000,299000,99142
54,2014-03-21,303000,305000,300000,301500,97460
55,2014-03-24,305000,305500,301000,303000,91645
56,2014-03-25,301500,306000,300500,306000,90408
57,2014-03-26,304000,312500,304000,312500,179837
58,2014-03-27,312000,318000,310500,317000,181506
59,2014-03-28,319000,319500,314500,318000,151010
60,2014-03-31,315500,318500,311500,315000,171313
61,2014-04-01,317500,319500,314000,318500,180604
62,2014-04-02,322000,322000,316000,321000,134538
63,2014-04-03,323000,323500,312000,315500,156731
64,2014-04-04,318500,318500,314000,316500,223843
65,2014-04-07,320000,320000,309000,314000,204942
66,2014-04-08,312000,317500,312000,315500,119426
67,2014-04-09,314000,317000,309500,315000,175423
68,2014-04-10,315000,315000,301500,306500,391646
69,2014-04-11,301500,303500,300000,301000,278367
70,2014-04-14,300000,307000,300000,306000,136968
71,2014-04-15,311000,311000,302500,306000,168685
72,2014-04-16,307500,308000,302500,307000,103877
73,2014-04-17,309000,309000,304000,308500,103324
74,2014-04-18,310000,313500,308500,312000,111047
75,2014-04-21,310500,312500,307500,310500,101634
76,2014-04-22,309500,311500,306500,308500,91023
77,2014-04-23,311500,312000,304000,304500,122039
78,2014-04-24,308000,309000,305000,308000,121799
79,2014-04-25,305500,308000,300000,302000,222424
80,2014-04-28,302000,304000,300500,301500,190826
81,2014-04-29,301000,303000,300000,301000,128626
82,2014-04-30,301000,302500,291500,295000,282914
83,2014-05-02,296500,297500,292000,294000,171787
84,2014-05-07,294000,295000,284000,284000,311649
85,2014-05-08,285500,291500,284000,290000,207120
86,2014-05-09,291500,292000,287500,290500,126043
87,2014-05-12,289500,290000,282500,286500,174594
88,2014-05-13,288500,292000,286000,290000,190993
89,2014-05-14,292500,301500,291500,301500,316877
90,2014-05-15,302000,304000,298500,303000,160310
91,2014-05-16,300000,302000,295500,297500,162438
92,2014-05-19,299000,299000,292000,296000,252867
93,2014-05-20,299000,299000,291500,294000,142813
94,2014-05-21,294000,296500,292000,294500,117629
95,2014-05-22,294500,297000,291000,297000,122260
96,2014-05-23,297000,299000,295000,297500,106812
97,2014-05-26,296000,299000,294000,294500,93586
98,2014-05-27,295500,295500,287500,289000,142603
99,2014-05-28,288000,292000,288000,292000,137999
100,2014-05-29,292000,292000,288000,291500,142490
101,2014-05-30,289500,293000,287500,288000,153863
102,2014-06-02,289000,290000,285000,287000,111965
103,2014-06-03,285000,292000,278000,292000,211500
104,2014-06-05,294000,294000,284500,287500,171871
105,2014-06-09,290500,290500,282500,288000,114806
106,2014-06-10,289500,289500,283000,284000,203752
107,2014-06-11,285000,291000,284500,289000,284834
108,2014-06-12,288000,288500,284500,285500,221582
109,2014-06-13,285500,287000,283500,285000,135260
110,2014-06-16,285000,286000,283000,285000,188959
111,2014-06-17,285000,293500,285000,292000,194277
112,2014-06-18,289500,292000,283500,283500,201094
113,2014-06-19,286500,288000,282000,285500,198906
114,2014-06-20,287000,287000,280500,280500,155799
115,2014-06-23,282500,282500,275000,278000,187774
116,2014-06-24,276000,282500,276000,281000,180180
117,2014-06-25,282500,283000,278000,280000,136080
118,2014-06-26,283000,284500,280500,284500,146001
119,2014-06-27,282000,285500,280000,281500,167186
120,2014-06-30,283000,284000,281000,284000,145300
121,2014-07-01,281000,282500,275500,277000,328759
122,2014-07-02,277500,279000,275500,278000,195698
123,2014-07-03,279000,280500,278000,279500,140523
124,2014-07-04,281000,282500,280000,281500,158666
125,2014-07-07,282500,282500,276500,279000,175448
126,2014-07-08,279000,281000,272000,272500,264396
127,2014-07-09,273000,273000,270000,272000,127336
128,2014-07-10,273500,280000,272500,279500,248092
129,2014-07-11,277000,278000,270500,272500,236377
130,2014-07-14,276500,277000,273000,273500,122787
131,2014-07-15,275500,288000,275000,285000,309279
132,2014-07-16,286000,290500,284000,284000,224300
133,2014-07-17,287500,289000,281500,284000,145814
134,2014-07-18,282000,285500,282000,285000,89471
135,2014-07-21,288000,288000,277500,278500,109293
136,2014-07-22,279500,282000,276500,279500,108965
137,2014-07-23,280500,280500,274500,277000,159965
138,2014-07-24,279000,280000,272500,280000,317678
139,2014-07-25,281500,284000,277000,281500,134093
140,2014-07-28,282000,283000,278000,281000,159173
141,2014-07-29,283000,297500,281000,295500,423715
142,2014-07-30,294500,302500,294000,301500,376671
143,2014-07-31,302500,309500,301500,309000,430446
144,2014-08-01,312000,312000,303500,309500,258317
145,2014-08-04,309500,311500,300500,302000,184950
146,2014-08-05,300000,303000,297500,300500,134994
147,2014-08-06,301000,304000,291500,294500,179689
148,2014-08-07,294500,298500,292000,297500,161294
149,2014-08-08,297500,297500,289500,291000,128017
150,2014-08-11,297000,298000,292500,295500,92690
151,2014-08-12,298000,299500,292000,293500,142152
152,2014-08-13,293500,296500,291000,296500,154787
153,2014-08-14,293500,297500,291000,294500,143177
154,2014-08-18,300000,300000,286000,286000,186035
155,2014-08-19,289500,295500,288500,291000,257013
156,2014-08-20,294000,294000,287000,290000,141071
157,2014-08-21,290000,290500,280500,284000,199708
158,2014-08-22,286500,286500,282500,286000,110160
159,2014-08-25,286000,289500,284000,285000,93122
160,2014-08-26,287000,292000,284500,287000,104085
161,2014-08-27,288500,291500,285500,287500,110358
162,2014-08-28,286500,290000,285500,287500,129598
163,2014-08-29,286500,295000,285500,294000,193436
164,2014-09-01,291500,293500,290500,293500,66574
165,2014-09-02,291000,293000,282000,285000,192594
166,2014-09-03,286000,288000,282000,283000,109228
167,2014-09-04,283000,284500,279000,280500,178565
168,2014-09-05,281000,281000,274000,274500,248347
169,2014-09-11,278500,278500,272000,272000,419074
170,2014-09-12,272000,277000,272000,274000,226770
171,2014-09-15,275000,281500,273500,280000,164153
172,2014-09-16,280000,281500,276000,277000,129139
173,2014-09-17,281000,281000,277500,279000,127874
174,2014-09-18,281000,282000,255500,257000,749606
175,2014-09-19,255000,259500,250500,253000,744830
176,2014-09-22,254000,255500,251000,252500,236929
177,2014-09-23,251000,251500,245000,247500,339037
178,2014-09-24,246500,254000,246500,249500,195655
179,2014-09-25,253000,258500,251500,253500,340844
180,2014-09-26,250500,255000,248500,255000,157006
181,2014-09-29,257000,258500,253500,256500,173341
182,2014-09-30,257000,258000,252500,257000,144758
183,2014-10-01,253500,256500,248000,250000,211381
184,2014-10-02,248500,250000,235500,238000,381622
185,2014-10-06,242500,246500,239000,241000,280652
186,2014-10-07,242000,248000,241500,248000,203297
187,2014-10-08,248000,248500,240500,242000,240833
188,2014-10-10,243000,249000,237500,248500,198072
189,2014-10-13,244500,254000,244500,253000,229149
190,2014-10-14,255500,255500,243000,248500,258659
191,2014-10-15,251000,252000,241500,244000,202864
192,2014-10-16,242000,242500,230000,235000,355020
193,2014-10-17,232000,237500,232000,235000,200475
194,2014-10-20,239000,240500,236500,238500,228679
195,2014-10-21,238500,239500,232500,238000,205833
196,2014-10-22,240500,240500,226000,228500,375000
197,2014-10-23,230500,240000,229000,239500,349381
198,2014-10-24,240500,245000,228500,241000,374863
199,2014-10-27,241500,255500,241500,251500,361831
200,2014-10-28,252000,256000,248000,252000,197934
201,2014-10-29,252500,254500,246500,249000,252386
202,2014-10-30,252000,254500,250000,252500,265299
203,2014-10-31,251500,254000,245500,250000,255897
204,2014-11-03,248500,249000,235000,240000,322031
205,2014-11-04,243000,243000,232000,239000,294959
206,2014-11-05,240000,242500,231500,233000,178476
207,2014-11-06,232000,241500,230500,240500,254930
208,2014-11-07,238500,243500,236500,237000,200454
209,2014-11-10,239500,245000,237500,238000,346120
210,2014-11-11,237500,246500,233000,235000,506574
211,2014-11-12,235000,239000,231500,233000,501882
212,2014-11-13,234500,239000,233000,237000,198099
213,2014-11-14,237000,239000,234000,237000,219894
214,2014-11-17,236000,236500,232500,234500,173442
215,2014-11-18,234000,236000,232500,234500,163485
216,2014-11-19,236500,238000,233500,238000,246083
