,Date,Category,article
0,2014-01-02,2,Null
1,2014-01-02,3,Null
2,2014-01-02,4,Null
3,2014-01-02,5,Null
4,2014-01-02,6,Null
5,2014-01-02,7,Null
6,2014-01-02,8,Null
7,2014-01-02,9,Null
8,2014-01-02,10,Null
9,2014-01-02,11,Null
10,2014-01-03,2,Null
11,2014-01-03,3,Null
12,2014-01-03,4,Null
13,2014-01-03,5,Null
14,2014-01-03,6,Null
15,2014-01-03,7,Null
16,2014-01-03,8,Null
17,2014-01-03,9,Null
18,2014-01-03,10,Null
19,2014-01-03,11,Null
20,2014-01-06,2,Null
21,2014-01-06,3,Null
22,2014-01-06,4,Null
23,2014-01-06,5,Null
24,2014-01-06,6,Null
25,2014-01-06,7,Null
26,2014-01-06,8,Null
27,2014-01-06,9,Null
28,2014-01-06,10,Null
29,2014-01-06,11,Null
30,2014-01-07,2,Null
31,2014-01-07,3,Null
32,2014-01-07,4,Null
33,2014-01-07,5,Null
34,2014-01-07,6,Null
35,2014-01-07,7,Null
36,2014-01-07,8,Null
37,2014-01-07,9,Null
38,2014-01-07,10,Null
39,2014-01-07,11,Null
40,2014-01-08,2,Null
41,2014-01-08,3,Null
42,2014-01-08,4,Null
43,2014-01-08,5,Null
44,2014-01-08,6,Null
45,2014-01-08,7,Null
46,2014-01-08,8,Null
47,2014-01-08,9,Null
48,2014-01-08,10,Null
49,2014-01-08,11,Null
50,2014-01-09,2,Null
51,2014-01-09,3,Null
52,2014-01-09,4,Null
53,2014-01-09,5,Null
54,2014-01-09,6,Null
55,2014-01-09,7,Null
56,2014-01-09,8,Null
57,2014-01-09,9,Null
58,2014-01-09,10,Null
59,2014-01-09,11,Null
60,2014-01-10,2,Null
61,2014-01-10,3,Null
62,2014-01-10,4,Null
63,2014-01-10,5,Null
64,2014-01-10,6,Null
65,2014-01-10,7,Null
66,2014-01-10,8,Null
67,2014-01-10,9,Null
68,2014-01-10,10,Null
69,2014-01-10,11,Null
70,2014-01-13,2,Null
71,2014-01-13,3,Null
72,2014-01-13,4,Null
73,2014-01-13,5,Null
74,2014-01-13,6,Null
75,2014-01-13,7,Null
76,2014-01-13,8,Null
77,2014-01-13,9,Null
78,2014-01-13,10,Null
79,2014-01-13,11,Null
80,2014-01-14,2,Null
81,2014-01-14,3,Null
82,2014-01-14,4,Null
83,2014-01-14,5,Null
84,2014-01-14,6,Null
85,2014-01-14,7,Null
86,2014-01-14,8,Null
87,2014-01-14,9,Null
88,2014-01-14,10,Null
89,2014-01-14,11,Null
90,2014-01-15,2,Null
91,2014-01-15,3,Null
92,2014-01-15,4,Null
93,2014-01-15,5,Null
94,2014-01-15,6,Null
95,2014-01-15,7,Null
96,2014-01-15,8,Null
97,2014-01-15,9,Null
98,2014-01-15,10,Null
99,2014-01-15,11,Null
100,2014-01-16,2,Null
101,2014-01-16,3,Null
102,2014-01-16,4,Null
103,2014-01-16,5,Null
104,2014-01-16,6,Null
105,2014-01-16,7,Null
106,2014-01-16,8,Null
107,2014-01-16,9,Null
108,2014-01-16,10,Null
109,2014-01-16,11,Null
110,2014-01-17,2,Null
111,2014-01-17,3,Null
112,2014-01-17,4,Null
113,2014-01-17,5,Null
114,2014-01-17,6,Null
115,2014-01-17,7,Null
116,2014-01-17,8,Null
117,2014-01-17,9,Null
118,2014-01-17,10,Null
119,2014-01-17,11,Null
120,2014-01-20,2,Null
121,2014-01-20,3,Null
122,2014-01-20,4,Null
123,2014-01-20,5,Null
124,2014-01-20,6,Null
125,2014-01-20,7,Null
126,2014-01-20,8,Null
127,2014-01-20,9,Null
128,2014-01-20,10,Null
129,2014-01-20,11,Null
130,2014-01-21,2,Null
131,2014-01-21,3,Null
132,2014-01-21,4,Null
133,2014-01-21,5,Null
134,2014-01-21,6,Null
135,2014-01-21,7,Null
136,2014-01-21,8,Null
137,2014-01-21,9,Null
138,2014-01-21,10,Null
139,2014-01-21,11,Null
140,2014-01-22,2,Null
141,2014-01-22,3,Null
142,2014-01-22,4,Null
143,2014-01-22,5,Null
144,2014-01-22,6,Null
145,2014-01-22,7,Null
146,2014-01-22,8,Null
147,2014-01-22,9,Null
148,2014-01-22,10,Null
149,2014-01-22,11,Null
150,2014-01-23,2,Null
151,2014-01-23,3,Null
152,2014-01-23,4,Null
153,2014-01-23,5,Null
154,2014-01-23,6,Null
155,2014-01-23,7,Null
156,2014-01-23,8,Null
157,2014-01-23,9,Null
158,2014-01-23,10,Null
159,2014-01-23,11,Null
160,2014-01-24,2,Null
161,2014-01-24,3,Null
162,2014-01-24,4,Null
163,2014-01-24,5,Null
164,2014-01-24,6,Null
165,2014-01-24,7,Null
166,2014-01-24,8,Null
167,2014-01-24,9,Null
168,2014-01-24,10,Null
169,2014-01-24,11,Null
170,2014-01-27,2,Null
171,2014-01-27,3,Null
172,2014-01-27,4,Null
173,2014-01-27,5,Null
174,2014-01-27,6,Null
175,2014-01-27,7,Null
176,2014-01-27,8,Null
177,2014-01-27,9,Null
178,2014-01-27,10,Null
179,2014-01-27,11,Null
180,2014-01-28,2,Null
181,2014-01-28,3,Null
182,2014-01-28,4,Null
183,2014-01-28,5,Null
184,2014-01-28,6,Null
185,2014-01-28,7,Null
186,2014-01-28,8,Null
187,2014-01-28,9,Null
188,2014-01-28,10,Null
189,2014-01-28,11,Null
190,2014-01-29,2,Null
191,2014-01-29,3,Null
192,2014-01-29,4,Null
193,2014-01-29,5,Null
194,2014-01-29,6,Null
195,2014-01-29,7,Null
196,2014-01-29,8,Null
197,2014-01-29,9,Null
198,2014-01-29,10,Null
199,2014-01-29,11,Null
200,2014-02-03,2,Null
201,2014-02-03,3,Null
202,2014-02-03,4,Null
203,2014-02-03,5,Null
204,2014-02-03,6,Null
205,2014-02-03,7,Null
206,2014-02-03,8,Null
207,2014-02-03,9,Null
208,2014-02-03,10,Null
209,2014-02-03,11,Null
210,2014-02-04,2,Null
211,2014-02-04,3,Null
212,2014-02-04,4,Null
213,2014-02-04,5,Null
214,2014-02-04,6,Null
215,2014-02-04,7,Null
216,2014-02-04,8,Null
217,2014-02-04,9,Null
218,2014-02-04,10,Null
219,2014-02-04,11,Null
220,2014-02-05,2,Null
221,2014-02-05,3,Null
222,2014-02-05,4,Null
223,2014-02-05,5,Null
224,2014-02-05,6,Null
225,2014-02-05,7,Null
226,2014-02-05,8,Null
227,2014-02-05,9,Null
228,2014-02-05,10,Null
229,2014-02-05,11,Null
230,2014-02-06,2,Null
231,2014-02-06,3,Null
232,2014-02-06,4,Null
233,2014-02-06,5,Null
234,2014-02-06,6,Null
235,2014-02-06,7,Null
236,2014-02-06,8,Null
237,2014-02-06,9,Null
238,2014-02-06,10,Null
239,2014-02-06,11,Null
240,2014-02-07,2,Null
241,2014-02-07,3,Null
242,2014-02-07,4,Null
243,2014-02-07,5,Null
244,2014-02-07,6,Null
245,2014-02-07,7,Null
246,2014-02-07,8,Null
247,2014-02-07,9,Null
248,2014-02-07,10,Null
249,2014-02-07,11,Null
250,2014-02-10,2,Null
251,2014-02-10,3,Null
252,2014-02-10,4,Null
253,2014-02-10,5,Null
254,2014-02-10,6,Null
255,2014-02-10,7,Null
256,2014-02-10,8,Null
257,2014-02-10,9,Null
258,2014-02-10,10,Null
259,2014-02-10,11,Null
260,2014-02-11,2,Null
261,2014-02-11,3,Null
262,2014-02-11,4,Null
263,2014-02-11,5,Null
264,2014-02-11,6,Null
265,2014-02-11,7,Null
266,2014-02-11,8,Null
267,2014-02-11,9,Null
268,2014-02-11,10,Null
269,2014-02-11,11,Null
270,2014-02-12,2,Null
271,2014-02-12,3,Null
272,2014-02-12,4,Null
273,2014-02-12,5,Null
274,2014-02-12,6,Null
275,2014-02-12,7,Null
276,2014-02-12,8,Null
277,2014-02-12,9,Null
278,2014-02-12,10,Null
279,2014-02-12,11,Null
280,2014-02-13,2,Null
281,2014-02-13,3,Null
282,2014-02-13,4,Null
283,2014-02-13,5,Null
284,2014-02-13,6,Null
285,2014-02-13,7,Null
286,2014-02-13,8,Null
287,2014-02-13,9,Null
288,2014-02-13,10,Null
289,2014-02-13,11,Null
290,2014-02-14,2,Null
291,2014-02-14,3,Null
292,2014-02-14,4,Null
293,2014-02-14,5,Null
294,2014-02-14,6,Null
295,2014-02-14,7,Null
296,2014-02-14,8,Null
297,2014-02-14,9,Null
298,2014-02-14,10,Null
299,2014-02-14,11,Null
300,2014-02-17,2,Null
301,2014-02-17,3,Null
302,2014-02-17,4,Null
303,2014-02-17,5,Null
