,Date,Open,High,Low,Close,Volume
0,2014-01-02,30850,31500,30100,30400,757228
1,2014-01-03,30400,30400,29250,29650,508786
2,2014-01-06,29550,29650,28800,29100,610361
3,2014-01-07,29200,30300,29200,30000,606992
4,2014-01-08,30500,31400,30350,31200,921633
5,2014-01-09,31400,33450,30700,33100,1389162
6,2014-01-10,33100,34450,32950,33500,1192486
7,2014-01-13,33700,36100,33200,35700,1131279
8,2014-01-14,35400,36600,35000,35500,930421
9,2014-01-15,35900,36800,35750,36150,722357
10,2014-01-16,36100,36500,35750,36000,564424
11,2014-01-17,35700,36700,34500,34750,885096
12,2014-01-20,34700,35600,34100,35500,598874
13,2014-01-21,35800,37250,35500,37100,962631
14,2014-01-22,37100,37100,35350,36650,669787
15,2014-01-23,36250,37350,36050,36300,512637
16,2014-01-24,35250,35350,33100,33300,2603522
17,2014-01-27,32350,33050,31850,32250,979333
18,2014-01-28,32100,33000,31500,32150,719044
19,2014-01-29,32400,33750,32400,33650,955507
20,2014-02-03,33200,34050,32400,32400,801264
21,2014-02-04,31500,32050,30900,32000,767285
22,2014-02-05,32250,33650,32000,33200,897772
23,2014-02-06,33250,35150,33250,34550,1103809
24,2014-02-07,31500,31850,29400,29400,5447019
25,2014-02-10,29000,29900,27850,29700,3823393
26,2014-02-11,30150,30750,29300,29450,1635169
27,2014-02-12,29750,30400,28800,30350,1273459
28,2014-02-13,30500,30700,30050,30100,610573
29,2014-02-14,30300,30700,30150,30250,547448
30,2014-02-17,30600,34500,30550,33700,2831234
31,2014-02-18,34200,34650,31300,33000,2306333
32,2014-02-19,32800,35300,32600,34700,2575487
33,2014-02-20,35200,37350,35050,36050,2468111
34,2014-02-21,36600,37500,35700,36800,1266901
35,2014-02-24,36400,37750,36250,37250,997477
36,2014-02-25,37650,37650,35850,36850,1321813
37,2014-02-26,36850,37500,36400,37050,593798
38,2014-02-27,37050,37900,36550,37600,845199
39,2014-02-28,37000,37150,35950,36050,1202856
40,2014-03-03,36050,37100,35350,36900,708347
41,2014-03-04,36700,37250,36550,36850,533706
42,2014-03-05,37300,38900,37000,38700,1172640
43,2014-03-06,38850,39300,38300,38850,760312
44,2014-03-07,39100,39950,38450,38750,772629
45,2014-03-10,38650,38650,37050,37100,825268
46,2014-03-11,37750,37900,36500,37400,641279
47,2014-03-12,36750,36950,34550,35600,1665652
48,2014-03-13,35850,37150,35650,36750,970685
49,2014-03-14,36000,36700,35700,36400,431640
50,2014-03-17,36200,36900,35550,36200,474181
51,2014-03-18,36850,37300,35350,35500,787254
52,2014-03-19,35750,36400,35250,35950,502946
53,2014-03-20,35900,36500,35350,35350,295569
54,2014-03-21,35400,35700,34550,35050,493718
55,2014-03-24,35050,35600,34600,34750,383056
56,2014-03-25,34750,36200,34450,36200,596432
57,2014-03-26,36200,36500,35450,35750,385016
58,2014-03-27,35600,36050,34700,35750,366723
59,2014-03-28,34950,36150,34950,35800,371593
60,2014-03-31,35950,36300,35550,36300,342368
61,2014-04-01,36250,36400,35600,36300,280859
62,2014-04-02,36250,36950,36000,36600,372043
63,2014-04-03,36800,37500,36600,37000,559028
64,2014-04-04,37200,37250,36450,36750,398754
65,2014-04-07,36550,36650,35450,35950,484102
66,2014-04-08,35400,36150,35400,36050,323375
67,2014-04-09,36200,36400,35750,36000,298839
68,2014-04-10,36400,37400,36150,37250,719163
69,2014-04-11,36850,37950,36700,37900,562824
70,2014-04-14,37600,38250,37450,38000,304692
71,2014-04-15,38200,38750,37250,37250,329308
72,2014-04-16,37300,37600,36650,37350,266892
73,2014-04-17,37600,38250,37500,38000,570466
