,Date,Open,High,Low,Close,Volume
0,2014-01-02,42600,43150,41450,42100,1123603
1,2014-01-03,41750,41850,40250,40700,1032878
2,2014-01-06,40650,40900,39950,40250,817289
3,2014-01-07,40050,40650,39850,40300,621960
4,2014-01-08,40450,41400,40200,40750,752629
5,2014-01-09,40900,41250,40400,40600,848412
6,2014-01-10,40450,40650,39500,39600,806108
7,2014-01-13,39800,40100,39650,39850,527477
8,2014-01-14,39700,39950,39000,39300,731067
9,2014-01-15,39500,40050,39400,40000,704364
10,2014-01-16,40050,40250,39400,39500,722335
11,2014-01-17,39750,39750,39000,39100,590308
12,2014-01-20,38800,39050,38400,39050,785306
13,2014-01-21,39050,39400,38800,39250,1062137
14,2014-01-22,39250,39550,38200,38700,1604220
15,2014-01-23,38450,38800,37750,37800,1971872
16,2014-01-24,37600,38250,37250,37800,2496616
17,2014-01-27,37200,37300,36400,36850,2547082
18,2014-01-28,36900,36900,35900,35900,2823625
19,2014-01-29,36050,37350,36050,37200,2578858
20,2014-02-03,36200,36850,35750,36150,1884828
21,2014-02-04,35550,36050,35350,36050,1405339
22,2014-02-05,36450,36650,36100,36300,1150997
23,2014-02-06,36350,36850,36350,36850,780233
24,2014-02-07,37000,37100,36600,37100,919777
25,2014-02-10,37100,37150,36000,36300,1244572
26,2014-02-11,36100,36450,35800,36250,1015417
27,2014-02-12,36450,37300,36350,36850,1122339
28,2014-02-13,36800,37100,36200,36300,724893
29,2014-02-14,36250,36900,36250,36450,902107
30,2014-02-17,36950,38550,36700,38450,2660233
31,2014-02-18,38300,38800,37700,38700,1227189
32,2014-02-19,38350,38800,38000,38250,777652
33,2014-02-20,37800,38050,37300,37300,1227120
34,2014-02-21,37550,38650,37550,38600,1244563
35,2014-02-24,38700,39200,38350,38900,1132399
36,2014-02-25,39200,39650,39050,39200,1204992
37,2014-02-26,38700,39900,38700,39900,1449927
38,2014-02-27,39450,39850,38850,39500,922639
39,2014-02-28,39100,40600,39000,39900,1777610
40,2014-03-03,39350,39650,38950,39250,1024499
41,2014-03-04,39200,39550,39000,39300,420709
42,2014-03-05,39850,39850,39400,39550,702944
43,2014-03-06,39650,40350,39300,40350,1295085
44,2014-03-07,40100,40400,39050,39150,1072687
45,2014-03-10,38850,38950,37850,38000,1271043
46,2014-03-11,38300,38550,37750,38250,967931
47,2014-03-12,38000,38000,36800,36850,1946141
48,2014-03-13,37250,37450,36900,37000,1503274
49,2014-03-14,36600,37200,36400,36800,902750
50,2014-03-17,36650,37100,36500,36800,988369
51,2014-03-18,37200,37250,36600,36700,1203098
52,2014-03-19,37000,37300,36850,36850,751904
53,2014-03-20,36750,36750,35850,36000,1239723
54,2014-03-21,36200,36450,35900,36150,1385701
55,2014-03-24,36150,36550,35850,36250,1400057
56,2014-03-25,36150,36300,35850,36100,1350767
57,2014-03-26,36500,37300,36400,37250,1699849
58,2014-03-27,37250,37400,36950,37100,800235
59,2014-03-28,37100,37550,36700,37300,1127015
60,2014-03-31,37300,37500,36850,37250,1162083
61,2014-04-01,37300,37600,37200,37550,1427056
62,2014-04-02,37450,37650,37400,37550,1001504
63,2014-04-03,37350,37500,36550,36900,1672305
64,2014-04-04,36750,37200,36750,37050,1088094
65,2014-04-07,36650,36850,36600,36700,768068
66,2014-04-08,36550,37050,36550,37000,596395
67,2014-04-09,36850,37700,36800,37450,1377148
68,2014-04-10,37700,37850,37450,37800,990033
69,2014-04-11,37300,37550,37200,37350,834574
70,2014-04-14,37300,37550,37150,37450,515905
71,2014-04-15,37550,37650,37000,37000,798766
72,2014-04-16,36900,37150,36750,37000,519331
73,2014-04-17,37200,37350,36500,36950,878323
74,2014-04-18,36950,37150,36900,37000,537896
75,2014-04-21,36900,37000,36700,36900,310430
76,2014-04-22,36750,36950,36200,36300,1575304
77,2014-04-23,36550,36550,36150,36150,877847
78,2014-04-24,36250,36300,36000,36150,639515
79,2014-04-25,36100,36250,35750,35800,982941
80,2014-04-28,35550,35600,35000,35050,2219925
81,2014-04-29,35050,35150,34800,34950,1227820
82,2014-04-30,35300,35500,35050,35200,1056887
83,2014-05-02,35500,35550,35100,35300,661200
84,2014-05-07,36000,36000,34800,34800,934002
85,2014-05-08,34850,35450,34600,35400,1213264
86,2014-05-09,35050,35600,35000,35550,495924
87,2014-05-12,35600,35650,35150,35500,601743
88,2014-05-13,35700,36050,35450,35950,757332
89,2014-05-14,36300,37000,36100,37000,1737031
90,2014-05-15,36900,37300,36600,36950,1224592
91,2014-05-16,36850,37000,36650,36950,688355
92,2014-05-19,37050,37200,36650,37100,935631
93,2014-05-20,36900,37000,36300,36750,1135716
94,2014-05-21,36600,36650,35200,35400,2573758
95,2014-05-22,35550,35950,35450,35800,1129794
96,2014-05-23,35800,36200,35500,35700,1021830
