,Date,Open,High,Low,Close,Volume
0,2014-01-02,34800,34950,34050,34550,1218232
1,2014-01-03,34550,35000,34100,34250,1855008
2,2014-01-06,34250,35450,34250,35250,1643420
3,2014-01-07,35400,35850,34950,35600,1829014
4,2014-01-08,35700,35800,35250,35400,1077984
5,2014-01-09,35800,36500,35550,36100,2111793
6,2014-01-10,36150,36400,35800,36400,1737741
7,2014-01-13,36300,36400,35050,35300,1425051
8,2014-01-14,35350,35450,34650,35250,1415719
9,2014-01-15,35300,36050,34900,35100,1195718
10,2014-01-16,35100,35550,34950,35450,875581
11,2014-01-17,35550,35750,34750,34750,1061316
12,2014-01-20,34600,34800,34050,34800,1172631
13,2014-01-21,34550,34700,33800,33950,2321989
14,2014-01-22,33900,34950,33900,34800,1481663
15,2014-01-23,35050,35100,34300,34300,768218
16,2014-01-24,34250,34400,33750,33950,1056878
17,2014-01-27,33500,34450,33250,33400,2282712
18,2014-01-28,33600,34400,33600,34000,1194962
19,2014-01-29,34350,35400,34000,35300,1884564
20,2014-02-03,35100,35700,34800,35550,1795170
21,2014-02-04,35100,35500,34900,34900,1696404
22,2014-02-05,35300,35300,34800,35000,746855
23,2014-02-06,34750,35800,34700,35350,1325257
24,2014-02-07,35500,36850,35400,36850,2328890
25,2014-02-10,37000,37050,36250,36550,930753
26,2014-02-11,36650,37100,36300,36500,1160796
27,2014-02-12,36550,36700,36050,36200,1111871
28,2014-02-13,36500,37000,36000,36000,960254
29,2014-02-14,36050,37200,36050,36850,1126382
30,2014-02-17,37300,37300,36600,36900,904204
31,2014-02-18,36800,37450,36350,37450,1370855
32,2014-02-19,37350,37950,37050,37450,1393391
33,2014-02-20,37200,37700,37050,37200,871652
34,2014-02-21,37450,37600,36600,37200,1088130
35,2014-02-24,37250,37350,36250,36700,788139
36,2014-02-25,36800,37400,36700,37000,1111287
37,2014-02-26,36800,37400,36550,37400,1134467
38,2014-02-27,37200,37750,36950,37600,1048265
39,2014-02-28,37450,37550,36600,37000,1465622
40,2014-03-03,36600,37550,36600,37550,956811
41,2014-03-04,37300,37800,37150,37650,635793
42,2014-03-05,37800,37850,37300,37550,906061
43,2014-03-06,37500,38300,37150,37500,1141403
44,2014-03-07,37500,38050,37300,37350,606724
45,2014-03-10,37250,37300,36450,36500,900825
46,2014-03-11,36650,36900,36100,36400,822132
47,2014-03-12,36300,36700,36250,36350,660127
48,2014-03-13,36650,36700,36200,36250,1017329
49,2014-03-14,36500,37400,36100,36750,1449967
50,2014-03-17,36900,36900,36550,36800,733829
51,2014-03-18,37150,37800,36800,37550,1482058
52,2014-03-19,37750,38200,37600,37800,1283984
53,2014-03-20,38050,38400,37600,37700,1414469
54,2014-03-21,37900,38000,37450,37500,952283
55,2014-03-24,37700,38000,36950,37300,864133
56,2014-03-25,37150,37700,36750,37700,1140966
57,2014-03-26,37800,38050,37300,37650,931183
58,2014-03-27,37600,37900,37200,37250,1026371
59,2014-03-28,37500,37500,36650,36900,922085
60,2014-03-31,36900,37300,36250,36450,1293325
61,2014-04-01,36500,37150,36500,37150,1008421
62,2014-04-02,37250,37650,37200,37650,849450
63,2014-04-03,37850,38200,37650,37850,1536422
64,2014-04-04,37950,38000,37050,37100,1686342
65,2014-04-07,37100,37900,37000,37500,893553
66,2014-04-08,37450,37800,37150,37350,765719
67,2014-04-09,37500,38900,37450,38850,2216442
68,2014-04-10,38950,39250,38300,38700,1036055
69,2014-04-11,38650,39800,38500,39700,2271501
70,2014-04-14,39450,39700,39050,39250,791555
71,2014-04-15,39250,39800,38800,39500,1390118
72,2014-04-16,39300,39500,38800,39150,1186102
73,2014-04-17,39100,39350,38850,39150,1218818
74,2014-04-18,39400,39600,38900,39000,794188
75,2014-04-21,39150,39250,38900,39000,385946
76,2014-04-22,39350,40000,38950,39950,1041555
77,2014-04-23,39950,40000,39700,39900,545899
78,2014-04-24,39950,40500,39800,40500,1218433
79,2014-04-25,40200,40300,38900,38900,1420926
80,2014-04-28,38850,39850,38850,39050,977481
81,2014-04-29,39100,39600,39050,39550,529920
82,2014-04-30,39550,39800,39150,39500,716422
83,2014-05-02,40400,40450,39650,40350,1066222
84,2014-05-07,40700,40900,39950,40750,1630549
85,2014-05-08,41200,41600,40550,41500,2050568
86,2014-05-09,41850,41850,41250,41350,1689020
87,2014-05-12,41400,42100,40950,41000,1878216
88,2014-05-13,41300,41350,40500,40800,2287449
89,2014-05-14,41100,41900,40950,41900,945227
90,2014-05-15,41800,42000,41150,41500,999613
91,2014-05-16,41500,41800,41200,41800,796049
92,2014-05-19,42000,42000,41550,41850,1056181
93,2014-05-20,41500,41700,41300,41450,890863
94,2014-05-21,41300,41600,41000,41600,914599
95,2014-05-22,41500,41700,41000,41250,681959
96,2014-05-23,41400,41450,40400,40900,1385938
97,2014-05-26,41250,41250,39250,39300,2948195
98,2014-05-27,39750,40100,39500,39800,1183145
99,2014-05-28,40200,40550,39900,40400,1068368
100,2014-05-29,40400,40400,38700,39100,1937797
101,2014-05-30,39200,39350,38300,39100,1421393
102,2014-06-02,39450,40000,39150,39350,1059591
103,2014-06-03,39000,39800,38500,39550,1445228
104,2014-06-05,40000,40000,39600,39750,1249609
105,2014-06-09,39950,40150,38650,38900,1133519
106,2014-06-10,39350,39450,37550,38500,1974377
107,2014-06-11,38300,38500,37850,38250,946682
108,2014-06-12,38600,39250,38350,38850,1284295
109,2014-06-13,38850,38900,37700,37700,1508224
110,2014-06-16,37600,37650,36750,37150,1772695
