,Date,Open,High,Low,Close,Volume
0,2014-01-02,162000,162500,160500,160500,42342
1,2014-01-03,159500,160500,154000,156500,55492
2,2014-01-06,156500,158500,154500,156500,33702
3,2014-01-07,156500,158500,156500,157000,31152
4,2014-01-08,157000,158000,154500,155500,43023
5,2014-01-09,155500,157000,154000,154000,47209
6,2014-01-10,155000,156000,152500,154500,34759
7,2014-01-13,154000,155500,152000,153000,66108
8,2014-01-14,152000,153500,149000,150500,71243
9,2014-01-15,150500,152500,148000,149500,78348
10,2014-01-16,150000,152000,149500,150000,41126
11,2014-01-17,149500,151500,149500,150000,27135
12,2014-01-20,150000,151000,146500,148500,55293
13,2014-01-21,148000,149000,146000,147000,61286
14,2014-01-22,148000,150500,147000,148000,75048
15,2014-01-23,148500,148500,145000,145500,106049
16,2014-01-24,144500,145500,141000,143500,100796
17,2014-01-27,141000,142500,138500,142000,90114
18,2014-01-28,143000,145000,140500,143500,60398
19,2014-01-29,143500,145500,142000,144000,45148
20,2014-02-03,144500,145000,142500,143500,30335
21,2014-02-04,141500,142000,138500,141500,70222
22,2014-02-05,142500,143500,140500,143000,35069
23,2014-02-06,142000,143000,140000,141000,43786
24,2014-02-07,140500,141000,135500,137500,103138
25,2014-02-10,137000,139000,136000,137000,70610
26,2014-02-11,137500,140000,137000,138500,59415
27,2014-02-12,138000,140000,137000,139500,49242
28,2014-02-13,140000,140000,137000,138000,44967
29,2014-02-14,137500,140000,137500,138500,58068
30,2014-02-17,140000,143000,139000,142000,120615
31,2014-02-18,141500,144500,140500,143500,89458
32,2014-02-19,142500,146500,142000,146500,184570
33,2014-02-20,145000,146000,143500,145000,63108
34,2014-02-21,144500,146500,144500,146000,36962
35,2014-02-24,145000,147000,144000,146000,34153
36,2014-02-25,146500,146500,143000,145500,41497
37,2014-02-26,144000,145500,143500,143500,54289
38,2014-02-27,143000,145000,142500,144000,62900
39,2014-02-28,143500,144500,140500,141500,85590
40,2014-03-03,143000,145000,141500,144000,72016
41,2014-03-04,144500,145500,141000,141500,67458
42,2014-03-05,143000,144500,142000,143500,32629
43,2014-03-06,144000,144500,142000,143500,122550
44,2014-03-07,143000,144000,141000,142000,26829
45,2014-03-10,142000,143000,138500,140000,52957
46,2014-03-11,140000,142500,139500,142000,30393
47,2014-03-12,141000,142500,139500,141000,36287
48,2014-03-13,141000,142500,139500,141500,56821
49,2014-03-14,141500,142500,138500,140000,55247
50,2014-03-17,139500,141000,138500,139500,42630
51,2014-03-18,140500,142000,138000,140500,90372
52,2014-03-19,140000,140500,137000,137000,98212
53,2014-03-20,137000,137000,131500,133000,101898
54,2014-03-21,134000,135000,133500,133500,105068
55,2014-03-24,134000,134500,133000,134000,58976
56,2014-03-25,134500,139000,134000,138000,72957
57,2014-03-26,139500,141000,138000,140000,71332
58,2014-03-27,140500,144500,139500,144000,119204
59,2014-03-28,143500,144000,141500,142500,56238
60,2014-03-31,141500,144000,141000,142000,74100
61,2014-04-01,142000,146500,140500,144500,104476
62,2014-04-02,144500,147500,143500,147500,95423
63,2014-04-03,146000,148500,144500,145500,78326
64,2014-04-04,145500,145500,142000,144000,85250
65,2014-04-07,142500,144000,140000,143500,80918
66,2014-04-08,142000,146500,141500,145500,82598
67,2014-04-09,146000,147000,142500,147000,128308
68,2014-04-10,148500,151000,147500,150500,114179
69,2014-04-11,149000,150000,146500,148000,51612
70,2014-04-14,146500,147500,146000,147000,35546
71,2014-04-15,146000,147000,143000,145000,51143
72,2014-04-16,146000,146500,143500,144500,37151
73,2014-04-17,144500,147000,144500,146500,31817
74,2014-04-18,146000,148000,144500,146000,42736
75,2014-04-21,146000,146500,143000,144000,36403
76,2014-04-22,144000,144000,139000,140000,103195
77,2014-04-23,140500,141500,137500,139000,84394
78,2014-04-24,138000,138500,134000,135500,164480
79,2014-04-25,136000,136000,131500,133000,171992
80,2014-04-28,133000,135000,133000,133000,56239
81,2014-04-29,134000,134500,132000,133000,90039
82,2014-04-30,134000,134500,133000,133000,52404
83,2014-05-02,133000,133000,127000,130000,143366
84,2014-05-07,129500,130000,127000,128500,146330
85,2014-05-08,129000,129500,127000,128500,69436
86,2014-05-09,128000,132000,128000,131000,83876
87,2014-05-12,132000,132000,128000,130500,77966
88,2014-05-13,130500,133500,129500,133000,78266
89,2014-05-14,132000,134000,130500,134000,76411
90,2014-05-15,134000,134000,132500,133000,42188
91,2014-05-16,133000,134000,131500,133000,54238
92,2014-05-19,133000,133000,129000,130500,124084
93,2014-05-20,130500,131500,129000,131000,30884
94,2014-05-21,129500,132500,129000,131500,32948
95,2014-05-22,132000,133000,131000,132000,41760
96,2014-05-23,132500,134000,131500,131500,59645
97,2014-05-26,131500,133000,131000,132000,24722
98,2014-05-27,133000,136000,131500,134500,133042
99,2014-05-28,133500,136000,133500,134500,72278
100,2014-05-29,135000,135000,131500,132500,84590
101,2014-05-30,131500,133500,131500,132000,62929
102,2014-06-02,132000,132500,130500,131500,58880
103,2014-06-03,131000,131500,126500,128000,157199
104,2014-06-05,126500,128500,123500,124500,129794
105,2014-06-09,125500,131000,125500,130000,95682
106,2014-06-10,130500,134500,130500,134000,122457
107,2014-06-11,134000,136000,132500,135500,76827
108,2014-06-12,134000,135500,132500,135000,61063
109,2014-06-13,133500,134500,132500,134000,24112
110,2014-06-16,133000,136000,132500,134000,44657
111,2014-06-17,135500,135500,129500,131500,84460
112,2014-06-18,131000,132500,130500,132000,40381
113,2014-06-19,133000,135000,133000,134000,68653
114,2014-06-20,134000,134500,131500,131500,169158
115,2014-06-23,130500,133000,130000,132500,68379
116,2014-06-24,131500,136000,131500,135000,50186
117,2014-06-25,134500,136500,133000,135500,23425
118,2014-06-26,135500,140000,135000,137500,65904
119,2014-06-27,138000,140500,136500,139000,49211
120,2014-06-30,137500,139500,137500,139000,39447
121,2014-07-01,138500,140500,138500,139500,83080
122,2014-07-02,140500,140500,135500,136500,99881
123,2014-07-03,136500,138500,135000,137500,102397
124,2014-07-04,138500,140000,137000,137500,53851
125,2014-07-07,138500,138500,134500,137500,51042
126,2014-07-08,136000,139000,135500,137500,65850
127,2014-07-09,137000,137500,134500,137500,52244
128,2014-07-10,137500,137500,134000,135500,63047
129,2014-07-11,134000,135000,133000,134000,52402
130,2014-07-14,134000,134000,131500,132500,75383
131,2014-07-15,132500,139000,132500,137500,111242
132,2014-07-16,137000,139500,136500,138500,84657
133,2014-07-17,138000,139500,134000,136000,109782
134,2014-07-18,135500,137000,134000,135500,42920
135,2014-07-21,135000,135500,132500,133500,64201
136,2014-07-22,132000,135500,132000,134500,42678
137,2014-07-23,133500,135500,133000,134500,59425
138,2014-07-24,134000,136000,133500,134500,46839
139,2014-07-25,136000,142000,135000,140000,248415
140,2014-07-28,140500,147000,140000,146500,156269
141,2014-07-29,148000,148000,143500,146000,126064
142,2014-07-30,148000,149500,146000,147500,94441
143,2014-07-31,146500,149000,145000,147500,95244
144,2014-08-01,148000,148500,144000,147000,91505
145,2014-08-04,145000,146500,141500,143500,119354
146,2014-08-05,144000,144500,140000,142000,81195
147,2014-08-06,143500,144000,138500,140500,95057
148,2014-08-07,141000,142000,139500,141000,86533
149,2014-08-08,141500,141500,139000,139000,64151
150,2014-08-11,141000,143000,140500,141500,62985
151,2014-08-12,142000,143000,138500,140000,69642
152,2014-08-13,140500,148000,140000,147000,131592
153,2014-08-14,148000,156000,145500,155000,292312
154,2014-08-18,156500,157000,149500,151000,123202
155,2014-08-19,152500,154000,149500,150500,120462
156,2014-08-20,152000,157000,151500,155500,110323
157,2014-08-21,156000,159000,154000,155000,134841
158,2014-08-22,154500,159000,154500,155500,63432
159,2014-08-25,158000,160000,156500,158500,69279
160,2014-08-26,160000,165000,159000,160500,135946
161,2014-08-27,161000,164000,161000,162500,74877
162,2014-08-28,164000,164500,156500,158000,105062
163,2014-08-29,158000,161000,157000,158500,96990
164,2014-09-01,159000,160500,155000,156000,104858
165,2014-09-02,155000,162500,154500,162000,153405
166,2014-09-03,160500,166000,160500,165000,118618
167,2014-09-04,165000,165000,160500,161500,89608
168,2014-09-05,160000,162000,155000,159000,131409
169,2014-09-11,158000,162000,154500,156500,130684
170,2014-09-12,157500,160000,155000,158500,125958
171,2014-09-15,157000,159500,157000,158000,74685
172,2014-09-16,158000,161500,158000,160000,120623
173,2014-09-17,161500,163000,160000,161000,90309
174,2014-09-18,160000,162500,158000,162000,67076
175,2014-09-19,163000,168500,160000,165500,144599
176,2014-09-22,164500,168500,164500,165500,52925
177,2014-09-23,164500,167000,161500,166000,65683
178,2014-09-24,164000,166500,163000,164000,63641
179,2014-09-25,164500,168000,164000,167000,75187
180,2014-09-26,166500,168500,162000,164500,76344
181,2014-09-29,163000,164000,159000,160000,100970
182,2014-09-30,160500,161500,158000,160500,89875
183,2014-10-01,160500,161500,154000,156500,122086
184,2014-10-02,154500,156000,147000,149000,284339
185,2014-10-06,150500,150500,145500,147500,124878
186,2014-10-07,147500,150500,146500,148500,95648
187,2014-10-08,147500,151500,147000,149000,50552
188,2014-10-10,149000,153500,148500,151000,82117
189,2014-10-13,149500,152500,145500,148000,59129
190,2014-10-14,149500,149500,143500,145000,61890
191,2014-10-15,145000,145500,140000,141000,115731
192,2014-10-16,140500,145000,136500,142500,175814
193,2014-10-17,144000,145000,140000,141000,70895
194,2014-10-20,142000,144000,140500,141000,70751
195,2014-10-21,140000,142000,137500,140000,122637
196,2014-10-22,142000,145000,141000,145000,114866
197,2014-10-23,145500,148000,132000,139500,300915
198,2014-10-24,139000,139000,134000,135500,105599
199,2014-10-27,136500,138500,135500,138000,83994
200,2014-10-28,137500,138500,129500,131000,220396
201,2014-10-29,132000,138000,131500,135500,130937
202,2014-10-30,134000,137000,134000,136500,53735
