,Title,Date,Category
0,"DB손해보험, 브랜드 사용료 623억 지출",2018.10.26,2
1,금융권도 코로나 초비상…3단계 대응 잰걸음(종합),2020.08.28,3
2,사회적 거리두기 2단계 연장에…'구인 절벽' 보험사 안도(종합),2020.08.28,3
3,코로나 악화땐 시중은행 본점 절반만 출근,2020.08.28,3
4,"""공채도 못 뽑아…"" 코로나 재확산에 보험업계 '구인 절벽'",2020.08.28,3
5,'개통령'도 물렸다…개물림 사고 최근 5년 간 1만건 넘어(종합),2020.08.27,3
6,'개통령'도 물렸다…개물림 사고 평균 진료비 200만원 달해,2020.08.27,3
7,"DB손보, 주소만 알면 승강기사고배상책임보험 가입",2020.08.26,3
8,"보험사 오너 2,3세…경영권 승계 준비 '잰걸음'(종합)",2020.08.19,3
9,"보험사 오너 2,3세…경영권 승계 준비 '잰걸음'",2020.08.19,3
10,"대형 생·손보사, '코로나' 악재에도 장사 잘했다(종합)",2020.08.18,3
11,"대형 생·손보사, 코로나19에도 장사 잘했다",2020.08.18,3
12,"보험사, 2분기 깜짝 실적…""코로나로 손해율 개선""",2020.08.17,3
13,상반기 금융권 연봉 1위는…정태영 현대카드 부회장 26억원,2020.08.17,3
14,"DB손보, 상반기 순익 3494억…전년비 69.4%↑",2020.08.12,3
15,[인사]DB손해보험,2020.08.10,3
16,반려동물 전용CCTV는? 유플러스펫케어 ‘맘카’로 알려져,2020.08.10,3
17,"[기자수첩]빅테크, 보험까지 진출…소비자는 환영할까",2020.08.07,3
18,전국 기록적 폭우에 '풍수해보험' 등 피해 접수 잇따라,2020.08.04,3
19,서류위조·허위청구…보험 설계사 보험사기 '왜 못잡나',2020.07.29,3
20,기록적 폭우에 차량침수 160억 손해…車보험 손해율 '악재'(종합),2020.07.28,3
21,"[빅테크, 빅체인지]보험·대출·증권·데이터…거칠것 없는 'N 테크핀'",2020.07.28,3
22,기록적 폭우에 차량침수 160억 손해…車보험 손해율 '악재',2020.07.28,3
23,"DB손보, '교통환경 챌린지 2기' 소셜벤처 5곳 선발",2020.07.28,3
24,"DB손해보험, 차량 무상점검서비스 실시",2020.07.24,3
25,네이버에서 車보험 견적낸다고?…셈법 복잡해진 손보사들,2020.07.21,3
26,"CU, 삼성증권·티클과 손잡고 '잔돈 저축 재테크' 실시",2020.07.20,3
27,"삼성생명, 배타적사용권 신청…'S간편 종합보장보험' 인정받을까(종합)",2020.07.17,3
28,"삼성생명, S간편 종합보험 '배타적사용권' 신청…이번엔 획득할까",2020.07.17,3
29,"DB손해보험, 콜센터 및 상담센터 전산환경 전면 재구축",2020.07.14,3
30,"DB손보 홈페이지, 모바일앱 통큰 이벤트 실시",2020.07.13,3
31,"DB손보, 종합보험 2종·자녀보험 개정 출시",2020.07.03,3
32,"신한생명, 건강나이 적용 특약 '배타적사용권 기각'에 이의신청(종합)",2020.07.02,3
33,"신한생명, '배타적사용권 기각'에 이의신청…생보사 중 제기는 3년 만",2020.07.02,3
34,"DB그룹, 김남호 회장 선임…2세 경영 막올라(종합)",2020.07.01,3
35,"DB손보, 부산고객센터에 인공지능 키오스크 시범 운영",2020.06.25,3
36,"DB손해보험, 공식 기업블로그 리뉴얼",2020.06.11,3
37,"DB손해보험, 美 뉴욕에 자산운용 법인 세운다(종합)",2020.06.09,3
38,"DB손해보험, 美 뉴욕에 자산운용 법인 세운다",2020.06.09,3
39,"논란의 민식이법…운전자보험, 두 달간 100만명 몰렸다(종합)",2020.06.05,3
40,"민식이법에 놀란 운전자, 보험가입으로 몰렸다",2020.06.05,3
41,"DB손해보험, 충주성심학교 장학금 2천만원 전달",2020.06.04,3
42,[보험사 생존절벽-中]알짜 자산 매각…회식·출장도 없앴다,2020.06.02,3
43,"DB손보, 희귀난치성질환 아동 치료비 3000만원 전달",2020.06.02,3
44,"DB손보, 18년째 소방공무원 후원",2020.05.28,3
45,시작부터 삐걱…삼성화재-카카오 합작 무산,2020.05.27,3
46,"DB손보, 장기간병요양 5등급도 보장",2020.05.22,3
47,"DB김준기문화재단, DB금융경제 공모전 시상식",2020.05.20,3
48,지난해 DB손보 판매왕 '황금숙 PA'…연도상 시상식은 방송 진행,2020.05.19,3
49,"보험설계사 1분기 영업 실적 줄지 않아…""코로나 영향 없어""(종합)",2020.05.18,3
50,보험사 1분기 비대면 판매채널 '코로나 반사익' 없었다,2020.05.18,3
51,"DB손보, 1분기 순익 1375억…전년비 38.7%↑",2020.05.15,3
52,코로나19 확산세 꺾이자…4월 車손해율 다시 올랐다,2020.05.08,3
53,"DB손보 ""가족사랑 우체통으로 가족에게 마음을 전하세요""",2020.05.08,3
54,"DB손해보험, 윤아와 3년째 전속모델 계약 체결",2020.05.06,3
55,'비대면'…코로나 사태 후 새로운 보험 문화로 떠올랐다,2020.04.30,3
56,"운전자벌금 늘자 운전자보험 열풍…""무턱대고 갈아타면 안돼""",2020.04.25,3
57,'눈물의 보험 해지' 세 달 동안 7조원 깼다(종합),2020.04.22,3
58,'눈물의 보험 해지'…올 들어 3개월 만에 7조원 깼다,2020.04.22,3
59,"'특허를 잡아라' 손보사, 배타적사용권 잇따라 획득(종합)",2020.04.22,3
60,"DB손보, 참좋은 운전자보험 3개월 배타적사용권 획득",2020.04.22,3
61,"DB손보, 교통?환경문제 해결을 위한 교통환경챌린지 2기 모집",2020.04.20,3
62,[보험 인싸되기]차보험 들었는데 운전자보험 또 들어야할까?,2020.04.19,3
63,"자동차보험 손해율↓…손보사, 1분기 실적 코로나 반사이익 기대감",2020.04.18,3
64,"DB손보, 대학생 서포터즈 드리머 5기 발대식",2020.04.16,3
65,[금융에세이]“손품 팔고 5% 적금 챙기세요”,2020.04.15,3
66,"DB손해보험, 홈페이지·모바일앱 리뉴얼 그랜드 오픈",2020.04.14,3
67,"DB손보, 배우 지진희와 11년째 전속모델 계약 체결",2020.04.10,3
68,생보사 중위권 경쟁 치열…신한·동양↑ 오렌지↓(종합),2020.04.01,3
69,"3중고 보험사, 주가 곤두박질",2020.04.01,3
70,2019 생보사 자산순위…신한·동양↑ 오렌지↓,2020.04.01,3
71,내일부터 종신보험료 최대 10%↑…'릴레이' 예정이율 인하,2020.03.31,3
72,"""내렸을 때가 기회다"" 보험사 임직원, 자사주 매입 열풍",2020.03.28,3
73,"DB손해보험 ""사고 즉시 보상전문가 응대""…영상상담서비스 오픈",2020.03.19,3
74,"보험업계 코로나19 집단감염 잇따라…""공포 막아라""",2020.03.14,3
75,"DB손보, '가족사랑 우체통' 이벤트…""고마운 마음 전하세요""",2020.03.13,3
76,코로나19에도 보험사 주총 연기 없다(종합),2020.03.13,3
77,보험사 주총 시즌 개막…코로나19에도 연기 없다,2020.03.13,3
78,집단감염 온상된 콜센터…재택도 어렵고 마스크도 못 쓴다(종합),2020.03.10,3
79,에이스손보 콜센터 코로나19 집단감염…보험업계 비상대응 '분주',2020.03.10,3
80,손해 산정하고…계리하고…보험전문가 스카우트 경쟁(종합),2020.03.09,3
81,손해사정사·계리사…전문인력 확보에 팔걷은 보험사,2020.03.09,3
82,'코로나19'에도 떨어지지 않는 자동차보험 손해율,2020.03.08,3
83,보험의 위기…주가가 말해준다,2020.03.07,3
84,'설계사 1만명' 보험법인대리점 4곳으로 늘어…보험사 '추월',2020.03.06,3
85,"하나카드, 카드사 최초 반려동물 보험 비교 서비스 출시",2020.02.28,3
86,"'나이롱환자 줄퇴원에 감염될까 병원 꺼리니'…손보사, 1월 손해율 뚝 '↓'",2020.02.28,3
87,코로나19 확산에 잇단 입국 제한…해외 여행자보험 가입도 '뚝'(종합),2020.02.27,3
88,코로나19 확산에…해외여행자 보험 가입도 '뚝',2020.02.27,3
89,[밑 빠진 독 '한방병원' 上]본인부담금 0원…과잉진료·보험사기 의혹(종합),2020.02.26,3
90,'손보 빅4' 추격…메리츠화재 '마의 점유율 10%' 넘었다(종합),2020.02.24,3
91,"'점유율 10%' 메리츠화재, 손보 빅4 바짝 추격중",2020.02.24,3
92,"DB손해보험, 업계 최초 '질병심사 자동화 시스템' 도입",2020.02.19,3
93,"DB손보 자회사 ""고객 보험금 덜 줄수록 좋은 성과평과 매겨""(종합)",2020.02.18,3
94,"DB손보 자회사, '보험금 덜 준 직원에 좋은 평가 줬다'",2020.02.18,3
95,8개 손보사 순이익 9000억 줄어…'車보험·실손 손해율↑',2020.02.16,3
96,"CU, DB손보·네이버파이낸셜과 손잡고 '내차보험 만기라면' 출시",2020.02.14,3
97,'코로나19 확산' 보험사들 '신남방정책' 타격올까 전전긍긍,2020.02.13,3
98,"""교통사고 과실비율 억울해""…손해보험 분쟁조정 '역대 최다'(종합)",2020.02.07,3
99,손해보험사 분쟁조정 신청 2만건 달해…'역대 최다',2020.02.07,3
100,"""신종 코로나 공포에 병원 안가네"" 손보사, 손해율 개선 가능",2020.02.07,3
101,"DB손보, 신종 코로나 예방위한 방역 마스트 후원",2020.02.05,3
102,"손보사 뒤덮은 한파…""이제 시작"" 불안 확산",2020.02.03,3
103,[실전 재테크]'어린이보험' 선물은 어떨까,2020.02.03,3
104,"손보사, '메르스' 처럼 '신종 코로나'로 반사이익?",2020.01.31,3
105,車보험료 오늘부터 인상…자동차보험 적자 '사상 최대',2020.01.29,3
106,KB손보 車보험료 29일부터 3.5%↑…내달까지 인상 행렬,2020.01.13,3
107,"DB손보, 금연·다이어트 펀드로 건강관리 지원",2020.01.08,3
108,보험사 내부통제 '구멍'…설계사·직원 잇단 금융사고(종합),2020.01.07,3
109,설계사·직원 금융사고…구멍난 보험사 내부통제,2020.01.07,3
110,"DB손보-NHN고도, 개인정보배상책임보험 업무제휴",2020.01.03,3
111,[인사]DB손해보험,2019.12.31,3
112,[인사]DB손해보험,2019.12.30,3
113,크리스마스에 찾아온 불청객 미세먼지…고령·남성 사망위험↑,2019.12.25,3
114,"DB손보 ""가족사랑 우체통 내달 5일까지 열어요""",2019.12.23,3
115,"DB손보 ""가족사랑 마음 카드로 전하세요""",2019.12.17,3
116,실손보험은 요금 올리고…장기보험은 보장 줄이고,2019.12.16,3
117,"DB손보, 미얀마에 학교 도서관 기증",2019.12.05,3
118,"손보업계, 내년 1월 車보험료 인상 나선다...최대 10%",2019.12.01,3
