,Title,Date,Category
0,[e공시 눈에 띄네]코스피-2일,2018.07.03,2
1,사라진 건설 일자리…경영 악재에 잔뜩 움츠린 대형 건설사들,2018.05.30,2
2,"현대카드·LG화학 등 23곳 ""스펙보다 능력중심""…정부와 MOU",2015.10.06,2
3,산은 '아시아나' 마지막 카드 받은 HDC현산의 선택은…,2020.08.27,3
4,"이동걸-정몽규 회담 ""모든 가능성 논의…현산 답변 기다릴 것""(종합)",2020.08.26,3
5,"이동걸-정몽규 회담 ""구체적 논의 없었다…협의 가능성 의견 전달""",2020.08.26,3
6,"이동걸-정몽규, 26일 최종 담판…'아시아나항공 M&A' 극적 타결될까",2020.08.25,3
7,"""아시아나 최종 담판짓자""…이동걸 회장, 정몽규 회장에 면담 제안",2020.08.20,3
8,"""임대 30% 되기 전에…"" 사업 서두르는 재개발",2020.08.14,3
9,SK건설·HDC현산 'DMC SK뷰 아이파크 포레' 분양… 분양가 3.3㎡당 1992만원,2020.08.12,3
10,아시아나 노딜 소송전 예고…책임 떠넘기며 '네 탓 공방',2020.08.07,3
11,"이동걸, 현산에 경고 ""파산한 '몽고메리' 꼴 날 수도""",2020.08.04,3
12,"산은, 아시아나 재실사 거부…매각 무산 시 채권단 주도 '플랜B' 가동",2020.08.03,3
13,"이동걸 산은 회장 ""아시아나 계약 무산되면 현산에 모든 책임""",2020.08.03,3
14,"아시아나항공 채권단 ""현산, 재실사 하되 기간은 확 줄여야""",2020.08.02,3
15,[경제전망]이번주 주택 공급 방안 발표…마이너스 물가 탈출 여부도 관심,2020.08.02,3
16,"이동걸 산은 회장, 아시아나항공 매각 관련 ""다음주 입장 밝힐 것""",2020.07.30,3
17,아시아나항공 '노딜' 땐 기안기금 2兆 투입 전망,2020.07.30,3
18,"은성수, 아시아나 기안기금 지원 가능성 시사…사모펀드 논란엔 ""송구""",2020.07.29,3
19,"은성수 ""아시아나, 매각 무산 시 기안기금 지원 가능""",2020.07.29,3
20,"플랜B 들어간 아시아나항공…""모든 가능성 감안해 협의""(종합)",2020.07.28,3
21,"아시아나항공 플랜B 착수…하이닉스 될까, 대우조선해양 될까",2020.07.28,3
22,"SK건설·HDC현산, 'DMC SK뷰 아이파크 포레' 다음달 분양",2020.07.28,3
23,"16년 만의 신축의 힘?… 영등포 집값, '마·용·성' 넘나",2020.07.15,3
24,"손병두 금융위 부위원장 ""아시아나 매각 시한 남아있다""",2020.07.14,3
25,"둔촌주공, ""HUG와 상한제 중 높은 분양가로 분양하자""",2020.07.10,3
26,"'한화건설 컨소시엄', 대전역세권 우선 협상자 선정… 9100억 규모",2020.07.03,3
27,이동걸·정몽규 회동…아시아나항공 재협상 본격 돌입하나,2020.06.27,3
28,이동걸·정몽규 전격 회동…아시아나항공 인수 새국면,2020.06.26,3
29,"문턱은 높고 시간은 걸리고…돈 급한 기업들 ""조건 완화해야""",2020.06.26,3
30,"'구조조정 소방수' 이동걸 산은 회장 ""연임? 남은 임기 최선 다할 뿐""",2020.06.18,3
31,"산은 ""현산, 못 받았다고? 충분한 자료 제공했다""",2020.06.17,3
32,"이동걸 산은 회장, HDC현산에 쓴소리 ""서면 논의? 60년대 연애하나""",2020.06.17,3
33,[실전재테크] 규제 전 마지막 大물량… '핫서머' 분양시장,2020.06.17,3
34,"은성수 ""우리금융 완전 민영화, 22일 공자위서 방향 잡힐 것""(종합)",2020.06.11,3
35,"은성수 ""우리금융 완전 민영화, 22일 공자위서 방향 잡힐 것""",2020.06.11,3
36,"산은 등 채권단 ""현산, 진정성 의문…구체적 요구사항 제시해라""",2020.06.10,3
37,"아시아나 채권단, 현산과 재협상…합의엔 진통 예상",2020.06.10,3
38,"채권단 ""아시아나 인수 의사 밝혀라""…HDC현산에 최후통첩",2020.06.05,3
39,기안기금 1호 지원대상은 대한항공…아시아나는 편입 희박,2020.06.01,3
40,"신반포15차 이어 반포3주구까지, 래미안의 '화려한 귀환'",2020.06.01,3
41,자금줄 마른 LCC 구조조정 수순 밟나,2020.04.27,3
42,아시아나·대한항공에 2조9000억 수혈…LCC 지원은?,2020.04.25,3
43,"산은·수은, 대한항공에 1조2000억 긴급 지원",2020.04.24,3
44,"산은ㆍ수은, 아시아나항공에 1조7000억 신규 자금 지원",2020.04.21,3
45,"산은·수은, 아시아나·두산重 급한 불 끈다",2020.04.21,3
46,'삼성동 시대' 연 현대백화점…코로나19 속 조용한 출발,2020.04.18,3
47,"선호도 높은 대형 건설사 아파트, 2분기 5만5000가구 분양",2020.04.15,3
48,항공사 ABS 폭탄 째깍째깍…수천억 물린 은행들 초비상(종합),2020.04.14,3
49,항공사 ABS에 수천억 물린 은행들…시한폭탄 터질까 '초비상',2020.04.14,3
50,쌓인 과제 첫 실타래 푸는 이동걸 회장…KDB생명 매각 임박(종합),2020.04.13,3
51,KDB생명 매각 임박…과제 실타래 푼 이동걸 회장,2020.04.13,3
52,부실기업 짊어진 국책은행…부실채권 증가에 허리 휜다(종합),2020.04.07,3
53,살릴 기업은 살려야 하는데…허리 휘는 국책은행,2020.04.07,3
54,두산重·LCC도 급한데 쌍용차마저…고민 깊어지는 산은,2020.04.04,3
55,"공정위, 현대산업개발의 아시아나항공 주식취득 승인…""주 업종 다르다""",2020.04.03,3
56,"SK건설, 올해 5개 단지 1만966가구 공급",2020.01.16,3
57,미디어SR ‘2019 대한민국 공익법인 백서’ 발간..국내 최일선 기업 공익법인 활동 현황 담겨,2020.01.03,3
58,SK하이닉스 '용인 반도체 클러스터' 내년 산단 지정된다(종합),2019.12.24,3
59,광주 청약 시장 여전히 '후끈'…주말 견본주택에 3만5000여명 몰려,2019.12.15,3
60,반포3주구 재건축에 '빅7 건설사' 입찰의향서…사업 재개 '물꼬',2019.12.03,3
61,다음주 분양 시장 활기…전국 10곳 총 5687가구 청약,2019.11.09,3
62,"애경 ""아시아나 본입찰 완료…항공경험 많은 회사가 인수해야""",2019.11.07,3
63,"'항공 노하우' 가진 애경, 아시아나 인수로 다시 날아오를까",2019.11.04,3
64,"[2019 국감] ""중기부 '의무고발요청제' 소극적…시스템 정비해야""",2019.10.21,3
65,분양가상한제 유예에도 역삼센트럴아이파크 최고 경쟁률 425대 1,2019.10.01,3
66,"[2019아시아건설대상] 김원이 서울시 부시장 ""건설산업 글로벌 경쟁력 키워야""",2019.09.26,3
67,[2019아시아건설대상] 상생협력 앞장선 현대건설·대림산업·대우건설·한신공영 국토부 장관 표창,2019.09.26,3
68,"가을 맞아 풍성한 분양시장, 전국 4곳 3356가구 청약",2019.09.22,3
69,추석 이후 부동산 시장 어디로…청약 시대 '본격화',2019.09.15,3
70,과열되는 청약시장… 내집 마련 '틈새시장' 분양권을 노려라,2019.09.13,3
71,"애경, 아시아나항공 인수 적격후보 선정…""유일한 항공운송업 경험자""",2019.09.11,3
72,"이동걸 ""아시아나항공 숨은 인수자들, 실체 드러날 것""",2019.09.10,3
73,"장애인공단, 청각장애인 대상 호텔 테이블매니저 직무 발굴",2019.08.20,3
74,"""해외 부진한데 국내 주택시장까지 흔들리나"" 고민 빠진 건설사",2019.07.11,3
75,인천신항 항만배후단지 1단계2구역 개발사업 협상대상자로 '인천신항배후단지' 선정,2019.07.02,3
76,"서울시-코레일, 광운대역세권 개발 본격화…""동북권 新 경제거점 조성""",2019.05.22,3
77,"HDC현대산업개발 ""한솔개발에 투자 검토 중…구체적 확정사항 無""",2019.04.23,3
78,결국 구청 뛰어든 반포3주구 재건축 이전투구…'특별중재' 나서,2019.04.02,3
79,'하도급대금 지연이자 미지급' HDC현대산업개발…과징금 6억3500만원,2019.01.10,3
80,'8천억 강남 재건축' 시공 계약 원점으로…'반포3주구' 수주戰 예고(종합),2019.01.08,3
81,"반포3주구, HDC현대산업개발 시공사 자격 박탈…총회서 결정",2019.01.08,3
82,'아크로리버파크 조합장'까지 나선 반포3주구…현산과 결별ㆍ신규 입찰 추진,2019.01.07,3
83,반포3주구 시공권 넘어가나…대림·대우·포스코·롯데 '관심',2019.01.03,3
84,SOC 예산 감소 ‘직격탄’…10대 건설사 올해 수주 실적 급감,2018.12.06,3
85,"'수도권 재건축 최대어' 성남 은행주공, GS건설·현산 컨소시엄이 따냈다",2018.12.02,3
86,"'수도권 재건축 최대어' 성남 은행주공, 시공사 오늘 결정",2018.12.02,3
87,가을 분양시장 성수기 前 예열 돌입…전국 5곳 2008가구 청약,2018.08.25,3
88,하반기 주담대 문턱 높아진다…중도금 무이자 단지 어디?,2018.08.12,3
89,"정몽규 HDC그룹 회장, 구조적 변혁을 위한 ‘Big Transformation’",2018.07.09,3
90,"[주 52시간 시대] 장맛비에 멈춰선 건설현장, 휴일 특근 검토",2018.07.02,3
91,"HDC현대산업개발-농어촌공사, 민관 합동 사업모델 발굴",2018.06.29,3
92,"HDC현대산업개발, 건설현장 탄력근무제 도입",2018.06.26,3
93,"주52시간 근무제 시행 '코앞'…건설업계, 발만 동동",2018.06.10,3
94,사라진 건설 일자리…경영 악재에 잔뜩 움츠린 대형 건설사들,2018.05.30,3
95,HDC현대산업개발(회장 정몽규)의 품질안전 캠페인 “실천! CLEAN 5”,2018.03.16,3
96,"정몽규 회장의 현대산업개발, 지역 르네상스를 이끌어나간다",2017.11.16,3
97,"HDC현대산업개발 정몽규 회장, 창의적 기업문화 바탕으로 미래 40년 이끌어갈 인재 키운다",2017.09.28,3
98,[면세점發 훈풍]용산·여의도 '제2의 명동' 될까,2015.11.16,3
99,"현대카드·LG화학 등 23곳 ""스펙보다 능력중심""…정부와 MOU",2015.10.06,3
100,"아시아나, JAL·에바·싱가포르항공과 온라인 안전운항 세미나",2020.08.28,4
