,Title,Date,Category
0,한국전 참전공원에서 봉사한 미국 10대에 포상,2020.07.23,2
1,"민주당 전재수, 금융 사고시 최대 3배 배상 법안 발의",2020.07.13,2
2,"전두환은 12·12 직후 '美 도움 요청'…美, 5·18 광주 시민 '중재 요청'은 거절",2020.05.16,2
3,고립 방어전의 신화- (1)다시 내준 서울,2020.03.20,2
4,"총선 전 마지막 임시국회…여야, 금소법·검역법 통과 추진",2020.02.12,2
5,"이인영 ""설 민심, 한 마디로 '민생 먼저'…한국당, '검찰대행' 그만둬야""",2020.01.27,2
6,조국 사태부터 공수처 논란까지…'숫자로 본 2019',2019.12.27,2
7,"이원욱 ""은성수 DLF 대책, 자본시장 위축…거꾸로 가는 정책"" 비판",2019.11.19,2
8,"한전, 멕시코 태양광발전 착공…해외 신재생 사업 최대 규모",2019.11.18,2
9,"김기식 전 금감원장 ""DLS사태, 은행·당국·국회 책임에서 자유로울 수 없다""",2019.10.28,2
10,정무위 법안소위 ‘빈손’ 종료…다음 달로 논의 미뤄,2019.10.24,2
11,"'조'로 시작해 '국'으로 끝…20대 마지막 국감, 결국 '맹탕'",2019.10.21,2
12,[속보] 북미 비핵화 협상 5일 단판 승부,2019.10.05,2
13,"정무위, 조국 사모펀드 관련·이수만 포함 국감 증인 의결",2019.10.02,2
14,"이인영 ""DLF 사태, 엉터리 펀드 판매 진상 철저히 규명해야""",2019.09.26,2
15,"'조국 국감' 예고한 한국당, 무더기 증인 신청",2019.09.19,2
16,볼보차 '먹튀' 40년…빚에 발목 잡힌 북한 경제,2019.08.19,2
17,韓美 '한반도 긴장완화' 협력…남북軍 관계개선 기대,2019.04.12,2
18,'北환적감시' 美버솔프함 오늘 부산 입항…연합훈련은 없어,2019.04.06,2
19,"韓美 해병대 연합훈련, 대북제재 강화…北 전방위 압박",2019.03.21,2
20,"공직자윤리위, 1월 퇴직공직자 7명 재취업 불허…이석준 前국조실장 LF사외이사行 '가능'",2019.01.31,2
21,"독일·스위스·스웨덴, 北에 230만달러 기부",2019.01.25,2
22,美 위협 '이리떼'서 빠진 北…무르익는 북·미 고위급 회담,2019.01.17,2
23,"洪 ""귤 상자 속에 귤만 있겠나"" 魯 ""누굴 원망하랴""",2018.12.31,2
24,"'쇼핑+힐링' 달라진 軍 PX…""장병 복지시설 확대""",2018.12.16,2
25,[양낙규의 Defence Club]증강하는 중국 군사력… 해킹으로 키웠을까,2018.11.03,2
26,"산자중기위 공공기관 13곳, '청년고용의무' 불이행",2018.10.15,2
27,"정경두 국방부 장관 “군사 분야 합의서 유엔군과 협의중""",2018.10.10,2
28,[양낙규의 Defence Club]무기수출 강국 미ㆍ중ㆍ러의 공략은,2018.09.08,2
29,"통일부 ""남북정상회담 날짜 北과 협의 진행 중""",2018.08.17,2
30,"모본, 'CES 2018'서 자율주행 핵심 ADAS 선보인다",2018.01.04,2
31,"아파치헬기, 실전배치후 '헬파이어' 첫사격 8발 모두 명중",2017.11.13,2
32,[집중기획 잠수함의 세계]④세계에서 가장 비싼 핵잠수함 보유한 나라는?,2017.08.08,2
33,"박용안 서울대 명예교수, 대륙붕한계위원회(CLCS) 의장 당선",2017.07.25,2
34,"트럼프가 ""똑똑한 분"" 추켜세운 장하성실장, 알고보니 이 대학 동문",2017.07.04,2
35,"한국지방세연구원, 법무사 대상 지방세 무료 강의",2017.06.09,2
36,"박주선 ""사드 추가반입, 새로운 사실 아냐…정치적 의도 의심""",2017.05.31,2
37,[낱말의습격]삼디와 쓰리디의 진짜 차이,2017.04.06,2
38,[김영란법 시행]'소통의 가성비'를 높여라,2016.09.28,2
39,"황 총리 ""中어선 불법조업, 전기차배터리 보조금 해결해달라""",2016.06.29,2
