,Title,Date,Category
0,"文대통령 ""구미산단 연대와 협력, 코로나19 극복 모범사례""",2020.04.01,2
1,"에너지공단, '2019년 ESP 성과공유 워크숍' 개최",2019.11.22,2
2,"문 대통령 ""신제품 막는 규제 풀겠다""…일자리 창출·상생 당부",2018.04.20,2
3,"이기권 장관 ""금융·공공 총파업 불법 책임 묻겠다""",2016.09.20,2
4,"한상호 현대엘리 대표, 국가생산성대회 금탑산업훈장 수여",2015.09.09,2
5,한국군 첨단 유도무기의 핵심기술 탄생하는 곳,2015.06.13,2
6,군장병 위문품 변천사 ‘드럼세탁기부터 런닝머신까지’,2014.12.13,2
7,LG사이언스파크에 힘 실어준 박근혜 대통령,2014.10.23,2
8,"에너지공단, KT 등 15개사와 대·중소기업 동반성장 업무협약",2020.06.26,3
9,"산업장관 日규제 극복 부품공장 찾아 ""코로나19 민관 합심 극복""",2020.04.01,3
10,"에너지공단, '2019년 ESP 성과공유 워크숍' 개최",2019.11.22,3
11,동반성장지수 中企체감도 '하락'…펫산업 적합업종 '비권고'(종합),2019.06.27,3
12,삼성전자 등 동반성장 '최우수'…中企체감도 '하락',2019.06.27,3
13,구광모의 '첫 주총' CEO-이사회 떼어놨다,2019.03.15,3
14,"LG이노텍, 차세대 부품 '열전 반도체' 첫 양산...LG전자 협탁 냉장고에 공급",2018.11.19,3
15,"전자업계 고용도 실적따라...""삼성전자 1년만에 임직원 3000명 증가""",2018.11.18,3
16,"LG이노텍, '일렉트로니카 2018' 참가...유럽 전장부품 시장 공략",2018.11.13,3
17,"""반도체 없어도""...삼성전기 신기록 경신·LGD 흑자전환, 부품업계 실적주간",2018.10.22,3
18,"LG그룹, 20개 벤처와 협력기회 모색...'스타트업 테크 페어' 개최",2018.10.22,3
19,"LG이노텍, 어린이 과학체험 교실 개최",2018.10.01,3
20,부품업계 3분기 실적 '파란불'...사상최대 영업익 삼성전기·흑자전환 LGD,2018.09.30,3
21,"[따뜻한추석] 삼성·LG 부품사들 추석맞이 ""직거래 장터·송편 나눔 행사""",2018.09.24,3
22,"LG이노텍, 어려운 이웃 3000여명에 추석 송편 전달",2018.09.19,3
23,"LG이노텍, 중국서 열전반도체 알리기...테크포럼 개최",2018.09.12,3
24,"정규직 늘리라지만...'고용 모범 기업' LG 부품사, 계약직 매년 2배 증가",2018.08.10,3
25,"대기업 계약직 증가·중소기업 공장 내놓고 해외로...""고통이 된 고용정책""",2018.08.10,3
26,"삼성SDI, '갤노트 사태' 극복하고 영업익 28배 낸 비결은...""ESS·전기차 배터리""",2018.07.30,3
27,"삼성SDI, 스마트폰 대신 자동차·ESS로 '실적 반전' 1년새 영업이익 28배(종합)",2018.07.30,3
28,"LG이노텍, 美 네일드라이어 업체에 UV LED 특허 침해 소송",2018.07.26,3
29,"LG이노텍, '아이폰X' 부진으로 영업이익 58.8%↓(종합)",2018.07.25,3
30,"LG이노텍, 2Q 영업익 134억원…전년 比 58.8%↓(상보)",2018.07.25,3
31,"LG이노텍, 2Q 영업익 133.9억…전년 比 58.8%↓(속보)",2018.07.25,3
32,"LG디스플레이, 스타트업 육성 적극 나선다",2018.07.08,3
33,"LG이노텍, '식물생장용 LED' 30여종 구축... 스마트팜 시장 공략",2018.07.05,3
34,"LG이노텍, 지속가능경영보고서 발간...R&D늘리고 온실가스 감축",2018.07.02,3
35,"LG이노텍, 일본서 UV LED 포럼 개최... 살모넬라균 3.4초만에 박멸",2018.06.28,3
36,[文정부 동반성장지수]협력사에 653억 인센티브·1만5천명 연봉 10% 올려준 기업들,2018.06.27,3
37,"[文정부 동반성장지수]삼성전자 '최우수', 오비맥주 '미흡'(종합)",2018.06.27,3
38,"LG이노텍, '눈 편안한 LED' 산업부 장관상 수상",2018.06.26,3
39,"권일근 LG이노텍 전무 ""열전반도체, 에너지산업 핵심""",2018.06.21,3
40,"권일근 LG이노텍 CTO ""2022년, 선박용 열전반도체 양산할것""",2018.06.21,3
41,"LG전자, 2년 연속 삼성전자 제치고 국내 특허등록건수 1위",2018.06.20,3
42,"LG이노텍, UV LED 브랜드 'InnoUV' 출시...글로벌 시장 선도",2018.06.14,3
43,"LG이노텍, '나노 다결정 열전반도체' 내년 상반기 양산한다",2018.06.12,3
44,"LG이노텍, '중국 UV LED 포럼' 개최…中 공략 박차",2018.05.30,3
45,"LG이노텍, '스마트 양계장' 만든다...실시간 AI 감염 추적",2018.05.22,3
46,"구본준 LG 부회장 ""ZKW 인수로 자동차 부품 사업 앞당길것""",2018.05.15,3
47,"삼성전자가 식물생장용 LED 내놓은 이유는...""1년새 34% 큰 시장""",2018.05.13,3
48,"LG이노텍, 미국·중국서 UV LED 시장 공략…전시·포럼 참가",2018.05.03,3
49,"[LG전자 컨콜] ""계열사가 당장 ZKW에 납품하기는 어렵다""",2018.04.26,3
50,"LG, 사상 첫 1조원대 M&A…전장사업 속도낸다",2018.04.26,3
51,"구본준 부회장 ""LG사이언스파크로 미래형 일자리 만들것""",2018.04.20,3
52,"LGD, LG전자 의존도 확 낮췄다...외부판매 비중 28%까지 확대",2018.04.03,3
53,"박종석 LG 이노텍 대표 ""UV LED로 LED사업부 흑자전환할것""",2018.03.07,3
54,"LG이노텍, 방수 UV LED 일본서 기술력 인정",2018.02.23,3
55,4차 인재 모여라…LG 테크노콘퍼런스,2018.02.08,3
56,"LG이노텍, 협력사와 동반성장 위한 630억 규모 펀드 운영",2018.02.07,3
57,"LG이노텍, 4분기 전년比 영업익 40% 급증…""카메라 모듈 덕분""(종합)",2018.01.23,3
58,"LG이노텍, 2017년 4분기 영업익 1412억원…전분기 대비 152%↑",2018.01.23,3
59,전자업계 4Q 실적발표주간…애플에 LG이노텍 웃고 LGD 울고,2018.01.21,3
60,"LG이노텍, 'NRF 리테일즈 빅쇼' 참가…미국 유통시장 공략",2018.01.15,3
61,"[클릭 e종목]""LG이노텍, 사상 최대 분기 실적 기록할 듯""",2018.01.02,3
62,연암공과대 신임 총장에 이웅범 LG화학 사장 선임,2017.12.25,3
63,"LG이노텍, 한국유통대상 수상…""종이가격표를 ESL로 대체""",2017.12.07,3
64,[인사] LG이노텍,2017.11.30,3
65,"LG이노텍, 2018년도 정기임원인사…전무1명·상무2명 승진",2017.11.30,3
66,"LG이노텍 ""100mw UV, 화학물질없이 살균…업계 2년이상 앞서""",2017.11.27,3
67,"[LG이노텍 컨콜]""아이폰X 출시 지연에도 4분기 최대 실적 달성할것"" (종합)",2017.10.25,3
68,"[LG이노텍 컨콜] ""중국 화웨이 1차 밴더로 진입""",2017.10.25,3
69,"[LG이노텍 컨콜] ""애플 매출 비중 50% 넘지만 문제없다""",2017.10.25,3
70,"[LG이노텍 컨콜] ""올해 전장사업 매출 9000억원…수주 3조원""",2017.10.25,3
71,"[LG이노텍 컨콜]""아이폰X 출시 지연으로 대기수요 상태""",2017.10.25,3
72,"[LG이노텍 컨콜] ""내년부터 투자 감소할것…3분기는 4645억원""",2017.10.25,3
73,"[LG이노텍 컨콜] ""전장 부품 누적 수주액 9.1조원""",2017.10.25,3
74,"[LG이노텍 컨콜] ""3분기 부채 42%늘어…일시적인 것""",2017.10.25,3
75,"[LG이노텍 컨콜] ""4분기 매출 최대 기록할 것""",2017.10.25,3
76,"LG이노텍, 3분기 영업익 559억원·매출액 1.7조원 (속보)",2017.10.25,3
77,"LG계열 전자 3사, 하이퐁 청소년 위한 IT 도서관 마련",2017.09.29,3
78,"[보수공개] 박종석 LG이노텍 사장, 상반기 보수 6억원",2017.08.14,3
79,"[LG이노텍 컨콜] ""LGD 투자 수혜·아이폰8로 실적 개선할것""(종합)",2017.07.26,3
80,"[LG이노텍 컨콜] ""전장부품, 사드 리스크 있다…현대·기아 차질""",2017.07.26,3
81,"[LG이노텍 컨콜] ""10세대 포토마스크 기술 문제없다""",2017.07.26,3
82,"[LG이노텍 컨콜] ""베트남 공장 2018년 본격 가동""",2017.07.26,3
83,"[LG이노텍 컨콜] ""LGD 투자, 2메탈COF·포토마스크에 직접 수혜""",2017.07.26,3
84,"[LG이노텍 컨콜] ""RF-PCB 스마트폰 사업 진출 검토중""",2017.07.26,3
85,"[LG이노텍 컨콜] ""아이폰8 출시 지연 없을 것""",2017.07.26,3
86,"[LG이노텍 컨콜] ""전장부품 2분기 신규 수주 7000억원""",2017.07.26,3
87,"LG이노텍, 수원 월드컵경기장에 하이파워 LED 공급",2017.06.08,3
88,"LG전자, 7월부터 과장님·부장님 사라진다",2017.05.31,3
89,"LG이노텍, 컴프레서 부피 절반 '열전모듈' 양산",2017.05.14,3
90,[닮아가는 삼성 Vs 애플] 갤노트8에도 적용되는 듀얼카메라…장·단점은?,2017.05.14,3
91,다음주 코스피 2130~2170 전망… 지정학적 리스크 지속,2017.04.22,3
92,"[보수공개] 박종석 LG이노텍 사장, 지난해 연봉 10억원",2017.03.31,3
93,감사위원 분리 선출 시 대기업 3곳 중 1곳 해외 기관투자가 영향권,2017.03.29,3
94,30대 그룹 관료 출신 사외이사 비중 절반 가까이 달해,2017.03.22,3
95,"LG이노텍, 2643억원 규모 카메라 모듈 신규 투자",2017.03.17,3
96,[슈퍼주총]힘들수록 '닥공' 나선 기업들,2017.03.17,3
97,"[美 금리인상] 전자업계 ""영향 제한적…일부 소비 위축 우려""",2017.03.16,3
98,"[전자업계 나눔경영] 삼성·LG ""납품대금 조기지급부터 특허개방까지""",2017.01.28,3
99,4분기 실적 발표 앞두고 희비 엇갈린 전자업계,2017.01.22,3
100,"LG이노텍, 630억원 규모 동반성장펀드 운영",2017.01.22,3
101,"LG이노텍, 냉각·가열 겸용 '열전모듈' 양산",2017.01.18,3
102,"LG이노텍, 저소득 장애 아동·청소년에 의료비 지원",2016.12.13,3
103,[인사] LG그룹 임원 인사 명단,2016.12.02,3
104,"LG이노텍, 독일서 '차량 부품 최우수 협력사' 선정",2016.11.06,3
