,Title,Date,Category
0,'진단키트' 코로나19 위기에 외교 촉매 역할 톡톡,2020.04.14,2
1,"외교부 ""화물기→여객기 '허가 변경', 러시아 재외국민 귀국 지원 추진""",2020.04.02,2
2,"문 대통령, 사우디 왕세자와 에쓰오일 공장 준공식 참석",2019.06.26,2
3,[주간전망]생산·소비·투자 경기지표 발표…이주열의 입에 쏠린 눈,2019.06.23,2
4,"韓-우즈벡, 비즈니스포럼 개최…文대통령 ""'新실크로드' 기대""",2019.04.19,2
5,韓 전기차 배터리 국제표준화 주도로 제품경쟁력 강화,2019.03.10,2
6,"김수현 靑정책실장, 오늘 대기업 임원들과 비공개 만찬…'정례화' 가능성",2019.01.31,2
7,"문 대통령, 김광두 국민경제자문회의 부의장 사표 수리",2019.01.03,2
8,"김상조·김수현·김광두, 삼성 윤부근·SK 김준·LG 권영수와 3대3 비공개 회동",2019.01.03,2
9,"문 대통령 ""한국 투자 최적기…평화 정착되면 더 좋은 투자처""(종합)",2018.10.16,2
10,"문 대통령 ""한-프랑스 경제 협력 한 단계 업그레이드 하자""",2018.10.16,2
11,"김상조 ""공정거래법 개정안, 동일인 지정·형벌 조항 개선할것""(종합)",2018.05.10,2
12,"문 대통령, UAE 공식오찬…윤부근 삼성 부회장 등 참석",2018.03.25,2
13,"김동연 부총리, 구본준·정의선 이어 최태원 만난다 ""대기업 소통""",2018.03.11,2
14,막판에 또 늘어지는 박근혜 재판...2월 중순 넘길 듯,2018.01.03,2
15,"'89억 뇌물요구'…朴재판, SK 임원 증인신문 시작",2017.06.15,2
16,사드국면 반전 앞당긴다…삼성·현대차·SK 對中공략 재시동,2017.05.15,2
17,2020년까지 친환경차 100만대 보급,2015.12.08,2
18,"중앙부처 김 과장, 휴직하고 삼성으로 출근하는 까닭",2015.11.18,2
19,[2015 국감]공정위 행정소송 패소로 1000억 환급,2015.09.13,2
20,수출액 급감 석화·철강 영업이익은 되레 늘었다,2015.08.18,2
21,'이규태 방산비리 공모 혐의'前 SK C&C 대표 기소,2015.07.05,2
22,"합수단, '이규태 방산비리 연루' SK C&C 前 사장 피의자 신분 소환",2015.06.26,2
23,"감사원, SK성공불융자금 감면 관련 옛 지경부 직원 등 수사 의뢰",2015.04.09,2
24,"朴 중동 4개국 방문, 경제사절단 116명 '최대 규모'",2015.02.26,2
25,"윤상직 장관 ""에너지시장 급변…신사업에 적극 투자""",2015.01.22,2
26,"[2014국감]압수한 가짜석유, 어디로 가나 했더니",2014.10.23,2
27,'K-통상전략' 마련…기업인이동·디지털협정·보호무역대응,2020.07.21,3
28,2030년 이후 '수소자립'…해외공급망 개척 민·관사업단 발족,2020.06.23,3
29,"나이스신평, SK이노베이션 등 4개 정유사 신용등급 '부정적'으로 하향",2020.06.01,3
30,"무보, 2차전지 생산설비 수출기업 방문…""포스트 반도체 찾을 것""",2020.05.27,3
31,"""'경제민족주의' 시대…한국이 중견국 통상공조 이끈다""",2020.05.20,3
32,"車·정유·항공 줄줄이 '코로나 쇼크'…은행 ""최악 상황 대비할 수밖에""(종합)",2020.05.14,3
33,"車·정유·항공…은행권, 코로나發 위기업종 여신 '현미경 점검'",2020.05.14,3
34,"美 ITC,  '영업비밀 침해' SK이노베이션 조기패소 결정 재검토",2020.04.18,3
35,항공·조선·車 기간산업 한계 상황인데…늑장 대책 '死월',2020.04.06,3
36,"[2020그린모빌리티어워드]정승일 산업차관 ""韓 수소차, 인프라도 챙긴다…올해 말 충전소 160개로""",2020.01.29,3
37,"산업부 ""美 상무장관, 日수출규제 조속한 해소 필요 공감""",2019.09.25,3
38,[주간전망]생산·소비·투자 경기지표 발표…이주열의 입에 쏠린 눈,2019.06.23,3
39,"'해외투자 역대 최고…보호무역주의에 미중 투자 가속화""",2019.06.14,3
40,1분기 해외직접투자액 141.1억달러…역대 최다,2019.06.14,3
41,"석유화학 업계 ""부지·용수 확보 어려움""…홍남기 ""상당부분 진전""",2019.06.13,3
42,"홍남기, 한은 총재 '상황 대응' 언급에 ""통화 완화 가능성으로 이해""",2019.06.12,3
43,"러우진첸 장쑤성 당서기, 韓 4대그룹 만나…中 고위급 잇달아 방한",2019.05.26,3
