,Title,Date,Category
0,"""공중화장실 남녀 분리·안전 시설 설치 급선무""",2017.05.23,2
1,[이슈추적]넘쳐나는 쌀…미(米)라클 프로젝트 가동,2016.12.23,2
2,"""홈쿡족·캠핑족 잡았다""… SPC삼립 육가공 2분기 매출 전년比 20% 성장",2020.08.25,3
3,"SPC삼립, ‘라그릴리아 라이스’ 출시",2020.08.24,3
4,"오뚜기·LG유플 등 7개사에 과태료 부과…""대리점계약서 법 위반""",2020.08.18,3
5,"""장마 이후가 본격 성수기"" 휴게소 업은 식품기업 기상도 '맑음'",2020.08.13,3
6,"SPC 허영인 회장, 폭우 피해 지역에 긴급 구호품 지원",2020.08.06,3
7,"""농가, 중소기업 도와라"" 식품업계, ‘착한 먹거리’ 생산 계속된다",2020.07.18,3
8,"SPC삼립, ‘뽀빠이’ 컬래버레이션 제품 출시",2020.07.09,3
9,"에그슬럿부터 스타벅스, 빕스까지…""맛만큼 위생·안전 철저히 지킨다""",2020.07.08,3
10,얇은 바게뜨에 감자 퓌레·수란 부드러움 최고의 조합…국내 상륙한 'LA 명물' 에그슬럿,2020.07.07,3
11,"SPC삼립, 美 명물 쉐이크쉑 이어 '에그슬럿' 국내 도입…외식사업 힘 준다",2020.07.07,3
12,"에너지공단, KT 등 15개사와 대·중소기업 동반성장 업무협약",2020.06.26,3
13,"SPC삼립, 쿠팡 손 잡고 홈 델리 브랜드 ‘얌’ 론칭",2020.06.15,3
14,"'맘스터치' 해마로, CJ·SPC 출신 이병윤 신임 사장 선임",2020.06.01,3
15,"""박현주 지시 명백한 증거 못찾아""…미래에셋 검찰고발 대신 과징금(종합)",2020.05.27,3
16,"SPC삼립, ‘미각제빵소’ 론칭 1년만에 베이커리 1600만개 판매",2020.05.26,3
17,"[포스트코로나, 간편식 떴다] SPC삼립, 2030 젊은 세대 간편 한 끼 책임진다",2020.05.22,3
18,"SPC삼립, 美 캘리포니아 명물 '에그슬럿' 국내서 판다",2020.04.21,3
19,"SPC 허영인 회장, 차등배당으로 7년째 주주환원 실천",2020.03.27,3
20,"파리바게뜨 대구경북지역 가맹점주, 의료진에 샌드위치와 우유 전달",2020.03.16,3
21,"CJ·SPC 등 식품기업 ""코로나19 확산, 더 이상은 안 된다…기부행렬""",2020.03.07,3
22,"정세균·황교안, 신격호 빈소 방문 ""외국서 일군 성과, 대단""(종합)",2020.01.20,3
23,"文대통령 ""롯데, 신격호 사후에도 韓·日 가교 역할 해달라"" 주문(종합)",2020.01.20,3
24,SPC그룹 허영인 회장의 행복한 나눔,2020.01.17,3
25,이달 식품 상장기업 브랜드평판 1위는 '오리온',2019.12.28,3
26,"SPC삼립 자회사, '2019 노사문화대상' 고용부 장관상 수상",2019.12.18,3
27,"SPC삼립, 추위와 함께 '삼립호빵' 매출 한 달만에 140% 껑충",2019.12.06,3
