,Title,Date,Category
0,"文대통령, 취임 후 첫 금융권 간담회…""코로나19 자금지원, 신속성 중요""",2020.04.06,2
1,"홍남기 ""금융이 '경제의 혈맥'으로서 든든한 지원군 되길""",2020.01.03,2
2,"외국인, 보름간 韓 주식 2.4兆 매수…반도체가 절반",2019.04.17,2
3,"美 정부, 한국 기업 손바닥처럼 들여다보고 있다",2018.11.02,2
4,"문 대통령 ""기업 경영 활동 적극 지원""…한·인도 기업인들과 만나",2018.07.10,2
5,"금융공투본 출범…금융노조, 노동이사제 재추진",2018.05.02,2
6,[단독]'낙마' 김기식 원장은 국민은행 명예노조원이었다(종합),2018.04.17,2
7,[단독]'셀프 후원' 낙마 김기식 국민은행 명예노조원,2018.04.17,2
8,[부고]박동섭 이오시스템 전무 모친상,2018.04.03,2
9,"정세균 국회의장, 상장회사 CEO 초청 오찬 간담회 개최",2017.11.09,2
10,"[2017여성포럼]심상정 정의당 의원 ""女, '슈퍼우먼' 거부하라""",2017.11.09,2
11,"""못난 엄마라서 미안해""...세상에서 가장 슬픈 '지지선언'",2017.04.29,2
12,"강효상, 골프장 관련 개별소비세 폐지 개정법안 발의",2016.09.07,2
13,[포토]'글로벌 금융학회' 참석한 유일호,2016.07.12,2
14,[포토]이야기하는 윤종규·이광구,2016.07.12,2
15,"[포토]KB금융, '글로벌 금융학회' 개최",2016.07.12,2
16,[포토]이야기하는 유일호·윤종규,2016.07.12,2
17,[포토]서울아시아금융포럼 개막,2016.05.23,2
18,양적완화 물 위로…구조조정 실탄 확보 '발등의 불',2016.04.27,2
19,與 경제통 의원이 본 '금융개혁' 장애물은?,2015.10.07,2
20,서울 상암·개포에 민관산학 '빅데이터 캠퍼스' 조성,2015.10.04,2
21,"성균관, 정치·금융 ‘쌍끌이 태평성대’",2015.03.24,2
22,필수 인사만 단행…중폭 개각은 연말로 미룬 듯,2014.11.18,2
23,"靑비서관, 최필립 장남 고소…""허위사실 유포해 명예훼손""",2014.10.21,2
24,"[국감인물]김기식 ""금감원 제재위, 속기록 작성 의도적 회피""",2014.10.17,2
25,[2014국감] 5개 상임위 국감…세월호참사·KB사태 집중 조명,2014.10.15,2
26,"박병원 은행연합회장 ""제로금리여도 투자 어렵다""",2014.10.14,2
27,"[2014국감]정무위, KB사태 관련 임영록·이건호 증인 채택",2014.10.08,2
28,"[2014국감]정무위, 금융권 증인 채택 놓고 與野 마찰…파행 위기",2014.10.08,2
29,이번 국감도 '기업인' 국감…증인 누가 나올까,2014.10.03,2
30,"금융당국 ""KB금융 최대한 빨리 안정화 돼야""",2014.09.18,2
31,"청와대, 최수현 금감원장 경질설 일축했지만…",2014.09.12,2
32,윤종규 KB금융 회장 3연임 가능성…변수는?,2020.08.30,3
33,'푸르덴셜+KB'…금융지주 보험 성공신화 재연하나,2020.08.29,3
