,Title,Date,Category
0,"통합당 새 당명에 국민의당 반응은…""당명과 함께 실제 내용도 변하길""(종합)",2020.08.31,2
1,"통합당 새 당명, '국민의힘' 유력…안철수 ""우리와 달라""",2020.08.31,2
2,'수출 1호' UAE 원전 가동…다음은 체코,2020.08.04,2
3,"한전, 전기버스 충전서비스 '전국 확대'…전주시와 협약",2020.07.29,2
4,"기재부, '2019 공공기관 혁신·협업·시민참여 우수사례집' 발간",2020.07.27,2
5,"뉴딜 펀드, 연기금·한전 등도…이광재 ""국민 소득 높일 기회""",2020.07.17,2
6,19년만에 4000개 회원사…공정성·투명성 바탕 성장,2020.06.17,2
7,"민주당, 대기업의 재생에너지 직접 계약 추진…'그린 뉴딜' 일환",2020.05.12,2
8,新벤처기업 누구나 '창업지원센터' 입주 가능,2020.05.07,2
9,"靑 ""한전 해저케이블 입찰, 규정상 중국 기업 참여자격 없어""",2020.04.27,2
10,[공직자 재산]재산 평균 13.3억…80% 재산 늘어,2020.03.26,2
11,"[전문] 유성엽 “文정부, 이명박·박근혜 ‘망쳐놓은 경제’ 더 망쳐”",2020.02.20,2
12,김주영 전 한국노총 위원장 민주당 입당…“정치에 노동의 가치 새겨놓도록 노력하겠다”,2020.02.09,2
13,"산업부, 천연가스 발전용 개별요금제 승인…발전비용 절감 기대",2020.01.03,2
14,"'DR시장' 개편, 내년 1월 중 시행…자발적 참여 확대·의무절전 부담 최소화",2019.12.22,2
15,'재생에너지 3020' 수립 2년…지속적 성과창출로 본궤도 진입,2019.12.20,2
16,[인사]한국전력,2019.12.17,2
17,"한전, '스마트시티 운영 플랫폼' 혁신도시 우수사례 선정",2019.12.11,2
18,신고리 3·4호기 준공…韓 원전기술 우수성 해외에 홍보,2019.12.06,2
19,"한전, 농어촌상생협력기금 50억원 출연",2019.11.20,2
20,"한전, 베트남에 에너지효율화 추진",2019.11.19,2
21,"한전, 멕시코 태양광발전 착공…해외 신재생 사업 최대 규모",2019.11.18,2
22,원전 25기 중 11기 멈춰…원전이용률 50%대로 '뚝',2019.11.14,2
23,[현장한컷]한전의 석연찮은 해명,2019.11.12,2
24,"한전, 34개 기업과 '에너지밸리 투자협약' 체결",2019.11.12,2
25,"한전, 美 괌에 25년간 전력판매계약 체결…2조3000억 매출 확보",2019.11.11,2
26,"김종갑 한전 사장 ""특례할인, 정부와 협의해 간극 좁히겠다""",2019.11.07,2
27,"한전, 'BIXPO 2019' 개막…에너지신기술 한눈에",2019.11.06,2
28,"한전, '꿈의 기술 초전도 송전' 세계 첫 상용화",2019.11.05,2
29,"성윤모 장관 ""전기요금 할인특례 폐지 적절치 않아""",2019.10.30,2
30,"정유섭 의원 ""산업부, 친여 태양광 조합 요구사항에 굴복""",2019.10.28,2
31,"에너지전환 2년…""정부가 전기요금 인상 요인 인정해야""",2019.10.25,2
32,"한전, 국내 에너지 기업 최초 '원화 지속가능채권' 발행",2019.10.24,2
33,"에너지공단-한전, '재생에너지 사용인정제도' 시범사업 실시계획 공고",2019.10.22,2
34,"한전-신한銀, 中企 수출활성화를 위한 금융지원사업 추진",2019.10.18,2
35,"[2019 국감]어기구 의원 ""송배전선로 지중화 제도개선 방안 마련""",2019.10.17,2
36,"한전, 중동에서 최초로 풍력발전소 준공",2019.10.16,2
37,"[2019 국감]어기구 의원 ""초고압 송전탑, 당진·횡성·정선에 80개 이상 설치""",2019.10.15,2
38,"[2019 국감]에너지공기업, 쌓여있는 불사용자재 156만개…1400억원에 달해",2019.10.14,2
39,"韓 금융기관, 중소기업에 '이자장사'…금융지원은 '0원'",2019.10.14,2
40,"[2019 국감]한전, 5년간 송배전 전력손실 8조2823억원",2019.10.13,2
41,[2019 국감]한전 477억 들여 구매한 '스마트계량기' 64만여대 리콜,2019.10.13,2
42,[2019 국감]내부 제보로 밝혀진 '한전' 백태…여직원 희롱·사내 폭행 심각,2019.10.13,2
43,"[단독/2019 국감] 이훈 의원 ""산업용 경부하 전기요금 원가 76.8%로 조정, 중소기업 812억원 절감""",2019.10.11,2
44,"[2019 국감]한전, 지역인재 채용은 5명 중 1명도 안 돼",2019.10.11,2
45,"[2019 국감]한전, 해외석탄화력 사업 중단은커녕 오히려 신규 추진",2019.10.11,2
46,"[2019 국감]한전, 적자라면서 기관장은 억대 성과급",2019.10.10,2
47,"[2019 국감]한전, 5년간 송배전 전력손실 8조2823억원",2019.10.10,2
48,"[단독/2019 국감]""공기업 적자내놓고…"" 기관장은 수천만원 '성과급 잔치'",2019.10.07,2
49,"[2019 국감]어기구 의원 ""전기·가스요금 감면누락 전체 대상자의 40%""",2019.10.07,2
50,[2019 국감]산업부·중기부 산하기관 출자회사 162곳 만성적자…방만운영 여전,2019.10.07,2
51,"[2019 국감]조배숙 의원 ""전력시장 공정성·투명성 제고 시급""",2019.10.07,2
52,"[2019 국감]MB정권 풀어준 민간석탄화력, 국민 전기요금 부담키워",2019.10.07,2
53,"[2019 국감]산업부, 최근 3년 부패방지 평가 4등급 이하",2019.10.04,2
