,Title,Date,Category
0,"文주재 '코로나19' 원탁회의…재계 ""법인세 인하 검토"" 요청(종합)",2020.03.18,2
1,"靑 오찬도 없이 간담회 진행…재계 ""외교로 풀 문제를…""",2019.07.10,2
2,"김정훈 ""공정위 소비자중심경영 인증기업 24%는 행정조치 처분기업""",2018.09.25,2
3,"산업부 ""코리아 세일 페스타, 상생의 장터 연다""",2018.09.19,2
4,"박원순, 선거 마지막 날까지 정순균 강남구청장 후보 지원",2018.06.12,2
5,"장영철 강남구청장 후보, 선거운동 마지막 주말 총력유세",2018.06.11,2
6,"박원순 후보""전임 강남구청장 사사건건 시장과 대결""",2018.06.09,2
7,김성태 폭행 사건으로 돌아본 국회의원 수난사,2018.05.06,2
8,식당 '울상' 소매점 '무덤덤'…청탁금지법 개정에 엇갈린 유통가 표정,2017.12.12,2
9,이번에도 기업인 56명 무더기 증언대…재벌총수 빠졌다,2017.10.10,2
10,"지자체 갈등 기업에 불똥…신세계, 부천시로부터 소송 당하나",2017.08.30,2
11,"상반기 중국인 관광객 41% '뚝'…유통업계 ""L자형 부진 우려""",2017.08.03,2
12,"[면세점 선정 특혜 파문]감사원, '3차 면세점대전' 추가 감사 검토",2017.07.12,2
13,콧대 높던 백화점의 변신…너도 나도 '1코노미' 마케팅,2017.07.12,2
14,[면세점 선정 특혜 파문⑨]롯데免 직원 1300명 직장 뺏은 '검은 손',2017.07.11,2
15,"일자리委, 새정부 출범 후 12.2만명 일자리 혜택",2017.06.26,2
16,[금요스토리]진흙탕 속 복합쇼핑몰…유통사 미래전략 '시계제로',2017.06.23,2
17,대선 후보 8일 마지막 유세 일정 '접전지…서울로 집결',2017.05.08,2
18,"유승민, 노년·청년층 공략…대한노인회 초청 토론회 참석",2017.04.26,2
19,洪·劉…집중유세 대신 '스탠딩 토론' 준비 사활,2017.04.19,2
20,"[中 사드 몽니]""사드 사태, 롯데 外 유통사들도 잠재적 피해업체""",2017.03.10,2
21,"김종인 ""'4대가문' 우리나라 재벌…정부가 배려 안 해도 생존""",2017.02.08,2
22,"민주당 ""특검 수사중인데 면세점 발표, 배경이 의문스럽다""",2016.12.18,2
23,"[면세점 경쟁 3R]현대면세점, '럭셔리' 청사진…명품 유치 계약",2016.11.01,2
24,10월 태풍에 최순실 쇼크…K페스타 백화점 한달 성적표는?,2016.10.30,2
25,"새누리당 ""丁의장부인, 쇼핑 의혹 제기""…수천만원 써야 지급되는 카드 보유",2016.10.01,2
26,"정세균 ""국회 파행 풀리지 않으면 의장외교 일정 취소하겠다""",2016.10.01,2
27,"코리아세일페스타, 한달간 쇼핑 축제 열린다",2016.09.21,2
28,"[한류, 이번엔 수산물이다③]입소문 탄 어간장, 백화점 진출..매출 2000만원서 5억 기업으로",2016.06.29,2
29,면세점 추가 허용 가닥…오락가락 정책 비난,2016.03.16,2
30,농업-기업 상생협력 사업모델 37건 발굴,2015.12.29,2
31,LG·현대중·한진 등 장애인고용 저조 '불명예',2015.10.28,2
32,서울 백화점·마트 축산코너서 '목장갑' 사라진다,2015.08.24,2
33,대기업집단 계열사 1686개..2개 증가,2015.07.01,2
34,[진화하는 농촌]백화점이 품은 동백오일·약초비누…명품과 맞짱뜬다,2015.06.08,2
35,대기업 계열사 1684개…한달새 23개 줄어,2015.06.02,2
36,지역특화상품 120개 글로벌 명품으로 육성,2015.05.28,2
37,오경환 서울시의원 “상암동 롯데쇼핑몰 상생 모범 만들자”,2015.04.14,2
38,"[4월 2주 수도권] 입주한지 오래된 단지, 대형 아파트도 전세물건 부족해",2015.04.10,2
39,"2015년 4월, 전국 45,384가구 일반 분양",2015.03.31,2
40,[3월 4주 광역시] 부산 수영구 재건축 단지로 투자수요 많아,2015.03.30,2
41,"朴대통령,리퍼트에 동병상련 위로…""한미동맹 영향없게할것""",2015.03.05,2
42,대기업 계열사 1684개…한달 새 11개 줄어,2014.11.03,2
43,"현대백화점, 올 추석 프리미엄 선물세트 늘린다",2020.08.30,3
44,"시몬스 침대, 신세계백화점 등 전국 주요 백화점에서 스페셜 이벤트 진행",2020.08.29,3
45,"현대백화점, 아웃렛보다 더 싼 아웃렛 매장 '오프웍스 2호점' 오픈",2020.08.27,3
46,"[단독]방탄소년단, 또 시스템 '풀착장'…""한섬, BTS 2차 컬렉션 출시""",2020.08.25,3
47,"현대백화점, 무역센터점에 '마이크로소프트 프리미엄 스토어' 오픈",2020.08.25,3
48,선물 세트에 '위생용품 세트' 첫 등장…코로나가 바꾼 추석 대목,2020.08.24,3
49,2020 올해의 브랜드 대상의 주인공은?,2020.08.18,3
50,"현대백화점그룹, 천연 화장품 원료 1위 SK바이오랜드 인수",2020.08.18,3
51,"백화점 업계, 코로나19 긴 터널의 끝이 보인다",2020.08.15,3
52,백화점 기지개 켜는데…면세점 여전히 쇼크상태,2020.08.14,3
53,"소비자원, 백화점 만족도 1위는 '롯데百 월드타워점'",2020.08.14,3
54,"오브맘코리아, 최대규모 ‘밤(bamme)’ 기저귀 체험단 200명 19일까지 모집",2020.08.13,3
55,"ATM 급감, 지역별 편차↑…韓銀·금융위 문제해결 나선다",2020.08.11,3
56,빵 구독에 방문객 북적…구독모델 강화하는 백화점들,2020.08.10,3
57,"시몬스 침대, 전국 주요 백화점에서 스페셜 이벤트 진행",2020.08.07,3
58,"픽업, 라이브 커머스 전속 쇼호스트 팀 공식 런칭",2020.08.06,3
59,"현대백화점, 가정식 반찬 정기 구독 서비스 선보인다",2020.08.05,3
60,"국산 F&B 캐릭터 ‘밀당’, 애니메이션 통해 글로벌 시장 도전",2020.08.05,3
61,"현대백화점면세점, 미혼모 자립 지원 나선다",2020.07.27,3
62,"[빅테크,빅체인지]카톡은 프라다도 입는다…유통-포털 '적과의 동침'",2020.07.22,3
63,"유명 맛집 상품을 집 앞으로…현대백화점, ‘현대식품관 투홈’ 오픈",2020.07.21,3
64,"정용진, 깜짝 현장 행보…이마트 강릉점 찾아 장보고, 직접 요리도",2020.07.20,3
65,"현대百, 디큐브시티점에 '이케아 플래닝 스튜디오 신도림' 선보인다",2020.07.20,3
66,"'반값 명품' 재고 면세품, 시내 면세점에서 직접 산다",2020.07.18,3
67,"현대백화점, 미아점 지하 1층 식품관 ‘테이스티 가든’ 오픈",2020.07.16,3
68,"현대백화점, 유통업계 최초로 ‘참치 전문 코너’ 선보인다",2020.07.15,3
69,"현대백화점, 서울시와 손잡고 ‘디지털 라이브 패션쇼’ 연다",2020.07.14,3
70,오픈마켓·라이브 커머스…'유통' 집어삼키는 포털,2020.07.13,3
71,"""2030잡아라""…젊어지는 백화점",2020.07.11,3
72,"시몬스 침대, 전국 주요 백화점에서 스페셜 이벤트 진행",2020.07.04,3
73,"면세점 임대료 매듭 못 지으면…""공항·업계 공멸""",2020.07.03,3
74,"현대백화점, 전국 17개 지역아동센터에 ‘그랜드 바자’ 수익금 전달",2020.06.30,3
75,"현대百 신촌점, '사나고 3D펜 팝업스토어' 오픈",2020.06.28,3
76,'동행세일' 첫 주말…어디서 뭘 살까,2020.06.27,3
77,세일 큰장 섰다…대형마트는 의무휴업 '울상',2020.06.26,3
78,"오늘부터 '코리아 패션마켓' 시작…""193개 브랜드, 최대 80% 할인""",2020.06.26,3
79,"대우산업개발, 대구 '엑소디움 센트럴 동인' 7월 분양",2020.06.25,3
80,"코로나19 극복…백화점 업계, '대한민국 동행세일' 총출동",2020.06.21,3
81,"현대아울렛, 디즈니 코리아와 손잡고 '픽사' 테마행사 연다",2020.06.19,3
82,"현대백화점 킨텍스점, '신진 디자이너 트렌드 페어' 진행",2020.06.12,3
83,"'코로나 직격' 백화점, 의무휴업 요구에 난감",2020.06.09,3
84,"현대백화점, 판교점 홈데코·리빙페어 ‘디어 마이 판교’ 진행",2020.06.09,3
85,"[포토]현대百 천호점에 ""아이언맨 등 '마블' 히어로 뜬다""",2020.06.07,3
86,은행 계좌만 있으면 폰으로 현금인출…'모바일 현금카드' 뭐길래,2020.06.06,3
87,"백화점·마트·e커머스 대표들 총출동…""상생협약은 희망의 약속""",2020.06.04,3
88,'판매율 93%' 스타트 끊은 신세계免…롯데·신라에 바통,2020.06.04,3
89,"에스아이빌리지, 면세재고 '완판' 눈앞…판매율 90% 돌파",2020.06.03,3
90,오늘부터 면세재고 판매…발렌시아가·생로랑 최대 50%↓,2020.06.03,3
91,은행계좌만 있으면 스마트폰으로 ATM서 현금 찾는다,2020.06.03,3
92,"아트노믹스 갤러리K, 롯데프리미엄 아울렛 MOU…‘미술시장 활성화에 힘 보탠다’",2020.05.29,3
93,"[포스트코로나, 간편식 떴다]현대百 원테이블, 고품격 HMR 대표주자",2020.05.28,3
94,"화장품에 꽂힌 정지선 회장, SK바이오랜드 인수 한다",2020.05.28,3
95,"[아경 히트상품]그로바나, 모던한 문페이즈 워치 '벨빌 컬렉션'",2020.05.26,3
96,"衣욕 없는 소비자…백화점, 2분기도 어렵다",2020.05.25,3
97,"현대百 압구정본점, 10개 컨템포러리 브랜드 새단장 오픈",2020.05.25,3
98,"정부, 폐기물 새활용기업 키운다…올해 15억 투자",2020.05.21,3
99,재고 면세품 판매에 최고급 '3대 명품'은 참여 안한다,2020.05.20,3
100,"하나카드, 모바일 전용 디지털 카드 '모두의 쇼핑' 출시",2020.05.19,3
101,"현대백화점, 온라인몰에 착한 벤처기업 모은 '소셜 임팩트' 오픈",2020.05.18,3
102,"현대백화점 천호점, 코로나19 확진자 방문에 조기폐점",2020.05.14,3
103,"현대백화점, 지자체 4곳과 지역특산물 소비 촉진",2020.05.14,3
104,이태원發 감염에 유통가 '반등' 물거품되나,2020.05.12,3
105,"온라인으로 만나는 문화센터 인기강좌…현대百, '랜선 문센' 진행",2020.05.12,3
106,"""정관장 50% M포인트 결제""…현대카드, 가정의 달 이벤트",2020.05.04,3
107,한 달간 '대한민국 수산대전'…온·오프라인에서 수산물 최대 50% 할인,2020.05.03,3
108,'5월 가정의 달' 키즈 복합문화공간으로 변신한 호텔들,2020.04.30,3
109,"""황금연휴, 소비자 잡아라""…유통업계, 초특가 할인 돌입",2020.04.30,3
110,"시몬스 침대, 전국 주요 백화점에서 5월 가정의 달 맞아 스페셜 이벤트 진행",2020.04.30,3
111,"억눌린 소비 분출…백화점 ""황금 연휴 잡아라""",2020.04.29,3
112,"한국은행, 유통사와 거스름돈 계좌입금서비스 활성화 업무협약",2020.04.29,3
113,"현대백화점 '가족농장', 교외형 체험 장소로 인기",2020.04.26,3
114,"현대백화점, 목동점서 '맨즈 비스포크 페어' 연다",2020.04.24,3
115,"면세업계, 악성재고 해결책 골몰…전문가들 ""위기 상황에 검토 필요""",2020.04.23,3
116,[유통업의 위기]만성적자·악성전염·급성폐점,2020.04.22,3
117,[유통업의 위기]'디지털化' 골든타임 놓칠라…규제 일변도 정책에 '한숨',2020.04.22,3
118,"청주 영플라자 폐점·의왕 신규출점 연기…롯데, 체질 개선에 속도",2020.04.21,3
119,"[단독]보증금 못 낸 시티플러스, 인천공항 면세사업권 유찰 위기",2020.04.20,3
120,'삼성동 시대' 연 현대백화점…코로나19 속 조용한 출발,2020.04.18,3
121,"현대백화점 압구정점, '태극당' 팝업스토어 진행",2020.04.15,3
122,'코로나19'에…3월 배달앱 결제 늘고 프랜차이즈 카페 지출 확 줄었다,2020.04.15,3
123,"""텅빈 공항에 면세점까지 사라진다면?""",2020.04.11,3
124,"코로나19發 소비절벽…명품, 닌텐도엔 다른세상",2020.04.10,3
125,"예전만 못해도…백화점, 봄 세일 단비에 매출 10% 반등",2020.04.06,3
126,"갑을상사, '오르바이스텔라' 신제품 3종 출시",2020.04.06,3
127,국내 농산물 소비촉진 팔 걷은 현대백화점…양파 사은품 증정,2020.04.05,3
128,"현대백화점 판교점, 4월 4일 폐점 후 방역…5일부터 정상 영업",2020.04.05,3
129,"플라스틱 줄이고, 에너지 절약하고…유통업계, 친환경 정책 가속화",2020.04.04,3
130,"해피콜, 초고속 블렌더 '엑슬림 프로' 출시 이벤트",2020.04.03,3
131,엄마가 가는 곳에서 'MZ'놀이터로…백화점의 변신,2020.04.01,3
132,"셀몽드, 고보습 뿌리는 크림 ‘핵산 24 래디언스 스프레이크림’ 출시",2020.04.01,3
133,"하이트진로, 보르도 프리미엄 샤또 와인 2종 단독 출시",2020.03.31,3
134,"현대百, 국내 첫 ‘이케아 도심형 매장’ 선보인다",2020.03.31,3
135,"현대백화점그룹, HCN ‘케이블TV 사업’ 매각 추진 검토",2020.03.30,3
136,코로나19가 바꾼 백화점 봄 세일…'분산쇼핑'에 초점,2020.03.29,3
137,"현대백화점그룹, 정지선 회장 사내이사 재선임…""주주가치 제고""",2020.03.25,3
138,"현대백화점, 중소 식음료 매장 700여 곳 수수료 낮춘다",2020.03.18,3
139,"현대백화점 무역센터점, 확진자 방문에 조기폐점…18일 영업 재개",2020.03.17,3
140,"정지선 회장의 주문…현대百, 브랜드 매니저 3000명에 '코로나19 지원금' 30억 지원",2020.03.15,3
141,"현대백화점 디큐브시티, 확진자 방문에 조기폐점…14일 재개",2020.03.13,3
142,인천공항 면세점 입찰 희비... 현대百 웃었다,2020.03.10,3
143,"현대백화점그룹, 여성·아동 사회공헌활동 국제적 인정받아",2020.03.10,3
144,"현대백화점면세점, 인천공항 첫발…면세 '빅4' 구도 확립",2020.03.09,3
145,"현대백화점, 유통업계 최초 百 네이버 '라이브 커머스' 첫선",2020.03.08,3
146,"인천공항 면세점 입찰, 높은 임대료에 흥행 참패",2020.03.07,3
147,참치 수출·내수 모두 부진…7일 '참치데이' 앞두고 유통업계 마케팅 총력,2020.03.06,3
148,"현대그린푸드, 스마트푸드센터 가동…급식 넘어 B2C 진출",2020.03.04,3
149,"현대백화점 판교점, 3층에 룰루레몬 매장 오픈",2020.02.28,3
150,"유통업계 '재택근무' 확산…연차사용 독려, 유연근무 확대도",2020.02.28,3
151,높은 임대료에 시작부터 김빠진 인천공항 면세점 입찰…2곳 유찰,2020.02.27,3
152,"현대백화점그룹, 대구지역에 10억 지원…생필품도 전달",2020.02.27,3
153,'연매출 1조원' 인천공항 면세점 입찰 '빅4' 모두 참여…각축전 예상,2020.02.26,3
154,"현대백화점그룹, 모든 상장 계열사에 전자투표제 도입",2020.02.25,3
155,"카메라를 입은 패션…현대백화점, '코닥' 팝업스토어 목동에 오픈",2020.02.24,3
156,"[포토뉴스] 현대백화점 판교점, 쿠사마야요이作 등 예술 전시",2020.02.24,3
157,"코로나에 숨 막히는 유통업계…오픈 특수 사라지고, 임시휴점 잇달아",2020.02.22,3
158,"하나카드, 페이코와 이벤트…""최고 30% 할인혜택""",2020.02.21,3
159,"현대백화점면세점, 동대문에 2호점 닻…'2兆 매출' 향해 달린다",2020.02.20,3
160,"현대백화점, '다우닝 그룹 가구 패밀리 세일' 진행",2020.02.13,3
161,"""매장 오시면 마스크 드려요""…애타는 오프라인 매장",2020.02.13,3
162,현대百·신세계 아픈 손가락…'실적 늪' 가구 자회사들에 고민,2020.02.12,3
163,"현대백화점, '랑방·마놀로블라닉' 등 해외패션 최대 60% 할인",2020.02.12,3
164,'흥행' 예고됐던 인천공항 면세戰…코로나에 복잡해진 셈법,2020.02.11,3
165,"현실화된 소비침체…정부, 개소세 인하 카드 만지작",2020.02.11,3
166,"현대백화점, 온라인몰 할인 행사…300개 브랜드 참여",2020.02.09,3
167,"시몬스 침대, 전국 주요 백화점에서 스페셜 이벤트 진행",2020.02.08,3
168,"수서역 환승센터 사업 유찰, 유통업황 얼마나 안좋으면…",2020.02.07,3
169,현대아울렛 송도점 임시휴점…19번째 확진자 방문,2020.02.06,3
170,"신종 코로나 폭탄…30% 손님 줄은 마트, 문 닫는 百·쇼핑몰·워터파크",2020.02.05,3
171,곡소리 나는 유통가…면세·백화점·쇼핑몰·워터파크까지 비상(종합),2020.02.04,3
172,블루리본 서베이부터 中딤섬 맛집까지…F&B 목숨 건 쇼핑몰,2020.02.04,3
173,"'신종 코로나 확진자 방문' 마트·면세점 3일째 휴업…""영업재개 미정""",2020.02.04,3
174,인천공항 면세점 입찰 D-30…치열해지는 눈치싸움,2020.01.27,3
175,경기불황에도…설 선물세트 판매 늘었다,2020.01.26,3
176,"""헛걸음하지 마세요""…25일 마트·백화점 대부분 휴점",2020.01.25,3
177,"현대백화점, 설 연휴 기간 '힐링 페스티벌' 진행",2020.01.23,3
178,"현대백화점, 신촌점 유플렉스 11층 ‘푸드 앨리’ 오픈",2020.01.22,3
179,"정세균·황교안, 신격호 빈소 방문 ""외국서 일군 성과, 대단""(종합)",2020.01.20,3
180,"文대통령 ""롯데, 신격호 사후에도 韓·日 가교 역할 해달라"" 주문(종합)",2020.01.20,3
181,"이낙연 ""한국경제 고도성장 이끈 주역""…신격호 빈소, 이어지는 조문 행렬",2020.01.20,3
182,"""전설적인 기업인""…신격호 빈소, 이재용·손경식·박용만 등 각계 조문",2020.01.20,3
183,진공포장·고추장 조리 만난 굴비…올 설 판매량 12.7%↑,2020.01.19,3
184,"더 크고, 더 화려하게…'온라인 세상 속' 오프라인 매장 생존 전략",2020.01.19,3
185,'연매출 1조원' 인천공항 면세 사업자 선정 본격화,2020.01.17,3
186,"현대카드, 설날 선물세트 최대 50%할인",2020.01.17,3
187,"KB국민카드, 설 맞이 이벤트…""최대 50만원 상품권 증정""",2020.01.16,3
188,"사라지는 '종이 영수증'…현대백화점, 전자 영수증 발급 서비스 도입",2020.01.15,3
189,"이베이코리아, '스마일페이' 이용한 '2020 새해선물' 행사 진행",2020.01.13,3
190,"현대백화점, 온라인몰서 오는 24일까지 '2020년 설 선물세트' 판매",2020.01.12,3
191,'1조 매출' 인천공항면세점 입찰 코앞…치열해지는 '눈치싸움',2020.01.11,3
192,"시몬스 침대, 전국 주요 백화점에서 스페셜 이벤트 진행",2020.01.11,3
193,"현대백화점, 3번째 란제리 편집숍 오픈…콘셉트는 웰니스",2020.01.07,3
194,초고령화 사회 코앞…식품기업 '케어푸드' 사업 본격 시동 건다,2020.01.07,3
195,"현대백화점, '특화 소금 굴비' 프리미엄 설 선물세트 선보여",2020.01.05,3
196,미디어SR ‘2019 대한민국 공익법인 백서’ 발간..국내 최일선 기업 공익법인 활동 현황 담겨,2020.01.03,3
197,"현대백화점免, 새해 맞이 국내외 쇼핑 이벤트",2020.01.03,3
198,"유통가 5社 5色 위기 탈출법…리더들의 신년 메세지는 ""혁신하라""",2020.01.02,3
199,"[2020유통街, 열쇳말은 변화]백화점·마트·편의점 '선택과 집중'으로 돌파구 모색",2020.01.01,3
200,"[2020유통街, 열쇳말은 변화] 불황 파고 넘는 쥐띠 CEO들",2020.01.01,3
201,40대처럼 살고픈 60대…女심리 읽어낸 백화점,2019.12.31,3
202,"현대그린푸드, 이천 호텔서 뷔페 레스토랑 운영",2019.12.29,3
203,"시몬스 침대, 현대백화점 압구정본점 팝업 스토어 오픈",2019.12.28,3
204,"파인드카푸어의 새로운 하우스 프린트, ‘FKR 모노그램’ 첫 공개",2019.12.27,3
205,"현대百면세점, 시각장애인 위한 '사랑나눔 선물 박스' 전달",2019.12.26,3
206,"신한카드, 현대백화점과 '신한  탑스 컬쳐 클래스' 오픈",2019.12.23,3
207,"현대백화점, '2020년 설 선물세트' 본판매 진행",2019.12.23,3
208,"현대백화점, 3번째 란제리 편집숍 오픈…콘셉트는 웰니스",2020.01.07,3
209,초고령화 사회 코앞…식품기업 '케어푸드' 사업 본격 시동 건다,2020.01.07,3
210,"현대백화점, '특화 소금 굴비' 프리미엄 설 선물세트 선보여",2020.01.05,3
211,미디어SR ‘2019 대한민국 공익법인 백서’ 발간..국내 최일선 기업 공익법인 활동 현황 담겨,2020.01.03,3
