,Title,Date,Category
0,"최태원 SK 회장 ""소부장 글로벌 선도 위해 인프라 공유할 것”",2020.07.09,2
1,"文대통령 ""기업인들 정말 대단, 존경한다는 말씀 드리지 않을 수 없어""",2020.07.09,2
2,"文대통령 ""반도체 핵심소재 국산화에 앞장선 SK하이닉스""",2020.07.09,2
3,"소부장 2.0은 '연대와 협력'…文대통령 ""일본과 다른 길 간다""(상보)",2020.07.09,2
4,"靑 ""당정청, 올해뿐 아니라 내년까지 '재정 적극역할' 의견 모아""",2020.05.25,2
5,"김학용, 민주당 이규민 후보 선관위 고발…""허위사실 반복게재""",2020.04.07,2
6,日 수출규제에도 반도체·디플 생산차질 '제로'…다변화·국산화 노력,2019.11.24,2
7,대일 무역적자 16년 만에 최저치 전망…제 발등 찍은 일본,2019.11.18,2
8,'제9회 산업기술보호의 날' 개최…보안담당자 500명 참석,2019.11.05,2
9,"몸값 떨어진 '메모리' 탓에 반도체 부진…""생산·물량은 늘었다""",2019.11.04,2
10,"""내년 반도체 살아난다""…글로벌 기관, 최대 10.2%↑ 전망",2019.11.04,2
11,"성윤모 장관 ""'종합 반도체 강국' 만들어 가자""",2019.10.24,2
12,"홍남기 ""100+α 소재·부품·장비 핵심전략품목 공급망 안정성 확보""(종합)",2019.10.11,2
13,"이인영 ""한국당, 막말 멈추고 민생정치로 돌아와야""",2019.10.10,2
14,"소재부품사, 與 특위 첫 간담회서 ""삼성·하이닉스가 소재 발전막아""",2019.08.14,2
15,"美 싱크탱크, 日 수출 규제 비판…""삼성·하이닉스는 화웨이 아냐""",2019.07.25,2
16,"성윤모 장관 ""韓 화이트리스트 제외, 日 국제법 위반 철회해야""",2019.07.24,2
17,"[시론] 일본 경제보복, 규제 혁파로 돌파해야",2019.07.17,2
18,"日언론 ""수출 규제가 韓 의식 바꿨다""…脫일본화 우려↑",2019.07.17,2
19,"""삼성·SK, 글로벌 신뢰 잃을 것"" 日언론의 도발",2019.07.09,2
20,"홍남기·김상조 '경제 투톱', 日수출규제 대응 재계 접촉…靑 ""긴밀한 소통""",2019.07.07,2
21,"산업硏, 2019 경제성장률 2.4%로 낮춰…'수출·투자·소비' 모두 둔화",2019.06.24,2
22,"추궈홍 中대사, 윤상현 만나 ""화웨이로 韓기업 압박한 적 없어""",2019.06.12,2
23,"문 대통령 ""2030년까지 시스템반도체 파운드리 세계 1위…종합반도체 강국 도약""",2019.04.30,2
24,"文대통령 ""경제는 타이밍…국회, 조속한 정상화로 추경 처리 희망""",2019.04.29,2
25,"외국인, 보름간 韓 주식 2.4兆 매수…반도체가 절반",2019.04.17,2
26,"충칭서 숙제 떠안은 이 총리…""반도체 협력사 지원, 우리가 노력해야""",2019.03.29,2
27,韓·中 총리 회담 3분의 1 할애된 미세먼지,2019.03.28,2
28,"정부, '반도체 클러스터' 합동투자지원반 운영…적기 조성 추진",2019.03.27,2
29,차세대 반도체·디스플레이 선도를 위한 대·중소 협력의 場마련,2019.03.26,2
30,"이 총리, 25일 몽골·중국 방문길…리커창 中 총리와 회담",2019.03.22,2
31,"홍영표 ""사회적 대타협으로 노동시장 개혁""",2019.03.11,2
32,"[전문]홍영표 ""노동시장 유연성·안정성 높이는 사회적 대타협 해야""",2019.03.11,2
33,"文대통령, UAE 왕세제와 정상회담…오찬에 이재용 등 기업인 대거 참석(종합)",2019.02.27,2
34,"文대통령, UAE 왕세제와 정상회담…오찬에 이재용 등 기업인 대거 참석",2019.02.27,2
35,[위크리뷰]탄력근로제 반쪽 성과…수출 석 달 연속 마이너스 '경고등',2019.02.23,2
36,"산업부, SK하이닉스 '반도체 클러스터' 국토부에 심의 요청…수도권 규제완화 착수(종합)",2019.02.22,2
37,"산업부, 국토부에 'SK하이닉스 용인클러스터' 심의 요청",2019.02.22,2
38,"성윤모 장관 ""'수출총력지원체계' 가동…수출활력 회복에 올인""",2019.01.21,2
39,"문 대통령 ""산업 생태계 무너진다는 우려 있어…뼈아픈 자성 필요""",2018.12.18,2
40,반도체 수출 1000억 달러 시대…'제11회 반도체의 날' 개최,2018.10.25,2
41,한국전자산업대전 개막…729개 기업 4차산업 기술 선봬,2018.10.24,2
42,"손학규 ""文대통령, 경제철학 전환 보여주려면 장하성·김동연 경질해야""",2018.10.05,2
43,"문 대통령, 최태원 SK 회장에 ""규제개선 필요하면 알려달라""",2018.10.04,2
44,"문 대통령 ""좋은 일자리 만드는 것은 기업…정부는 '도우미' 돼야""",2018.10.04,2
45,"문 대통령 ""SK하이닉스의 투자계획 응원…정부도 적극 지원""",2018.10.04,2
46,"김영주 장관 ""대기업이 중소협력사 근로시간단축 손실 지원해야""",2018.05.02,2
47,"김동연 부총리, 구본준·정의선 이어 최태원 만난다 ""대기업 소통""",2018.03.11,2
48,"근로시간 단축에 머리싸맨 재계, '플렉스 아워' 검토에 반색",2018.02.01,2
49,주현 중소기업비서관 재산 135억…靑 참모 중 1위,2018.01.26,2
50,"문 대통령-천민얼, 충칭 광복군 총사령부 터 복원 사업 재개 합의(종합)",2017.12.16,2
51,"문 대통령-천민얼, 충칭 광복군 총사령부 터 복원 사업 재개 합의",2017.12.16,2
52,"문 대통령, 14일 인민대회당에서 시진핑과 3번째 정상회담…공동성명은 없어(종합)",2017.12.11,2
53,"문 대통령, 14일 인민대회당에서 시진핑과 3번째 정상회담…공동성명은 없어",2017.12.11,2
54,"文 대통령, 13~16일 중국 국빈방문…시진핑 주석과 3번째 정상회담(종합2보)",2017.12.06,2
55,"미 ITC, SK하이닉스 특허 침해 여부 조사 결정",2017.12.03,2
56,靑 “민노총 불참 매우 안타까워…노동계 대표단과 만찬은 계획대로 진행”,2017.10.24,2
57,"민주노총 ""靑 간담회 불참""",2017.10.24,2
58,"문 대통령, '노동계' 해외정상급 예우…대화 복원 안간힘",2017.10.24,2
59,"주호영 ""文, 탈원전 국가 자해행위 멈춰야""",2017.09.21,2
60,10대 기업 일자리 1년새 2317개 사라졌다,2017.07.19,2
61,"삼성 SK ""하반기 채용 늘리겠다""…재계, 일자리 창출 동참(종합)",2017.07.18,2
62,"권오현 삼성전자 부회장 일자리委서 ""하반기 채용 늘리겠다"" (종합)",2017.07.18,2
63,"이용섭 일자리委 부위원장 ""자산총액대신 고용인원으로 기업평가""",2017.07.18,2
64,"일자리위원회, 근로자 많은 15개 기업과 간담회",2017.07.14,2
65,"""법인세 상위 10대 기업, 세금감면 42% 차지""",2017.06.02,2
66,사드국면 반전 앞당긴다…삼성·현대차·SK 對中공략 재시동,2017.05.15,2
67,제51회 납세자의 날…현대차 국세 1조원 탑 수상,2017.03.03,2
68,[부고]유용원(조선일보 군사전문기자)씨 부친상,2017.02.01,2
69,대기업 하청업체 노동자 화학물질 사고 '무방비',2016.12.22,2
70,"'X맨' 된 어버이연합…""어디로 튈 지 아무도 몰라""",2016.04.28,2
71,오뚜기·쿠팡·넷마블 등 고용창출 100대 우수기업,2016.03.17,2
72,[30대그룹 투자계획] 돈 풀어 불황 뚫기…재계의 '투자 정공법',2016.03.09,2
73,전자업계 민관합동 수출상황 점검,2015.12.10,2
74,애썼다 수출…佛 제치고 사상 첫 6위,2015.12.07,2
75,세계 수출 6위 상승…무역유공자 등 2008명 수상,2015.12.07,2
76,제52회 무역의날…서경배 회장 등 금탑산업훈장 수상,2015.12.06,2
77,"산업부, 민관합동 기후변화 온실가스 감축방안 논의",2015.10.14,2
78,[2015 국감]화학물질 사고 급증…LG 13건·SK 8건,2015.09.10,2
79,朴대통령 외부일정 재개…SK하이닉스 반도체 공장 준공식 참석,2015.08.25,2
80,"고용부 장관, SK하이닉스 노사 협약식 참석",2015.06.16,2
81,"朴 ""경영활동·학교휴업, 하루속히 정상으로 돌아와야""(종합)",2015.06.15,2
82,"대기업, 2·3차 협력사와도 성과 공유한다",2015.04.24,2
83,"[포토]윤상직 ""34조원 투자프로젝트 차질없이 추진 노력하겠다""",2015.02.11,2
84,"반도체·스마트폰, 대중 수출 다시 탄력받았다",2015.02.03,2
85,"LS산전, 특허·디자인 290건 무상양도",2015.01.27,2
86,반도체 사상 첫 수출액 600억달러 돌파,2014.12.18,2
87,"포스코 등 53개 대기업, 승진 등에 '新직업자격' 활용 추진",2014.11.19,2
88,"정부, ESS 맞춤형 전기요금 내년 도입",2014.10.24,2
89,"[2014국감]환노위, 현대차 사장 등 증인채택 합의",2014.10.16,2
90,"朴 이탈리아 경제사절단, 현정은 등 41명 참가",2014.10.13,2
91,국정감사 첫날부터 환노위 파행,2014.10.07,2
92,"삼성 등 16개 기업, 하반기 28조 신규 투자",2014.10.06,2
93,LG디스플레이 35건 기술소유권 中企에 무상이전,2014.10.01,2
94,[세종뉴스메이커]청년일자리 콘서트에 선 정연만 환경부 차관,2014.09.29,2
95,"플랜B 들어간 아시아나항공…""모든 가능성 감안해 협의""(종합)",2020.07.28,3
96,"아시아나항공 플랜B 착수…하이닉스 될까, 대우조선해양 될까",2020.07.28,3
97,"대한안전교육협회, LG전자 청주공장에 맞춤형 ‘산업 안전체험관’ 구축",2020.07.24,3
98,"소부장 경쟁력 키워 유턴기업 유치, 외국인투자 유도? '글쎄'",2020.07.09,3
99,"정부, 소부장 정책 2탄 발표…""첨단산업 키우고 유턴·투자 유치""",2020.07.09,3
100,"판교, K-칩 전초기지로…""누구나, 언제든 반도체칩 설계""",2020.06.29,3
101,"환경, 비용 아닌 투자?…삼성 폐기물 관리·SK 화관법 준비",2020.06.13,3
102,"[르포]""안전 지키고 행정부담 줄여야""…내년 4월 개정 화관법 시행",2020.06.10,3
103,"""여주 스마트팜으로 장애인 일자리 창출""…표준사업장 설립 협약 체결",2020.05.19,3
104,"대기업 직원, 작년 평균 연봉 7920만원…'억대연봉' KB국민·하나 등 33곳",2020.05.03,3
105,대기업이 협력업체 기술개발 지원시 '공정거래협약' 가점 더 준다,2020.04.24,3
106,반도체·기계장비 호조에 4분기 광공업생산 반등,2020.02.21,3
107,"삼성, R&D투자 세계 1→2위로…구글 모기업 '알파벳'에 자리 내줘",2020.02.05,3
108,"'코로나 쇼크' 中 증시, 8.73% 大폭락(종합)",2020.02.03,3
109,"한·러, 금융·문화 등으로 협력 확대…新 북방정책 역점 추진",2020.01.20,3
110,"[단독]신세계푸드, 1일1만 급식 수주…피코크 위탁판매권 획득 '실적부침 극복'",2020.01.16,3
111,"폴리텍 안성캠퍼스, '반도체 융합 캠퍼스'로 재탄생…""전문인력 양성""",2020.01.15,3
112,SK하이닉스 '용인 반도체 클러스터' 내년 산단 지정된다(종합),2019.12.24,3
113,"'위기의 중견기업'…덩치만 컸지, 체력은 바닥(종합)",2019.12.14,3
114,"""美中 무역전쟁 불안감 해소, 내년 우리경제에 긍정 작용""",2019.12.13,3
115,"韓 경제허리 '중견기업' 성장성, 대·중소기업보다 훨씬 뒤처졌다",2019.12.11,3
116,대화 속도내는 한일…내달 정상회담 전 성과도출 가능할까,2019.11.29,3
117,日 수출규제에도 반도체·디플 생산차질 '제로'…다변화·국산화 노력,2019.11.24,3
118,대일 무역적자 16년 만에 최저치 전망…제 발등 찍은 일본,2019.11.18,3
119,'제9회 산업기술보호의 날' 개최…보안담당자 500명 참석,2019.11.05,3
120,"에이치엘비, 10월 거래대금 11兆…삼성전자 제치고 '1위'",2019.11.04,3
121,"몸값 떨어진 '메모리' 탓에 반도체 부진…""생산·물량은 늘었다""",2019.11.04,3
122,"""내년 반도체 살아난다""…글로벌 기관, 최대 10.2%↑ 전망",2019.11.04,3
123,파죽지세 네이버…4개월새 시총 53%↑,2019.11.03,3
