,Title,Date,Category
0,"靑 ""KBS, 산업은행, IBK기업은행 지방이전 검토하지 않았다"" (종합)",2020.07.24,2
1,"이란 대통령, 韓 원유수출대금 동결 해제 촉구",2020.06.13,2
2,"정세균 국무총리, 소상공인 자금지원 현장방문…""금융기관의 대응노력 어느 때보다 중요""",2020.04.07,2
3,"文대통령, 취임 후 첫 금융권 간담회…""코로나19 자금지원, 신속성 중요""",2020.04.06,2
4,[발표문]50조원+α 금융분야 위기대응프로그램 마련,2020.03.19,2
5,"文대통령, 18일께 경제계 간담회 추진…코로나19 여파 '경기살리기' 총력",2020.03.11,2
6,"정세균 총리 ""기재부 '코로나19' 대응은 정확성보다 속도감""",2020.02.17,2
7,"""기업은행장 낙하산 아냐"" 文대통령 말에 반박성명 낸 노조",2020.01.14,2
8,"文대통령 ""부동산 대책 끝없이 내놓을 것""",2020.01.14,2
9,"문재인 ""부동산 확실히 잡겠다…강력한 대책 끝없이 낼 것""",2020.01.14,2
10,"문 대통령 ""윤종원 기업은행장, 내부출신 아니라고 비토해선 안돼""",2020.01.14,2
11,"청와대 ""윤종원 전 수석, 국정 철학 잘 이해""",2020.01.03,2
12,사우디 드론 공격 후 對 이란 수출 사실상 중단,2019.10.31,2
13,박영선 장관 '연결의 힘'…기관 힘겨루기 '옛말',2019.08.22,2
14,"""남한 기업 유휴설비, 北으로 옮겨 평화경제 초석으로""",2019.08.20,2
15,실패일 수 없는 이란 원유 수입 중단 유예 협상,2019.05.02,2
16,"文 ""은행 대출 전면 혁신…혁신·중소기업에 3년간 100조 지원""",2019.03.21,2
17,"문 대통령, 한-캄보디아 3대 경제협력 방향 제시",2019.03.15,2
18,"문 대통령, 훈센 총리와 정상회담…금융·농업·인프라 협력 방안 논의(종합)",2019.03.15,2
19,"한국당 ""신재민·김태우 범법자 모는 정부, 분노 넘어 가련""…국조·특검 추진",2019.01.03,2
20,"문 대통령 ""남부내륙 고속철도 꼭 필요""",2018.12.13,2
21,2022년 '스마트공장' 3만개 구축…6만6000개 일자리 창출,2018.12.13,2
22,"국회 예산소위 이틀만에 파행…野 ""세수 결손 방안 마련해 와라""",2018.11.23,2
23,"성윤모 장관, 원전산업계 지원 및 소통 강화…'원전기업지원센터' 개소식",2018.11.22,2
24,"美 정부, 한국 기업 손바닥처럼 들여다보고 있다",2018.11.02,2
25,"국내은행, 예대마진으로 올 상반기에만 17조 벌어",2018.10.23,2
26,"가스公, 中企 기술개발 촉진으로 동반성장 박차",2018.10.22,2
27,[양낙규의 Defence Club]월급 인상 군장병 ‘적금액은 부실’… 왜?,2018.10.21,2
28,[집권2년차 징크스]이해찬 등장에 더 강해진 親文…더 약해진 비판 목소리,2018.09.04,2
29,"바른미래 ""文정부 출범 후 340개 공공기관 365명 캠코더 인사""",2018.09.04,2
30,"권익위 ""유관기관 지원 공직자 해외출장, 원칙적 금지할 것""",2018.07.26,2
