,Title,Date,Category
0,[양낙규의 Defence Club]현대중공업이 사상 최대액 수주한 KDDX는,2020.08.12,2
1,"현대중공업, 7조원대 KDDX 사실상 수주",2020.08.12,2
2,‘미니 이지스함 수주戰’에 뛰어는 방산기업들,2020.07.25,2
3,보이지 않는 힘 ‘잠수함’,2020.05.18,2
4,"文대통령 고향 거제에서 전한 낭보…""세계 최대 컨테이너선 축하""",2020.04.23,2
5,"심상정 “기업구호긴급자금 100조원, 구조조정 안 하는 기업 한해 지원해야”",2020.03.29,2
6,천안함 다시 부활한다(종합),2020.03.26,2
7,천안함 신형호위함으로 부활,2020.03.26,2
8,[양낙규의 Defence Club]한·인도 방산협력 합의… 주요 공략 무기는,2020.02.05,2
9,정 국방장관 찾아간 인도… 잠수함사업 손 들어줄까,2020.02.03,2
10,한화에어로스 지난해 세계 무기판매 46위…韓방산업체 '껑충',2019.12.09,2
11,"조코위 대통령, 감천마을 찾아 ""부산의 마추픽추""",2019.11.25,2
12,"[주 52시간 패닉] 中企 ""준비 안돼, 시행유예"" 호소",2019.11.14,2
13,문 대통령 전반기 지역 방문 이동 거리 '지구 한바퀴 반',2019.11.12,2
14,MADEX 2019 '미니 이지스함' KDDX 수주작전,2019.10.23,2
15,"日과 연장 안 한 지소미아, 태국과 체결하는 이유?",2019.09.02,2
16,"[르포]""비상! 긴급 잠항""…잠수함 25도 기우니 공포 급습",2019.06.23,2
17,"문 대통령, 노르웨이에서 스웨덴으로 출발",2019.06.14,2
18,"문 대통령, 대우조선이 건조한 노르웨이 최대 군수지원함 승선",2019.06.14,2
19,"문 대통령, 노르웨이 제2도시 베르겐 도착",2019.06.13,2
20,"문 대통령, 노르웨이 제2도시 베르겐으로 이동",2019.06.13,2
21,"문 대통령, 노르웨이 총리와 정상회담…수소에너지·조선해양 협력 논의",2019.06.13,2
22,"韓, 노르웨이와 조선·로봇분야 미래 기술 공동개발 추진",2019.06.13,2
23,1200t급 잠수함 '나대용함' 성능개량 후 해군 인도,2019.06.10,2
24,"靑 ""북유럽 3국 순방, 스타트업·첨단조선·5G·수소경제 협력 기대""",2019.06.07,2
25,"당정청 ""유통산업발전법 시행규칙 개정…하반기 복합쇼핑몰 제한 강화""",2019.05.10,2
26,"대우조선 찾은 黃 ""매각 졸속""…한선교 논란엔 ""내용 파악중""",2019.05.08,2
27,신형 이지스함 3척 더 건조…SM-3급 대공방어체계 탑재,2019.04.30,2
28,"""인도네시아에 잠수함 3척 수출""…1조1600억 규모",2019.04.12,2
29,韓-인도네시아 방산협력위…수리온 수출대비 협력 논의,2019.04.09,2
30,"성윤모 장관, 먀오 中 공업신식화부장 면담…수소車 등 신산업분야 협력",2019.03.29,2
31,"홍영표 ""양문석 걱정했지만, 일주일새 통영 민심 많이 바뀌어""",2019.03.27,2
32,"양문석 ""文 팔 안으로 굽어...예산 따낼것"" VS 정점식 ""정부 심판해야""",2019.03.26,2
33,"문 대통령, 현대중공업 부회장에게 ""대우조선 고용안정 힘써달라""",2019.03.22,2
34,"문 대통령 ""제조업 활력 위해 정부가 전력 기울이겠다""",2019.03.19,2
35,"민주당 ""깡통전세 가능성 크지 않다...정부가 충분히 관리 가능한 수준""",2019.02.19,2
36,카타르 “LNG선 60척 발주 계획…기술 좋은 한국과 협력관계 기대”,2019.01.28,2
37,"방사청, 지난해 어려운 조선업계에 1조원 집행…'보증부담 50%↓'",2019.01.01,2
38,"대우조선해양, 차기 3000t급 잠수함 기본설계 완료",2018.12.26,2
39,"방진회, 국방개혁 연계한 심포지엄 개최",2018.12.21,2
40,방산업계 추락인가 주춤인가… 35년만에 매출 감소,2018.12.14,2
41,"정부, 조선산업에 2조7000억 규모 추가 투입…‘활력제고 방안’ 확정",2018.11.22,2
42,"[양낙규의 Defence Club]KAI·대우조선해양, 인니서 방산 '청신호'",2018.11.08,2
43,[양낙규의 Defence Club]'국내 29개 방산업체' 동남아 시장 개척 나서,2018.11.07,2
44,"日, 우리나라의 조선산업 지원 관련 WTO 양자협의 요청",2018.11.07,2
45,"日, 韓 WTO 제소 절차 돌입…'대우조선해양 공적자금' 문제",2018.11.06,2
46,"이 총리 ""조선산업 등 산업구조 고도화 작업 연내 발표""",2018.10.12,2
47,한전·한수원 도덕적 해이 심각…5년간 뇌물·향응 받은 직원 125명,2018.10.11,2
48,달라진 정상회담 준비…남북관계·민생 동시에 챙기는 문 대통령,2018.09.17,2
49,"[전문]'도산 안창호함' 진수식 축사…문 대통령 ""국방산업 도약 신호탄""",2018.09.14,2
50,"문 대통령 ""도산 안창호함 진수, 국방산업 도약 신호탄""",2018.09.14,2
51,[양낙규의 Defence Club]북한 침투정부터 SLBM발사대 갖춘 잠수함까지,2018.09.14,2
52,[양낙규의 Defence Club]대만 잠수함사업 뛰어는 국내기업 실력은,2018.08.25,2
53,[양낙규의 Defence Club]대만 '한국산 잠수함’ 도입하나,2018.08.25,2
54,3000t급 잠수함 '장보고-Ⅲ' 진수식 내달 개최,2018.08.20,2
55,"평화당 ""'호남 일자리 추경' 되면 협조하겠다""",2018.03.25,2
56,조선업 부실채권 2조4000억…떨고있는 은행권,2018.03.08,2
57,"가스公, 최초 국산화 화물창 탑재 LNG선 명명식",2018.03.06,2
58,"문 대통령 ""한화큐셀 업어주고 싶어""…10대 그룹 국내 공장 첫 방문(종합)",2018.02.01,2
59,주현 중소기업비서관 재산 135억…靑 참모 중 1위,2018.01.26,2
60,매번 'MB턱밑'에서 멈췄던 수사... 이번엔 다를까?,2018.01.19,2
61,"문 대통령 ""쇄빙선처럼 위기 뚫고 평화로 가는 길 열겠다""",2018.01.03,2
62,"문 대통령, 새해 첫 산업현장 방문지로 조선소 찾은 이유",2018.01.03,2
63,"'무용지물' 논란 통영함 인도 지연…법원 ""대우조선 책임""",2017.12.12,2
64,'대우조선해양 비리' 남상태 전 사장 1심서 징역 6년,2017.12.07,2
65,'대기업 특혜·관제시위 의혹' 구재태 전 경우회장 구속,2017.11.13,2
66,[양낙규의 Defence Club]핵잠수함 직수입과 동시에 국내개발해야,2017.11.09,2
67,"[북한發 해킹 경보]①북한 해킹 공격, 핵보다 더 위험하다",2017.10.31,2
68,[2017국감]주채무계열 기업 36곳 신용공여 270조 육박,2017.10.16,2
69,"[2017 국감]이학영 ""상장사 111곳서 5년간 횡령·배임 3.2조""",2017.10.15,2
70,"푸틴 ""한·러 경제협력 활성화 바란다""",2017.09.06,2
71,[단독]독도 지킬 해경 새 경비함에 중고 함포가 웬말?,2017.08.17,2
