,Date,Category,Title
0,2014-01-02,2,
1,2014-01-02,3,
2,2014-01-02,4,"[신년사]박진수 ""글로벌 불황, 위기의식 재무장"""
3,2014-01-02,4,[전문]박진수 LG화학 부회장 신년사
4,2014-01-02,5,
5,2014-01-02,6,
6,2014-01-02,7,
7,2014-01-02,8,
8,2014-01-02,9,
9,2014-01-02,10,
10,2014-01-02,11,
11,2014-01-03,2,
12,2014-01-03,3,
13,2014-01-03,4,
14,2014-01-03,5,"""환율에 실적에…"" 걱정 많은 코스피 '1% 약세'. 1940선"
15,2014-01-03,6,
16,2014-01-03,7,
17,2014-01-03,8,
18,2014-01-03,9,
19,2014-01-03,10,
20,2014-01-03,11,
21,2014-01-06,2,
22,2014-01-06,3,
23,2014-01-06,4,LG '말띠해 대박運' 올해도?
24,2014-01-06,5,"코스피 소폭 상승, 1950 회복 시도…삼성電 반등"
25,2014-01-06,5,"""中 우려"" 코스피 하락전환…1940선"
26,2014-01-06,5,"코스피, 외국인 '사자' 전환에 1950선 회복"
27,2014-01-06,5,"코스피, '새해 급락' 딛고 반등…1950선 회복"
28,2014-01-06,6,
29,2014-01-06,7,
30,2014-01-06,8,
31,2014-01-06,9,
32,2014-01-06,10,
33,2014-01-06,11,
34,2014-01-07,2,
35,2014-01-07,3,
36,2014-01-07,4,"박진수 ""질풍경초 자세로 위기 극복""…새해 첫 현장경영"
37,2014-01-07,4,"한상범 LG디스플레이 사장 ""올해 OLED TV 개화할 것"""
38,2014-01-07,5,"코스피, 삼성電 '쇼크' 딛고 2거래일째 상승 마감"
39,2014-01-07,5,"코스피 상승세 지속, 1960선 등락…車↑"
40,2014-01-07,5,"외국인 '사자', 코스피 1960선 안착 시도…삼성電 보합권 등락"
41,2014-01-07,5,"동부證, 8일부터 ELB·ELS 3종 판매"
42,2014-01-07,5,"코스피 1960 회복 시도…""삼성電, 어닝쇼크＜불확실성 제거?"""
43,2014-01-07,6,파주프로젝트 등 초대형 개발 시동…수익형 부동산 '폭발'
44,2014-01-07,7,
45,2014-01-07,8,
46,2014-01-07,9,
47,2014-01-07,10,
48,2014-01-07,11,
49,2014-01-08,2,
50,2014-01-08,3,
51,2014-01-08,4,
52,2014-01-08,5,"기관 '팔자' 코스피, 대형주 중심 약세…1950선"
53,2014-01-08,5,코스피 1960 전후 '혼조'…電↓·車↑
54,2014-01-08,5,"""외국인vs기관""…코스피 1950선 공방, SK하이닉스 3%↑"
55,2014-01-08,5,"""이벤트 앞둔 경계감""…'멈칫'한 코스피, 1950선 마감"
56,2014-01-08,6,
57,2014-01-08,7,
58,2014-01-08,8,
59,2014-01-08,9,
60,2014-01-08,10,
61,2014-01-08,11,
62,2014-01-09,2,
63,2014-01-09,3,
64,2014-01-09,4,
65,2014-01-09,5,코스피 1950선 혼조…기관 팔자
66,2014-01-09,5,"코스피 약세, 1950선…장 중 변동폭 10p '미미'"
67,2014-01-09,5,"옵션만기일, 동시호가 기관 매물에 '악'…코스피 1950 하회"
68,2014-01-09,6,
69,2014-01-09,7,
70,2014-01-09,8,
71,2014-01-09,9,
72,2014-01-09,10,
73,2014-01-09,11,
74,2014-01-10,2,
75,2014-01-10,3,
76,2014-01-10,4,
77,2014-01-10,5,"코스피 약세 지속, 1940 전후 등락…조선株↓"
78,2014-01-10,5,"코스피, 4개월 만에 1930선으로 '미끌'…外人 '팔자'"
79,2014-01-10,5,"코스피 약세, 1930선으로 '미끌'…조선株↓"
80,2014-01-10,5,"모건스탠리 ""이익 슈퍼사이클 강화""..삼성전자·LG화학 수혜주 포함"
81,2014-01-10,6,
82,2014-01-10,7,
83,2014-01-10,8,
84,2014-01-10,9,
85,2014-01-10,10,
86,2014-01-10,11,
87,2014-01-13,2,
88,2014-01-13,3,
89,2014-01-13,4,
90,2014-01-13,5,"코스피, 기관 '사자' 4거래일만에 반등…1940선 회복"
91,2014-01-13,5,"코스피, 투신 매수세에 1950선 회복…電·車 ↑"
92,2014-01-13,5,"코스피, 개인·기관vs외국인 매매공방…1950선"
93,2014-01-13,6,
94,2014-01-13,7,
95,2014-01-13,8,
96,2014-01-13,9,
97,2014-01-13,10,
98,2014-01-13,11,
99,2014-01-14,2,
100,2014-01-14,3,
101,2014-01-14,4,
102,2014-01-14,5,"코스피, 外人·기관 동반 매수에 상승 전환…1950선 회복"
103,2014-01-14,5,"1등보다 2·3등株, 내리사랑 큰 손들"
104,2014-01-14,5,"코스피, 외국인 '팔자'전환에 약보합…1940선 후퇴"
105,2014-01-14,5,"대신證, ""중국 신도시화 정책 통한 수혜 기대"""
106,2014-01-14,5,"코스피, 기관·外人 동반 '팔자' 약세지속"
107,2014-01-14,6,
108,2014-01-14,7,
109,2014-01-14,8,
110,2014-01-14,9,
111,2014-01-14,10,
112,2014-01-14,11,
113,2014-01-15,2,
114,2014-01-15,3,
115,2014-01-15,4,
116,2014-01-15,5,"코스피, 美 경제지표 호조에 상승..1950선 회복"
117,2014-01-15,6,
118,2014-01-15,7,
119,2014-01-15,8,
120,2014-01-15,9,
121,2014-01-15,10,
122,2014-01-15,11,
123,2014-01-16,2,
124,2014-01-16,3,
125,2014-01-16,4,
126,2014-01-16,5,"투자자 짙은 관망, 코스피 1950선 강보합권 '정체'"
127,2014-01-16,5,"""좁은 박스 갇힌 코스피"", 강보합 마감…1950선"
128,2014-01-16,5,"코스피, 투자자 관망 속 상승세…1960 회복 시도"
129,2014-01-16,5,"기관 '사자' 전환, 코스피 1950 강보합…삼성電 상승반전"
130,2014-01-16,6,
131,2014-01-16,7,
132,2014-01-16,8,
133,2014-01-16,9,
134,2014-01-16,10,
135,2014-01-16,11,
136,2014-01-17,2,
137,2014-01-17,3,
138,2014-01-17,4,
139,2014-01-17,5,"코스피, 중국발 악재+外人 '팔자'…1940선 후퇴"
140,2014-01-17,5,"코스피, 보합권 '혼조'…'外人vs기관' 매매공방"
141,2014-01-17,5,"코스피, 1950선 보합권 등락…투자자 '뒷짐'"
142,2014-01-17,6,
143,2014-01-17,7,
144,2014-01-17,8,
145,2014-01-17,9,
146,2014-01-17,10,
147,2014-01-17,11,
148,2014-01-20,2,
149,2014-01-20,3,
150,2014-01-20,4,
151,2014-01-20,5,"""中 훈풍"" 코스피 상승마감, 1950 회복…IT↑"
152,2014-01-20,5,"'투자자 뒷짐' 코스피 약보합, 1940선 등락"
153,2014-01-20,6,
154,2014-01-20,7,
155,2014-01-20,8,
156,2014-01-20,9,
157,2014-01-20,10,
158,2014-01-20,11,
159,2014-01-21,2,
160,2014-01-21,3,
161,2014-01-21,4,
162,2014-01-21,5,"코스피, 중국발 호재+外人·기관 '사자'에 상승세 유지…車↑"
163,2014-01-21,5,"코스피, 外人·기관 동반 '사자'…1960선 회복"
164,2014-01-21,5,"코스피, 기관vs外人 매매공방…보합권 내 혼조"
165,2014-01-21,5,"코스피, 기관 '사자'에 이틀째 상승…1960선 회복"
166,2014-01-21,6,
167,2014-01-21,7,
168,2014-01-21,8,
169,2014-01-21,9,
