Date,Title,politics,economics,IT,finance,realEstate,international,social,life,golf,ent
2014-01-02,,1,0,0,0,0,0,0,0,0,0
2014-01-02,,0,1,0,0,0,0,0,0,0,0
2014-01-02,,0,0,1,0,0,0,0,0,0,0
2014-01-02,,0,0,0,1,0,0,0,0,0,0
2014-01-02,,0,0,0,0,1,0,0,0,0,0
2014-01-02,,0,0,0,0,0,1,0,0,0,0
2014-01-02,,0,0,0,0,0,0,1,0,0,0
2014-01-02,,0,0,0,0,0,0,0,1,0,0
2014-01-02,,0,0,0,0,0,0,0,0,1,0
2014-01-02,,0,0,0,0,0,0,0,0,0,1
2014-01-03,,1,0,0,0,0,0,0,0,0,0
2014-01-03,,0,1,0,0,0,0,0,0,0,0
2014-01-03,,0,0,1,0,0,0,0,0,0,0
2014-01-03,,0,0,0,1,0,0,0,0,0,0
2014-01-03,,0,0,0,0,1,0,0,0,0,0
2014-01-03,,0,0,0,0,0,1,0,0,0,0
2014-01-03,,0,0,0,0,0,0,1,0,0,0
2014-01-03,,0,0,0,0,0,0,0,1,0,0
2014-01-03,,0,0,0,0,0,0,0,0,1,0
2014-01-03,,0,0,0,0,0,0,0,0,0,1
2014-01-06,,1,0,0,0,0,0,0,0,0,0
2014-01-06,,0,1,0,0,0,0,0,0,0,0
2014-01-06,,0,0,1,0,0,0,0,0,0,0
2014-01-06,,0,0,0,1,0,0,0,0,0,0
2014-01-06,,0,0,0,0,1,0,0,0,0,0
2014-01-06,,0,0,0,0,0,1,0,0,0,0
2014-01-06,,0,0,0,0,0,0,1,0,0,0
2014-01-06,,0,0,0,0,0,0,0,1,0,0
2014-01-06,,0,0,0,0,0,0,0,0,1,0
2014-01-06,,0,0,0,0,0,0,0,0,0,1
2014-01-07,,1,0,0,0,0,0,0,0,0,0
2014-01-07,,0,1,0,0,0,0,0,0,0,0
2014-01-07,,0,0,1,0,0,0,0,0,0,0
2014-01-07,"아모레퍼시픽, 권영소 각자대표 사임",0,0,0,1,0,0,0,0,0,0
2014-01-07,,0,0,0,0,1,0,0,0,0,0
2014-01-07,,0,0,0,0,0,1,0,0,0,0
2014-01-07,,0,0,0,0,0,0,1,0,0,0
2014-01-07,,0,0,0,0,0,0,0,1,0,0
2014-01-07,,0,0,0,0,0,0,0,0,1,0
2014-01-07,,0,0,0,0,0,0,0,0,0,1
2014-01-08,,1,0,0,0,0,0,0,0,0,0
2014-01-08,,0,1,0,0,0,0,0,0,0,0
2014-01-08,,0,0,1,0,0,0,0,0,0,0
2014-01-08,"장 종료 후 ""이 공시 눈에 띄네""(코스피-7일)",0,0,0,1,0,0,0,0,0,0
2014-01-08,,0,0,0,0,1,0,0,0,0,0
2014-01-08,,0,0,0,0,0,1,0,0,0,0
2014-01-08,,0,0,0,0,0,0,1,0,0,0
2014-01-08,,0,0,0,0,0,0,0,1,0,0
2014-01-08,,0,0,0,0,0,0,0,0,1,0
2014-01-08,,0,0,0,0,0,0,0,0,0,1
2014-01-09,,1,0,0,0,0,0,0,0,0,0
2014-01-09,,0,1,0,0,0,0,0,0,0,0
2014-01-09,"티몬, 설 선물 구입하면 10% 적립",0,0,1,0,0,0,0,0,0,0
2014-01-09,,0,0,0,1,0,0,0,0,0,0
2014-01-09,,0,0,0,0,1,0,0,0,0,0
2014-01-09,,0,0,0,0,0,1,0,0,0,0
2014-01-09,,0,0,0,0,0,0,1,0,0,0
2014-01-09,,0,0,0,0,0,0,0,1,0,0
2014-01-09,,0,0,0,0,0,0,0,0,1,0
2014-01-09,,0,0,0,0,0,0,0,0,0,1
2014-01-10,,1,0,0,0,0,0,0,0,0,0
2014-01-10,,0,1,0,0,0,0,0,0,0,0
2014-01-10,,0,0,1,0,0,0,0,0,0,0
2014-01-10,,0,0,0,1,0,0,0,0,0,0
2014-01-10,,0,0,0,0,1,0,0,0,0,0
2014-01-10,,0,0,0,0,0,1,0,0,0,0
2014-01-10,,0,0,0,0,0,0,1,0,0,0
2014-01-10,,0,0,0,0,0,0,0,1,0,0
2014-01-10,,0,0,0,0,0,0,0,0,1,0
2014-01-10,,0,0,0,0,0,0,0,0,0,1
2014-01-13,,1,0,0,0,0,0,0,0,0,0
2014-01-13,,0,1,0,0,0,0,0,0,0,0
2014-01-13,,0,0,1,0,0,0,0,0,0,0
2014-01-13,,0,0,0,1,0,0,0,0,0,0
2014-01-13,,0,0,0,0,1,0,0,0,0,0
2014-01-13,,0,0,0,0,0,1,0,0,0,0
2014-01-13,,0,0,0,0,0,0,1,0,0,0
2014-01-13,,0,0,0,0,0,0,0,1,0,0
2014-01-13,,0,0,0,0,0,0,0,0,1,0
2014-01-13,,0,0,0,0,0,0,0,0,0,1
2014-01-14,,1,0,0,0,0,0,0,0,0,0
2014-01-14,,0,1,0,0,0,0,0,0,0,0
2014-01-14,"고가 화장품, 확 젊어졌다…이유는?",0,0,1,0,0,0,0,0,0,0
2014-01-14,,0,0,0,1,0,0,0,0,0,0
2014-01-14,,0,0,0,0,1,0,0,0,0,0
2014-01-14,,0,0,0,0,0,1,0,0,0,0
2014-01-14,,0,0,0,0,0,0,1,0,0,0
2014-01-14,,0,0,0,0,0,0,0,1,0,0
2014-01-14,,0,0,0,0,0,0,0,0,1,0
