,Date,Category,Title
0,2014-01-02,2,
1,2014-01-02,3,
2,2014-01-02,4,
3,2014-01-02,5,"""환율·실적·中 우려"" 새해 첫날 코스피 2% 급락…1960선 '털썩'"
4,2014-01-02,5,"HMC證, 최고 연 10.0% 제공 ELS 등 2종 공모"
5,2014-01-02,6,
6,2014-01-02,7,
7,2014-01-02,8,
8,2014-01-02,9,
9,2014-01-02,10,
10,2014-01-02,11,
11,2014-01-03,2,
12,2014-01-03,3,
13,2014-01-03,4,
14,2014-01-03,5,"""연초, 환율·실적 안개""…코스피 1950선으로 '미끌'"
15,2014-01-03,5,"""환율에 실적에…"" 걱정 많은 코스피 '1% 약세'. 1940선"
16,2014-01-03,5,"CJ, 총수 구속된 이듬해에 주가 좋을 것<현대證>"
17,2014-01-03,5,"""엔低 공습"" 피난처는…""電·機·車 대신 金·食·通"""
18,2014-01-03,5,"코스피 1.2% 약세, 1940선 등락…삼성電 128.9만"
19,2014-01-03,6,
20,2014-01-03,7,
21,2014-01-03,8,
22,2014-01-03,9,
23,2014-01-03,10,
24,2014-01-03,11,
25,2014-01-06,2,
26,2014-01-06,3,
27,2014-01-06,4,
28,2014-01-06,5,"코스피 소폭 상승, 1950 회복 시도…삼성電 반등"
29,2014-01-06,5,"[특징주]현대차 3인방, 사흘 만에 소폭 반등"
30,2014-01-06,5,"""中 우려"" 코스피 하락전환…1940선"
31,2014-01-06,5,"코스피, 외국인 '사자' 전환에 1950선 회복"
32,2014-01-06,5,"코스피, '새해 급락' 딛고 반등…1950선 회복"
33,2014-01-06,5,"[굿모닝증시]걱정 큰 환율·실적…""경계태세 유지"""
34,2014-01-06,6,
35,2014-01-06,7,
36,2014-01-06,8,
37,2014-01-06,9,
38,2014-01-06,10,
39,2014-01-06,11,
40,2014-01-07,2,
41,2014-01-07,3,
42,2014-01-07,4,
43,2014-01-07,5,"코스피 상승세 지속, 1960선 등락…車↑"
44,2014-01-07,5,"코스피, 삼성電 '쇼크' 딛고 2거래일째 상승 마감"
45,2014-01-07,5,"코스피 1960 회복 시도…""삼성電, 어닝쇼크＜불확실성 제거?"""
46,2014-01-07,5,"외국인 '사자', 코스피 1960선 안착 시도…삼성電 보합권 등락"
47,2014-01-07,6,
48,2014-01-07,7,
49,2014-01-07,8,
50,2014-01-07,9,
51,2014-01-07,10,
52,2014-01-07,11,
53,2014-01-08,2,
54,2014-01-08,3,
55,2014-01-08,4,
56,2014-01-08,5,코스피 1960 전후 '혼조'…電↓·車↑
57,2014-01-08,5,현대·기아차도 목표가 줄하향
58,2014-01-08,5,"""외국인vs기관""…코스피 1950선 공방, SK하이닉스 3%↑"
59,2014-01-08,5,"""이벤트 앞둔 경계감""…'멈칫'한 코스피, 1950선 마감"
60,2014-01-08,5,"[특징주]SK하이닉스, 외인 러브콜에 시총 3위로 '껑충'"
61,2014-01-08,5,"기관 '팔자' 코스피, 대형주 중심 약세…1950선"
62,2014-01-08,6,
63,2014-01-08,7,
64,2014-01-08,8,
65,2014-01-08,9,
66,2014-01-08,10,
67,2014-01-08,11,
68,2014-01-09,2,
69,2014-01-09,3,
70,2014-01-09,4,
71,2014-01-09,5,"옵션만기일, 동시호가 기관 매물에 '악'…코스피 1950 하회"
72,2014-01-09,5,"동부證 도곡금융센터, 11일 부산 투자설명회 개최"
73,2014-01-09,5,"시총 3위 오른 SK하이닉스, 대차잔고 급증주의보"
74,2014-01-09,5,"코스피 약세, 1950선…장 중 변동폭 10p '미미'"
75,2014-01-09,6,
76,2014-01-09,7,
77,2014-01-09,8,
78,2014-01-09,9,
79,2014-01-09,10,
80,2014-01-09,11,
81,2014-01-10,2,
82,2014-01-10,3,
83,2014-01-10,4,
84,2014-01-10,5,"코스피, 4개월 만에 1930선으로 '미끌'…外人 '팔자'"
85,2014-01-10,5,"코스피 약세, 1930선으로 '미끌'…조선株↓"
86,2014-01-10,5,"코스피 약세 지속, 1940 전후 등락…조선株↓"
87,2014-01-10,6,
88,2014-01-10,7,
89,2014-01-10,8,
90,2014-01-10,9,
91,2014-01-10,10,
92,2014-01-10,11,
93,2014-01-13,2,
94,2014-01-13,3,
95,2014-01-13,4,
96,2014-01-13,5,[주간추천종목]KDB대우증권
97,2014-01-13,5,"코스피, 기관 '사자' 4거래일만에 반등…1940선 회복"
98,2014-01-13,5,"코스피, 투신 매수세에 1950선 회복…電·車 ↑"
99,2014-01-13,5,"코스피, 개인·기관vs외국인 매매공방…1950선"
100,2014-01-13,5,"코스피, 나흘만에 반등 성공…1948.92"
101,2014-01-13,6,
102,2014-01-13,7,
103,2014-01-13,8,
104,2014-01-13,9,
105,2014-01-13,10,
106,2014-01-13,11,
107,2014-01-14,2,
108,2014-01-14,3,
109,2014-01-14,4,
110,2014-01-14,5,"코스피, 外人·기관 동반 매수에 상승 전환…1950선 회복"
111,2014-01-14,5,"1등보다 2·3등株, 내리사랑 큰 손들"
112,2014-01-14,5,"코스피, 기관·外人 동반 '팔자' 약세지속"
113,2014-01-14,5,"코스피, 외국인·기관 매도에 하루만에 약세 전환"
114,2014-01-14,6,
115,2014-01-14,7,
116,2014-01-14,8,
117,2014-01-14,9,
118,2014-01-14,10,
119,2014-01-14,11,
120,2014-01-15,2,
121,2014-01-15,3,
122,2014-01-15,4,
123,2014-01-15,5,"코스피, 기관·外人 동반 '팔자'에도 강세…電↓"
124,2014-01-15,5,"코스피, 美 경제지표 호조에 상승..1950선 회복"
125,2014-01-15,5,"""현대모비스, 영업이익 재성장 주가상승 이어질 전망"""
126,2014-01-15,5,"KB투자證, 원금비보장형 KB STAR ELS 1종 공모"
127,2014-01-15,6,
128,2014-01-15,7,
129,2014-01-15,8,
130,2014-01-15,9,
131,2014-01-15,10,
132,2014-01-15,11,
133,2014-01-16,2,
134,2014-01-16,3,
135,2014-01-16,4,
136,2014-01-16,5,"코스피, 투자자 관망 속 상승세…1960 회복 시도"
137,2014-01-16,5,"기관 '사자' 전환, 코스피 1950 강보합…삼성電 상승반전"
138,2014-01-16,5,"투자자 짙은 관망, 코스피 1950선 강보합권 '정체'"
139,2014-01-16,5,"""좁은 박스 갇힌 코스피"", 강보합 마감…1950선"
140,2014-01-16,6,현대엔지니어링-현대엠코 합병…주요주주 지분율 변화는?
141,2014-01-16,7,
142,2014-01-16,8,
143,2014-01-16,9,
144,2014-01-16,10,
145,2014-01-16,11,
146,2014-01-17,2,
147,2014-01-17,3,
148,2014-01-17,4,
149,2014-01-17,5,"코스피, 1950선 보합권 등락…투자자 '뒷짐'"
150,2014-01-17,5,"코스피, 보합권 '혼조'…'外人vs기관' 매매공방"
151,2014-01-17,5,"코스피, 기관·外人 '팔자'…1950선 위협"
152,2014-01-17,5,"코스피, 중국발 악재+外人 '팔자'…1940선 후퇴"
153,2014-01-17,6,
154,2014-01-17,7,
155,2014-01-17,8,
156,2014-01-17,9,
157,2014-01-17,10,
158,2014-01-17,11,
159,2014-01-20,2,
160,2014-01-20,3,
161,2014-01-20,4,
