Date,Unnamed: 0.1,Title,politics,economics,IT,finance,realEstate,international,social,life,golf,ent
2014-01-02,,,1,0,0,0,0,0,0,0,0,0
2014-01-02,,,0,1,0,0,0,0,0,0,0,0
2014-01-02,2830.0,"삼성전자, CES서 '스마트컨트롤' 리모컨 선보인다",0,0,1,0,0,0,0,0,0,0
2014-01-02,2816.0,"[신년사]권오현 삼성전자 부회장 ""미래성장동력에서 성과 내라""",0,0,1,0,0,0,0,0,0,0
2014-01-02,2817.0,"삼성그룹, 2014 키워드는 '한계돌파'",0,0,1,0,0,0,0,0,0,0
2014-01-02,2819.0,"[아시아블로그]新성장동력, 기업 끌고 정부 밀어야",0,0,1,0,0,0,0,0,0,0
2014-01-02,2820.0,"이건희 회장 ""힘을 합쳐 어려운 시기 극복해야""",0,0,1,0,0,0,0,0,0,0
2014-01-02,2821.0,몬스터폰 '갤럭시S5'로 미리 본 새해 스마트폰 화두는?,0,0,1,0,0,0,0,0,0,0
2014-01-02,2822.0,"전자업계 ""기다렸다 올림픽, 월드컵""",0,0,1,0,0,0,0,0,0,0
2014-01-02,2818.0,"이건희 회장 해외 경영구상 해답  ""다시 바꿔라""",0,0,1,0,0,0,0,0,0,0
2014-01-02,2824.0,"삼성전자, 신학기 맞아 '2014 삼성전자 S 아카데미' 개최",0,0,1,0,0,0,0,0,0,0
2014-01-02,2825.0,"[신년사]이건희 회장 ""품격과 가치의 시대, 다시 한번 모든 것 바꿔야""",0,0,1,0,0,0,0,0,0,0
2014-01-02,2826.0,"삼성전자, 무선 홈엔터테인먼트 시대 연다",0,0,1,0,0,0,0,0,0,0
2014-01-02,2827.0,"삼성전자, '갤노트 3 로즈 골드' 출시…""소치서 골드 행진 응원""",0,0,1,0,0,0,0,0,0,0
2014-01-02,2828.0,새해 첫날부터 보조금 '80만원'…방통위 약발 안먹히네~,0,0,1,0,0,0,0,0,0,0
2014-01-02,2829.0,"""아이폰 사용자 가장 똑똑…블랙베리 사용자는 재치 꼴찌""",0,0,1,0,0,0,0,0,0,0
2014-01-02,2823.0,"이건희 회장 갑오년 경영화두 ""다시 한번 바꿔야""",0,0,1,0,0,0,0,0,0,0
2014-01-02,4270.0,"""환율·실적·中 우려"" 새해 첫날 코스피 2% 급락…1960선 '털썩'",0,0,0,1,0,0,0,0,0,0
2014-01-02,,,0,0,0,0,1,0,0,0,0,0
2014-01-02,,,0,0,0,0,0,1,0,0,0,0
2014-01-02,,,0,0,0,0,0,0,1,0,0,0
2014-01-02,,,0,0,0,0,0,0,0,1,0,0
2014-01-02,,,0,0,0,0,0,0,0,0,1,0
2014-01-02,,,0,0,0,0,0,0,0,0,0,1
2014-01-03,55.0,"[창조경제 설문조사]국민 둘 중 하나 ""모르겠소""",1,0,0,0,0,0,0,0,0,0
2014-01-03,,,0,1,0,0,0,0,0,0,0,0
2014-01-03,2812.0,가격하락·中 수요 확대…UHD TV 시장에 온기 돈다,0,0,1,0,0,0,0,0,0,0
2014-01-03,2806.0,"엔저 쇼크에 기업들 ""제발 1100원만""",0,0,1,0,0,0,0,0,0,0
2014-01-03,2808.0,"OLED TV 시장, 언제 크나…2017년에도 1.6%에 불과",0,0,1,0,0,0,0,0,0,0
2014-01-03,2809.0,"이건희 회장 ""한계돌파""…삼성 계열사, 인재찾기 분주",0,0,1,0,0,0,0,0,0,0
2014-01-03,2810.0,짧은 신년사는 비명처럼 절박했다,0,0,1,0,0,0,0,0,0,0
2014-01-03,2811.0,"삼성판 전자지갑 '삼성월렛', 지난달 거래액 10억원",0,0,1,0,0,0,0,0,0,0
2014-01-03,2813.0,"삼성전자, CES서 '갤럭시 카메라 2' 내놓는다",0,0,1,0,0,0,0,0,0,0
2014-01-03,2815.0,TV제조사로 변신한 '폴라로이드',0,0,1,0,0,0,0,0,0,0
2014-01-03,2814.0,"삼성전자, 접는 태블릿 내놓나…특허 등록",0,0,1,0,0,0,0,0,0,0
2014-01-03,2805.0,"국내 폰시장, 지난해 2000만대 '턱걸이'…6년래 최저",0,0,1,0,0,0,0,0,0,0
2014-01-03,4265.0,"""엔低 공습"" 피난처는…""電·機·車 대신 金·食·通""",0,0,0,1,0,0,0,0,0,0
2014-01-03,4266.0,"노무라 ""코스피 올해 2350까지 오를 것, 엔저 영향은 제한적""",0,0,0,1,0,0,0,0,0,0
2014-01-03,4264.0,"코스피 1.2% 약세, 1940선 등락…삼성電 128.9만",0,0,0,1,0,0,0,0,0,0
2014-01-03,4263.0,"""환율에 실적에…"" 걱정 많은 코스피 '1% 약세'. 1940선",0,0,0,1,0,0,0,0,0,0
2014-01-03,4268.0,"[특징주]삼성전자, 6일째 하락…130만원선 붕괴",0,0,0,1,0,0,0,0,0,0
2014-01-03,4269.0,"[굿모닝증시]청마(靑馬)의 해, 첫 날 급락의 의미",0,0,0,1,0,0,0,0,0,0
2014-01-03,4267.0,"""연초, 환율·실적 안개""…코스피 1950선으로 '미끌'",0,0,0,1,0,0,0,0,0,0
2014-01-03,,,0,0,0,0,1,0,0,0,0,0
2014-01-03,,,0,0,0,0,0,1,0,0,0,0
2014-01-03,,,0,0,0,0,0,0,1,0,0,0
2014-01-03,,,0,0,0,0,0,0,0,1,0,0
