Date,Title,politics,economics,IT,finance,realEstate,international,social,life,golf,ent
2014-01-02,,1,0,0,0,0,0,0,0,0,0
2014-01-02,,0,1,0,0,0,0,0,0,0,0
2014-01-02,,0,0,1,0,0,0,0,0,0,0
2014-01-02,,0,0,0,1,0,0,0,0,0,0
2014-01-02,,0,0,0,0,1,0,0,0,0,0
2014-01-02,,0,0,0,0,0,1,0,0,0,0
2014-01-02,,0,0,0,0,0,0,1,0,0,0
2014-01-02,,0,0,0,0,0,0,0,1,0,0
2014-01-02,,0,0,0,0,0,0,0,0,1,0
2014-01-02,,0,0,0,0,0,0,0,0,0,1
2014-01-03,,1,0,0,0,0,0,0,0,0,0
2014-01-03,,0,1,0,0,0,0,0,0,0,0
2014-01-03,"OLED TV 시장, 언제 크나…2017년에도 1.6%에 불과",0,0,1,0,0,0,0,0,0,0
2014-01-03,,0,0,0,1,0,0,0,0,0,0
2014-01-03,,0,0,0,0,1,0,0,0,0,0
2014-01-03,TV제조사로 변신한 '폴라로이드',0,0,0,0,0,1,0,0,0,0
2014-01-03,가격하락·中 수요 확대…UHD TV 시장에 온기 돈다,0,0,0,0,0,1,0,0,0,0
2014-01-03,,0,0,0,0,0,0,1,0,0,0
2014-01-03,,0,0,0,0,0,0,0,1,0,0
2014-01-03,,0,0,0,0,0,0,0,0,1,0
2014-01-03,,0,0,0,0,0,0,0,0,0,1
2014-01-06,,1,0,0,0,0,0,0,0,0,0
2014-01-06,,0,1,0,0,0,0,0,0,0,0
2014-01-06,LG전자 '화질+음질' 강화한 UHD TV 대거 공개,0,0,1,0,0,0,0,0,0,0
2014-01-06,"구본무 LG 회장, 새해 첫 현장경영은 주요 제품 점검",0,0,1,0,0,0,0,0,0,0
2014-01-06,삼성 '갤럭시 기어2' 공개 임박했나…트위터에 언급,0,0,1,0,0,0,0,0,0,0
2014-01-06,LG '말띠해 대박運' 올해도?,0,0,1,0,0,0,0,0,0,0
2014-01-06,"LG전자, CES서 '스마트+고화질' 제품 대거 선봬",0,0,1,0,0,0,0,0,0,0
2014-01-06,"[포토]LG전자 ""올해 CES 주인공은 바로 나""",0,0,1,0,0,0,0,0,0,0
2014-01-06,"[포토]LG, OLED TV 광고로 CES 손님맞이",0,0,1,0,0,0,0,0,0,0
2014-01-06,"[포토]LG전자, 옥외광고로 CES 고객 마음 훔친다",0,0,1,0,0,0,0,0,0,0
2014-01-06,,0,0,0,1,0,0,0,0,0,0
2014-01-06,,0,0,0,0,1,0,0,0,0,0
2014-01-06,韓中 무역액 264조원…중일 '맹추격',0,0,0,0,0,1,0,0,0,0
2014-01-06,,0,0,0,0,0,0,1,0,0,0
2014-01-06,,0,0,0,0,0,0,0,1,0,0
2014-01-06,,0,0,0,0,0,0,0,0,1,0
2014-01-06,,0,0,0,0,0,0,0,0,0,1
2014-01-07,,1,0,0,0,0,0,0,0,0,0
2014-01-07,,0,1,0,0,0,0,0,0,0,0
2014-01-07,"한상범 LG디스플레이 사장 ""올해 OLED TV 개화할 것""",0,0,1,0,0,0,0,0,0,0
2014-01-07,"씨앤앰, CES 2014서 SW방식 TV 선보여…""셋톱박스 없이 UHD 시청""",0,0,1,0,0,0,0,0,0,0
2014-01-07,"'CES 2014' 가전, 예술과 결혼했다",0,0,1,0,0,0,0,0,0,0
2014-01-07,"'CES 2014' 삼성전자·LG전자…""스마트한 삶, 차세대 가전 시장 주도""",0,0,1,0,0,0,0,0,0,0
2014-01-07,"""다음 戰場은 손목이다"" CES2014 스마트워치·밴드 대격돌",0,0,1,0,0,0,0,0,0,0
2014-01-07,"LG전자, ""커브드 스마트폰 'G 플렉스' 1분기 美출시""",0,0,1,0,0,0,0,0,0,0
2014-01-07,"LG전자, 세계 최초 가변형 OLED TV 공개",0,0,1,0,0,0,0,0,0,0
2014-01-07,"G마켓, 태블릿 겸용 노트북 'LG 탭북' 단독 판매",0,0,1,0,0,0,0,0,0,0
2014-01-07,"안승권 LG전자 사장 ""스마트TV 혁명 이끈다""",0,0,1,0,0,0,0,0,0,0
2014-01-07,"LG전자, 美 유명 디자이너와 손잡고 프리미엄 주방가전 시장 공략",0,0,1,0,0,0,0,0,0,0
2014-01-07,"삼성전자, CES서 85인치 가변형 곡면 UHD TV 깜짝 공개",0,0,1,0,0,0,0,0,0,0
2014-01-07,,0,0,0,1,0,0,0,0,0,0
2014-01-07,,0,0,0,0,1,0,0,0,0,0
2014-01-07,,0,0,0,0,0,1,0,0,0,0
2014-01-07,,0,0,0,0,0,0,1,0,0,0
2014-01-07,,0,0,0,0,0,0,0,1,0,0
2014-01-07,,0,0,0,0,0,0,0,0,1,0
2014-01-07,,0,0,0,0,0,0,0,0,0,1
2014-01-08,,1,0,0,0,0,0,0,0,0,0
2014-01-08,,0,1,0,0,0,0,0,0,0,0
2014-01-08,"하현회 LG전자 사장 ""올해 LG TV사업 재도약할 것""",0,0,1,0,0,0,0,0,0,0
2014-01-08,"CES간 삼성·LG, 中·日 업체 도전에 초긴장",0,0,1,0,0,0,0,0,0,0
2014-01-08,"GS25, 기본요금 1000원 알뜰폰 판매",0,0,1,0,0,0,0,0,0,0
2014-01-08,,0,0,0,1,0,0,0,0,0,0
2014-01-08,,0,0,0,0,1,0,0,0,0,0
