Date,Unnamed: 0.1,Title,politics,economics,IT,finance,realEstate,international,social,life,golf,ent
2014-01-02,,,1,0,0,0,0,0,0,0,0,0
2014-01-02,,,0,1,0,0,0,0,0,0,0,0
2014-01-02,,,0,0,1,0,0,0,0,0,0,0
2014-01-02,687.0,'회사채 1번 타자' 이마트…올 채권시장 흥행 가늠자,0,0,0,1,0,0,0,0,0,0
2014-01-02,,,0,0,0,0,1,0,0,0,0,0
2014-01-02,,,0,0,0,0,0,1,0,0,0,0
2014-01-02,,,0,0,0,0,0,0,1,0,0,0
2014-01-02,,,0,0,0,0,0,0,0,1,0,0
2014-01-02,,,0,0,0,0,0,0,0,0,1,0
2014-01-02,,,0,0,0,0,0,0,0,0,0,1
2014-01-03,,,1,0,0,0,0,0,0,0,0,0
2014-01-03,,,0,1,0,0,0,0,0,0,0,0
2014-01-03,,,0,0,1,0,0,0,0,0,0,0
2014-01-03,686.0,1월 둘째주 3500억원 규모 회사채 발행,0,0,0,1,0,0,0,0,0,0
2014-01-03,,,0,0,0,0,1,0,0,0,0,0
2014-01-03,,,0,0,0,0,0,1,0,0,0,0
2014-01-03,,,0,0,0,0,0,0,1,0,0,0
2014-01-03,,,0,0,0,0,0,0,0,1,0,0
2014-01-03,,,0,0,0,0,0,0,0,0,1,0
2014-01-03,,,0,0,0,0,0,0,0,0,0,1
2014-01-06,,,1,0,0,0,0,0,0,0,0,0
2014-01-06,85.0,통행세로 총수 배불린 삼양식품…과징금 26억,0,1,0,0,0,0,0,0,0,0
2014-01-06,564.0,"더맥키스컴퍼니, '깻잎담은 맥키스' 출시",0,0,1,0,0,0,0,0,0,0
2014-01-06,565.0,설 선물세트 '프리미엄 vs 실속형' 양극화 전망,0,0,1,0,0,0,0,0,0,0
2014-01-06,563.0,"이마트, 초등생 수학 참고서 반값 판매",0,0,1,0,0,0,0,0,0,0
2014-01-06,685.0,[주간채권]기지개 켜는 크레딧 시장,0,0,0,1,0,0,0,0,0,0
2014-01-06,,,0,0,0,0,1,0,0,0,0,0
2014-01-06,,,0,0,0,0,0,1,0,0,0,0
2014-01-06,,,0,0,0,0,0,0,1,0,0,0
2014-01-06,,,0,0,0,0,0,0,0,1,0,0
2014-01-06,,,0,0,0,0,0,0,0,0,1,0
2014-01-06,,,0,0,0,0,0,0,0,0,0,1
2014-01-07,,,1,0,0,0,0,0,0,0,0,0
2014-01-07,,,0,1,0,0,0,0,0,0,0,0
2014-01-07,547.0,"신세계, 10년간 31조 투자..17만명 고용",0,0,1,0,0,0,0,0,0,0
2014-01-07,684.0,"모건스탠리 ""韓전자상거래 급속 성장""..관련주 주목",0,0,0,1,0,0,0,0,0,0
2014-01-07,,,0,0,0,0,1,0,0,0,0,0
2014-01-07,,,0,0,0,0,0,1,0,0,0,0
2014-01-07,,,0,0,0,0,0,0,1,0,0,0
2014-01-07,,,0,0,0,0,0,0,0,1,0,0
2014-01-07,,,0,0,0,0,0,0,0,0,1,0
2014-01-07,,,0,0,0,0,0,0,0,0,0,1
2014-01-08,,,1,0,0,0,0,0,0,0,0,0
2014-01-08,,,0,1,0,0,0,0,0,0,0,0
2014-01-08,545.0,"""올해 인기 가전 키워드는 '4S'""",0,0,1,0,0,0,0,0,0,0
2014-01-08,546.0,이마트 '레드향' 9900원에 판매,0,0,1,0,0,0,0,0,0,0
2014-01-08,,,0,0,0,1,0,0,0,0,0,0
2014-01-08,,,0,0,0,0,1,0,0,0,0,0
2014-01-08,,,0,0,0,0,0,1,0,0,0,0
2014-01-08,997.0,"설 선물, 신세계상품권으로 준비하세요!",0,0,0,0,0,0,1,0,0,0
2014-01-08,,,0,0,0,0,0,0,0,1,0,0
2014-01-08,,,0,0,0,0,0,0,0,0,1,0
2014-01-08,,,0,0,0,0,0,0,0,0,0,1
2014-01-09,,,1,0,0,0,0,0,0,0,0,0
2014-01-09,83.0,"유엔알컨설팅, 새해 부동산투자전략 세미나 개최",0,1,0,0,0,0,0,0,0,0
2014-01-09,84.0,"현대카드, 1월 설 맞이 이벤트 진행",0,1,0,0,0,0,0,0,0,0
2014-01-09,559.0,"이마트, 엔저 가속화에 '눈다랑어' 반값 판매",0,0,1,0,0,0,0,0,0,0
2014-01-09,543.0,알뜰폰 248만명 돌파…우체국·대형마트 덕에 高성장,0,0,1,0,0,0,0,0,0,0
2014-01-09,683.0,"[특징주]롯데하이마트, 4Q 실적부진 우려 속 ↓",0,0,0,1,0,0,0,0,0,0
2014-01-09,,,0,0,0,0,1,0,0,0,0,0
2014-01-09,,,0,0,0,0,0,1,0,0,0,0
2014-01-09,,,0,0,0,0,0,0,1,0,0,0
2014-01-09,,,0,0,0,0,0,0,0,1,0,0
2014-01-09,,,0,0,0,0,0,0,0,0,1,0
2014-01-09,,,0,0,0,0,0,0,0,0,0,1
2014-01-10,,,1,0,0,0,0,0,0,0,0,0
2014-01-10,82.0,"외환은행, '외환카드와 함께하는 행복한 설날' 이벤트 실시",0,1,0,0,0,0,0,0,0,0
2014-01-10,,,0,0,1,0,0,0,0,0,0,0
2014-01-10,681.0,회사채 시장 지난해완 다르다? 연초 연달아 흥행,0,0,0,1,0,0,0,0,0,0
