,Date,Category,Unnamed: 0.1,Title
0,2014-01-02,2,,
1,2014-01-02,3,,
2,2014-01-02,4,,
3,2014-01-02,5,687.0,'회사채 1번 타자' 이마트…올 채권시장 흥행 가늠자
4,2014-01-02,6,,
5,2014-01-02,7,,
6,2014-01-02,8,,
7,2014-01-02,9,,
8,2014-01-02,10,,
9,2014-01-02,11,,
10,2014-01-03,2,,
11,2014-01-03,3,,
12,2014-01-03,4,,
13,2014-01-03,5,686.0,1월 둘째주 3500억원 규모 회사채 발행
14,2014-01-03,6,,
15,2014-01-03,7,,
16,2014-01-03,8,,
17,2014-01-03,9,,
18,2014-01-03,10,,
19,2014-01-03,11,,
20,2014-01-06,2,,
21,2014-01-06,3,85.0,통행세로 총수 배불린 삼양식품…과징금 26억
22,2014-01-06,4,564.0,"더맥키스컴퍼니, '깻잎담은 맥키스' 출시"
23,2014-01-06,4,565.0,설 선물세트 '프리미엄 vs 실속형' 양극화 전망
24,2014-01-06,4,563.0,"이마트, 초등생 수학 참고서 반값 판매"
25,2014-01-06,5,685.0,[주간채권]기지개 켜는 크레딧 시장
26,2014-01-06,6,,
27,2014-01-06,7,,
28,2014-01-06,8,,
29,2014-01-06,9,,
30,2014-01-06,10,,
31,2014-01-06,11,,
32,2014-01-07,2,,
33,2014-01-07,3,,
34,2014-01-07,4,547.0,"신세계, 10년간 31조 투자..17만명 고용"
35,2014-01-07,5,684.0,"모건스탠리 ""韓전자상거래 급속 성장""..관련주 주목"
36,2014-01-07,6,,
37,2014-01-07,7,,
38,2014-01-07,8,,
39,2014-01-07,9,,
40,2014-01-07,10,,
41,2014-01-07,11,,
42,2014-01-08,2,,
43,2014-01-08,3,,
44,2014-01-08,4,545.0,"""올해 인기 가전 키워드는 '4S'"""
45,2014-01-08,4,546.0,이마트 '레드향' 9900원에 판매
46,2014-01-08,5,,
47,2014-01-08,6,,
48,2014-01-08,7,,
49,2014-01-08,8,997.0,"설 선물, 신세계상품권으로 준비하세요!"
50,2014-01-08,9,,
51,2014-01-08,10,,
52,2014-01-08,11,,
53,2014-01-09,2,,
54,2014-01-09,3,83.0,"유엔알컨설팅, 새해 부동산투자전략 세미나 개최"
55,2014-01-09,3,84.0,"현대카드, 1월 설 맞이 이벤트 진행"
56,2014-01-09,4,559.0,"이마트, 엔저 가속화에 '눈다랑어' 반값 판매"
57,2014-01-09,4,543.0,알뜰폰 248만명 돌파…우체국·대형마트 덕에 高성장
58,2014-01-09,5,683.0,"[특징주]롯데하이마트, 4Q 실적부진 우려 속 ↓"
59,2014-01-09,6,,
60,2014-01-09,7,,
61,2014-01-09,8,,
62,2014-01-09,9,,
63,2014-01-09,10,,
64,2014-01-09,11,,
65,2014-01-10,2,,
66,2014-01-10,3,82.0,"외환은행, '외환카드와 함께하는 행복한 설날' 이벤트 실시"
67,2014-01-10,4,,
68,2014-01-10,5,681.0,회사채 시장 지난해완 다르다? 연초 연달아 흥행
69,2014-01-10,5,682.0,"KTB證, 이마트 총 3000억 회사채 발행 대표주관"
70,2014-01-10,6,,
71,2014-01-10,7,,
72,2014-01-10,8,,
73,2014-01-10,9,,
74,2014-01-10,10,,
75,2014-01-10,11,,
76,2014-01-13,2,,
77,2014-01-13,3,,
78,2014-01-13,4,556.0,"유통가, '루지·컬링' 등 스포츠마케팅 강화"
79,2014-01-13,4,557.0,"이마트몰, 90년대 인기 의류브랜드 모음전"
80,2014-01-13,4,555.0,백화점 '설 대목 잡기' 전쟁…13일부터 선물세트 본판매
81,2014-01-13,4,554.0,신년효과? 건강용품 매출 늘고 담배 소비는 줄어
82,2014-01-13,5,,
83,2014-01-13,6,,
84,2014-01-13,7,,
85,2014-01-13,8,995.0,"이마트, 은평구 희망스포츠클럽 후원금 1340만원 지원"
86,2014-01-13,8,994.0,경기도 유통매장 먹거리 '부적합률' 0.1%로 양호
87,2014-01-13,9,,
88,2014-01-13,10,,
89,2014-01-13,11,,
90,2014-01-14,2,,
91,2014-01-14,3,,
92,2014-01-14,4,551.0,"코리아더커드, '다향오리 설 선물세트' 출시"
93,2014-01-14,4,552.0,"립톤, 프리미엄 허브티 6종 출시…3000개 한정 판매"
94,2014-01-14,4,553.0,"이마트, ""차가버섯으로 건강테크 하세요"""
95,2014-01-14,5,,
96,2014-01-14,6,,
97,2014-01-14,7,,
98,2014-01-14,8,993.0,"JK메디컬 그룹, '라마다 제주 호텔' 이달 분양"
99,2014-01-14,9,,
100,2014-01-14,10,,
101,2014-01-14,11,,
102,2014-01-15,2,,
103,2014-01-15,3,,
104,2014-01-15,4,,
105,2014-01-15,5,,
106,2014-01-15,6,882.0,층고3.9m 포스코A&C 생활인프라 잘 갖춰진 오피스텔
107,2014-01-15,7,,
108,2014-01-15,8,,
109,2014-01-15,9,,
110,2014-01-15,10,,
111,2014-01-15,11,,
112,2014-01-16,2,,
113,2014-01-16,3,81.0,분당권 '오포 우림필유' 700만원대 특별공급
114,2014-01-16,4,,
115,2014-01-16,5,679.0,꽉막힌 증시…외국인·기관 동반구애株 '눈길가네'
116,2014-01-16,5,680.0,"""이마트, 4Q 턴어라운드 시작…목표가 ↑"""
117,2014-01-16,6,,
118,2014-01-16,7,,
119,2014-01-16,8,,
120,2014-01-16,9,,
121,2014-01-16,10,,
122,2014-01-16,11,,
123,2014-01-17,2,,
124,2014-01-17,3,,
125,2014-01-17,4,,
126,2014-01-17,5,,
127,2014-01-17,6,880.0,"""투자비,공실률은 내리고 임대수익과 관리편의는 높이고"""
128,2014-01-17,7,,
129,2014-01-17,8,992.0,[부고]허인철(이마트 대표이사)씨 모친상
130,2014-01-17,9,,
131,2014-01-17,10,,
132,2014-01-17,11,,
133,2014-01-20,2,,
134,2014-01-20,3,,
135,2014-01-20,4,,
136,2014-01-20,5,678.0,공사채 빈자리 회사채가 채운다…회사채 흥행 지속
137,2014-01-20,6,878.0,"맹추위 속 분양시장도 ‘꽁꽁’…전국 7곳, 1322가구 청약"
138,2014-01-20,6,879.0,"'핫플레이스' 하남, 아파트 분양 스타트"
139,2014-01-20,6,876.0,바다·산조망 갖춘 '호텔 리젠트마린 제주' 2월 분양
140,2014-01-20,7,,
141,2014-01-20,8,991.0,"[포토]광주 남구, 효덕동 희망배달마차 나눔장터 운영"
142,2014-01-20,8,990.0,‘청약 불패’ 위례·강남… 올해도 공급 풍년
143,2014-01-20,8,989.0,"포스코플랜텍, 대림역 ‘포스큐’ 분양"
144,2014-01-20,9,,
145,2014-01-20,10,,
146,2014-01-20,11,,
147,2014-01-21,2,,
148,2014-01-21,3,,
149,2014-01-21,4,,
150,2014-01-21,5,,
151,2014-01-21,6,,
152,2014-01-21,7,,
153,2014-01-21,8,,
154,2014-01-21,9,,
155,2014-01-21,10,,
156,2014-01-21,11,,
157,2014-01-22,2,,
158,2014-01-22,3,,
159,2014-01-22,4,,
160,2014-01-22,5,677.0,올 설엔 '게임'보다 '영화'
