,Date,Category,Title
0,2014-01-02,2,
1,2014-01-02,3,
2,2014-01-02,4,
3,2014-01-02,5,
4,2014-01-02,6,
5,2014-01-02,7,
6,2014-01-02,8,
7,2014-01-02,9,
8,2014-01-02,10,
9,2014-01-02,11,
10,2014-01-03,2,
11,2014-01-03,3,
12,2014-01-03,4,쪼그라든 내수 車 시장…현대기아차 목표 달성 실패
13,2014-01-03,4,새해 벽두부터 최악의 換亂…수출 비상
14,2014-01-03,4,짧은 신년사는 비명처럼 절박했다
15,2014-01-03,5,
16,2014-01-03,6,
17,2014-01-03,7,
18,2014-01-03,8,
19,2014-01-03,9,
20,2014-01-03,10,
21,2014-01-03,11,
22,2014-01-06,2,
23,2014-01-06,3,
24,2014-01-06,4,"현대기아차, 美서 나홀로 뒷걸음질…점유율 8% 턱걸이"
25,2014-01-06,4,기아차 2014년형 프라이드 출시…1293만~1701만원
26,2014-01-06,4,"獨에 밀리고 日에 치이고…현대기아차, 안팎서 역주행"
27,2014-01-06,4,"기아차, 설 귀향차량 250대 무료 렌트"
28,2014-01-06,5,"""中 우려"" 코스피 하락전환…1940선"
29,2014-01-06,5,"[특징주]현대차 3인방, 사흘 만에 소폭 반등"
30,2014-01-06,5,"코스피, '새해 급락' 딛고 반등…1950선 회복"
31,2014-01-06,5,"코스피, 외국인 '사자' 전환에 1950선 회복"
32,2014-01-06,6,
33,2014-01-06,7,지난해 美 자동차 시장 7.5% 성장
34,2014-01-06,8,
35,2014-01-06,9,
36,2014-01-06,10,
37,2014-01-06,11,
38,2014-01-07,2,
39,2014-01-07,3,
40,2014-01-07,4,"기아차, 1000만원 쏜다"
41,2014-01-07,4,"기아차, 2014 CES서 전기차 전용 텔레매틱스 첫 선"
42,2014-01-07,5,"코스피 1960 회복 시도…""삼성電, 어닝쇼크＜불확실성 제거?"""
43,2014-01-07,5,"코스피 상승세 지속, 1960선 등락…車↑"
44,2014-01-07,5,"코스피, 삼성電 '쇼크' 딛고 2거래일째 상승 마감"
45,2014-01-07,5,"외국인 '사자', 코스피 1960선 안착 시도…삼성電 보합권 등락"
46,2014-01-07,6,
47,2014-01-07,7,
48,2014-01-07,8,
49,2014-01-07,9,
50,2014-01-07,10,
51,2014-01-07,11,
52,2014-01-08,2,
53,2014-01-08,3,
54,2014-01-08,4,"현대차 노조, 민노총 총파업일에 잔업 거부"
55,2014-01-08,4,"新그랜저·K7 하이브리드, 구형엔진 썼다"
56,2014-01-08,5,"""외국인vs기관""…코스피 1950선 공방, SK하이닉스 3%↑"
57,2014-01-08,5,현대·기아차도 목표가 줄하향
58,2014-01-08,5,코스피 1960 전후 '혼조'…電↓·車↑
59,2014-01-08,5,"대유신소재, 기아차 스포티지R 스티어링휠 공급"
60,2014-01-08,5,"기관 '팔자' 코스피, 대형주 중심 약세…1950선"
61,2014-01-08,5,"""이벤트 앞둔 경계감""…'멈칫'한 코스피, 1950선 마감"
62,2014-01-08,6,
63,2014-01-08,7,
64,2014-01-08,8,
65,2014-01-08,9,
66,2014-01-08,10,
67,2014-01-08,11,
68,2014-01-09,2,
69,2014-01-09,3,
70,2014-01-09,4,"현대차, 또 정치파업?"
71,2014-01-09,4,기아차 'K9 2014' 출시…4000만원대부터
72,2014-01-09,4,"구본준 LG전자 부회장, CES서 가장 먼저 챙긴 곳이…"
73,2014-01-09,4,"기아차, ‘2014 호주오픈’ 공식 차량 101대 전달"
74,2014-01-09,5,"동부證 도곡금융센터, 11일 부산 투자설명회 개최"
75,2014-01-09,5,"옵션만기일, 동시호가 기관 매물에 '악'…코스피 1950 하회"
76,2014-01-09,5,"코스피 약세, 1950선…장 중 변동폭 10p '미미'"
77,2014-01-09,6,
78,2014-01-09,7,
79,2014-01-09,8,
80,2014-01-09,9,
81,2014-01-09,10,
82,2014-01-09,11,
83,2014-01-10,2,
84,2014-01-10,3,
85,2014-01-10,4,"전자업계, 자동차에서 미래 찾는다"
86,2014-01-10,5,"코스피 약세, 1930선으로 '미끌'…조선株↓"
87,2014-01-10,5,"코스피 약세 지속, 1940 전후 등락…조선株↓"
88,2014-01-10,5,"코스피, 4개월 만에 1930선으로 '미끌'…外人 '팔자'"
89,2014-01-10,6,
90,2014-01-10,7,
91,2014-01-10,8,
92,2014-01-10,9,
93,2014-01-10,10,
94,2014-01-10,11,
95,2014-01-13,2,
96,2014-01-13,3,
97,2014-01-13,4,"기업 76.3% ""올해 노사관계 불안"""
98,2014-01-13,4,[디트로이트모터쇼]13일 막 올려…경영진 눈치싸움도 시작
99,2014-01-13,4,"현대차그룹, 협력사대금 1조300억원 조기 지급"
100,2014-01-13,4,다보스에 '싸이' 부른 이미경 부회장
101,2014-01-13,5,"美, 자동차 1600만시대 재개에 현대·기아차는?"
102,2014-01-13,5,"코스피, 투신 매수세에 1950선 회복…電·車 ↑"
103,2014-01-13,5,"코스피, 개인·기관vs외국인 매매공방…1950선"
104,2014-01-13,5,"코스피, 나흘만에 반등 성공…1948.92"
105,2014-01-13,5,"코스피, 기관 '사자' 4거래일만에 반등…1940선 회복"
106,2014-01-13,6,
107,2014-01-13,7,
108,2014-01-13,8,
109,2014-01-13,9,
110,2014-01-13,10,
111,2014-01-13,11,"KIA타이거즈, ""러브펀드 전달식"" 성료"
112,2014-01-14,2,
113,2014-01-14,3,
114,2014-01-14,4,"[카라이프]""더 크게, 더 화려하게"" 자동차가 경기회복을 태웠다"
115,2014-01-14,4,"신형 제네시스, 호주서도 달린다"
116,2014-01-14,4,[디트로이트 모터쇼]현대기아차 美 부진 딛고 '승부수'…프리미엄 투톱 떴다
117,2014-01-14,4,車가 茶에 빠지다…기아차 까페
118,2014-01-14,4,[포토]'세계 최초공개' 기아차 콘셉트카 내부 살펴보니
119,2014-01-14,4,[포토]디트로이트 모터쇼서 첫 공개된 기아차 콘셉트카
120,2014-01-14,4,"[포토]기아차 GT4 스팅어, 세계 첫 공개"
121,2014-01-14,4,[디트로이트 모터쇼]기아차 콘셉트카 'GT4 스팅어' 첫 공개
122,2014-01-14,5,"코스피, 外人·기관 동반 매수에 상승 전환…1950선 회복"
123,2014-01-14,5,"코스피, 외국인 '팔자'전환에 약보합…1940선 후퇴"
124,2014-01-14,5,"코스피, 기관·外人 동반 '팔자' 약세지속"
125,2014-01-14,6,
126,2014-01-14,7,
127,2014-01-14,8,
128,2014-01-14,9,
129,2014-01-14,10,
130,2014-01-14,11,
131,2014-01-15,2,
132,2014-01-15,3,
133,2014-01-15,4,"전경련, 한국형 동반성장모델 확산 제안"
134,2014-01-15,4,지난해 수출 1위 차종은 엑센트…아반떼·프라이드 제쳐
135,2014-01-15,5,"코스피, 기관·外人 동반 '팔자'에도 강세…電↓"
136,2014-01-15,5,"""현대모비스, 영업이익 재성장 주가상승 이어질 전망""<삼성證>"
137,2014-01-15,5,"코스피, 美 경제지표 호조에 상승..1950선 회복"
138,2014-01-15,6,
139,2014-01-15,7,
140,2014-01-15,8,
141,2014-01-15,9,
142,2014-01-15,10,
