Date,Unnamed: 0.1,Title,politics,economics,IT,finance,realEstate,international,social,life,golf,ent
2014-01-02,,,1,0,0,0,0,0,0,0,0,0
2014-01-02,,,0,1,0,0,0,0,0,0,0,0
2014-01-02,,,0,0,1,0,0,0,0,0,0,0
2014-01-02,1048.0,"""환율·실적·中 우려"" 새해 첫날 코스피 2% 급락…1960선 '털썩'",0,0,0,1,0,0,0,0,0,0
2014-01-02,1049.0,"""새해, 하행선 급행 電·車?""…코스피 장 중 1960선 '털썩'",0,0,0,1,0,0,0,0,0,0
2014-01-02,1050.0,"엔底에도 달린 현대차 3인방, 올해는?",0,0,0,1,0,0,0,0,0,0
2014-01-02,,,0,0,0,0,1,0,0,0,0,0
2014-01-02,,,0,0,0,0,0,1,0,0,0,0
2014-01-02,1068.0,"SKT ""자승자강 의지로 경쟁서 이길 것""",0,0,0,0,0,0,1,0,0,0
2014-01-02,,,0,0,0,0,0,0,0,1,0,0
2014-01-02,,,0,0,0,0,0,0,0,0,1,0
2014-01-02,,,0,0,0,0,0,0,0,0,0,1
2014-01-03,,,1,0,0,0,0,0,0,0,0,0
2014-01-03,,,0,1,0,0,0,0,0,0,0,0
2014-01-03,,,0,0,1,0,0,0,0,0,0,0
2014-01-03,1046.0,"코스피 1.2% 약세, 1940선 등락…삼성電 128.9만",0,0,0,1,0,0,0,0,0,0
2014-01-03,1045.0,"""환율에 실적에…"" 걱정 많은 코스피 '1% 약세'. 1940선",0,0,0,1,0,0,0,0,0,0
2014-01-03,1047.0,"""연초, 환율·실적 안개""…코스피 1950선으로 '미끌'",0,0,0,1,0,0,0,0,0,0
2014-01-03,,,0,0,0,0,1,0,0,0,0,0
2014-01-03,,,0,0,0,0,0,1,0,0,0,0
2014-01-03,1067.0,경기도 규제개선 빛났다…18건 개선·8만7천개社 수혜,0,0,0,0,0,0,1,0,0,0
2014-01-03,,,0,0,0,0,0,0,0,1,0,0
2014-01-03,,,0,0,0,0,0,0,0,0,1,0
2014-01-03,,,0,0,0,0,0,0,0,0,0,1
2014-01-06,,,1,0,0,0,0,0,0,0,0,0
2014-01-06,,,0,1,0,0,0,0,0,0,0,0
2014-01-06,,,0,0,1,0,0,0,0,0,0,0
2014-01-06,1037.0,"코스피, 외국인 '사자' 전환에 1950선 회복",0,0,0,1,0,0,0,0,0,0
2014-01-06,1039.0,"""中 우려"" 코스피 하락전환…1940선",0,0,0,1,0,0,0,0,0,0
2014-01-06,1035.0,"최신원 SKC 회장, SK·SK하이닉스 보통주 매입",0,0,0,1,0,0,0,0,0,0
2014-01-06,1044.0,"SK하이닉스, 어려운 조건 속에도 선방",0,0,0,1,0,0,0,0,0,0
2014-01-06,1043.0,"코스피 소폭 상승, 1950 회복 시도…삼성電 반등",0,0,0,1,0,0,0,0,0,0
2014-01-06,1036.0,"코스피, '새해 급락' 딛고 반등…1950선 회복",0,0,0,1,0,0,0,0,0,0
2014-01-06,1041.0,"키움證, ELS·ELB 판매",0,0,0,1,0,0,0,0,0,0
2014-01-06,1040.0,하향 리포트 즐비한 요즘 증권사 러브콜株 눈길가네,0,0,0,1,0,0,0,0,0,0
2014-01-06,1038.0,"테스, SK하이닉스와 25억원 규모 공급 계약 체결",0,0,0,1,0,0,0,0,0,0
2014-01-06,1042.0,"[특징주]SK하이닉스, 견조한 실적+외인 러브콜…↑",0,0,0,1,0,0,0,0,0,0
2014-01-06,,,0,0,0,0,1,0,0,0,0,0
2014-01-06,,,0,0,0,0,0,1,0,0,0,0
2014-01-06,,,0,0,0,0,0,0,1,0,0,0
2014-01-06,,,0,0,0,0,0,0,0,1,0,0
2014-01-06,,,0,0,0,0,0,0,0,0,1,0
2014-01-06,,,0,0,0,0,0,0,0,0,0,1
2014-01-07,,,1,0,0,0,0,0,0,0,0,0
2014-01-07,,,0,1,0,0,0,0,0,0,0,0
2014-01-07,,,0,0,1,0,0,0,0,0,0,0
2014-01-07,1034.0,"코스피 1960 회복 시도…""삼성電, 어닝쇼크＜불확실성 제거?""",0,0,0,1,0,0,0,0,0,0
2014-01-07,1030.0,"코스피, 삼성電 '쇼크' 딛고 2거래일째 상승 마감",0,0,0,1,0,0,0,0,0,0
2014-01-07,1032.0,"외국인 '사자', 코스피 1960선 안착 시도…삼성電 보합권 등락",0,0,0,1,0,0,0,0,0,0
2014-01-07,1033.0,"동부證, 8일부터 ELB·ELS 3종 판매",0,0,0,1,0,0,0,0,0,0
2014-01-07,1031.0,"코스피 상승세 지속, 1960선 등락…車↑",0,0,0,1,0,0,0,0,0,0
2014-01-07,,,0,0,0,0,1,0,0,0,0,0
2014-01-07,,,0,0,0,0,0,1,0,0,0,0
2014-01-07,,,0,0,0,0,0,0,1,0,0,0
2014-01-07,,,0,0,0,0,0,0,0,1,0,0
2014-01-07,,,0,0,0,0,0,0,0,0,1,0
2014-01-07,,,0,0,0,0,0,0,0,0,0,1
2014-01-08,,,1,0,0,0,0,0,0,0,0,0
2014-01-08,,,0,1,0,0,0,0,0,0,0,0
2014-01-08,,,0,0,1,0,0,0,0,0,0,0
2014-01-08,1025.0,"[특징주]SK하이닉스, 외인 러브콜에 시총 3위로 '껑충'",0,0,0,1,0,0,0,0,0,0
