,Date,Category,Title
0,2014-01-02,2,
1,2014-01-02,3,
2,2014-01-02,4,
3,2014-01-02,5,
4,2014-01-02,6,
5,2014-01-02,7,
6,2014-01-02,8,
7,2014-01-02,9,
8,2014-01-02,10,
9,2014-01-02,11,
10,2014-01-03,2,
11,2014-01-03,3,
12,2014-01-03,4,
13,2014-01-03,5,
14,2014-01-03,6,
15,2014-01-03,7,
16,2014-01-03,8,
17,2014-01-03,9,
18,2014-01-03,10,
19,2014-01-03,11,
20,2014-01-06,2,
21,2014-01-06,3,
22,2014-01-06,4,
23,2014-01-06,5,
24,2014-01-06,6,
25,2014-01-06,7,
26,2014-01-06,8,
27,2014-01-06,9,
28,2014-01-06,10,
29,2014-01-06,11,
30,2014-01-07,2,
31,2014-01-07,3,
32,2014-01-07,4,
33,2014-01-07,5,
34,2014-01-07,6,
35,2014-01-07,7,
36,2014-01-07,8,
37,2014-01-07,9,
38,2014-01-07,10,
39,2014-01-07,11,
40,2014-01-08,2,
41,2014-01-08,3,
42,2014-01-08,4,
43,2014-01-08,5,
44,2014-01-08,6,
45,2014-01-08,7,
46,2014-01-08,8,
47,2014-01-08,9,
48,2014-01-08,10,
49,2014-01-08,11,
50,2014-01-09,2,
51,2014-01-09,3,
52,2014-01-09,4,
53,2014-01-09,5,
54,2014-01-09,6,
55,2014-01-09,7,
56,2014-01-09,8,
57,2014-01-09,9,
58,2014-01-09,10,
59,2014-01-09,11,
60,2014-01-10,2,
61,2014-01-10,3,
62,2014-01-10,4,
63,2014-01-10,5,
64,2014-01-10,6,
65,2014-01-10,7,
66,2014-01-10,8,
67,2014-01-10,9,
68,2014-01-10,10,
69,2014-01-10,11,
70,2014-01-13,2,
71,2014-01-13,3,
72,2014-01-13,4,
73,2014-01-13,5,
74,2014-01-13,6,
75,2014-01-13,7,
76,2014-01-13,8,
77,2014-01-13,9,
78,2014-01-13,10,
79,2014-01-13,11,
80,2014-01-14,2,
81,2014-01-14,3,
82,2014-01-14,4,
83,2014-01-14,5,
84,2014-01-14,6,
85,2014-01-14,7,
86,2014-01-14,8,
87,2014-01-14,9,
88,2014-01-14,10,
89,2014-01-14,11,
90,2014-01-15,2,
91,2014-01-15,3,
92,2014-01-15,4,
93,2014-01-15,5,
94,2014-01-15,6,
95,2014-01-15,7,
96,2014-01-15,8,
97,2014-01-15,9,
98,2014-01-15,10,
99,2014-01-15,11,
100,2014-01-16,2,
101,2014-01-16,3,
102,2014-01-16,4,
103,2014-01-16,5,
104,2014-01-16,6,
105,2014-01-16,7,
106,2014-01-16,8,
107,2014-01-16,9,
108,2014-01-16,10,
109,2014-01-16,11,
110,2014-01-17,2,
111,2014-01-17,3,
112,2014-01-17,4,
113,2014-01-17,5,
114,2014-01-17,6,
115,2014-01-17,7,
116,2014-01-17,8,
117,2014-01-17,9,
118,2014-01-17,10,
119,2014-01-17,11,
120,2014-01-20,2,
121,2014-01-20,3,
122,2014-01-20,4,
123,2014-01-20,5,
124,2014-01-20,6,
125,2014-01-20,7,
126,2014-01-20,8,
127,2014-01-20,9,
128,2014-01-20,10,
129,2014-01-20,11,
130,2014-01-21,2,
131,2014-01-21,3,
132,2014-01-21,4,
133,2014-01-21,5,
134,2014-01-21,6,
135,2014-01-21,7,
136,2014-01-21,8,
137,2014-01-21,9,
138,2014-01-21,10,
139,2014-01-21,11,
140,2014-01-22,2,
141,2014-01-22,3,
142,2014-01-22,4,
143,2014-01-22,5,
144,2014-01-22,6,
145,2014-01-22,7,
146,2014-01-22,8,
147,2014-01-22,9,
148,2014-01-22,10,
149,2014-01-22,11,
150,2014-01-23,2,
151,2014-01-23,3,
152,2014-01-23,4,
153,2014-01-23,5,
154,2014-01-23,6,
155,2014-01-23,7,
156,2014-01-23,8,
157,2014-01-23,9,
158,2014-01-23,10,
159,2014-01-23,11,
160,2014-01-24,2,
161,2014-01-24,3,
162,2014-01-24,4,
163,2014-01-24,5,
164,2014-01-24,6,
165,2014-01-24,7,
166,2014-01-24,8,
167,2014-01-24,9,
168,2014-01-24,10,
169,2014-01-24,11,
170,2014-01-27,2,
171,2014-01-27,3,
172,2014-01-27,4,
173,2014-01-27,5,
174,2014-01-27,6,
175,2014-01-27,7,
176,2014-01-27,8,
177,2014-01-27,9,
178,2014-01-27,10,
179,2014-01-27,11,
180,2014-01-28,2,
181,2014-01-28,3,
182,2014-01-28,4,
183,2014-01-28,5,
184,2014-01-28,6,
185,2014-01-28,7,
186,2014-01-28,8,
187,2014-01-28,9,
188,2014-01-28,10,
189,2014-01-28,11,
190,2014-01-29,2,
191,2014-01-29,3,
192,2014-01-29,4,
193,2014-01-29,5,
194,2014-01-29,6,
195,2014-01-29,7,
196,2014-01-29,8,
197,2014-01-29,9,
198,2014-01-29,10,
199,2014-01-29,11,
200,2014-02-03,2,
201,2014-02-03,3,
202,2014-02-03,4,
203,2014-02-03,5,
204,2014-02-03,6,
205,2014-02-03,7,
206,2014-02-03,8,
207,2014-02-03,9,
208,2014-02-03,10,
209,2014-02-03,11,
210,2014-02-04,2,
211,2014-02-04,3,
212,2014-02-04,4,
213,2014-02-04,5,
214,2014-02-04,6,
215,2014-02-04,7,
216,2014-02-04,8,
217,2014-02-04,9,
218,2014-02-04,10,
219,2014-02-04,11,
220,2014-02-05,2,
221,2014-02-05,3,
222,2014-02-05,4,
223,2014-02-05,5,
224,2014-02-05,6,
225,2014-02-05,7,
226,2014-02-05,8,
227,2014-02-05,9,
228,2014-02-05,10,
229,2014-02-05,11,
230,2014-02-06,2,
231,2014-02-06,3,
232,2014-02-06,4,
233,2014-02-06,5,"장 종료 후 ""이 공시 눈에 띄네""(코스피-5일)"
234,2014-02-06,5,현대백화점 4Q 영업익 1164억…전년비 3.8%↓
235,2014-02-06,6,
236,2014-02-06,7,
237,2014-02-06,8,
238,2014-02-06,9,롯데·현대·신세계 백화점 대규모 명품세일 돌입
239,2014-02-06,10,
240,2014-02-06,11,
241,2014-02-07,2,
242,2014-02-07,3,
243,2014-02-07,4,
244,2014-02-07,5,"[특징주]현대백화점, 4Q 실적 부진에 '신저가'"
245,2014-02-07,6,
246,2014-02-07,7,
247,2014-02-07,8,
248,2014-02-07,9,
249,2014-02-07,10,
250,2014-02-07,11,
251,2014-02-10,2,
252,2014-02-10,3,
253,2014-02-10,4,
254,2014-02-10,5,"유통株, M&A 시너지 효과는 언제쯤?"
255,2014-02-10,6,
256,2014-02-10,7,
257,2014-02-10,8,
258,2014-02-10,9,
259,2014-02-10,10,
260,2014-02-10,11,
261,2014-02-11,2,
262,2014-02-11,3,
263,2014-02-11,4,
264,2014-02-11,5,
265,2014-02-11,6,
266,2014-02-11,7,
267,2014-02-11,8,
268,2014-02-11,9,"강남구, 현대백화점·성암아트센터와 예술공연 협약"
269,2014-02-11,10,
270,2014-02-11,11,
271,2014-02-12,2,
272,2014-02-12,3,
273,2014-02-12,4,
274,2014-02-12,5,
