,Date,Category,Title
0,2014-01-02,2,
1,2014-01-02,3,
2,2014-01-02,4,
3,2014-01-02,5,
4,2014-01-02,6,
5,2014-01-02,7,
6,2014-01-02,8,
7,2014-01-02,9,
8,2014-01-02,10,
9,2014-01-02,11,
10,2014-01-03,2,
11,2014-01-03,3,
12,2014-01-03,4,
13,2014-01-03,5,
14,2014-01-03,6,
15,2014-01-03,7,
16,2014-01-03,8,
17,2014-01-03,9,
18,2014-01-03,10,
19,2014-01-03,11,
20,2014-01-06,2,
21,2014-01-06,3,
22,2014-01-06,4,
23,2014-01-06,5,
24,2014-01-06,6,
25,2014-01-06,7,
26,2014-01-06,8,
27,2014-01-06,9,
28,2014-01-06,10,
29,2014-01-06,11,"'쇼트 80.60점' 김연아 ""올림픽 무결점 연기 기대"""
30,2014-01-06,11,"'성공 리허설' 김연아 ""이제 정말 1경기만 남았다"""
31,2014-01-06,11,"김연아, 올림픽 2연패 향한 완벽한 소치 리허설"
32,2014-01-06,11,"김연아, 마지막 국내 무대 227.86점 우승…올림픽 2연패 보인다"
33,2014-01-06,11,"'마이 웨이' 김연아, 끝나지 않은 여왕의 진화"
34,2014-01-07,2,
35,2014-01-07,3,
36,2014-01-07,4,"박인비, 차움 명예회원 위촉"
37,2014-01-07,5,"코스피 1960 회복 시도…""삼성電, 어닝쇼크＜불확실성 제거?"""
38,2014-01-07,5,"외국인 '사자', 코스피 1960선 안착 시도…삼성電 보합권 등락"
39,2014-01-07,5,"코스피 상승세 지속, 1960선 등락…車↑"
40,2014-01-07,5,"코스피, 삼성電 '쇼크' 딛고 2거래일째 상승 마감"
41,2014-01-07,6,
42,2014-01-07,7,
43,2014-01-07,8,
44,2014-01-07,9,
45,2014-01-07,10,
46,2014-01-07,11,
47,2014-01-08,2,
48,2014-01-08,3,
49,2014-01-08,4,
50,2014-01-08,5,"""은행, 이익 증가세 전환 예상..하나금융·KB금융 최선호주"""
51,2014-01-08,5,"기관 '팔자' 코스피, 대형주 중심 약세…1950선"
52,2014-01-08,5,코스피 1960 전후 '혼조'…電↓·車↑
53,2014-01-08,5,"""이벤트 앞둔 경계감""…'멈칫'한 코스피, 1950선 마감"
54,2014-01-08,5,"""외국인vs기관""…코스피 1950선 공방, SK하이닉스 3%↑"
55,2014-01-08,6,
56,2014-01-08,7,
57,2014-01-08,8,
58,2014-01-08,9,
59,2014-01-08,10,
60,2014-01-08,11,
61,2014-01-09,2,
62,2014-01-09,3,
63,2014-01-09,4,
64,2014-01-09,5,"코스피 약세, 1950선…장 중 변동폭 10p '미미'"
65,2014-01-09,5,"옵션만기일, 동시호가 기관 매물에 '악'…코스피 1950 하회"
66,2014-01-09,6,
67,2014-01-09,7,
68,2014-01-09,8,
69,2014-01-09,9,
70,2014-01-09,10,
71,2014-01-09,11,
72,2014-01-10,2,
73,2014-01-10,3,
74,2014-01-10,4,"전범기업 파나소닉 모델, 골퍼 박인비 보는 두 시선"
75,2014-01-10,5,"코스피 약세, 1930선으로 '미끌'…조선株↓"
76,2014-01-10,5,"코스피 약세 지속, 1940 전후 등락…조선株↓"
77,2014-01-10,5,"코스피, 4개월 만에 1930선으로 '미끌'…外人 '팔자'"
78,2014-01-10,6,
79,2014-01-10,7,
80,2014-01-10,8,
81,2014-01-10,9,
82,2014-01-10,10,
83,2014-01-10,11,
84,2014-01-13,2,
85,2014-01-13,3,차순관 KB저축은행 신임대표 취임
86,2014-01-13,4,
87,2014-01-13,5,"코스피, 투신 매수세에 1950선 회복…電·車 ↑"
88,2014-01-13,5,"코스피, 개인·기관vs외국인 매매공방…1950선"
89,2014-01-13,5,"예한솔저축은행, KB금융지주 자회사에서 제외"
90,2014-01-13,5,"코스피, 기관 '사자' 4거래일만에 반등…1940선 회복"
91,2014-01-13,6,
92,2014-01-13,7,
93,2014-01-13,8,
94,2014-01-13,9,
95,2014-01-13,10,
96,2014-01-13,11,
97,2014-01-14,2,
98,2014-01-14,3,
99,2014-01-14,4,"현대상선, 신한금융 주식 208만주 매각해 930억 확보"
100,2014-01-14,5,"장 종료 후 ""이 공시 눈에 띄네""(코스피-13일)"
101,2014-01-14,5,"코스피, 外人·기관 동반 매수에 상승 전환…1950선 회복"
102,2014-01-14,5,"1등보다 2·3등株, 내리사랑 큰 손들"
103,2014-01-14,5,"코스피, 외국인 '팔자'전환에 약보합…1940선 후퇴"
104,2014-01-14,5,"코스피, 기관·外人 동반 '팔자' 약세지속"
105,2014-01-14,6,
106,2014-01-14,7,
107,2014-01-14,8,
108,2014-01-14,9,
109,2014-01-14,10,
110,2014-01-14,11,
111,2014-01-15,2,
112,2014-01-15,3,"KB금융, 축하난 안받기 운동"
113,2014-01-15,3,LIG손보 인수전 불 붙었다
114,2014-01-15,4,
115,2014-01-15,5,"동양증권 인수, KB금융은 부인…결국 유안타?"
116,2014-01-15,5,"KB금융지주 ""비은행부문 M&A 지속 검토"""
117,2014-01-15,5,"KB투자證, 원금비보장형 KB STAR ELS 1종 공모"
118,2014-01-15,5,"KB금융지주, LIG손해보험 인수추진 조회공시 요구"
119,2014-01-15,5,"코스피, 美 경제지표 호조에 상승..1950선 회복"
120,2014-01-15,5,"코스피, 기관·外人 동반 '팔자'에도 강세…電↓"
121,2014-01-15,6,
122,2014-01-15,7,
123,2014-01-15,8,
124,2014-01-15,9,
125,2014-01-15,10,
126,2014-01-15,11,
127,2014-01-16,2,
128,2014-01-16,3,
129,2014-01-16,4,
130,2014-01-16,5,"""좁은 박스 갇힌 코스피"", 강보합 마감…1950선"
131,2014-01-16,5,"투자자 짙은 관망, 코스피 1950선 강보합권 '정체'"
132,2014-01-16,5,"코스피, 투자자 관망 속 상승세…1960 회복 시도"
133,2014-01-16,5,꽉막힌 증시…외국인·기관 동반구애株 '눈길가네'
134,2014-01-16,5,"[특징주]동양證, KB금융 인수 추진 부인↓"
135,2014-01-16,5,"장 종료 후 ""이 공시 눈에 띄네""(코스피-15일)"
136,2014-01-16,5,"기관 '사자' 전환, 코스피 1950 강보합…삼성電 상승반전"
137,2014-01-16,6,
138,2014-01-16,7,
139,2014-01-16,8,
140,2014-01-16,9,
141,2014-01-16,10,
142,2014-01-16,11,
143,2014-01-17,2,
144,2014-01-17,3,
145,2014-01-17,4,
146,2014-01-17,5,"코스피, 보합권 '혼조'…'外人vs기관' 매매공방"
147,2014-01-17,5,"코스피, 기관·外人 '팔자'…1950선 위협"
148,2014-01-17,5,"코스피, 중국발 악재+外人 '팔자'…1940선 후퇴"
149,2014-01-17,5,"코스피, 1950선 보합권 등락…투자자 '뒷짐'"
150,2014-01-17,6,
151,2014-01-17,7,
152,2014-01-17,8,
153,2014-01-17,9,
154,2014-01-17,10,
155,2014-01-17,11,
156,2014-01-20,2,
157,2014-01-20,3,정부 '카드사태 엄벌' 예고… 악재겹친 KB의 앞날은
158,2014-01-20,3,"KB금융, 은행·카드 등 경영진 27명 일괄 사의(종합)"
