,Title,Date,Category
0,전기차-충전기 제조사와 함께하는 '상호운용성 테스티벌',2019.09.01,2
1,"""정부, 저공해차 안 만드는 대기업에 패널티 강화 추진""",2019.06.03,2
2,'시스템반도체 팹리스' 후속조치 본격화…현장과 소통행보 시작,2019.05.23,2
3,"외국인, 보름간 韓 주식 2.4兆 매수…반도체가 절반",2019.04.17,2
4,"與 ""한국당의 '박영선 흠집내기' 도 넘어…강력 대응""",2019.04.07,2
5,"한국당 산자위 “박영선 남편, 현대·기아차도 막대한 수임료 추정”",2019.04.07,2
6,"'텔루라이드' 생산 공장 찾은 韓·美 대사 ""기아차, 현지 경제 살렸다""",2019.03.19,2
7,"[포토]김현종 본부장, 美 상원의원과 '車 232조' 면담",2019.01.31,2
8,"하태경 “한국GM 노조, 또 파업…명백한 자살행위”",2018.12.19,2
9,조선업에 이어 車 부품기업에 3.5조원 자금지원…제조업 활력회복에 '올인',2018.12.18,2
10,자금난 겪는 車 부품기업에 3조5000억원 긴급 수혈,2018.12.18,2
11,11월 車 내수↓ 수출·생산↑…수소·전기 등 친환경차 약진,2018.12.13,2
12,"[백브리핑]집권여당, 협치(協治) 전에 내치(內治)부터",2018.08.30,2
13,평화당 지도부 광주 방문…5·18 정신 강조하며 지지호소,2018.08.10,2
14,[e공시 눈에 띄네]코스피-2일,2018.07.03,2
15,"문 대통령, 슬로바키아 대통령과 정상회담…손경식·윤부근 등 참석",2018.04.10,2
16,"2월 ""수입車 날다"" 전년比 23.9%↑…국산車 생산·내수·수출 모두↓",2018.03.13,2
17,"제네시스 G70, 2018 올해의 차로 선정",2018.01.29,2
18,"靑 ""임 비서실장, SK 외에 다른 대기업 고위관계자들도 만나 애로 청취""",2017.12.31,2
19,"현대차, 사업기간 꼼수 연장…도로부지 18년 무상사용",2017.11.23,2
20,'대기업 특혜·관제시위 의혹' 구재태 전 경우회장 구속,2017.11.13,2
21,"중국에서 고전하는 현대차, 인도네시아 교두보로 동남아 시장 공략 나서",2017.11.09,2
22,[2017국감]국토위 증인채택 문제 도마위에 올라,2017.10.31,2
23,"다스, 일파만파 퍼지는 와중에 ""다른 곳도 있다""...논란 확산 '결론은?'",2017.10.16,2
24,기업 부담 가중?…20대 국회 立法 찬반 논란(종합),2017.09.01,2
25,[입법·행정·사법부에 갇힌 재계]기업 부담 가중시키는 立法 논란,2017.09.01,2
26,"법원 ""상여금도 통상임금""…충격에 빠진 재계",2017.08.31,2
27,"산자위 ""기업 해외이전 우려""…백운규 ""두달내 대책 마련""",2017.08.28,2
28,법원 '기아차 통상임금' 소송 31일 1심 선고,2017.08.24,2
29,"靑 ""기업인 첫 만남 '시나리오·발표자료·시간제한' 없다""",2017.07.26,2
30,"文 대통령, 대기업 총수와 '호프 한잔'…""진솔한 대화하겠다""",2017.07.25,2
31,"조급한 정부, 속타는 대기업…겉도는 일자리 대책",2017.07.19,2
32,10대 기업 일자리 1년새 2317개 사라졌다,2017.07.19,2
33,"삼성 SK ""하반기 채용 늘리겠다""…재계, 일자리 창출 동참(종합)",2017.07.18,2
34,"권오현 삼성전자 부회장 일자리委서 ""하반기 채용 늘리겠다"" (종합)",2017.07.18,2
35,"이용섭 일자리委 부위원장 ""자산총액대신 고용인원으로 기업평가""",2017.07.18,2
36,사상 첫 비정규직 주도 '사회적 총파업' 시작…뭉치는 양대노총,2017.06.28,2
37,"한국노총 ""文 일자리정책, 적극 참여""",2017.06.20,2
38,"한국당 ""정의당, 강성귀족노조당으로 당명 바꾸라""",2017.04.29,2
39,제51회 납세자의 날…현대차 국세 1조원 탑 수상,2017.03.03,2
40,"野, 호남쟁탈전 '더' 달아 오른다",2016.12.27,2
41,[포토]답변하는 정몽구 회장,2016.12.06,2
42,[포토]청문회장 들어서는 재벌총수들,2016.12.06,2
43,[포토]국회 들어서는 정몽구 회장,2016.12.06,2
44,[포토]국회 들어서는 정몽구 회장,2016.12.06,2
45,[포토]나란히 앉은 재벌총수들,2016.12.06,2
