,Title,Date,Category
0,사우디 드론 공격 후 對 이란 수출 사실상 중단,2019.10.31,2
1,박영선 장관 '연결의 힘'…기관 힘겨루기 '옛말',2019.08.22,2
2,"""남한 기업 유휴설비, 北으로 옮겨 평화경제 초석으로""",2019.08.20,2
3,실패일 수 없는 이란 원유 수입 중단 유예 협상,2019.05.02,2
4,"文 ""은행 대출 전면 혁신…혁신·중소기업에 3년간 100조 지원""",2019.03.21,2
5,"문 대통령, 한-캄보디아 3대 경제협력 방향 제시",2019.03.15,2
6,"문 대통령, 훈센 총리와 정상회담…금융·농업·인프라 협력 방안 논의(종합)",2019.03.15,2
7,"한국당 ""신재민·김태우 범법자 모는 정부, 분노 넘어 가련""…국조·특검 추진",2019.01.03,2
8,"문 대통령 ""남부내륙 고속철도 꼭 필요""",2018.12.13,2
9,2022년 '스마트공장' 3만개 구축…6만6000개 일자리 창출,2018.12.13,2
10,"국회 예산소위 이틀만에 파행…野 ""세수 결손 방안 마련해 와라""",2018.11.23,2
11,"성윤모 장관, 원전산업계 지원 및 소통 강화…'원전기업지원센터' 개소식",2018.11.22,2
12,"美 정부, 한국 기업 손바닥처럼 들여다보고 있다",2018.11.02,2
13,"국내은행, 예대마진으로 올 상반기에만 17조 벌어",2018.10.23,2
14,"가스公, 中企 기술개발 촉진으로 동반성장 박차",2018.10.22,2
15,[양낙규의 Defence Club]월급 인상 군장병 ‘적금액은 부실’… 왜?,2018.10.21,2
16,[집권2년차 징크스]이해찬 등장에 더 강해진 親文…더 약해진 비판 목소리,2018.09.04,2
17,"바른미래 ""文정부 출범 후 340개 공공기관 365명 캠코더 인사""",2018.09.04,2
18,"권익위 ""유관기관 지원 공직자 해외출장, 원칙적 금지할 것""",2018.07.26,2
19,"문체부, 1500억 들여 문화콘텐츠기업에 저금리 대출",2018.04.23,2
20,"문체부, 문화 산업 혁신성장 위해 1500억 지원",2018.01.29,2
21,"법원 ""기업은행 성과연봉제 도입 무효""…노조 승소",2017.08.10,2
22,주요 8개 은행 모바일앱으로 지방세 확인·납부된다,2017.07.20,2
23,"일자리委, 7월 중 '정규직 전환 가이드라인' 발표… ""공공기관 기간제, 연내 정규직 전환 완료""",2017.07.06,2
24,"일자리위원회, 6일 33개 공공기관과 정책간담회…공공기관 적극 참여 당부",2017.07.05,2
25,"'가짜 문재인 펀드' 주의보…""경찰청에 고발조치""",2017.04.24,2
26,"'칼퇴근법' 띄우는 유승민, 'PC오프제' 체험하며 현장행보",2017.02.03,2
27,[2017경제정책]내년성장률 2.6%…21.3조 재정 대응,2016.12.29,2
28,[2017경제정책]21.3조 재정보강…조기집행 속도전,2016.12.29,2
29,"黃권한대행, 정관주 문체부1차관 사표 수리…정무직 첫 임면권 행사",2016.12.26,2
30,"감사원, 결제성 여신제도 금융 관리감독 '허점'…'표본조사 9% 실제 상거래 여부 의심'",2016.12.21,2
31,"황교안 권한대행, 대통령급 광폭행보…野 견제수위도 높아져",2016.12.18,2
32,"유일호 ""내년 공공기관 2만명 채용 구직부담 덜겠다""",2016.11.28,2
33,"[포토]권선주 기업은행·이동걸 산업은행장, 국정감사 출석",2016.10.18,2
34,"이덕훈 수출입은행장 ""전경련 탈퇴 검토하겠다"" 입장 선회",2016.10.11,2
35,"전경련, 어쩌다 여기까지 왔나",2016.10.05,2
36,[포토]증인선서하는 이동걸 산업은행장,2016.10.04,2
37,'청년인턴→정규직' 1명도 전환 안한 공공기관 수두룩,2016.09.21,2
38,"""朴정부 4년간 '금융권 낙하산' 204명""",2016.09.21,2
39,"기재부, 아시아 중견공무원 금융연수 실시",2016.07.10,2
40,구조조정 자본확충 빈칸 3곳…무엇으로 채울까,2016.06.12,2
41,[구조조정案 확정]정부·한은 국책은행 12조 출자,2016.06.08,2
42,"""금융위·국책은행 중심 구조조정 전면중단을""",2016.06.02,2
43,"국책銀 자본확충, 2009년 그때 그 방식으로",2016.05.24,2
44,[포토]서울아시아금융포럼 개막,2016.05.23,2
45,[내수·투자 살려라]신산업으로 투자 되살린다,2016.04.30,2
46,신산업에 1조 펀드 조성…투자위험 줄인다,2016.04.28,2
47,"최상목 ""이란 제재 해제로 中企 미결제대금 해소""",2016.04.04,2
48,"한전, 상생결제시스템 도입…협력사 현금할인비용 절감",2016.04.01,2
49,"주형환 장관 ""금융권 퇴직자를 中企 환율컨설턴트로 활용""",2016.03.23,2
50,수출애로 현장서 즉시 해결…주형환의 1박2일(종합),2016.03.23,2
51,"주형환 장관 ""올해 중소·중견기업 수출 10% 증가 목표""",2016.03.23,2
52,1박2일 간 수출애로 집중 해결…해외생산제품도 금융지원 확대,2016.03.23,2
53,1박2일간 4개 산업단지 방문…현장서 수출애로 즉시 해소,2016.03.23,2
54,더민주 1차 경선 14명 후보자 확정…유대운·김기준·이상직·김우남 고배(종합),2016.03.15,2
55,조훈현·엄홍길·권선주…새누리당 비례대표 거론되며 거취 ‘관심 집중’,2016.03.09,2
56,"이란에 철도차량 공급, 호텔 건설 등…EDCF 연내 재개",2016.02.29,2
57,개성공단 기업에 5500억원 특별대출패키지 지원(종합),2016.02.25,2
58,"[개성공단 전면중단]정부, 입주기업에 대출상환·세금 유예",2016.02.12,2
59,[개성공단 전면중단]피해는 수조원대…보상금은 2000억원,2016.02.11,2
60,이란 SOC 투자 수주 불투명…원화 대체결제 '난망',2016.02.02,2
61,"朴대통령, 이르면 4월 이란 방문…정부 준비작업 돌입",2016.01.28,2
62,"이란 제재 해제…""올해 대이란 수출 역대 최고에 근접할 것""(종합)",2016.01.17,2
63,이란 국제제재 풀렸지만 달러 거래는 못한다,2016.01.17,2
64,"가스公, 대구-기업은행과 동반성장펀드 협약 체결",2015.12.17,2
65,신한은행·예보 등 농촌사회공헌조직 선정,2015.11.03,2
66,제14차 세계한상대회 오늘 경주서 개막,2015.10.13,2
67,'희망준비금' 군장병들의 재테크?,2015.10.08,2
68,"[2015 국감]이운룡 ""신보 채용사업, 구조조정 검토 필요""",2015.09.22,2
69,[포토]답변하는 권선주 기업은행장,2015.09.21,2
70,"서울시, 코리아세븐 등과 '산골마을' 에너지복지 지원",2015.09.02,2
71,"새누리당, 핀테크 관련 입법 11월 제출키로",2015.09.02,2
72,"감사원, 산업은행 등 국책은행 감사준비 착수…대상기관 9월 최종 확인",2015.08.26,2
73,"[메르스 사태]보건당국, '메르스 타격' 의료기관 지원키로",2015.06.20,2
74,"산업부, 중소·중견기업 사업화 자금 저리 지원",2015.06.17,2
75,"野 ""불법대선캠프 설치 의혹, 즉각적인 특검으로 가려야""",2015.05.11,2
76,"네이버·강원혁신센터 출범…朴대통령 ""빅데이터, 창조경제의 신자본""(종합)",2015.05.11,2
77,"네이버·강원혁신센터 출범…朴대통령 ""빅데이터, 창조경제의 신자본""",2015.05.11,2
78,[제2중동붐]서비스업 붐 일으킨다..외투유치 활성화,2015.03.19,2
79,"""한강의 기적을 대동강의 기적으로"" 민주평통 토론회",2015.03.12,2
80,광복 70주년 기념 '평화통일 대토론회' 개최,2015.03.10,2
81,"신한금융투자, 최우수 국고채딜러로 선정",2015.02.25,2
82,軍장병 불의 사고로 사망하면 1억원 지급,2015.01.19,2
83,"감사원 ""민간 금융사 급여 줄어도, 금융공공기관 급여 꾸준히 올라""",2015.01.15,2
84,외교부는 기업지원부로 변신중...지난해 64억달러 수주 지원,2015.01.15,2
85,온실가스 배출권거래 첫날 1150t 거래…t당 8640원,2015.01.12,2
86,공공기관 87% 방만경영 개선 이행…매년 2000억원 절감,2014.12.29,2
87,세종시는 농협銀이 접수…지점·출장소 40%가 농협,2014.12.16,2
88,"정부, 영화투자사式 상생협력사 만든다",2014.12.05,2
89,"정부, 기업은행 지분 3.8% 블록딜…매각 수입 3108억원",2014.12.05,2
90,신한금융투자 등 5개사 우수PD 부총리 표창,2014.11.14,2
91,<오늘 국감 일정>,2014.10.21,2
92,<10월21일 국감 일정>,2014.10.20,2
93,<오늘 국감 일정>,2014.10.17,2
94,<10월17일 국감 일정>,2014.10.16,2
95,'엔저 피해' 日수출기업 환변동보험료 절반 인하,2014.10.08,2
96,류길재 통일 장관의 1회 강연료는 얼마?,2014.10.07,2
97,"감사원 ""공공기업 방만경영 '매우 심각'""",2014.10.07,2
98,"신제윤 ""주식시장활성화대책 10월 중 발표""",2014.10.02,2
99,기술금융 혁신평가 'TECH' 10월부터 공개,2014.09.18,2
100,"김우중""북한 개방과 동북3성 진출 양동작전 펴야""",2014.09.07,2
101,안전예산 새로 개편…내년 14조원으로 확대,2014.08.29,2
102,"朴대통령 ""금융보신주의 팽배…이번 기회에 혁파해야""",2014.08.26,2
103,"정부, 소상공인 위한 120억 규모 대출재원 조성",2014.08.26,2
104,한국 기업 지린성 등 중 동북 3성 몰린다...지린성 투자 62%↑,2014.07.29,2
105,"류길재 장관""통일은 분단극복, 통일은 기회""",2014.07.03,2
106,IBK銀 북한이탈주민 정착지원 앞장선다,2014.07.02,2
107,中企 R&D자금 3000억원 저리 융자 지원,2014.06.26,2
