,Title,Date,Category
0,"日료칸 주인 ""28년 동안 이런 한일 관계 처음""…가고시마현은 한인 관광객 65% 급감",2019.12.26,2
1,[양낙규의 Defence Club]업그레이드 된 우리 군의 정찰능력은,2019.12.23,2
2,"테러지원국 북한, '테러로부터 안전한 곳' 평가 받아",2019.11.27,2
3,"日 G20 외교장관회의, 韓참석자 여전히 미정…지소미아 촉각",2019.11.22,2
4,"北 ""북미대화의 문 좁아지고 있다"" 테러지원국 재지정 반발",2019.11.05,2
5,"'버닝썬' 김상교 ""진보단체 인사, '제2국정농단' 만들자고 제안""",2019.10.25,2
6,"[2019 국감] ""年100억 이상…출국납부금, 항공사만 배불린다""",2019.10.03,2
7,"韓관광객 감소에 급해진 日 각료들 ""국민·인적 교류 필요""(종합)",2019.08.22,2
8,"日, 韓관광객 감소에 '신음'…외무상 ""국민 교류 적극적으로 해야""",2019.08.22,2
9,"채이배, ‘물컵 갑질’ 조현민 복귀에…한진그룹 방지법 촉구",2019.06.11,2
10,[양낙규의 Defence Club]빨라진 한미일의 한반도 정찰활동,2019.04.22,2
11,태극기 수난시대…대통령 전용기에도 거꾸로 걸려(종합),2019.04.16,2
12,태극기 수난시대…대통령 전용기에도 뒤집힌 채 걸려,2019.04.16,2
13,韓-인도네시아 방산협력위…수리온 수출대비 협력 논의,2019.04.09,2
14,"이언주 “조양호, 사실상 文정권·좌파 운동권들이 죽인 것”",2019.04.09,2
15,"조양호 회장, 대한항공 주총 후 병세 악화…운구 절차 미정",2019.04.08,2
16,"홍준표 “조양호, 文정권 첫 피해자…국민연금 악용해 기업 빼앗아”",2019.04.08,2
17,"향군, 美워싱턴 '추모의 벽' 성금 5억2000만원 모금 완료",2019.04.01,2
18,"""87 대선전 김현희 데려와야""",2019.03.31,2
19,"北탐지 힘든 스텔스기 도입…""전쟁억제 역할할 것""",2019.03.29,2
20,"與, 대한항공 조양호 퇴진에 ""주주혁명…긍정신호로 해석되길""",2019.03.28,2
21,"국내 방산업체컨소시엄, 美스텔스기 F-35 정비업체 선정",2019.02.12,2
22,"CIA 기밀해제 보고서 ""北, 암살·파괴 등 테러훈련소 운영""",2019.01.27,2
23,"대한항공에 칼 빼드나…문 대통령 ""대기업 탈법에 스튜어드십 코드 적극 행사""(종합)",2019.01.23,2
24,"문 대통령 ""대기업 탈법에 국민연금 스튜어드십 코드 적극 행사""",2019.01.23,2
25,"나경원 ""손혜원 징계요구안 제출할 것…거취 스스로 정해야""",2019.01.17,2
26,[양낙규의 Defence Club]국내 무인정찰기… 연이은 추락에 불량부품까지,2018.12.08,2
27,방산 중소기업의 힘… 국산화 부품 선두주자,2018.11.19,2
28,"與 “한국당, 양진호 갑질 처벌할 ‘직장 내 괴롭힘 방지법’ 가로막아”",2018.11.02,2
29,"문 대통령, 프랑스 총리에 ""EU의 철강 세이프가드에서 한국산 제외"" 요구(종합)",2018.10.17,2
30,"문 대통령 ""한국-프랑스 항공 운항 횟수 증대하자""(종합)",2018.10.16,2
31,"문 대통령 ""한국-프랑스 항공 운항 횟수 증대하자""",2018.10.16,2
32,"""항공사 승무원 유니폼, 기내업무와 안 맞아…부인과 질환까지""",2018.10.11,2
33,올해 국감도 기업인 '줄소환'·'무한대기' 반복되나,2018.10.01,2
34,[드론 스토리]'백병전 종언'…영화로 본 드론전쟁,2018.09.30,2
35,[양낙규의 Defence Club]AI전투 국내 군사기술로 가능할까,2018.09.30,2
36,국방부 “군사분야 합의서 시행되면 일부 정찰능력 제한”,2018.09.20,2
37,"[양낙규의 Defence Club]남북, 북한 상공비행도 합의할까",2018.09.19,2
38,[양낙규의 Defence Club]평양공항엔 대통령전용기가 2대였다,2018.09.18,2
39,"""쿠웨이트서 우리 국민 19명 메르스 검진…12일 결과""",2018.09.11,2
40,[양낙규의 Defence Club]배치 전부터 추락하는 대대급 무인기,2018.09.06,2
41,"양향자 與최고위원 ""삼성 백혈병 갈등 해결 다행…선배로서 책임감 느껴""",2018.07.23,2
42,"김도읍 ""국토부, 대한항공·아시아나 수익 보전을 위해 부산~유럽 노선 취항 저지""",2018.07.15,2
43,"[양낙규의 Defence Club]한화, 카이 지분 매각 의미는",2018.07.14,2
44,[양낙규의 Defence Club]대통령전용기 재임대로 가닥잡나,2018.07.05,2
45,"추미애 ""기무사 세월호 사찰, 묵과할 수 없는 국기 문란""",2018.07.04,2
46,"박창진 ""대한항공, 오너갑질 항의한 직원 4명 부당전보 취소하라""",2018.07.04,2
47,[양낙규의 Defence Club]북이 언급한 우리군 정찰능력은,2018.06.23,2
48,‘승무원 출신’ 권수정 “8년 만에 진보정당 시의원…어깨가 무겁다”,2018.06.14,2
49,[양낙규의 Defence Club]해상초계기 사업 에어버스 도전장… 3파전으로,2018.05.17,2
50,"남경필 ""민주당, 이재명 교체하라…음성파일 공개는 고민중""",2018.05.14,2
51,지방선거 하루 전 北·美회담…판세에 영향 줄까,2018.05.11,2
52,2파전된 해상초계기 사업… 불붙은 홍보전,2018.05.09,2
53,"女탁구, 세계선수권서 27년 만에 전격 단일팀 구성(종합)",2018.05.03,2
54,"[양낙규의 Defence Club]휴전회담은 ‘2년’, 종전회담은 ‘하루’",2018.04.28,2
55,[판문점 선언]군사적 충돌 전면중지…  北 60년 도발행위 멈추나,2018.04.27,2
56,말레이 국제 방산전시회 국내방산중소기업 전진배치,2018.04.18,2
57,"김진숙 민중당 ""조현민, 경영 일선서 물러 나라""",2018.04.16,2
58,"추미애 “대한항공, 국적기 지위 계속 부여할 지 검토해야”",2018.04.16,2
59,"정의용 ""한미, 北 비핵화 기본 방향 이견 없다는 점 확인""",2018.04.13,2
60,[부고]박동섭 이오시스템 전무 모친상,2018.04.03,2
61,[양낙규의 Defence Club]문정부 ‘6ㆍ25전쟁 종전선언’ 가능할까,2018.03.24,2
62,"긴박한 한반도 정세…""누구도 해보지 않은 게임이 시작됐다""",2018.03.12,2
63,"정의용 실장, 베이징으로 출국…시진핑 中 주석 면담",2018.03.12,2
64,F-35 1호기 출고… 추가 도입 가능성은,2018.03.02,2
65,"'배추보이' 이상호 은메달, 金보다 값비싼 이유",2018.03.01,2
66,"""폭침 주범 정권따라 바뀌냐"" 천안함 유족들의 분노",2018.02.26,2
67,[리얼타임 평창] 2관왕 최민정 1억1025만원…메달리스트 포상금 얼마?,2018.02.25,2
68,[이방카 방한]평창 폐회식 전후 이방카와 김영철의 '24시간',2018.02.23,2
69,"[단독]'퍼스트 도터' 이방카, 대한항공 타고 온다",2018.02.22,2
70,'대통령 전용기' 구입 VS 임차…20대 국회의 결정은,2018.02.18,2
71,"이재용 재판, 전원합의체로 넘어가나...법조계 ""가능성 높아""",2018.02.06,2
72,"민주당 ""근로시간단축法, 기업 의견 반영해 재추진…이견 좁혀나갈것""",2018.01.15,2
73,"박용만 대한상의 회장 ""민주당-경제계 팀플레이 위해 노력하겠다""",2018.01.15,2
74,"美대북 전문가 ""'88올림픽'처럼 평창올림픽도 북미대화에 활용해야""",2018.01.10,2
75,막판에 또 늘어지는 박근혜 재판...2월 중순 넘길 듯,2018.01.03,2
76,"中외교부, 기자폭행 ""진상파악 뒤 필요 조치, 우발적 불상사""",2017.12.15,2
77,발리섬에 고립됐던 266명 아시아나전세기 타고 귀국,2017.12.01,2
78,"군, '북 지휘부 제거' 특임여단 개편 및 항공정보단 창설",2017.12.01,2
79,[양낙규의 Defence Club]75일만에 도발… 왜?,2017.11.29,2
80,[초동여담]대통령 전용기,2017.11.22,2
81,"한인 85명 입국거부 ""관광 아닌 영리 목적이라 거부""(종합)",2017.11.22,2
82,"트럼프, 北 테러지원국 재지정‥최고 수준 제재와 압박 다짐",2017.11.21,2
83,"트럼프, 9년만에 北 테러지원국 지정…'테러지원국이란?'",2017.11.21,2
84,"트럼프, 9년만에 北 테러지원국 재지정…""살인정권"" 비난",2017.11.21,2
85,"'땅콩회항 피해자' 박창진, 대한항공에 소송…""인사보복 당했다""",2017.11.20,2
86,"[군사이야기] 킬체인의 눈, 백두·금강 정찰기",2017.10.30,2
87,"美하원, 틸러슨에 '北 테러지원국 재지정 촉구' 서한",2017.10.26,2
88,[기밀해제의 정치학]①알면 충격 받을 미국의 '핵전쟁' 준비는?,2017.10.24,2
89,"[2017국감]항공기내 성희롱 급증…""예방대책 절실""",2017.10.23,2
