,Title,Date,Category
0,"산업부-7개 경제자유구역청, '경제자유구역 혁신 추진협의회' 개최",2019.11.19,2
1,"김수현 靑정책실장 ""文정부 2기, 기대→평가 바뀌는 시점…민심 엄중함 새겨""",2019.01.20,2
2,이재용의 삼성 사업장 방문 요청에 문 대통령 “공장·연구소 만들면 언제든지”,2019.01.15,2
3,"기업인들 청와대 초청한 문 대통령 ""고용 창출에 앞장서 달라""",2019.01.15,2
4,"문 대통령 ""좋은 일자리 만드는 것은 기업…정부는 '도우미' 돼야""",2018.10.04,2
5,"장영철 강남구청장 후보 ""문화 관광산업 활성화""",2018.06.06,2
6,"대기업집단 3곳중 2곳, 오너家가 비상장 계열사 주식 20%이상 소유",2018.05.13,2
7,[공직자 재산공개]'지방선거 D-72' 출사표 던진 국회의원 재산내역은,2018.03.29,2
8,"식약처, 바이오시밀러 영문 허가심사결과 2건 공개",2016.12.13,2
9,셀트리온 등 혁신형 제약기업 4곳에 복지부 장관 표창,2016.11.24,2
10,대기업집단 지정기준 5조원→10조원으로 상향,2016.06.09,2
11,위기 넘어 위기…취임 한달 風浪 맞은 유일호,2016.02.11,2
12,'답은 현장에?'…경제 수장들의 현장방문 遺憾,2016.02.09,2
13,세계 수출 6위 상승…무역유공자 등 2008명 수상,2015.12.07,2
14,제52회 무역의날…서경배 회장 등 금탑산업훈장 수상,2015.12.06,2
15,주민참여 이끄는 ‘대전·충청권 명예시장·도지사들’,2014.10.26,2
16,"[6·4선거 후보 릴레이인터뷰]송영길 인천시장 ""아시안게임에 인천 운명 달렸다""",2014.02.19,2
17,"한국폴리텍대학 ""바이오캠퍼스 러닝팩토리 개관…취업 경쟁력↑""",2019.11.29,3
18,"산업부-7개 경제자유구역청, '경제자유구역 혁신 추진협의회' 개최",2019.11.19,3
19,"에이치엘비, 10월 거래대금 11兆…삼성전자 제치고 '1위'",2019.11.04,3
20,"디센트 월렛, 카카오 ‘클레이튼’ 메인넷 지원하는 최초의 콜드월렛 된다",2019.10.29,3
21,"산은, 셀트리온과 최대 2000억  규모 바이오헬스 육성펀드 조성키로",2019.09.18,3
22,송도 '바이오클러스터' 확대 조성…11공구 용지 확대·재배치 의결,2019.06.29,3
23,"셀트리온스킨큐어, 민감피부 위한 더마 코스메틱 브랜드 '셀베리어' 론칭",2019.02.26,3
24,"LH, 영종하늘도시 3단계 유보지 개발 '6전7기'",2019.01.08,3
25,"[벤처천억 클럽 리포트]매출은 '네이버', 영업이익률은 '던파' 네오플",2018.11.01,3
26,"고형권 차관, 셀트리온 방문…""건의사항 패스트트랙으로 검토""",2018.10.10,3
27,10대 그룹 내부거래 비중 더 늘었다…SK 42兆로 최대,2018.10.10,3
28,'김상조 친정' 까지 비판하자…해명 나선 공정위,2018.09.11,3
29,"김상조의 '친정' 참여연대, ""공정위 지주회사 새 규제, 文공약 위반한 것""",2018.09.03,3
30,"박용진 ""공정위 지주사 개편안, SK·셀트리온 봐주기 의혹""",2018.08.30,3
31,지주회사의 민낯…내부거래 비중 55%,2018.07.03,3
32,"대기업집단 3곳중 2곳, 오너家가 비상장 계열사 주식 20%이상 소유",2018.05.13,3
33,[공직자 재산공개]국토부 고위직의 재테크 전략…다주택 팔고 강남 '똘똘한 한채' 보유,2018.03.29,3
34,"대한상의, 상공의날 기념식 개최...현대제철·유한양행 금탑산업훈장 수훈",2018.03.21,3
35,아시아경제 오늘의 뉴스 - 종합 Top10,2018.03.09,3
36,남북 정상회담 소식에 원·달러 환율 큰폭 하락,2018.03.07,3
37,"대기업들, 4차산업 계열사 늘렸다",2018.02.01,3
38,"[아시아경제TV]코스피·코스닥, 외국인·기관 동반매수세에 상승마감",2018.01.23,3
39,"[아시아경제TV] 코스피·코스닥, 외국인 순매도에 동반 하락",2018.01.22,3
40,1% 미만 총수가 계열사 지배…상위 10대 재벌들이 더 심해,2017.11.30,3
41,"삼성家, 포브스 선정 亞 두번째 부호가문…1위 인도 암바니家",2017.11.20,3
42,지주회사 전년比 19% 증가한 193개…넥슨·SM 신설·롯데 제외,2017.11.02,3
43,"[코스닥을 살려라]""상장기준 낮추고 세제 혜택 줘야""",2017.11.01,3
44,[코스닥을 살려라]혁신기업 자본토대 코스닥이 성장판,2017.10.31,3
45,올해 3분기 IPO 시장 숨고르기…大魚의 부재,2017.10.02,3
46,올 상반기 보건산업 수출 6조1000억,2017.09.25,3
47,오늘 읽어야 할 아경 종합뉴스 Top10,2017.09.15,3
48,자회사 주식 보유기준 미달한 셀트리온홀딩스에 24억 과징금,2017.09.07,3
49,오늘 읽어야 할 아경 종합뉴스 Top10,2017.09.06,3
50,"이준혁 한화운용 밸류운용팀장 ""중소형주 더 간다""",2017.08.30,3
51,[차장칼럼]中企지원은 복지 아닌 투자,2017.08.21,3
52,IPO 흥행에도 죽쑨 공모주펀드,2017.08.03,3
53,"헬스케어펀드, 수익률 반전 성공",2017.08.01,3
54,[굿모닝 증시]지수 추가하락 제한적… 조정 때 '비중확대' 고려,2017.04.20,3
55,[최동현의 스톡스톡]성공적 IPO투자를 위한 꿀팁 5가지,2017.04.19,3
56,"면세점업계, 5월 황금연휴 해외 여행객 잡기 총력(종합)",2017.04.16,3
57,"HDC신라면세점, 내국인 고객 대상 1만원 선불카드 증정 등 할인 이벤트",2017.04.16,3
