,Title,Date,Category
0,"[아시아초대석]""농가소득 5000만원…6차산업화·태양광 타고 간다""",2017.08.07,2
1,"김병원 농협 회장 ""연말 조직개편…중복기능 통폐합""",2016.09.22,2
2,"수도권 자동차연료 환경품질등급 ""세계 최고""",2015.02.09,2
3,"[아시아초대석]""농가소득 5000만원…6차산업화·태양광 타고 간다""",2017.08.07,3
4,한국야쿠르트·유한양행 등 59개사 '노사문화 우수기업' 선정,2017.07.04,3
5,"NH농협銀, 베트남 하노이지점 신설 본인가 획득",2016.11.06,3
6,"김병원 농협 회장 ""연말 조직개편…중복기능 통폐합""",2016.09.22,3
7,"남해화학, 2022억 규모 화학비료 납품 계약",2015.01.09,3
8,한국야쿠르트·유한양행 등 59개사 '노사문화 우수기업' 선정,2017.07.04,4
9,"남해화학, 농업 테마 상승세에 5.92% ↑",2020.08.10,5
10,"남해화학, 태풍 및 장마 테마 상승세에 7.21% ↑",2020.08.06,5
11,긴 장마에 관련株 '주목',2020.08.04,5
12,"남해화학, 태풍 및 장마 테마 상승세에 2.86% ↑",2020.07.06,5
13,"남해화학, 2277억원 규모 공급계약 체결",2020.01.21,5
14,"【급상승】 제약ㆍ바이오 상승 지속?!, 지금 빠르게 매수해야 할 ‘이 종목’은?",2019.11.01,5
15,[토픽] 아프리카돼지열병의 여파! 돼지고기 가격의 하락세,2019.10.31,5
16,"[특징주]KC코트렐, 미세먼지 배출조작 전국 산단 전수조사 '강세'",2019.04.22,5
17,[e공시 눈에 띄네]코스피-29일,2019.04.01,5
18,"남해화학, 주당 50원 현금배당 결정",2019.03.06,5
19,[e공시 눈에 띄네]코스피-30일,2019.01.31,5
20,[e공시 눈에 띄네]코스피-28일,2019.01.29,5
21,"[특징주]남해화학, 북미 정상회담 기대감에 3%↑",2019.01.16,5
22,[e공시 눈에 띄네]코스피-24일,2018.12.26,5
23,"남해화학, 여수그린에너지주식회사 주식 전부 처분 결정",2018.12.24,5
24,남북 '산림협력' 기대감에 경농·아시아종묘 등 관련株 강세,2018.10.23,5
25,[특징주] 北 비료 지원 선행 가능성…조비 등 비료株 ‘급등’,2018.06.15,5
26,[e공시 눈에띄네]코스닥-7일,2018.06.08,5
27,"남해화학 ""유진오일과 석유제품 판매대리점 계약 중단""",2018.06.07,5
28,남북정상회담 앞…다시 요동치는 '통일대박주',2018.04.19,5
29,"네이버, 매출의 4분의 1 R&D에 투자…500대 기업 中 '톱'",2018.04.18,5
30,"남해화학, 보통주 주당 80원 현금배당",2018.02.21,5
31,"남해화학, 지난해 영업익 281억…전년 比 120%↑",2018.01.30,5
32,"남해화학, 지난해 영업익 281억…전년比 120%↑",2018.01.30,5
33,"남해화학, 1813억 규모 상품 공급계약",2018.01.10,5
34,"남해화학, NH농협은행과 77억 규모 예금 거래",2017.05.17,5
35,[e공시 눈에 띄네]코스피-15일,2017.05.16,5
36,"남해화학, 계열사로부터 50억규모 특정금전신탁 매수",2017.05.15,5
37,"남해화학, 이광록 신임대표 선임",2017.02.09,5
38,"남해화학, 작년 영업익 127억원…전년比 47%↓",2017.02.09,5
39,"남해화학, 다음달 9일 주주총회 소집",2017.01.24,5
40,[e공시 눈에 띄네]코스피-6일,2017.01.09,5
41,"남해화학, NH농협은행에 107억원 외화정기예금 예치",2016.08.05,5
42,"남해화학, 5월31일 임시주총 소집",2016.04.14,5
43,"남해화학, 대표이사 강성국→전기식 변경",2016.03.30,5
44,"남해화학, 1722억원 규모 화학비료 구매납품계약",2016.01.08,5
45,[머니VIEWS]방울만한게…돈버는 株특기가 있네,2015.06.24,5
46,농업·수처리 테마株 '가뭄에 단비',2015.06.22,5
47,"남녀직원 연봉격차 2600만원…""점점 줄어""",2015.03.18,5
48,"남해화학, 2022억 규모 화학비료 납품 계약",2015.01.09,5
49,"[마켓포커스]현대상선, 남북 훈풍 타고 '급등'",2014.10.06,5
50,[특징주]풍국주정 등 한전부지 인근땅 보유기업株↑,2014.09.29,5
51,,,6.0
52,,,7.0
53,"여수시, 국가산단내 협약기업 인력채용 ‘여수시민가점제’ 성과 올려",2020.08.04,8
54,"전남도, 양파·마늘 사주기 운동으로 농심 달랜다",2019.06.17,8
55,"전남도, 고흥만 간척지 ‘스마트팜 혁신밸리’ 유치",2019.03.28,8
56,"전남도, 스마트팜 혁신밸리 산·학·연·관 업무협약",2019.02.25,8
57,"전남도, 9월 말 까지 ‘204개 기업과 5조 규모’ 투자협약",2018.09.23,8
58,"전남혁신센터, 18일 여수서 기업·청년 구직자 만남의 장",2018.09.16,8
59,"전남도, 한일합작 500억 기획 투자유치",2018.08.27,8
60,‘여수시민 채용 가점제’ 금호석유화학 4개 계열사도 동참,2018.07.27,8
61,한국도자재단 이사장에 김준호 수원대 교수,2018.05.02,8
62,"여수시, 시민 채용 가점제 동참 기업 3곳으로 늘었다",2018.04.16,8
63,"전남도, 우기종부지사 일본닛폰소다에 투자요청",2018.02.22,8
64,"전남대, 친환경 · 스마트 농축산업 육성 MOU체결",2018.02.09,8
65,"남해화학㈜, 신입사원 채용공고 ‘여수시민 가점제’ 첫 적용",2018.01.29,8
66,"여수광양항만공사, 제2기 청렴감시관 위촉",2017.08.08,8
67,"전남농협, ‘범농협 임직원 농촌일손돕기’실시",2017.06.11,8
68,"여수시,교복나눔 캠페인 대표 나눔문화 도약",2017.02.27,8
69,"여수광양항만공사, '16년도 종무식 개최",2016.12.30,8
70,장흥군 농촌마을에 활력을... ‘또 하나의 마을 만들기’,2016.10.26,8
71,"광주 북구, 29~30일 노사 공동선언·상생워크숍 개최",2016.08.23,8
72,"장흥군-남해화학, 장흥국제통합의학박람회 성공개최 MOU",2016.07.19,8
73,제41회 진도 군내면민 한마당 잔치 성료,2016.05.07,8
74,[부고]김상철(남해화학 상임감사)씨 부친상,2015.08.04,8
75,"여수시-롯데케미칼, 상생발전 업무협약 체결",2015.07.06,8
76,"무안군, 고품질 양파·마늘 생산 위해 칼슘유황비료 지원",2015.06.03,8
77,"여수시, ‘상생발전 동참 기업 안내판’ 설치해 ‘눈길’",2015.03.25,8
78,"민변 ""사내하청 불법파견 대법 판결 너무 늦었다""",2015.02.27,8
79,"여수시-남해화학 여수공장, 상생 업무협약 체결",2015.02.24,8
80,,,9.0
81,,,10.0
82,,,11.0
