,Title,Date,Category
0,"중견기업 현장최고위 개최한 민주...이해찬 ""유럽엔 재벌 개념 없어""",2019.06.07,2
1,"朴대통령 ""일자리 하나라도 더 만드는 기업이 애국기업""(종합)",2016.03.17,2
2,오뚜기·쿠팡·넷마블 등 고용창출 100대 우수기업,2016.03.17,2
3,"朴대통령, 일자리 많이 만든 기업 100곳에 인증패 수여",2016.03.17,2
4,"무역보험公, 체코 투자진흥공사와 투자확대 손잡아",2015.12.03,2
5,"朴대통령, 노동시장 개혁 통한 일자리창출 독려",2015.03.25,2
6,"정부, 체코 민관 경제사절단 파견…""경제협력 확대""",2014.09.24,2
7,"GS리테일, 넥센타이어와 손잡고 타이어 렌털 서비스 실시",2020.08.04,3
8,"'렌탈·생활 월납을 한 번에'…신한카드, 딥 원스 카드 출시",2020.02.03,3
9,대리점의 '최저판매가' 통제한 금호·넥센타이어 적발,2019.04.30,3
10,"""시간은 금호타이어 편 아니다""…운명의 2월 맞은 금타, P플랜이냐 매각이냐",2018.02.08,3
11,"하나카드, 넥센타이어 카드 출시",2017.11.13,3
12,국내서 벽에 부딪힌 은행들 글로벌 IB사업 확장에 사활,2017.08.22,3
13,"[포토]NH농협카드, 쇼핑·렌탈 제휴카드 3종 출시",2017.08.10,3
14,"우리은행, 넥센타이어 체코공장 신축자금 3억 유로 금융주선 성공",2017.07.05,3
15,본격적인 장마철 시작…보송보송한 휴가 보낼 장소는,2017.07.01,3
16,“박삼구 당장 해임하라” 금호타이어 채권단 부글부글,2017.06.21,3
17,"채권단-박삼구, 금호타이어 强 대 强 전면전(종합)",2017.06.20,3
18,"금호타이어 채권단 ""7월 초까지 상표권 문제 마무리…이후 유동성 부족""(상보)",2017.06.20,3
19,"500대 기업 CEO, SKY 출신이 절반",2017.04.12,3
20,연초부터 몰아치는 공매도 바람,2017.02.10,3
21,[0.1%가 사는 집]강남아파트 뛰어넘는 초고가빌라,2017.02.04,3
22,"KB국민카드, 타이어 렌탈 요금 할인 ‘넥센타이어 KB국민카드’ 출시",2017.01.25,3
23,"넥센타이어, '한·미 굿 디자인 어워드'서 7개 부문 수상",2017.01.16,3
24,[2017년 산업전망] 타이어 시장 위축… 車 수요 감소·원자재 가격 상승,2016.12.31,3
25,"넥센타이어, '렌탈서비스' 홈쇼핑 2차 판매 시행",2016.12.13,3
26,"넥센타이어, 넥스트레벨 출시 기념 홈쇼핑 진출",2016.11.07,3
27,"대한민국-체코, 동반자 관계 강화 논의…강남대 주최 ‘제2차 한-체코 미래포럼’서",2016.11.04,3
28,[막오른 금호타이어 인수전]매물로 나온 글로벌 12위 기업… 타이어업계 지각변동,2016.09.20,3
29,"CJ제일제당, 농협 주관 ‘우리쌀 소비촉진 우수기업’ 선정",2016.09.09,3
30,"공정위, 한국·금호·넥센타이어 '가격결정 부당 개입' 조사",2016.08.22,3
31,"넥센타이어, 옥션과 휴가철 프로모션 진행",2016.08.08,3
32,"넥센타이어, 강호찬 대표와 멘토링 이벤트 진행",2016.07.26,3
33,"넥센타이어, 농산물 소비촉진 위한 상생마케팅 진행",2016.07.22,3
34,"넥센타이어, 고척돔에서 '넥센타이어데이' 행사 개최",2016.07.19,3
35,"넥센타이어, '이달의 히어로' 선정 캠페인 진행",2016.06.13,3
36,"넥센타이어, 국내외 연주회 후원 마케팅 강화",2016.05.25,3
37,"넥센타이어, 유럽 최대 타이어 전시회 '라이펜 2016' 참가",2016.05.19,3
38,"넥센타이어, 1분기 영업익 579억원..전년比 12.9% ↑",2016.04.27,3
39,"넥센타이어, 포뮬러 드리프트와 파트너십 체결",2016.03.23,3
40,오뚜기·쿠팡·넷마블 등 고용창출 100대 우수기업,2016.03.17,3
41,"넥센타이어, '2016 넥센 골든타이어 어워즈' 개최",2016.01.22,3
42,"넥센타이어, 맨시티 FC와 국내 TV 광고 개시",2016.01.06,3
43,"넥센타이어, '스피드레이싱 엔페라컵' 최종 라운드 개최",2015.10.29,3
44,"넥센타이어, FCA사 '품질 우수 기업' 선정",2015.09.16,3
45,노동개혁 시동…기업들의 현주소는?,2015.09.15,3
46,"'추석 바캉스' 11번가, 호텔숙박권 특가 판매… 판매량 121% ↑",2015.09.11,3
47,"타이어 빅2, '중남미' 뚫는다",2015.08.11,3
48,"'넥센타이어 스피드레이싱' 4라운드, 인제 스피디움서 개최",2015.08.06,3
49,바캉스 시즌…장거리 안전운행 돕는 자동차용품 불티,2015.07.16,3
50,"넥센타이어, '여름맞이 고객 사은 이벤트' 시행",2015.07.07,3
51,"딱딱한 철강·정유社들, 귀요미 캐릭터에 빠졌다",2015.06.19,3
52,"넥센타이어, 글로벌 고객만족도 타이어부문 6년연속 1위",2015.06.19,3
53,"우리카드, 해외직구 배송료 할인…6월 한달간 이벤트 진행",2015.06.11,3
54,‘넥센타이어 스피드레이싱 엔페라컵’ 2라운드 개최,2015.05.07,3
55,상하이는 지금 '車王별희' 연가,2015.04.24,3
56,"넥센타이어, ‘엔페라 체험단 2기’ 운영",2015.04.21,3
57,"[상하이모터쇼]넥센타이어, ‘ROADIAN CT8’ 등 신제품 공개",2015.04.20,3
58,"대한타이어공업협회, 59년만에 명칭 변경",2015.04.20,3
59,"넥센타이어, ‘청소년 캐릭터 공모전’ 시상식 개최",2015.04.17,3
60,"넥센타이어, 美메이저리그 마케팅 강화",2015.04.14,3
61,"넥센타이어, 獨전문지 테스트서 '최고등급'",2015.03.20,3
62,"넥센타이어, 프리미엄 엔페라 ‘新명품보증제’ 시행",2015.03.12,3
63,"체코 총리, “넥센타이어 체코 신공장 기대”",2015.02.27,3
64,"타이어 3사, ‘스포츠 마케팅’으로 경쟁력 높인다",2015.02.25,3
65,"넥센타이어, 글로벌고객만족도 타이어 부문 11년 연속 1위",2020.08.31,4
66,매출 20배 디지털 물류…다음 핫스팟으로 서비스 넓힌다,2020.08.20,4
67,"넥센타이어, 2분기 영업손실 224억 원…적자전환",2020.08.14,4
68,'2020 넥센타이어 스피드레이싱' 16일 개막,2020.08.14,4
69,"넥센타이어, 日브리지스톤 출신 임원 영입…""미래기술 확보""",2020.07.27,4
70,"넥센타이어, 8세대 폭스바겐 골프에 신차용 타이어 공급",2020.07.20,4
71,"넥센타이어, AI 빅데이터 활용 타이어 소음 저감 시스템 개발",2020.07.13,4
72,"넥센타이어, 여름맞이 구매고객 대상 사은 이벤트",2020.07.10,4
73,"넥센타이어, GM '올해의 우수품질 공급업체' 6년 연속 선정",2020.07.08,4
74,"넥센타이어, '퍼플 라이브, 디지털' 통해 온라인 소통 강화",2020.06.16,4
75,"넥센타이어, e스포츠 대회 '맨시티 FIFA 20 CUP' 메인 파트너 참여",2020.06.12,4
