,Title,Date,Category
0,,,2.0
1,"조성욱 공정위원장 ""대·중소기업 상생협력은 '시혜' 아닌 '생존' 문제""",2019.12.13,3.0
2,"김동연 ""삼성, 바이오산업 관련 규제완화 요청""…'구걸 논란' 일축(종합)",2018.08.06,3.0
3,"김동연, 이재용 부회장 만나 '혁신성장' 소통한다",2018.08.06,3.0
4,"김상조 ""대기업들, 상생 통해 2차 이하 협력사 경영개선도 도와야""",2018.04.06,3.0
5,"전자진흥회, 회장에 김기남 삼성전자 사장 선임",2018.02.21,3.0
6,"삼성, 협력사·구직자 위한 '협력사 채용 한마당' 개최",2017.11.06,3.0
7,"안충영 동반위원장 ""저성장·양극화 해법은 동반성장""",2015.12.17,3.0
8,펀드 매니저도 '식스센스'‥갤럭시S6 수혜주 쇼핑,2015.04.16,3.0
9,우리나라 과학기술 발전 기여 과학기술인 12명 선정,2019.12.17,4.0
10,"삼성전자, '2019 삼성 협력회사 채용 한마당' 개최",2019.10.15,4.0
11,경제 동반자…뭉쳐야 뜬다,2019.04.30,4.0
12,'전자산업의 산증인' 김정식 대덕전자 회장 별세,2019.04.11,4.0
13,"김기남 삼성전자 부회장 ""반도체 시장 상황 예측 어렵지만…""(종합)",2019.03.28,4.0
14,"김기남 삼성전자 부회장 ""협력사와 삼성은 함께 가는 동반자""",2019.03.28,4.0
15,삼성전자·현대차 등 대-중기 임금격차 해소위해 3년간 6.2조 투입,2018.10.10,4.0
16,[文정부 동반성장지수] 롯데건설·현대백화점 등 '우수' 62개사,2018.06.27,4.0
17,"삼성 끌고 협성회 밀고…'위드'의 힘, 역사를 쓰다",2018.04.26,4.0
18,"삼성전자-협력사, 상생협력·동반성장 다짐",2018.04.06,4.0
19,"전자진흥회, 회장에 김기남 삼성전자 사장 선임",2018.02.21,4.0
20,"삼성전자, 협력사 직원 안전까지 책임진다",2017.11.24,4.0
21,"김현석 삼성전자 CE부문장, 동반성장위원장과 면담",2017.11.06,4.0
22,"삼성, 협력사·구직자 위한 '협력사 채용 한마당' 개최",2017.11.06,4.0
23,"삼성전자, ""환경 안전이 경영의 제1원칙""",2017.10.24,4.0
24,[협력과 상생…'그린' 삼성전자] 협력사 환경안전 불 밝히는 삼성,2017.07.26,4.0
25,"삼성전자, 협력사 환경안전 책임자 400명 워크숍",2017.07.18,4.0
26,[동반성장지수]가온전선·대덕전자 등 '양호' 58개사,2017.06.28,4.0
27,"산단공, 반월ㆍ시화ㆍ시화MTV단지 유관기관 합동 안전점검",2016.05.04,4.0
28,삼성-협력사 동반성장 협약식…9815억 자금지원,2016.03.16,4.0
29,"안충영 동반위원장 ""저성장·양극화 해법은 동반성장""",2015.12.17,4.0
30,펀드 매니저도 '식스센스'‥갤럭시S6 수혜주 쇼핑,2015.04.16,4.0
31,"삼성전자-협력사, ""혁신 통해 효율성 높이자"" (상보)",2015.03.11,4.0
32,"권오현 삼성전자 부회장 ""협력사와 상생협력프로그램 강화""",2015.03.11,4.0
33,"[클릭 e종목]""대덕전자, 3분기 실적 기지개 켤 준비""",2020.08.20,5.0
34,"【전문가의견】 휘발유차 전기차가 완전 대체, 2차전지주 주목해야",2020.07.31,5.0
35,“아직도 추천주를 돈내고 받으세요?”,2020.07.29,5.0
36,전 적으로 저를 믿으셔야 합니다. 3탄! 한국판 뉴딜 대표 관련주 갑니다!,2020.07.18,5.0
37,"‘이용료 없는 카카오톡 종목추천’, 화제",2020.07.17,5.0
38,"7월 16일 코스피, 18.12p 내린 2183.76 마감(0.82%↓)",2020.07.16,5.0
39,"대덕전자, 최근 5일 기관 73만 4399주 순매수... 주가 1만 1150원(-5.91%)",2020.07.16,5.0
40,“주식카톡방 완전무료 선언” 파격결정,2020.07.16,5.0
41,"7월 15일 코스피, 18.27p 오른 2201.88 마감(0.84%↑)",2020.07.15,5.0
42,"【전문가의견】 전기차 점유율 폭발, 꼭 사야할 '2차전지 관련주'",2020.07.15,5.0
43,"수익 20%대...국민연금 ""식품株 고마워""",2020.06.02,5.0
44,코로나에 요동친 3월 증시…가장 많이 앓은 테마는?,2020.04.05,5.0
45,IT 업황 부담에도 애플 부품 실적 차별화 기대,2020.04.05,5.0
46,"대덕전자, 김영재 대표 체제로 변경",2020.03.27,5.0
