,Title,Date,Category
0,"최재형 감사원장 ""정치적 독립성 중요…靑과 협의해 적절한 인물 임명""",2020.08.31,2
1,종교시설 이용 코로나 환자 군에서도 발견,2020.08.14,2
2,[시시비비]건국일에 통일한국을 생각한다,2020.08.10,2
3,"주호영 ""與지도부, 국정운영 오판 커…오만이 조직 망가뜨려""",2020.07.30,2
4,19년만에 4000개 회원사…공정성·투명성 바탕 성장,2020.06.17,2
5,냉전시기 공산권 괴롭힌 '종이폭탄'… 풍선삐라 국제분쟁사,2020.06.12,2
6,[시시비비]'삐라'는 핑계...北은 '외부의 적'이 필요했다,2020.06.11,2
7,"北 '대적 사업' 전환에 태영호 ""삐라는 명분…김정은 계획 있어""",2020.06.10,2
8,"전화 안 받는 北…통일부 ""우리도 이제 전화 안 해""",2020.06.10,2
9,"北, 남북 연락채널 완전 차단·폐기…외교부 ""美 포함 관련국과 긴밀히 소통""",2020.06.09,2
10,"정세현 ""군대 동원해서라도 대북전단 살포 막아야""",2020.06.09,2
11,"北 ""남한과 모든 연락 수단 완전 차단·폐기""",2020.06.09,2
12,"北 ""남한은 적"" 규정에 …정부 ""12시 이후에 대응""",2020.06.09,2
13,남북관계 朴정부 시절로 돌아가나…北 '통미봉남' 전략 본격화,2020.06.09,2
14,"박원순 ""대북전단 살포, 남북관계 평화 해칠 수 있어""",2020.06.09,2
15,"통일부 ""北, 연락사무소 오전 전화 안 받아""…북측, 오늘부터 남북 모든 통신선 차단(상보)",2020.06.09,2
16,"윤건영 ""北 통신선 차단 사태, 합의이행으로 풀어야…철도 연결 등""",2020.06.09,2
17,"北 ""남북 간 모든 연락선 차단·폐기"" 추가행동도 시사 (종합)",2020.06.09,2
18,"[속보] '갈수록 강경' 北 ""모든 남북연락선 오늘 12시 차단·폐기""",2020.06.09,2
19,"北 ""12시부터 남북 모든 통신선 완전 차단""(2보)",2020.06.09,2
20,"與 ""상임위원 명단 제출하라""…통합 ""협상은 없고 협박만""",2020.06.08,2
21,전범기업이 만든 일본의 주력전차 ‘90식 전차’,2020.06.08,2
22,"김태년, 靑 회동서 ""법정시한 내 국회 개원·법사위 자구심사 권한 폐지해야""",2020.05.28,2
23,"서호 통일부 차관, 비무장지대 대성동 마을 실태조사",2020.05.25,2
24,"마크 내퍼 美 부차관보 ""방위비 협상 진행중, 양국 헌신적 노력""…조속 타결 중요 공감",2020.05.20,2
25,"이용섭 광주시장 “당 내 5·18 발언 사과한 주호영, 통합정치 기대”",2020.05.17,2
26,남북 철도연결 속도낸다…강릉~제진 철도건설 예타 면제,2020.04.23,2
27,부산에서 런던까지…남북철도연결 재시동(종합),2020.04.20,2
28,[21대총선]투표율 오후 3시 56.5%…전남 60.8%로 전국 최고(상보),2020.04.15,2
29,[21대총선]'사전투표 반영' 투표율 오후 1시 49.7%…전남 55.7%로 가장 높아 (상보),2020.04.15,2
30,이낙연 “지역주의 완화로 전 국민께 감동 선사해 달라” TK 찾아 지지 호소,2020.04.13,2
31,[격전지 민심-고양갑]'4선 도전' 심상정 여론조사 선두…문명순·이경환 '추격',2020.04.10,2
32,"[격전지를 가다] 경기 고양갑, 심상정 아성에 도전한 문명순·이경환",2020.04.06,2
33,상반기 'RPS 고정가격계약 경쟁 입찰' 실시…안정적 수익확보 가능,2020.04.01,2
34,"""서울을 다시 국제도시로""…미래통합당, 서울 공약 발표",2020.03.24,2
35,"'카뱅' 출신 이용우 ""수도권 규제 대전환 필요…왜 낙후된 지역까지 발목 잡나""",2020.03.20,2
36,"유시민 ""코로나 관련 정부 비난…한국 언론밖에 없어""",2020.03.14,2
37,군내 코로나19 확진자  38명,2020.03.13,2
38,'퓨처메이커' 뒤로 하고 전남 순천행 택한 천하람 젊은보수 대표,2020.03.05,2
39,"통합당, 송한섭·김은혜·신보라 전략공천…김승희·임재훈 사실상 컷오프(종합)",2020.03.04,2
40,"자객공천·태영호…한국당, 수도권 마지막 퍼즐은 홍준표?",2020.02.11,2
41,"손학규, 임재훈·장진영 등 해임…당직자들 '당 정상화' 촉구",2020.02.04,2
42,"통일부 ""남북 철도연결 추가조사 필요…실무적 준비 계속""",2020.01.22,2
43,"YS 차남 김현철 ""대통령이 국민 개돼지로 보고 능멸""",2020.01.15,2
44,"통일부 ""남북 철도연결 정밀조사 필요…이후 단계적 추진""",2019.12.23,2
45,[인사]한국동서발전,2019.12.21,2
46,"통일부 ""남북철도연결, 대북제재위 승인시 공사 추진 가능""",2019.12.18,2
47,"모종화 신임 병무청장 ""공정한 병역문화 정착시킬 것""",2019.12.13,2
48,철도·도로 연결에 5000억…남북협력기금 총 1조2000억원,2019.12.12,2
49,사망사고 시 도급인 처벌 강화…내년부터 하청 노동자 적정임금 보장,2019.12.12,2
50,"동서발전, 미세먼지 발생량 감축…2015년 대비 2019년 47%↓",2019.12.01,2
51,"울산 혁신도시 공공기관, 사회적 가치 확산에 힘모아",2019.11.27,2
52,"동서발전, 안전문화 확산을 위한 '다함께 안전문화제' 시행",2019.11.27,2
53,"동서발전, 2020년 발전설비 무고장 도전",2019.11.22,2
54,"동서발전, 문화적 도시재생 청년활동가 양성 교육 시행",2019.11.15,2
55,"총선 영입-입당의 정치학…김용진 전 기재부 차관, 민주당 입당",2019.11.13,2
56,'2019 한국에너지대상' 개최…129명 유공자 수상,2019.11.12,2
57,"한전, 美 괌에 25년간 전력판매계약 체결…2조3000억 매출 확보",2019.11.11,2
58,"[남산 딸깍발이] 손닿던 왕위…쟁취 못하는 순간, 죽음의 나락",2019.11.08,2
59,"동서발전, 석탄 분진 90% 이상 저감 기술개발 착수",2019.11.01,2
60,"동서발전, 지역 中企와 온실가스 감축 추진…66곳과 협약",2019.10.29,2
61,"동서발전 이사회, 국내외 추진사업 재무건전성 점검…사업 타당성 검토",2019.10.25,2
62,"군인권센터 ""황교안, 軍계엄령 문건 논의 개입 가능성""",2019.10.21,2
63,"동서발전, 2019년 2차 신입사원 공개채용…23명 선발·고졸 4명 채용",2019.10.18,2
64,"동서발전, 아세안국가 환경개선 및 온실가스 감축 추진",2019.10.17,2
65,[2019 국감]석탄발전사 탈황폐수 200만t 재이용 못하고 외부 방류,2019.10.14,2
66,"[2019 국감]5개 발전사, 수입산 목재펠릿 구입에 최근 4년간 7625억 사용",2019.10.14,2
67,[2019 국감] 故김용균씨 사고이후에도 계속되는 ‘위험의 외주화’,2019.10.14,2
68,[2019 국감]동서발전 해외법인 직원 연봉 3억…국내보다 2.5배 올라,2019.10.14,2
69,"[2019 국감]발전5사, 구매조건부신제품개발사업 구매율 저조",2019.10.14,2
70,[2019 국감]산업부·중기부 산하기관 출자회사 162곳 만성적자…방만운영 여전,2019.10.07,2
71,"[2019 국감]동서·남부발전, 석탄입고일 조작 91억원 부당이득",2019.10.07,2
72,"[2019 국감]MB정권 풀어준 민간석탄화력, 국민 전기요금 부담키워",2019.10.07,2
73,"文 대통령 ""'2032년 서울·평양 공동올림픽' 꿈꿔…'공동번영 한반도' 신호탄""",2019.10.04,2
74,"‘검찰개혁 촉구’ 대규모 촛불집회 서초동서 열려… ""헌법·국민 위에 군림“",2019.09.28,2
75,"[전문] 문 대통령 ""DMZ를 국제평화지대로 만들자""",2019.09.25,2
76,손학규 “하태경 징계 ‘孫 배후 주장’에 경고…개인 넘어 윤리위 모독”,2019.09.20,2
77,"5개 발전사, 10년간 선주에게 보상한 체선료 4786억원에 달해",2019.09.18,2
78,"동서발전, 하반기 신입·경력직원 공개채용 시행",2019.09.15,2
79,"北 ""횡설수설·동서남북도 못 가려"" 민간 전문가들에게도 독설",2019.09.03,2
80,"동서발전, 국산화 R&D 및 구매 촉진 전사적 전개",2019.08.23,2
81,"""'DMZ 평화의 길' 국민과 함께 만든다""",2019.08.20,2
82,"北, 지난해 고위급 해외파견 최다…'불량국가' 낙인 지우기",2019.08.13,2
83,"동서발전, 소재·부품 국산화 기술개발 추진",2019.08.09,2
84,"문 대통령, 부품 업체 방문…""日 수출규제가 강소기업에는 도약의 기회""(종합)",2019.08.07,2
85,'中企 상생협력' 박일준式 현장 행보,2019.07.30,2
86,"윌버 로스 美 상무장관, 日 수출규제 부당함에 공감…""필요한 역할 하겠다"" 약속",2019.07.26,2
87,"동서발전, 음성지역 아동 방과후 활동 지원",2019.07.25,2
88,김정은 '신형 잠수함' 전격 공개…美양보 압박(종합),2019.07.23,2
89,"김정은, 새로 건조한 잠수함 과시 ""동해에 작전배치""",2019.07.23,2
90,손학규 “靑 회동서 ‘정치개혁·개헌’ 깊은 논의 안 돼 아쉬워”,2019.07.19,2
91,"동서발전, 지역인재 양성 위해 장학금 3억원 전달",2019.07.18,2
92,"동서발전, 제주 하늘빛 나눔태양광 준공",2019.07.17,2
93,"동서발전, '친환경 태양광 보도 블럭 개발' 착수",2019.07.17,2
94,"동서발전, 中企 환경관리 멘토십 추진…환경기술진단·방지시설 설치 지원",2019.07.16,2
95,"美, 유엔회원국에 ""北노동자 송환을""…北 ""적대행위"" 반발",2019.07.04,2
96,"동서발전, 하계 전력수급 대비 전사 비상대응체계 점검",2019.06.21,2
97,"한전, 美 괌 데데도 200MW급  가스복합 발전소 입찰사업 수주",2019.06.19,2
98,"文 의장, 비공개 회동서 여야에 '경제 원탁회의' 중재안 제시",2019.06.18,2
99,"동서발전, 스마트팩토리 구축지원 협약",2019.06.18,2
100,"[전문]문 대통령 ""남북이 분단으로 겪는 구조적 폭력, 평화적으로 해결하는 게 중요""",2019.06.12,2
101,"문 대통령 ""국민 도움 되는 게 진정한 평화…분단으로 인한 구조적 폭력 평화적 해결해야""",2019.06.12,2
102,"문 대통령 ""헬싱키 프로세스, 동북아 평화 구축에 시사점""",2019.06.11,2
103,"동교동계 ""이희호 여사, 가장 고달팠던 'DJ'를 선택한 분""",2019.06.11,2
