,Title,Date,Category
0,[2017국감]인천공항 구내식당 대기업 '독식',2017.10.15,2
1,'라면'부터 '버거'까지… 진화하는 참치 활용 제품들,2016.12.19,2
2,"농협, 협력사와 5억 기부물품 전달",2015.12.23,2
3,,2020.08.13,3
4,호우에도 캠핑 굿즈 열기는 활활…식품기업 '캠핑 마케팅' 나섰다,2020.08.11,3
5,,2020.08.10,3
6,"SR테크노팩, 산소차단 코팅 기술 ‘GB-8’ 산업통상자원부 장관상 수상",2020.08.06,3
7,,2020.08.06,3
8,,2020.08.03,3
9,,2020.07.27,3
10,,2020.07.21,3
11,,2020.07.20,3
12,"식탁 위, 3D프린팅으로 만든 고기ㆍ생선 오른다",2020.07.10,3
13,,2020.07.08,3
14,'코로나19'에도 2분기 '맑음'…즉석밥 인기로 B2B 타격 피해간 CJ·오뚜기·동원,2020.07.03,3
15,,2020.06.25,3
16,,2020.06.22,3
17,,2020.06.10,3
18,"""죽 시장 1위까지 올라선 CJ""…식품업계 'HMR' 영토싸움 시작됐다",2020.06.03,3
19,,2020.05.25,3
20,,2020.05.19,3
21,,2020.05.18,3
22,,2020.03.26,3
23,,2020.03.24,3
24,,2020.03.20,3
25,,2020.03.19,3
26,,2020.03.18,3
27,,2020.03.16,3
28,,2020.03.10,3
29,,2020.02.20,3
30,,2020.02.17,3
31,,2020.02.10,3
32,,2020.01.30,3
33,2020 외식산업 트렌드는 '그린오션·편리미엄',2020.01.11,3
34,,2020.01.06,3
35,2020년 '지속 가능한 식품'이 뜬다…'대체육' 사업 힘 주는 기업들,2020.01.02,3
36,,2020.01.02,3
37,이달 식품 상장기업 브랜드평판 1위는 '오리온',2019.12.28,3
38,"동원참치, 대세 ‘펭수’와 손 잡았다",2019.12.26,3
39,'펭수 달력' 반나절 만에 16만부…대기 순번표 뽑는 유통업계(종합),2019.12.24,3
40,150만 팬 거느린 '골드 펭귄' 펭수…대기 순번표 뽑는 유통업계,2019.12.24,3
41,"GS리테일, 중증질환 소아 환아 쉼터 ‘RMHC하우스’에 1억3000만원 기부",2019.12.24,3
42,,2019.12.19,3
43,"길냥이 후원 나선 동원그룹, 응원 댓글 1개당 100g 사료 기부",2019.12.18,3
44,,2019.12.05,3
45,"펭수 인기, 여행 트렌드도 바꿨다…'남극행' 검색량 3배 이상 '껑충'",2019.12.02,3
46,,2019.11.28,3
47,,2019.11.21,3
48,,2019.11.04,3
49,,2019.10.23,3
50,"동원그룹, 2019년도 하반기 신입사원 공개채용",2019.10.07,3
51,[사람人]4년 만에 50배 성장…포브스 亞 여성기업인 25인에 이름 올린 김슬아,2019.09.25,3
52,,2019.09.23,3
53,,2019.08.05,3
54,1인 가구도 걱정 없이 과일 먹는다…'미니멀 후르츠'·'소포장 과일' 각광,2019.08.02,3
55,,2019.08.02,3
56,,2019.07.29,3
57,,2019.07.22,3
58,"[유통 빅블러]캐릭터·공유오피스까지, '불황' 옷 입은 식품의 이유있는 영역파괴",2019.07.16,3
59,,2019.07.11,3
60,,2019.07.03,3
61,유통공룡마저 뛰어든 '새벽배송' 전쟁…더 치열해진다,2019.06.30,3
62,"""'강남맘' 마음을 훔쳐라""…신세계도 새벽배송 전쟁 뛰어들었다(종합)",2019.06.25,3
63,,2019.06.17,3
64,,2019.06.10,3
65,,2019.06.05,3
66,,2019.05.17,3
67,,2019.05.01,3
68,,2019.04.30,3
69,,2019.04.26,3
70,,2019.04.25,3
71,,2019.04.15,3
72,,2019.04.02,3
73,,2019.03.25,3
74,유튜브로 듣는 골뱅이탕 ASMR…이제는 '콘텐츠'로 소비心 겨냥(종합),2019.03.18,3
75,"""'유튜브 먹방' 보는 1020 소비자 잡아라"" 식품업계 진화하는 SNS마케팅",2019.03.18,3
76,,2019.03.05,3
77,"죽 시장 1위 동원 '양반죽', 현대인 아침 간편식으로 인기몰이",2019.02.28,3
78,"동원그룹, 2019년도 상반기 경력사원 모집",2019.02.26,3
79,"동원몰, 식품 새벽배송 서비스 나선다…‘밴드프레시’ 론칭",2019.02.13,3
80,,2019.02.08,3
81,,2019.01.31,3
82,,2019.01.30,3
83,,2019.01.24,3
84,"""세배는 못 받지만 선물은 줄게""…반려견·반려묘 위한 설 선물세트 잇달아 출시(종합)",2019.01.18,3
85,"동원 뉴트리플랜, ""반려묘 위한 설 선물세트 준비하세요""",2019.01.17,3
86,"G9 ""똑같은 선물은 가라""…'설 선물 발굴단'",2019.01.15,3
87,"동원몰, 3천여종 설 선물세트 마련…""상대 주소 몰라도 선물 가능""",2019.01.09,3
88,"내년에 가격 인상하는 식품…떡볶이·우유·콜라·라면·소주 ""죄다 오르네""",2018.12.23,3
89,내년에도 식품 물가 쓰나미…방판우유도 올라·콜라도 들썩(종합),2018.12.21,3
90,"동원참치, 옴니채널 마케팅 강화 ""소비자들과 더 가까이""",2018.12.13,3
91,"치킨 2만원·햄버거세트 1만원·아메리카노 5천원 시대…""비싼 한끼""(종합)",2018.12.12,3
92,"""1만원으로 햄버거 먹고 커피 못마신다""…1년내내 치솟는 물가에 텅빈 지갑",2018.12.12,3
93,,2018.11.22,3
94,마시면 면역력이 불끈…'新 면역'시대 만들어가는 두 남자(종합),2018.11.16,3
95,"[유통 핫피플]""홍삼 대신 마시는 뮤닝으로 면역케어하세요""",2018.11.16,3
96,"동원산업, '해상가족을 위한 행복김치 담그기' 행사 진행",2018.11.14,3
97,‘동원참치’와 ‘뽀로로’의 만남…동원 뽀로로 참치 나왔다,2018.11.12,3
98,"동원참치, '고객중심 경영혁신 컨퍼런스' 우수사례 선정",2018.11.06,3
99,,2018.11.05,3
100,,2018.11.02,3
101,"동원 양반죽, 신규설비+신기술 도입…5천만개 판매 목표",2018.10.26,3
102,,2018.10.25,3
103,,2018.10.24,3
104,,2018.10.16,3
105,,2018.10.15,3
106,"한숨 쉬는 주부 ""안 오른 게 없다…10만원으로 채우지 못한 장보기 서러워""",2018.10.14,3
107,[평양회담]초코파이·백세주 다시 北으로?…평양회담에 식음료 기대 만발(종합),2018.09.19,3
108,"동원그룹, 9개 계열사 하반기 신입사원 공개채용",2018.09.18,3
109,,2018.09.14,3
110,,2018.09.13,3
111,"""최저임금발 가격 올립니다"" 고지하는 식당 봇물…식음료 죄다 오른다",2018.09.09,3
112,"동원몰, ‘추석 선물대전’ 진행… 식품부터 생활용품 세트까지",2018.09.05,3
113,식품 '최대 200개'·식당 '10곳 중 7곳' 가격 인상…하반기에도 봇물(종합),2018.09.03,3
114,,2018.09.03,3
115,식품업체 22곳 '최대 200개' 가격 올렸다…식당 10곳 중 7곳 메뉴 인상,2018.09.03,3
116,,2018.08.30,3
117,,2018.08.14,3
118,,2018.08.09,3
119,"'펫푸드' 뛰어든 식품업계, 수입산에 고전(종합)",2018.08.08,3
120,"블루오션 '펫푸드 시장'서 초라한 성적…식품업계,  해법 찾기 '안간힘'",2018.08.08,3
121,,2018.08.02,3
122,,2018.08.02,3
123,,2018.06.22,3
124,,2018.04.06,3
125,,2018.01.03,3
126,"동원몰, 셀렉토커피와 착한 기부 행사",2017.12.27,3
127,"[인사]동원그룹, 박문서 경영지원본부장 사장 승진 등 임원인사",2017.12.26,3
128,,2017.12.14,3
129,,2017.12.13,3
130,"동원몰, 뮤지컬 ‘빌리 엘리어트’ 제휴 신년 문화 이벤트 진행",2017.12.11,3
131,,2017.12.07,3
132,'한끼'로 우뚝…올 겨울 피 터지는 '만두 전쟁',2017.11.30,3
133,,2017.11.29,3
134,,2017.11.17,3
135,'집밥' 넘보는 간편식 '열풍'…1천억 시장 겨냥한 업체 경쟁 치열,2017.11.15,3
136,,2017.11.13,3
137,,2017.10.31,3
138,,2017.09.27,3
139,"동원그룹, 2017년 신입사원 공개채용…박인구 부회장 채용설명회 참석",2017.09.26,3
140,학교급식 왜 부실한가 했더니…영양사에 상품권 준 식재료업체들,2017.09.24,3
141,,2017.09.21,3
142,,2017.09.19,3
143,,2017.09.18,3
144,,2017.09.13,3
145,,2017.09.12,3
146,,2017.09.12,3
147,,2017.09.07,3
148,,2017.09.06,3
149,"[추석 D-한달③]1인가구가 바꾼 선물세트 ""간편식·소포장 인기""",2017.09.04,3
150,,2017.08.28,3
151,'죽'으로만 보지마…위상 달라진 '즉석죽',2017.08.23,3
152,[100년 장수먹거리]밥에는 더참치로 더 맛있게 하루영양 채우자,2017.08.18,3
153,,2017.08.14,3
154,[만두 전쟁]4천억 냉동만두 시장 놓고 혈투…'비수기'가 없다,2017.08.10,3
155,,2017.08.10,3
156,,2017.08.09,3
157,'10돌' 동원몰의 이유있는 1위 식품몰…물류센터구축·AI 마케팅 도입,2017.08.01,3
158,,2017.07.13,3
159,,2017.07.10,3
160,,2017.06.28,3
