,Title,Date,Category
0,,,2.0
1,"동원F&B, 플라스틱 용기 없앤 ‘양반김 에코패키지’ 출시",2020.08.13,3.0
2,"[포토]동원 ""신성장동력 무균충전음료 사업 본격화""",2019.10.23,3.0
3,"음료 품질과 친환경 동시에 확보…동원시스템즈, 무균충전음료사업 개시",2019.10.23,3.0
4,"동원그룹, 2019년도 하반기 신입사원 공개채용",2019.10.07,3.0
5,"동원그룹, 세계 최대 식품 박람회 ‘아누가’ 참가…‘종합 식품 밸류체인’ 선봬",2019.10.06,3.0
6,"창립 50주년에 떠나는 창업주…김재철 ""새로운 세대 동원그룹의 혁신 이끌 것""(종합)",2019.04.16,3.0
7,"동원그룹, 창립 50주년…""원양어선 1척 수산회사서 6차 산업 글로벌 기업으로""",2019.04.16,3.0
8,"동원그룹, 2019년도 상반기 경력사원 모집",2019.02.26,3.0
9,[인사]동원그룹,2018.12.26,3.0
10,"동원그룹, 테크팩솔루션·동원팜스 대표이사 인사",2018.12.05,3.0
11,"동원그룹, 9개 계열사 하반기 신입사원 공개채용",2018.09.18,3.0
12,"[인사]동원그룹, 박문서 경영지원본부장 사장 승진 등 임원인사",2017.12.26,3.0
13,"동원그룹, 2017년 신입사원 공개채용…박인구 부회장 채용설명회 참석",2017.09.26,3.0
14,"동원시스템즈, B2C 뷰티시장 진출…쌩크드보떼 론칭",2017.09.18,3.0
15,"동원시스템즈, 베트남 공장 대규모 증설 착공…매출 2000억 기대",2017.09.08,3.0
16,"동원건설산업, 동원하우징 흡수합병…합병비율 1대0",2017.06.20,3.0
17,김재철 회장의 통 큰 투자…2년간 6개 회사 인수·사옥 매입도,2017.04.26,3.0
18,"동원그룹, 2016년 하반기 신입사원 공개 채용",2016.10.06,3.0
19,"동원그룹, 첫 번째 '지속가능경영보고서' 발간",2016.07.25,3.0
20,[포커스人]'국민 반찬' 참치캔 30년…'수산보국' 새 신화,2016.05.11,3.0
21,"동원그룹 테크팩솔루션, 200억 투자해 유리병 생산량 증대",2016.04.06,3.0
22,[인사]동원그룹,2015.12.22,3.0
23,"동원그룹, 하반기 신입사원 공개 채용",2015.10.05,3.0
24,"동원F&B, 무균충전녹차로 ‘힐링음료’ 시장 선도",2020.07.24,4.0
25,"동원F&B, 친환경 경영 박차…생수병 1100만개에 달하는 플라스틱 감축 목표",2020.07.07,4.0
26,"동원시스템즈, 회사채 수요예측 시장 ‘화려한 데뷔’…2배 증액 발행",2018.12.10,4.0
27,"동원시스템즈, 고용노동부 ‘2018 대한민국 일자리 으뜸기업’ 선정",2018.06.28,4.0
28,"동원시스템즈, 엔터프라이즈에 건설산업 매각…755억 투자재원 활용",2018.03.26,4.0
29,"동원시스템즈, 미래형 고부가가치 ‘무균충전음료’ 사업 진출…1.3억개 생산",2018.02.06,4.0
30,"동원시스템즈, 한국마케팅프론티어대상 수상",2018.02.01,4.0
31,"500대기업, 실적 증가에도 기부금 13% 줄여…삼성전자는 40%↓",2017.11.29,4.0
32,"동원그룹, 2017년 신입사원 공개채용…박인구 부회장 채용설명회 참석",2017.09.26,4.0
33,"동원시스템즈, B2C 뷰티시장 진출…쌩크드보떼 론칭",2017.09.18,4.0
34,"동원시스템즈, 베트남 공장 대규모 증설 착공…매출 2000억 기대",2017.09.08,4.0
35,김재철 회장의 통 큰 투자…2년간 6개 회사 인수·사옥 매입도,2017.04.26,4.0
36,"동원그룹, 2016년 하반기 신입사원 공개 채용",2016.10.06,4.0
37,"동원그룹, 첫 번째 '지속가능경영보고서' 발간",2016.07.25,4.0
38,[포커스人]'국민 반찬' 참치캔 30년…'수산보국' 새 신화,2016.05.11,4.0
39,"동원그룹 테크팩솔루션, 200억 투자해 유리병 생산량 증대",2016.04.06,4.0
40,[인사]동원그룹,2015.12.22,4.0
41,"동원시스템즈, '7천만불 수출의 탑' 수상",2015.12.07,4.0
42,"동원그룹, 하반기 신입사원 공개 채용",2015.10.05,4.0
43,"동원시스템즈, 글로벌 '포장재시장' 본격 진출",2015.09.17,4.0
44,[인사]동원그룹,2014.12.24,4.0
45,"동원그룹, 2014 하반기 신입사원 공개 채용",2014.10.06,4.0
46,"동원시스템즈, 2분기 영업이익 146억원…전년동기대비 3.7%↑",2020.07.31,5.0
47,"동원시스템즈, 2분기 영업이익 275억원…전년동기대비 6.6%↑",2020.07.31,5.0
48,[e공시 눈에 띄네]코스피-6일,2020.05.07,5.0
49,"동원시스템즈, 1분기 영업이익 181억원…전년 대비 16.5%↓",2020.05.06,5.0
50,[e공시 눈에 띄네]코스피-31일,2020.04.01,5.0
51,"동원시스템즈, 테크팩솔루션서 PET BOTTLE사업 양수",2020.03.31,5.0
52,"12월 10일 코스피, 9.35p 오른 2098.00 마감(0.45%↑)",2019.12.10,5.0
53,"12월 9일 코스피, 6.80p 오른 2088.65 마감(0.33%↑)",2019.12.09,5.0
54,"[클릭 e종목]“동원시스템즈, 하반기 실적 개선 구간 진입할 것”",2019.09.04,5.0
55,[e공시 눈에 띄네]코스피-5일,2019.08.06,5.0
56,"동원시스템즈, 2분기 연결기준 영업익 258억원…전년比 32% 증가",2019.08.05,5.0
57,"동원시스템즈, 1Q 영업익 217억원…전년비 21% 증가",2019.04.30,5.0
58,"韓증시, 보합 공방 끝 2210·760",2019.04.22,5.0
59,韓증시 하락반전…2210·760,2019.04.22,5.0
60,이주 韓美 1Q GDP 성장률 발표…주초부터 코스피 2220대 보합공방,2019.04.22,5.0
61,"코스피, 사흘 만에 상승하며 장 초반 강보합… 코스닥 760선 도전",2019.04.19,5.0
62,韓증시 보합공방 헛심 2200·750 탈환 다음기회로,2019.03.22,5.0
63,내년 단일가매매 적용되는 종목 31개…유가 29·코스닥 2,2018.12.20,5.0
64,"""건설채 중·단기 투자매력 유효""",2018.12.16,5.0
65,동원시스템즈 무보증회사채 신용등급 'A/안정적' 신규평가,2018.11.20,5.0
66,"동원시스템즈, 3Q 영업이익 87억원…4%↑",2018.11.02,5.0
67,[e공시 눈에 띄네]코스피-3일,2018.08.06,5.0
68,"동원시스템즈, 2분기 영업이익 119억원...전년동기대비 34% 증가",2018.08.03,5.0
69,"코스피, 기관 매수세에 사흘 만에 상승 마감… 미·중 무역전쟁 우려 여전",2018.07.06,5.0
70,[e공시 눈에 띄네]코스피-4일,2018.05.08,5.0
71,[맛있는 패키징 전쟁③]유통기한 확 늘린 음료 혁신…동원의 '무균충전음료',2018.04.05,5.0
72,[맛있는 패키징 전쟁③]모든 식품·음료 포장 책임지는 '동원'…1000조 글로벌 시장 정조준,2018.04.05,5.0
73,[맛있는 패키징 전쟁①]갓 지은 '즉석밥'·보글보글 '간편식 찌개'ㆍ화덕서 구은 '냉동피자'가 뜬다,2018.04.03,5.0
74,"증선위, '공시위반' 나노스에 과징금 1억990만원 부과",2018.03.28,5.0
75,"동원시스템즈, 755억 규모 동원건설 주식 처분 결정",2018.03.26,5.0
76,"동원시스템즈, 베트남 박닌공장 본격가동…3년내 2000억 매출 목표",2018.03.15,5.0
77,[e공시 눈에띄네]코스피-5일,2018.02.06,5.0
78,"동원시스템즈, 보통주 1주당 500원 현금배당 결정",2018.02.05,5.0
79,"500대기업, 실적 증가에도 기부금 13% 줄여…삼성전자는 40%↓",2017.11.29,5.0
80,[e공시 눈에 띄네]코스피-3일,2017.11.06,5.0
81,"동원시스템즈, 3분기 영업익 300억…전년비 20.21%↓",2017.11.03,5.0
82,"거래소, 한진피앤씨 주권매매 정지…""구주권 제출""",2017.08.25,5.0
83,[e공시 눈에 띄네] 코스피-8월1일,2017.08.02,5.0
84,"동원시스템즈, 2Q 영업익 310억…전년比 1%↑",2017.08.01,5.0
85,[e공시 눈에띄네]코스피-27일,2017.07.27,5.0
86,"동원시스템즈, 한진피앤씨와의 합병 승인",2017.07.26,5.0
87,"동원건설산업, 동원하우징 흡수합병…합병비율 1대0",2017.06.20,5.0
88,"한진피앤씨, 동원시스템즈와 합병 결정",2017.05.17,5.0
89,[e공시 눈에 띄네]코스피-4일,2017.05.08,5.0
90,"동원시스템즈, 1Q 영업익 238억원…전년比 12.32%↓",2017.05.04,5.0
91,"동원시스템즈 ""자회사 테크팩솔루션 합병 검토중""",2017.05.04,5.0
92,동원시스템즈 보통주 250원 우선주 300원 배당,2017.02.09,5.0
93,"동원시스템즈 ""이큐파트너스 잔여지분 인수 검토중""",2017.02.03,5.0
94,"코스피, 4.86p 오른 1983.80 마감(0.25%↑)",2016.11.03,5.0
95,"동원시스템즈 ""자회사 테크팩솔루션, 이큐파트너스 잔여지분 인수 계획 있다""",2016.11.03,5.0
96,"[클릭 e종목]""동원시스템즈, 3Q 깜짝실적…내년 20% 이상 성장 전망""",2016.11.01,5.0
97,"동원시스템즈 ""이큐파트너스 잔여 지분 인수 계획 있다""",2016.10.04,5.0
98,"동원시스템즈, 2분기 영업익 306억원…전년比 9.4%↑",2016.08.02,5.0
99,"동원시스템즈, 2분기 영업익 102억원…전년比 40.6%↑",2016.08.02,5.0
100,"브렉시트, 잔류로 결정되면 '숏커버링' 종목에 접근하라",2016.06.24,5.0
101,하반기 세계경제 '갈림길'…韓 경제성장세 개선 전망,2016.05.31,5.0
102,"[특징주]동원시스템즈, 1분기 호실적…↑",2016.05.09,5.0
103,"동원시스템즈, 1분기 영업익 271억원…전년비 53.6%↑",2016.05.09,5.0
104,"동원시스템즈, 동원건설산업 73만주 유상감자",2016.05.04,5.0
105,"동원건설산업, 보통주 73만주 감자 결정",2016.05.04,5.0
106,"현대證 ""동원시스템즈 목표주가 12만원으로 하향""",2016.02.12,5.0
107,"동원시스템즈, 작년 영업익 269%↑…주당 250원 배당 결정",2016.02.11,5.0
108,화학·운수창고 업종 동반 3%대 하락,2016.02.11,5.0
109,시총 우등생 ‘톱1O’은 내수 CEO,2015.11.25,5.0
110,"동원시스템즈, 3Q 연결 영업익 288억…전년比 666.84%↑",2015.11.09,5.0
111,"장 종료 후 ""이 공시 눈에 띄네""(코스피-14일)",2015.10.15,5.0
112,장 종료 후 이 공시 눈에 띄네(코스피-2일),2015.10.05,5.0
113,"동원건설산업, 올레브 흡수합병",2015.10.02,5.0
114,장 종료 후 이 공시 눈에 띄네(코스피-17일),2015.09.18,5.0
115,"동원시스템즈, 베트남 포장재 회사 2곳 인수",2015.09.17,5.0
116,"""동원시스템즈, 베트남 포장재 기업 인수로 新성장 동력 기대""",2015.09.14,5.0
117,1000억 '슈퍼개미' 손명완 '주식 역전극'의 비밀(上),2015.08.06,5.0
118,"장 종료 후 ""이 공시 눈에 띄네""(코스피-29일)",2015.07.30,5.0
119,"동원시스템즈 ""베트남 소재 포장재기업 인수 추진 중""",2015.07.29,5.0
120,"거래소, 동원시스템즈 해외 포장재 회사 인수설 조회공시 요구",2015.07.29,5.0
121,"장 종료 후 ""이 공시 눈에 띄네""(코스피-15일)",2015.07.16,5.0
122,"동원시스템즈, 한진피앤씨 지분 6.90% 감소",2015.07.15,5.0
123,공포증시 자산株 들썩‥보험·기금도 '러브콜',2015.07.09,5.0
124,우선주 이상급등 속출…우량 우선주 고르는 비법은?,2015.06.21,5.0
125,"코스피 200 구성종목, 한샘·현대로템 등 13개 종목 신규 편입",2015.05.27,5.0
126,"코스피200 편출입 종목 관심↑…""뭘 담지?""",2015.05.12,5.0
127,"동원그룹, 동원시스템즈로 세번째 성장 이룰까",2015.04.24,5.0
128,소형→중형주 편입종목 주가 상승…유망株는?,2015.03.01,5.0
129,"동원시스템즈, 보통주 주당 250원 현금배당",2015.02.10,5.0
130,"동원시스템즈, 지난해 영업이익 269억원…전년比 62%↑",2015.02.10,5.0
131,"동원시스템즈, 258억 규모 자사주 처분 결정",2014.10.27,5.0
132,"장 종료 후 ""이 공시 눈에 띄네""(코스피-23일)",2014.10.24,5.0
133,"거래소, 28일 코스피 상장법인 합동IR 개최",2014.10.22,5.0
134,"장 종료 후 ""이 공시 눈에 띄네""(코스피-21일)",2014.10.22,5.0
135,"장 종료 후 ""이 공시 눈에 띄네""(코스피-17일)",2014.10.20,5.0
136,"""동원그룹 상장사 잘나가네""",2014.10.07,5.0
137,"동원시스템즈, 특수관계인 김호랑씨가 1만1200주 장내매수",2014.10.06,5.0
138,"동원시스템즈, 김호랑 씨 1만2000주 장내매수",2014.09.29,5.0
139,[특징주]동원시스템즈 자사주 처분 검토에 이틀째 '약세',2014.09.26,5.0
140,"장 종료 후 ""이 공시 눈에 띄네""(코스피-24일)",2014.09.25,5.0
141,"동원시스템즈 ""자기주식 처분 검토중""",2014.09.24,5.0
142,"장 종료 후 ""이 공시 눈에 띄네""(코스피-23일)",2014.09.24,5.0
143,,,6.0
144,,,7.0
145,[인사] 동원그룹 정기 임원인사,2019.12.27,8.0
146,"법무법인 태평양, 3년 연속 자문 거래 베트남 M&A 포럼 ‘올해의 딜’",2018.08.06,8.0
147,"동원그룹, 정기 임원인사 단행…김영현 대표이사 선임",2016.12.26,8.0
148,인천대-중국 연달그룹 '매트릭스 학사제도' MOU 체결,2016.10.27,8.0
149,,,9.0
150,,,10.0
151,,,11.0
