,Title,Date,Category
0,남북 물물교환하려다…뒤늦게 대북제재에 발목 잡힌 정부 (종합),2020.08.24,2
1,이인영의 황당 '헛발질'…남북 물물교환 하려다 대북제재에 철회,2020.08.24,2
2,"이인영, 주한 중국대사 만나 '남북협력' 협조 당부",2020.08.19,2
3,'10월 서프라이즈' 美 선거용에 그칠 듯…韓 독자행보 속도내나,2020.08.15,2
4,"통일부 ""남북 물물교환, 한미워킹그룹 협의 사안 아니다""",2020.08.11,2
5,"정부 ""남북 물물교환에 美도 공감 뜻"" → ""협의된 바 없어"" 돌연 정정",2020.08.10,2
6,'수출 1호' UAE 원전 가동…다음은 체코,2020.08.04,2
7,"'성추행' 오거돈 前부산시장, 재산 67.4억…4개월 만에 2.9억↑",2020.07.31,2
8,"김정은 ""우린 핵보유국…그 어떤 군사적 위협에도 끄떡없어""(3보)",2020.07.28,2
9,"이인영 ""최고는 몰라도 '두번째로 잘한 통일부 장관' 자신 있다""",2020.07.27,2
10,"김정은, '전승절' 맞아 군부에 권총 수여…군 ""철저한 임전태세""",2020.07.27,2
11,살아있는 전설 ‘육군 K1전차의 화력’ 강화한다,2020.07.25,2
12,"이인영 ""백두산 물·대동강 술-남한 쌀·약품 현물 교환하자""(종합)",2020.07.21,2
13,"이인영 ""백두산 물·대동강 술-남한 쌀·약품, 현물로 교환해보자""",2020.07.21,2
14,"[속보] 이인영 ""백두산 물·대동강 술-남한 쌀·약품, 현물 교환해보자""",2020.07.21,2
15,"文대통령 ""해상풍력 연구발전, 두산중공업에 특별히 감사"" (종합)",2020.07.17,2
16,文대통령 그린뉴딜 첫 발걸음…전북 해상풍력 단지,2020.07.17,2
17,더디지만 '한국發 입국제한' 완화…네덜란드 등 9개국 해제,2020.07.04,2
18,북한 토플 평균 점수 83점…남북한 영어점수는 같네,2020.07.02,2
19,'6·30' 1주년 조용한 靑…'사상누각' 남북관계 해법 고심,2020.06.30,2
20,"정부, 대북 삐라단체 법인취소 돌입(종합)",2020.06.29,2
21,"삐라살포 탈북단체 법인 취소 돌입…정부, 오늘 청문 실시",2020.06.29,2
22,민·군 수소경제 육성 박차…'수소 활용 업무협약' 체결,2020.06.16,2
23,"文대통령 ""6·15남북공동선언은 겨레의 마음에 깃든 훈풍"" (종합)",2020.06.15,2
24,"""3박4일 북한여행 가겠소""…200명, 北에 여행 제안 통지문",2020.06.15,2
25,北군사도발 예고 속…6·15선언 20주년 기념식도 '반쪽',2020.06.15,2
26,"정부, 남북 교류협력법 개정 이어 산림협력도 시동",2020.06.03,2
